Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
albrecht_colegrove_friel_2002,models_cellml/calcium_dynamics/albrecht_colegrove_friel_2002.cellml,calcium_dynamics,11,2,9,2,0,0,0,54,30
albrecht_colegrove_hongpaisan_pivovarova_andrews_friel_2001,models_cellml/calcium_dynamics/albrecht_colegrove_hongpaisan_pivovarova_andrews_friel_2001.cellml,calcium_dynamics,11,2,9,2,0,0,0,49,30
baylor_hollingworth_chandler_2002_a,models_cellml/calcium_dynamics/baylor_hollingworth_chandler_2002_a.cellml,calcium_dynamics,3,3,0,3,0,0,0,21,6
baylor_hollingworth_chandler_2002_b,models_cellml/calcium_dynamics/baylor_hollingworth_chandler_2002_b.cellml,calcium_dynamics,6,6,0,6,0,0,0,69,15
baylor_hollingworth_chandler_2002_c,models_cellml/calcium_dynamics/baylor_hollingworth_chandler_2002_c.cellml,calcium_dynamics,5,5,0,5,0,0,0,39,10
baylor_hollingworth_chandler_2002_d,models_cellml/calcium_dynamics/baylor_hollingworth_chandler_2002_d.cellml,calcium_dynamics,5,5,0,5,0,0,0,57,14
baylor_hollingworth_chandler_2002_e,models_cellml/calcium_dynamics/baylor_hollingworth_chandler_2002_e.cellml,calcium_dynamics,3,3,0,3,0,0,0,21,6
baylor_hollingworth_chandler_2002_f,models_cellml/calcium_dynamics/baylor_hollingworth_chandler_2002_f.cellml,calcium_dynamics,4,4,0,4,0,0,0,35,9
bertram_previte_sherman_kinard_satin_2000_fast,models_cellml/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_fast.cellml,calcium_dynamics,14,4,10,4,0,0,0,54,36
bertram_previte_sherman_kinard_satin_2000_medium,models_cellml/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_medium.cellml,calcium_dynamics,14,4,10,4,0,0,0,54,36
bertram_previte_sherman_kinard_satin_2000_slow,models_cellml/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_slow.cellml,calcium_dynamics,14,4,10,4,0,0,0,54,36
bertram_satin_zhang_smolen_sherman_2004_a,models_cellml/calcium_dynamics/bertram_satin_zhang_smolen_sherman_2004_a.cellml,calcium_dynamics,78,7,71,7,0,0,0,143,121
bertram_satin_zhang_smolen_sherman_2004_b,models_cellml/calcium_dynamics/bertram_satin_zhang_smolen_sherman_2004_b.cellml,calcium_dynamics,78,7,71,7,0,0,0,143,121
bertram_sherman_2004,models_cellml/calcium_dynamics/bertram_sherman_2004.cellml,calcium_dynamics,19,5,14,5,0,0,0,90,47
bindschadler_sneyd_2001,models_cellml/calcium_dynamics/bindschadler_sneyd_2001.cellml,calcium_dynamics,17,4,13,4,0,0,0,79,32
borghans_dupont_goldbeter_1997a,models_cellml/calcium_dynamics/borghans_dupont_goldbeter_1997a.cellml,calcium_dynamics,8,3,5,3,0,0,0,43,22
borghans_dupont_goldbeter_1997b,models_cellml/calcium_dynamics/borghans_dupont_goldbeter_1997b.cellml,calcium_dynamics,6,3,3,3,0,0,0,44,24
