Model Name,File,Domain,All Domains,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
dawson_lea_irvine_2003,models_cellml2/calcium_dynamics/dawson_lea_irvine_2003.cellml,calcium_dynamics,calcium dynamics | signal transduction,20,10,10,10,0,0,0,95,38
goodwin_1965_a,models_cellml2/circadian_rhythms/goodwin_1965_a.cellml,circadian_rhythms,circadian rhythms,2,2,0,2,0,0,0,13,9
maldonado_2006,models_cellml2/endocrine/maldonado_2006.cellml,endocrine,endocrine,20,9,11,9,0,0,0,109,67
riccobene_omann_linderman_1999,models_cellml2/signal_transduction/riccobene_omann_linderman_1999.cellml,signal_transduction,signal transduction,8,8,0,8,0,0,0,80,20
olsen_hauser_kummer_2003,models_cellml2/metabolism/olsen_hauser_kummer_2003.cellml,metabolism,metabolism,29,14,15,14,0,0,0,128,46
tham_2008,models_cellml2/PKPD/tham_2008.cellml,PKPD,PKPD,8,2,6,2,0,0,0,25,21
pedersen_bertram_sherman_2005,models_cellml2/endocrine/pedersen_bertram_sherman_2005.cellml,endocrine,endocrine,88,9,79,9,0,0,0,209,139
wanant_quon_2000_b,models_cellml2/signal_transduction/wanant_quon_2000_b.cellml,signal_transduction,signal transduction,10,9,1,9,0,0,0,114,21
martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000,models_cellml2/metabolism/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000.cellml,metabolism,metabolism,11,2,9,2,0,0,0,49,25
wodarz_sierro_klenerman_2007_b,models_cellml2/immunology/wodarz_sierro_klenerman_2007_b.cellml,immunology,immunology,17,15,2,15,0,0,0,106,33
fridlyand_tamarina_philipson_2003,models_cellml2/calcium_dynamics/fridlyand_tamarina_philipson_2003.cellml,calcium_dynamics,calcium dynamics | electrophysiology,42,7,35,7,0,0,0,199,108
Guyton_Model_1-0,models_cellml2/cardiovascular_circulation/Guyton_Model_1-0.cellml,cardiovascular_circulation,cardiovascular circulation,372,43,329,43,0,0,0,1436,579
ueda_hagiwara_kitano_2001,models_cellml2/circadian_rhythms/ueda_hagiwara_kitano_2001.cellml,circadian_rhythms,circadian rhythms | signal transduction,10,10,0,10,0,0,0,141,66
hund_rudy_2004_b,models_cellml2/electrophysiology/hund_rudy_2004_b.cellml,electrophysiology,electrophysiology,137,29,108,29,0,0,0,319,191
faber_rudy_modified_version_2000,models_cellml2/electrophysiology/faber_rudy_modified_version_2000.cellml,electrophysiology,electrophysiology | excitation-contraction coupling,122,19,103,19,0,0,0,373,188
benson_mcell_2008,models_cellml2/electrophysiology/benson_mcell_2008.cellml,electrophysiology,electrophysiology,137,29,108,29,0,0,0,319,191
revilla_garcia-ramos_2003,models_cellml2/immunology/revilla_garcia-ramos_2003.cellml,immunology,immunology,5,5,0,5,0,0,0,33,16
wein_1998,models_cellml2/immunology/wein_1998.cellml,immunology,immunology,10,10,0,10,0,0,0,83,39
guyton_atrial_natriuretic_peptide_2008,models_cellml2/cardiovascular_circulation/guyton_atrial_natriuretic_peptide_2008.cellml,cardiovascular_circulation,cardiovascular circulation,7,1,6,1,0,0,0,25,14
wang_2006,models_cellml2/calcium_dynamics/wang_2006.cellml,calcium_dynamics,calcium dynamics,15,5,10,5,0,0,0,96,43
heyd_drew_2003,models_cellml2/metabolism/heyd_drew_2003.cellml,metabolism,metabolism,11,11,0,11,0,0,0,103,30
ciliberto_tyson_2000,models_cellml2/cell_cycle/ciliberto_tyson_2000.cellml,cell_cycle,cell cycle,18,7,11,7,0,0,0,94,51
faville_model_2008,models_cellml2/electrophysiology/faville_model_2008.cellml,electrophysiology,electrophysiology,69,10,59,10,0,0,0,338,177
schuster_beny_meister_2003,models_cellml2/signal_transduction/schuster_beny_meister_2003.cellml,signal_transduction,signal transduction,7,3,4,3,0,0,0,44,33
shorten_robson_mckinnon_wall_2000,models_cellml2/calcium_dynamics/shorten_robson_mckinnon_wall_2000.cellml,calcium_dynamics,calcium dynamics | signal transduction,21,6,15,6,0,0,0,109,57
vinnakota_rusk_palmer_shankland_kushmeric_2010_edl,models_cellml2/metabolism/vinnakota_rusk_palmer_shankland_kushmeric_2010_edl.cellml,metabolism,metabolism | ph regulation,545,32,513,32,0,0,0,859,547
guyton_autonomics_2008,models_cellml2/cardiovascular_circulation/guyton_autonomics_2008.cellml,cardiovascular_circulation,cardiovascular circulation,25,2,23,2,0,0,0,100,57
saftenku_williams_sitsapesan_2001_H2_model,models_cellml2/calcium_dynamics/saftenku_williams_sitsapesan_2001_H2_model.cellml,calcium_dynamics,calcium dynamics,4,4,0,4,0,0,0,37,12
bertram_previte_sherman_kinard_satin_2000_medium,models_cellml2/calcium_dynamics/bertram_previte_sherman_kinard_satin_2000_medium.cellml,calcium_dynamics,calcium dynamics | electrophysiology,14,4,10,4,0,0,0,54,36
neumann_lam_dahari_gretch_wiley_layden_perelson_1998,models_cellml2/immunology/neumann_lam_dahari_gretch_wiley_layden_perelson_1998.cellml,immunology,immunology,3,3,0,3,0,0,0,23,12
goodwin_1965_c,models_cellml2/circadian_rhythms/goodwin_1965_c.cellml,circadian_rhythms,circadian rhythms,3,3,0,3,0,0,0,18,12
chay_1997,models_cellml2/calcium_dynamics/chay_1997.cellml,calcium_dynamics,calcium dynamics | electrophysiology,21,6,15,6,0,0,0,103,55
benson_epicardial_2008,models_cellml2/electrophysiology/benson_epicardial_2008.cellml,electrophysiology,electrophysiology,137,29,108,29,0,0,0,319,191
warashina_ogura_2004,models_cellml2/signal_transduction/warashina_ogura_2004.cellml,signal_transduction,signal transduction,45,8,37,8,0,0,0,167,102
livshitz_rudy_2007,models_cellml2/electrophysiology/livshitz_rudy_2007.cellml,electrophysiology,electrophysiology,99,18,81,18,0,0,0,248,153
proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005,models_cellml2/signal_transduction/proctor_soti_boys_gillespie_shanley_wilkinson_kirkwood_2005.cellml,signal_transduction,signal transduction,36,14,22,14,0,0,0,156,59
guyton_thirst_drinking_and_salt_appetite_2008,models_cellml2/cardiovascular_circulation/guyton_thirst_drinking_and_salt_appetite_2008.cellml,cardiovascular_circulation,cardiovascular circulation,10,1,9,1,0,0,0,37,21
marhl_schuster_brumen_heinrich_1997,models_cellml2/calcium_dynamics/marhl_schuster_brumen_heinrich_1997.cellml,calcium_dynamics,calcium dynamics | electrophysiology,14,2,12,2,0,0,0,66,31
macgregor_leng_2005_b,models_cellml2/endocrine/macgregor_leng_2005_b.cellml,endocrine,endocrine,17,7,10,7,0,0,0,79,46
leloup_gonze_goldbeter_1999_b,models_cellml2/circadian_rhythms/leloup_gonze_goldbeter_1999_b.cellml,circadian_rhythms,circadian rhythms | gene regulation | signal transduction,4,3,1,3,0,0,0,26,15
dempsher_gann_phair_1984,models_cellml2/endocrine/dempsher_gann_phair_1984.cellml,endocrine,endocrine,15,13,2,13,0,0,0,100,46
maleckar_greenstein_trayanova_giles_2009,models_cellml2/electrophysiology/maleckar_greenstein_trayanova_giles_2009.cellml,electrophysiology,electrophysiology,100,30,70,30,0,0,0,308,152
viswanathan_shaw_rudy_1999_b,models_cellml2/calcium_dynamics/viswanathan_shaw_rudy_1999_b.cellml,calcium_dynamics,calcium dynamics | electrophysiology,117,25,92,25,0,0,0,352,180
borghans_dupont_goldbeter_1997c,models_cellml2/calcium_dynamics/borghans_dupont_goldbeter_1997c.cellml,calcium_dynamics,calcium dynamics,8,3,5,3,0,0,0,45,23
butera_single_cell_1999,models_cellml2/neurobiology/butera_single_cell_1999.cellml,neurobiology,neurobiology,20,4,16,4,0,0,0,83,50
borghans_dupont_goldbeter_1997a,models_cellml2/calcium_dynamics/borghans_dupont_goldbeter_1997a.cellml,calcium_dynamics,calcium dynamics,8,3,5,3,0,0,0,43,22
guyton_circulatory_dynamics_2008,models_cellml2/cardiovascular_circulation/guyton_circulatory_dynamics_2008.cellml,cardiovascular_circulation,cardiovascular circulation,72,5,67,5,0,0,0,246,113
mazhari_greenstein_winslow_marban_nuss_2001,models_cellml2/electrophysiology/mazhari_greenstein_winslow_marban_nuss_2001.cellml,electrophysiology,electrophysiology,13,5,8,5,0,0,0,53,17
shannon_wang_puglisi_weber_bers_2004_a,models_cellml2/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_a.cellml,calcium_dynamics,calcium dynamics,164,39,125,39,0,0,0,508,288
mears_sheppard_atwater_rojas_bertram_sherman_1997,models_cellml2/calcium_dynamics/mears_sheppard_atwater_rojas_bertram_sherman_1997.cellml,calcium_dynamics,calcium dynamics | electrophysiology,30,5,25,5,0,0,0,121,67
sarkar_lauffenburger_2003,models_cellml2/signal_transduction/sarkar_lauffenburger_2003.cellml,signal_transduction,signal transduction,12,11,1,11,0,0,0,99,36
kholodenko_demin_moehren_hoek_1999,models_cellml2/signal_transduction/kholodenko_demin_moehren_hoek_1999.cellml,signal_transduction,signal transduction,55,23,32,23,0,0,0,273,106
lemon_2003,models_cellml2/calcium_dynamics/lemon_2003.cellml,calcium_dynamics,calcium dynamics,17,7,10,7,0,0,0,149,54
gall_susa_1999_a,models_cellml2/calcium_dynamics/gall_susa_1999_a.cellml,calcium_dynamics,calcium dynamics | electrophysiology,12,3,9,3,0,0,0,72,41
chen_popel_2006,models_cellml2/signal_transduction/chen_popel_2006.cellml,signal_transduction,signal transduction,17,15,2,15,0,0,0,151,39
mcallister_noble_tsien_1975_b,models_cellml2/electrophysiology/mcallister_noble_tsien_1975_b.cellml,electrophysiology,electrophysiology,41,10,31,10,0,0,0,116,55
maltsev_2009_steady_state,models_cellml2/electrophysiology/maltsev_2009_steady_state.cellml,electrophysiology,electrophysiology,119,29,90,29,0,0,0,338,192
ciliberto_petrus_tyson_sible_2003,models_cellml2/cell_cycle/ciliberto_petrus_tyson_sible_2003.cellml,cell_cycle,cell cycle,19,13,6,13,0,0,0,186,43
rubin_2009,models_cellml2/neurobiology/rubin_2009.cellml,neurobiology,neurobiology,33,8,25,8,0,0,0,213,83
nowak_bangham_1996b,models_cellml2/immunology/nowak_bangham_1996b.cellml,immunology,immunology,4,4,0,4,0,0,0,25,14
overgaard_baseline_2007,models_cellml2/metabolism/overgaard_baseline_2007.cellml,metabolism,PKPD | metabolism,10,2,8,2,0,0,0,50,21
komarova_wodarz_2003_simple,models_cellml2/immunology/komarova_wodarz_2003_simple.cellml,immunology,immunology,4,2,2,2,0,0,0,37,13
fink_noble_virag_varro_giles_2008,models_cellml2/electrophysiology/fink_noble_virag_varro_giles_2008.cellml,electrophysiology,electrophysiology,105,27,78,27,0,0,0,339,167
niederer_smith_2007,models_cellml2/electrophysiology/niederer_smith_2007.cellml,electrophysiology,electrophysiology,219,26,193,26,0,0,0,673,355
aslanidi_atrial_model_2009_LindbladCa_corrected,models_cellml2/electrophysiology/aslanidi_atrial_model_2009_LindbladCa_corrected.cellml,electrophysiology,electrophysiology,131,29,102,29,0,0,0,307,157
schenzle_1994,models_cellml2/immunology/schenzle_1994.cellml,immunology,immunology,9,5,4,5,0,0,0,41,23
grossman_feinberg_kuznetsov_dimitrov_paul_1998,models_cellml2/immunology/grossman_feinberg_kuznetsov_dimitrov_paul_1998.cellml,immunology,immunology,15,7,8,7,0,0,0,73,22
komarova_2005,models_cellml2/endocrine/komarova_2005.cellml,endocrine,endocrine,9,3,6,3,0,0,0,55,19
komarova_2003b,models_cellml2/endocrine/komarova_2003b.cellml,endocrine,endocrine,8,3,5,3,0,0,0,54,19
haugh_2004,models_cellml2/endocrine/haugh_2004.cellml,endocrine,endocrine,7,4,3,4,0,0,0,58,20
cloutier_2009_e,models_cellml2/metabolism/cloutier_2009_e.cellml,metabolism,metabolism,26,7,19,7,0,0,0,138,69
chay_lee_fan_1995,models_cellml2/calcium_dynamics/chay_lee_fan_1995.cellml,calcium_dynamics,calcium dynamics | electrophysiology,10,5,5,5,0,0,0,44,25
