row_index,model_name_raw,file_raw,domain_raw,model_name,domain,output_dir,copied_cellml,generated_py_file,generated_py_size,validate_returncode,export_returncode,underconstrained,undefined_variables,status
0,dawson_lea_irvine_2003,models_cellml2/calcium_dynamics/dawson_lea_irvine_2003.cellml,calcium_dynamics,dawson_lea_irvine_2003,calcium_dynamics,exported_cellml_models/calcium_dynamics/dawson_lea_irvine_2003,exported_cellml_models/calcium_dynamics/dawson_lea_irvine_2003/dawson_lea_irvine_2003.cellml,,0,0,0.0,True,* R in component R | * V1 in component V1 | * V4 in component V4 | * V2 in component V2 | * V5 in component V5 | * V6 in component V6 | * V7 in component V7 | * V3 in component V3 | * V8 in component V8 | * V9 in component V9 | * V10 in component V10 | * d/dt R in component R | * d/dt R__ in component R__ | * d/dt I in component I | * d/dt O1 in component O1 | * d/dt O2 in component O2 | * d/dt R_ in component R_ | * d/dt C1 in component C1 | * d/dt Ca_ER in component Ca_ER | * d/dt Ca_cyt in component Ca_cyt | * d/dt Ca_L in component Ca_L,export_failed
1,goodwin_1965_a,models_cellml2/circadian_rhythms/goodwin_1965_a.cellml,circadian_rhythms,goodwin_1965_a,circadian_rhythms,exported_cellml_models/circadian_rhythms/goodwin_1965_a,exported_cellml_models/circadian_rhythms/goodwin_1965_a/goodwin_1965_a.cellml,exported_cellml_models/circadian_rhythms/goodwin_1965_a/goodwin_1965_a.py,3116,0,0.0,False,,success_clean
2,maldonado_2006,models_cellml2/endocrine/maldonado_2006.cellml,endocrine,maldonado_2006,endocrine,exported_cellml_models/endocrine/maldonado_2006,exported_cellml_models/endocrine/maldonado_2006/maldonado_2006.cellml,exported_cellml_models/endocrine/maldonado_2006/maldonado_2006.py,11462,0,0.0,False,,success_clean
3,riccobene_omann_linderman_1999,models_cellml2/signal_transduction/riccobene_omann_linderman_1999.cellml,signal_transduction,riccobene_omann_linderman_1999,signal_transduction,exported_cellml_models/signal_transduction/riccobene_omann_linderman_1999,exported_cellml_models/signal_transduction/riccobene_omann_linderman_1999/riccobene_omann_linderman_1999.cellml,exported_cellml_models/signal_transduction/riccobene_omann_linderman_1999/riccobene_omann_linderman_1999.py,5488,0,0.0,False,,success_clean
4,olsen_hauser_kummer_2003,models_cellml2/metabolism/olsen_hauser_kummer_2003.cellml,metabolism,olsen_hauser_kummer_2003,metabolism,exported_cellml_models/metabolism/olsen_hauser_kummer_2003,exported_cellml_models/metabolism/olsen_hauser_kummer_2003/olsen_hauser_kummer_2003.cellml,exported_cellml_models/metabolism/olsen_hauser_kummer_2003/olsen_hauser_kummer_2003.py,9009,0,0.0,False,,success_clean
5,tham_2008,models_cellml2/PKPD/tham_2008.cellml,PKPD,tham_2008,PKPD,exported_cellml_models/PKPD/tham_2008,exported_cellml_models/PKPD/tham_2008/tham_2008.cellml,exported_cellml_models/PKPD/tham_2008/tham_2008.py,5524,0,0.0,False,,success_clean
6,pedersen_bertram_sherman_2005,models_cellml2/endocrine/pedersen_bertram_sherman_2005.cellml,endocrine,pedersen_bertram_sherman_2005,endocrine,exported_cellml_models/endocrine/pedersen_bertram_sherman_2005,exported_cellml_models/endocrine/pedersen_bertram_sherman_2005/pedersen_bertram_sherman_2005.cellml,exported_cellml_models/endocrine/pedersen_bertram_sherman_2005/pedersen_bertram_sherman_2005.py,26146,0,0.0,False,,success_clean
7,wanant_quon_2000_b,models_cellml2/signal_transduction/wanant_quon_2000_b.cellml,signal_transduction,wanant_quon_2000_b,signal_transduction,exported_cellml_models/signal_transduction/wanant_quon_2000_b,exported_cellml_models/signal_transduction/wanant_quon_2000_b/wanant_quon_2000_b.cellml,exported_cellml_models/signal_transduction/wanant_quon_2000_b/wanant_quon_2000_b.py,6269,0,0.0,False,,success_clean
8,martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000,models_cellml2/metabolism/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000.cellml,metabolism,martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000,metabolism,exported_cellml_models/metabolism/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000,exported_cellml_models/metabolism/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000.cellml,exported_cellml_models/metabolism/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000/martinov_vitvitsky_mosharov_banerjee_ataullakhanov_2000.py,6722,0,0.0,False,,success_clean
9,wodarz_sierro_klenerman_2007_b,models_cellml2/immunology/wodarz_sierro_klenerman_2007_b.cellml,immunology,wodarz_sierro_klenerman_2007_b,immunology,exported_cellml_models/immunology/wodarz_sierro_klenerman_2007_b,exported_cellml_models/immunology/wodarz_sierro_klenerman_2007_b/wodarz_sierro_klenerman_2007_b.cellml,exported_cellml_models/immunology/wodarz_sierro_klenerman_2007_b/wodarz_sierro_klenerman_2007_b.py,7692,0,0.0,False,,success_clean
