t,ADP_m,NADH,ISOC,alpha_KG,SCoA,Suc,FUM,MAL,OAA,ASP,Ca_m,delta_psi_m
0.0,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.01,0.13442401292493367,0.009218407085404086,0.11565968300389515,0.01133878850966083,0.01001948571666554,0.008866328513616586,0.011129179915149997,0.009980335925602601,0.008639084807656447,0.011197256759538256,0.009999997684072812,0.07428513337314822
0.02,0.16228791759325978,0.008622766056073455,0.20365872900207527,0.012657989960406764,0.010041346887462567,0.007830851717463422,0.012151631008061489,0.009966978877778823,0.007447031605259703,0.012230192052034655,0.00999999096472105,0.12754382457794014
0.03,0.1854838022403791,0.008156320634373248,0.27698434147493894,0.013899903302048554,0.01006557381635003,0.006890699566119045,0.013071065554352237,0.009958767626759905,0.006403933106846314,0.013119260475731148,0.00999997418336358,0.17272238438094661
0.04,0.19594498651761583,0.00834842675553551,0.3380931626011646,0.015050091516022835,0.010092113797073001,0.006042046783934673,0.013892070792802294,0.009954587686568702,0.005492325927539097,0.01388251230061152,0.009999943256064566,0.19216922444662324
0.05,0.19786699411325817,0.008793379056995653,0.3890235761972401,0.016107058511918355,0.010120946162765255,0.005280235378730363,0.0146199595100422,0.009953385262451701,0.004696893332731916,0.014535888579604181,0.009999906537376785,0.19572162567519427
0.06,0.19814680734985454,0.009270721695169072,0.4314681260383974,0.017077555061768404,0.01015194575915895,0.004600091089392639,0.015260610722326763,0.0099541812416329,0.004004201969553234,0.015093480306113866,0.009999868597571415,0.19643572191045663
0.07,0.19809976088520867,0.00976374650341729,0.4668357431879792,0.01797057913926747,0.010184956058553612,0.003996025021070974,0.015820304983858655,0.009956085094447004,0.0034024678098800456,0.015567755632983323,0.009999830397209296,0.19659283700431848
0.08,0.19798207414282892,0.010268205150306738,0.4963006711757374,0.018795145998492205,0.010219828954270937,0.0034621670256058316,0.01630555281802789,0.009958308062582154,0.002881347032595163,0.015969758647763024,0.009999792136332767,0.19663353405395717
0.09,0.19784723303203433,0.010782194142935306,0.5208419085529509,0.019559739317480094,0.010256431638864406,0.0029925228206484117,0.016722930723223537,0.009960174921053696,0.0024317477295592122,0.016309282617197003,0.009999753857283926,0.1966495922384168
0.1,0.19770662516861948,0.011304526461845658,0.5412757912430115,0.020272158612944003,0.010294647202145192,0.002581120505488226,0.017078934415052496,0.00996113341510022,0.002045658470074243,0.01659502012253488,0.009999715569032624,0.19666045556735387
0.11,0.19756272687725562,0.011834306505656521,0.5582830543012962,0.020939493112783758,0.010334373805199472,0.002222136122571034,0.017379855230789415,0.00996076030178747,0.0017159901355244082,0.016834691945051675,0.009999677273457123,0.19667025209757824
0.12,0.1974161219529579,0.012370778501205092,0.5724313868593536,0.021568142055851,0.01037552349706641,0.0019099944609665498,0.01763168244987091,0.009958762857645733,0.0014364278361835706,0.017035156376673632,0.009999638970930381,0.19667985559901774
0.13,0.19726699204499773,0.012913257511623168,0.584194177483228,0.02216385070058324,0.010418020961781313,0.001639443962073514,0.017840032226480534,0.0099549748326176,0.0012012921717785812,0.017202499786085988,0.009999600661507558,0.19668944873410973
0.14,0.197115436760916,0.013461094809835521,0.5939662634906461,0.022731748863150932,0.010461802268574204,0.0014056076852567913,0.018010100916675202,0.009949346141570899,0.0010054101280256081,0.017342110535141873,0.009999562345181115,0.19669907427464664
0.15,0.19696152072913617,0.0140136638505675,0.6020768989076787,0.023276385155321343,0.010506813670889348,0.0012040118890829453,0.018146640936467,0.009941926354399888,0.000844003803711473,0.017458736401311018,0.00999952402191826,0.1967087163769982
0.16,0.19680533210572293,0.014570358564825315,0.6088007063013453,0.023801756193631066,0.010553010436333304,0.0010305969026433973,0.01825395430966666,0.009932842917852817,0.00071260418943494,0.01755652987265582,0.009999485691707506,0.1967184016665037
0.17,0.19664693251325227,0.015130601124667109,0.6143667636910882,0.02431133169152618,0.01060035571718746,0.0008817133396216774,0.018335900665056054,0.009922276118573986,0.0006070022248977055,0.017639084360865906,0.009999447354518718,0.19672811308008087
0.18,0.19648639308822569,0.015693853000997498,0.6189661912288417,0.024808079256830786,0.010648819460295068,0.0007541074934589131,0.01839591572463307,0.009910433635737743,0.0005232421427260815,0.017709466869089165,0.009999409010331745,0.19673785227694807
0.19,0.19632378151699265,0.016259626619013454,0.6227584893598147,0.02529449320177108,0.010698377360561877,0.0006448990603331608,0.01843703708889839,0.009897527625590593,0.00045765255425545725,0.01777025244130172,0.009999370659126029,0.19674761753394823
0.2,0.19615916153009816,0.01682749388513646,0.6258767628687836,0.025772630036632164,0.010749009888248682,0.0005515543315676128,0.01846193411659813,0.009883757011935631,0.0004068982827403096,0.01782356369389891,0.009999332300880116,0.19675740314873005
0.21,0.19599260217613387,0.017397090200436324,0.6284321982591782,0.02624415293037271,0.010800701373214028,0.00047185596738502726,0.01847294092424065,0.00986929559946243,0.00036803311009436844,0.017871118326996227,0.00999929393557895,0.1967672157571804
0.22,0.19582416967790806,0.017968113536236424,0.6305176108580026,0.0267103814645025,0.010853439222950048,0.00040387292818927457,0.01847208877786206,0.009854286929617637,0.00033853022443562544,0.017914281024167655,0.009999255563207328,0.19677706049505206
0.23,0.19565390759440549,0.01854032003226062,0.6322105324596122,0.02717234468157265,0.010907213230457777,0.0003459299697299274,0.018461138713180062,0.009838843555599571,0.000316285851492649,0.01795411822174425,0.009999217183733965,0.19678690684991598
0.24,0.1954818970876047,0.019113516303055363,0.6335757248760181,0.02763083302228142,0.01096201500568239,0.00029657871742003715,0.018441612293983268,0.009823049780627001,0.0002995943117732952,0.017991451358911156,0.009999178797159473,0.19679679305824424
0.25,0.19530818204654377,0.019687552202992096,0.6346672749718762,0.02808644563497238,0.011017837517367448,0.0002545707307545613,0.018414820162516377,0.009806966002702741,0.0002871044516531843,0.018026905213114893,0.009999140403456576,0.19680669657098931
0.26,0.19513281907076063,0.020262312317573177,0.6355303719557863,0.028539632243691278,0.011074674727804556,0.00021883218369357914,0.018381888818021955,0.00979063362272734,0.00027776558529909356,0.018060950634692683,0.00999910200260988,0.19681662054091295
0.27,0.19495586119133582,0.020837709006557945,0.6362027595187711,0.028990727422528974,0.011132521316906325,0.0001884414952688134,0.01834378424590735,0.009774079619696,0.00027077322117923083,0.018093939511853518,0.009999063594602802,0.1968265655793042
0.28,0.19477735934135246,0.02141367620925255,0.6367159822202955,0.029439978693059875,0.011191372470936616,0.00016260861929669426,0.01830133377699029,0.009757320533642517,0.00026551803493961697,0.018126133465378946,0.00999902517941868,0.19683653218331346
0.29,0.19459736222430726,0.021990164616402956,0.6370963585940532,0.029887567685601333,0.011251223730762976,0.0001406581700496792,0.018255243891823453,0.009740365571889488,0.0002615439941147972,0.018157725477151998,0.009998986757040583,0.19684652040586215
0.3,0.19441591674940736,0.022567137668990142,0.6373658328761519,0.030333627054719238,0.011312070876801554,0.00012201377171621121,0.018206116728792222,0.009723219087737168,0.00025851242894669736,0.018188857220449207,0.009998948327451617,0.19685653047942123
0.31,0.19423306765544043,0.023144568170279843,0.6375427727640752,0.030778254400873954,0.011373909840349769,0.00010618245158655234,0.0181544665427671,0.009705882540891088,0.0002561708476432846,0.018219633378747775,0.00999890989063452,0.19686656196176197
0.32,0.1940488589800704,0.023722436154156628,0.637642510381472,0.03122152072835627,0.011436736651918585,9.2743802041919e-05,0.01810073113921434,0.00968835563389867,0.0002543334107785938,0.018250130377883107,0.0099988714465728,0.19687661616029617
0.33,0.19386333290184138,0.024300727149980127,0.6376778020376013,0.03166347737006785,0.011500547400321134,8.13404775283248e-05,0.018045281894616703,0.009670637226003786,0.0002528645239075146,0.018280403543609523,0.009998832995249753,0.19688669398814304
