t,m,x,z,h
0.0,0.0,0.0,1e-08,0.0
0.01,6.667273965910476e-05,0.012617764349930451,2.0719175432503244e-05,3.060419850602675e-122
0.02,0.000335673599878359,0.017273274635485187,0.0002538264291587121,6.185312088224762e-96
0.03,0.0006192354793035948,0.01903885108555269,0.0008319614636181621,9.650370048743159e-84
0.04,0.0008153833391407111,0.019782197145135298,0.0016762624707341062,3.76404244543623e-76
0.05,0.0009345657217907585,0.020174452059751137,0.002667977773185743,5.082875141248374e-71
0.06,0.0010086579299244303,0.020449110969744153,0.003725922228584948,2.901108833761694e-67
0.07,0.0010605834735645582,0.020684814559932384,0.0048071936256419145,2.1247973113607455e-64
0.08,0.0011027285420906923,0.020907196865719013,0.005892110863214195,4.042105942713965e-62
0.09,0.0011409594973994588,0.021124339962524285,0.0069726426888625515,3.201934133893383e-60
0.1,0.0011778482381340882,0.02133873471898401,0.008046028937248047,1.3484172012595025e-58
0.11,0.0012144676265930959,0.021551169420573713,0.009111735412627034,3.383840124317693e-57
0.12,0.001251254012503222,0.02176195389046071,0.010170112674702636,6.181099824810446e-56
0.13,0.0012883877804841309,0.021971274250978723,0.01122184243285825,7.931943263781902e-55
0.14,0.001325946914362767,0.02217928988633097,0.012267724653858801,7.976033477357763e-54
0.15,0.0013639754039107294,0.022386161094836498,0.01330859292108211,6.712103383841534e-53
0.16,0.0014025048036331782,0.02259204766621006,0.014345284077711289,4.73912012336069e-52
0.17,0.0014415625559554607,0.02279710391599989,0.015378602207048961,2.7727073429514493e-51
0.18,0.0014811774926087296,0.023001491285925293,0.016409385129466894,1.509076507405992e-50
0.19,0.0015213796145535988,0.023205369300757353,0.017438460195335518,7.621525251834926e-50
0.2,0.0015621991482341118,0.023408889322687938,0.01846661331070229,3.274043510473036e-49
0.21,0.0016036705280620556,0.023612213657902153,0.019494689139310892,1.3330985760896136e-48
0.22,0.001645827993608749,0.023815493373015036,0.02052347688424913,4.999381550813525e-48
0.23,0.0016887094087746147,0.024018887160928225,0.021553807441153566,1.7803082297426964e-47
0.24,0.0017323545104441403,0.02422255220409247,0.022586506822055277,5.995329179046121e-47
0.25,0.001776805514415245,0.024426647093354306,0.023622411793450086,1.9791168536437044e-46
0.26,0.0018221068795502544,0.024631331905693592,0.024662369993709327,6.091172280417784e-46
0.27,0.0018683064635228407,0.02483676891681849,0.025707243837302825,1.7801308368653614e-45
0.28,0.0019154557158578291,0.025043123218788217,0.02675791272944545,4.9904313096015933e-45
0.29,0.0019636087274312935,0.025250563092785606,0.027815276985615686,1.3403365342692275e-44
0.3,0.002012822813115573,0.025459260148868443,0.02888026167526233,3.50676147134545e-44
0.31,0.0020631587074927916,0.025669390504266833,0.02995381944210809,8.945825401818041e-44
0.32,0.002114681797688348,0.02588113540156309,0.031036932245670844,2.2249649959875553e-43
0.33,0.002167461998878838,0.02609468151741171,0.03213061585857348,5.5011161215755314e-43
0.34,0.0022215734871502166,0.026310221600330606,0.033235924937573304,1.3044539652648317e-42
0.35000000000000003,0.0022770972462680034,0.026527954851202802,0.03435395520077736,3.07194948725501e-42
0.36,0.0023341195910831485,0.026748089314002244,0.035485853590762555,7.827854937356897e-42
0.37,0.0023927330087368443,0.026970841039810452,0.036632815546498686,1.82628048673633e-41
0.38,0.0024530370768239256,0.02719643394422402,0.037796088091634004,3.9059015647417673e-41
0.39,0.002515135822038239,0.027425103758487446,0.03897699258222336,8.318534481696478e-41
0.4,0.002579143390268654,0.027657097034478093,0.04017691400872344,1.7892910473331857e-40
0.41000000000000003,0.0026451823113012606,0.027892672456919846,0.041397311569306844,3.7561964636670615e-40
0.42,0.0027133868541154484,0.028132103479209615,0.04263973514267562,7.96196260122415e-40
0.43,0.0027839003818887448,0.028375676533711286,0.043905814897006144,1.6450198452766823e-39
0.44,0.002856879288935033,0.02862369581952966,0.04519729251356382,3.37818060894605e-39
0.45,0.0029324927651354837,0.028876483052767056,0.046516020195873975,6.912341623825726e-39
0.46,0.003010924353897629,0.02913438005159178,0.0478639748924113,1.4226106830053637e-38
