t,V,n,Ca_i
0.0,-76.0,0.1,0.52
0.01,-75.997164776697,0.09945864924489563,0.5199998603078164
0.02,-75.99433395044925,0.09892025795134742,0.5199997206231716
0.03,-75.99150749129176,0.0983848103535213,0.5199995809460556
0.04,-75.98868536497662,0.09785228837848077,0.5199994412764571
0.05,-75.98586755350722,0.09732268237564078,0.5199993016143704
0.06,-75.9830540214549,0.09679597355701004,0.5199991619597836
0.07,-75.98024473506864,0.09627214405702282,0.5199990223126856
0.08,-75.97743966059741,0.09575117601011339,0.5199988826730654
0.09,-75.97463876429022,0.095233051550716,0.5199987430409116
0.1,-75.9718420144326,0.09471775380863848,0.5199986034162141
0.11,-75.96904938872598,0.09420527051565179,0.5199984637989652
0.12,-75.96626085940984,0.09369558673403967,0.5199983241891559
0.13,-75.96347639769799,0.09318868702476485,0.5199981845867766
0.14,-75.9606959748042,0.09268455594879006,0.5199980449918178
0.15,-75.95791956257104,0.09218317825370274,0.5199979054042702
0.16,-75.95514713365412,0.09168453892838413,0.5199977658241246
0.17,-75.95237865993221,0.09118862273115239,0.5199976262513718
0.18,-75.94961411326854,0.09069541441572863,0.5199974866860025
0.19,-75.94685346555231,0.09020489874587222,0.5199973471280074
0.2,-75.94409669041575,0.08971706116043429,0.5199972075773776
0.21,-75.9413437615317,0.08923188711399517,0.5199970680341044
0.22,-75.93859465179315,0.08874936175908707,0.5199969284981789
0.23,-75.93584933409308,0.08826947024824222,0.5199967889695919
0.24,-75.9331077844908,0.08779219897823334,0.5199966494483356
0.25,-75.93036997027336,0.08731753089870606,0.519996509934399
0.26,-75.92763587167224,0.08684545404589161,0.5199963704277757
0.27,-75.92490546198668,0.08637595373198148,0.5199962309284565
0.28,-75.92217871472616,0.08590901535175613,0.5199960914364328
0.29,-75.91945560415,0.08544462459969951,0.5199959519516959
0.3,-75.91673610596266,0.08498276774969192,0.5199958124742379
0.31,-75.91402019506785,0.08452343075152693,0.5199956730040501
0.32,-75.91130784657214,0.0840665996346345,0.5199955335411245
0.33,-75.90859903585724,0.0836122605371651,0.5199953940854526
0.34,-75.90589373857992,0.0831603997059896,0.5199952546370264
0.35000000000000003,-75.90319193067218,0.08271100349669937,0.519995115195838
0.36,-75.90049358834108,0.08226405837360626,0.5199949757618791
0.37,-75.89779868806883,0.08181955090974251,0.5199948363351421
0.38,-75.8951072065451,0.08137746776260905,0.5199946969156192
0.39,-75.8924191195882,0.08093779528755779,0.519994557503302
0.4,-75.88973440366222,0.08050052008151094,0.5199944180981828
0.41000000000000003,-75.88705303579214,0.0800656289525074,0.519994278700254
0.42,-75.88437499322839,0.07963310879949496,0.5199941393095079
0.43,-75.88170025344682,0.07920294661233025,0.5199939999259368
0.44,-75.8790287941487,0.07877512947177885,0.5199938605495333
0.45,-75.87636059326071,0.07834964454951518,0.5199937211802901
0.46,-75.87369562893502,0.07792647910812255,0.5199935818181997
0.47000000000000003,-75.87103387954916,0.07750562050109319,0.5199934424632547
0.48,-75.8683753230905,0.07708705594948523,0.519993303115448
0.49,-75.86571993711567,0.07667077252717959,0.5199931637747719
0.5,-75.86306770013218,0.07625675766218612,0.5199930244412192
0.51,-75.8604185908346,0.0758449988595127,0.5199928851147826
0.52,-75.85777258809344,0.07543548369709767,0.5199927457954552
0.53,-75.85512967095507,0.07502819982580985,0.5199926064832296
0.54,-75.85248981864167,0.07462313496944858,0.5199924671780992
0.55,-75.8498530105514,0.07422027692474362,0.5199923278800568
0.56,-75.8472192262582,0.07381961356135525,0.5199921885890955
0.5700000000000001,-75.84458844547046,0.07342113281009448,0.5199920493052084
0.58,-75.8419606477654,0.07302482258753172,0.5199919100283887
0.59,-75.83933581305453,0.07263067092814192,0.5199917707586297
0.6,-75.83671392146675,0.07223866595113013,0.5199916314959245
0.61,-75.83409495329384,0.07184879584492411,0.5199914922402665
0.62,-75.83147888899036,0.07146104886717447,0.5199913529916492
0.63,-75.82886570917367,0.07107541334475456,0.5199912137500659
0.64,-75.82625539462398,0.07069187767376048,0.51999107451551
0.65,-75.82364792628431,0.07031043031951113,0.5199909352879752
0.66,-75.82104328604608,0.06993106005412333,0.5199907960674552
0.67,-75.81844145305682,0.06955375483991287,0.5199906568539433
0.68,-75.81584240972664,0.06917850364581848,0.5199905176474331
0.6900000000000001,-75.81324613747644,0.0688052951616208,0.5199903784479185
0.7000000000000001,-75.81065261788733,0.06843411814553205,0.5199902392553932
0.71,-75.80806183269932,0.06806496142380619,0.519990100069851
0.72,-75.80547376381006,0.0676978138903491,0.5199899608912857
0.73,-75.80288839327352,0.06733266450632869,0.5199898217196913
0.74,-75.80030570329872,0.06696950229978509,0.5199896825550617
0.75,-75.7977256762484,0.06660831636524076,0.5199895433973909
0.76,-75.79514829448941,0.06624909581670099,0.5199894042466728
0.77,-75.79257354004197,0.06589182967759472,0.5199892651029014
0.78,-75.79000139554321,0.06553650718327743,0.5199891259660709
0.79,-75.78743184383109,0.06518311765044714,0.5199889868361752
0.8,-75.78486486788331,0.06483165045796162,0.5199888477132086
0.81,-75.78230045081588,0.06448209504639102,0.5199887085971655
0.8200000000000001,-75.77973857588162,0.06413444091757053,0.51998856948804
0.8300000000000001,-75.77717922646865,0.06378867763415308,0.5199884303858263
0.84,-75.77462238609895,0.06344479481916196,0.519988291290519
0.85,-75.77206803842695,0.06310278215554348,0.5199881522021126
0.86,-75.76951616723794,0.06276262938571965,0.5199880131206013
0.87,-75.76696675644665,0.062424326311140865,0.5199878740459797
0.88,-75.76441979009583,0.06208786279183849,0.5199877349782424
0.89,-75.76187525235468,0.06175322874597757,0.5199875959173839
0.9,-75.75933312751746,0.06142041414940951,0.5199874568633988
0.91,-75.756793400002,0.06108940903522468,0.5199873178162818
0.92,-75.75425605434815,0.060760203493305125,0.5199871787760276
0.93,-75.75172107521644,0.060432787669877176,0.519987039742631
0.9400000000000001,-75.7491884473865,0.06010715176706417,0.5199869007160868
0.9500000000000001,-75.74665815575564,0.05978328604243905,0.5199867616963897
0.96,-75.74413018533737,0.05946118080857707,0.5199866226835346
0.97,-75.74160452125992,0.05914082643260842,0.5199864836775163
0.98,-75.73908114876474,0.05882221333577093,0.5199863446783299
0.99,-75.7365600532051,0.05850533199296267,0.5199862056859703
1.0,-75.73404122004456,0.05819017293229468,0.5199860667004326
1.01,-75.73152463485553,0.057876726734643565,0.5199859277217116
