t,V,n,s,Ca_i,Ca_ret
0.0,-76.0,0.1,0.1,0.52,0.7
0.01,-75.99699189982682,0.09995002360872503,0.10000046931994082,0.5188981876812819,0.7010378120409418
0.02,-75.99399266756168,0.09990007220559922,0.10000093865858335,0.5177988266185805,0.7020734099906546
0.03,-75.99100222208719,0.09985014577858839,0.10000140801587815,0.5167019107968379,0.7031067985887489
0.04,-75.98802047124252,0.09980024431381258,0.10000187739176893,0.5156074333130876,0.7041379832852431
0.05,-75.98504737141505,0.09975036780380908,0.10000234678622855,0.5145153906020737,0.7051669669411802
0.06,-75.98208283160834,0.09970051623443633,0.10000281619920118,0.5134257757021509,0.7061937550754822
0.07,-75.97912676446194,0.09965068959233525,0.10000328563063335,0.5123385820024426,0.7072183529179955
0.08,-75.97617908261536,0.09960088786414678,0.1000037550804716,0.5112538028920726,0.7082407656985665
0.09,-75.97323969870813,0.09955111103651187,0.10000422454866245,0.5101714317601643,0.7092609986470414
0.1,-75.9703085253798,0.09950135909607145,0.10000469403515244,0.5090914619958414,0.7102790569932667
0.11,-75.96738547526988,0.09945163202946646,0.1000051635398881,0.5080138869882275,0.7112949459670886
0.12,-75.96447046101792,0.09940192982333783,0.10000563306281597,0.506938700126446,0.7123086707983535
0.13,-75.96156340536731,0.0993522524650843,0.1000061026038885,0.505865895306091,0.7133202363556851
0.14,-75.95866426785109,0.0993025999448639,0.10000657216307969,0.504795468266884,0.7143296461924455
0.15,-75.95577297761092,0.09925297225055522,0.10000704174034576,0.5037274132251407,0.7153369049485147
0.16,-75.95288945960098,0.09920336936972282,0.10000751133564047,0.5026617241872721,0.7163420174134796
0.17,-75.95001363877545,0.09915379128993125,0.10000798094891755,0.501598395159689,0.7173449883769275
0.18,-75.94714544008846,0.09910423799874504,0.10000845058013078,0.5005374201488023,0.7183458226284454
0.19,-75.9442847884942,0.09905470948372877,0.10000892022923387,0.49947879316102317,0.7193445249576206
0.2,-75.94143160894683,0.09900520573244696,0.1000093898961806,0.49842250820276246,0.7203411001540401
0.21,-75.93858582640051,0.0989557267324642,0.1000098595809247,0.49736855928043106,0.721335553007291
0.22,-75.93574737726091,0.09890627247143985,0.1000103292834263,0.49631694072949956,0.7223278881289033
0.23,-75.93291620946083,0.0988568429371288,0.10001079900365185,0.49526764721667216,0.7233181099511727
0.24,-75.93009225486783,0.09880743811715291,0.10001126874155893,0.4942206729470172,0.7243062231561909
0.25,-75.92727544507217,0.09875805799913166,0.10001173849710498,0.4931760121176339,0.7252922324303618
0.26,-75.92446571166407,0.09870870257068459,0.10001220827024743,0.4921336589256213,0.7262761424600893
0.27,-75.92166298623377,0.09865937181943121,0.10001267806094369,0.49109360756807846,0.7272579579317773
0.28,-75.91886720037152,0.09861006573299103,0.1000131478691512,0.4900558522421045,0.7282376835318296
0.29,-75.91607828566757,0.09856078429898357,0.10001361769482739,0.4890203871447986,0.7292153239466502
0.3,-75.91329633255694,0.09851152750647355,0.10001408753801858,0.48798721121572874,0.7301908812251294
0.31,-75.91052091099323,0.09846229533979027,0.10001455739847981,0.4869563078549744,0.7311643660584096
0.32,-75.90775220861377,0.09841308778888279,0.10001502727631179,0.48592767890417354,0.7321357788814014
0.33,-75.90499015812999,0.09836390484138083,0.10001549717147258,0.4849013185938993,0.7331051243618921
0.34,-75.90223469294428,0.09831474648492038,0.10001596708392065,0.48387722117535464,0.7340724071561959
0.35000000000000003,-75.89948574715,0.09826561270714375,0.10001643701361479,0.48285538092037233,0.7350376319091538
