t,V,Na_i,K_i,m,h,Ca_o,Ca_i,d,f_Ca,Ca_up,ActFrac,ProdFrac,Ca_rel,Ca_Calmod,Ca_Trop
0.0,-88.0,6.5,140.0,0.076,0.015,2.0,1e-05,0.0011,0.785,0.3,0.0,0.0,0.3,0.0005,0.0015
0.01,-88.68613098333036,6.499970661351198,140.00002368362303,0.0028591241183058983,0.6532794109720735,2.0001658297222433,1.173032202965674e-05,3.358056894437725e-07,0.02633754815314582,0.3170815318030128,0.0026323126299268914,0.0009599023581056557,0.3004626625249771,0.0005054952916712441,0.0010255105831044947
0.02,-89.3946751491735,6.499818092265232,140.00008528541272,0.002596909088906779,0.883984842232828,2.000306801775874,9.963176075449356e-06,5.798632325929062e-08,0.0008438346491009068,0.3216240375501888,0.0032204933206697157,0.0027644644215703727,0.3013089178363979,0.0004705065276283188,0.0008143888791917152
0.03,-89.911789353955,6.49960658469055,140.0001794475994,0.0024204681538347347,0.9592146051155859,2.000436476750601,9.016003587725723e-06,5.0596879362154215e-08,2.6086320369958654e-05,0.32177426208781523,0.0031750714163365067,0.004681967380511134,0.30219357240752015,0.00043010518007709653,0.0007104025056626353
0.04,-90.25580021654983,6.499362448285153,140.0002966926608,0.002309639360309076,0.9816940801484229,2.000559954669054,8.448741597073794e-06,4.621545191496664e-08,8.426477548375632e-07,0.3205995516532328,0.002960237816392619,0.0064965489615719805,0.3030131435576505,0.00039479048017018563,0.0006528732573982278
0.05,-90.47915248453016,6.4990978875556955,140.00042929946997,0.0022403619035870886,0.9881568987844905,2.000679570626135,8.080294715962122e-06,4.357462592723261e-08,7.358756914144515e-08,0.31922559290497715,0.0027305283166757515,0.00816251324490914,0.3037432059584435,0.00036663694575144086,0.0006176086531690271
0.06,-90.62488800889065,6.498819499283613,140.00057198210263,0.0021962638076449504,0.9900762062762872,2.000796575686708,7.828520413313292e-06,4.193635496061346e-08,4.775611798062328e-08,0.31803244362193833,0.0025327276263351827,0.00968908690977806,0.30438766102271286,0.0003450719718554561,0.0005943575332509892
0.07,-90.72160436970228,6.498531360125084,140.00072132462915,0.0021674713284760734,0.9907248860384597,2.000911739470617,7.651558316128303e-06,4.08859643529467e-08,4.518988401291274e-08,0.3171157119136743,0.0023756708717693155,0.011100032877950512,0.3049594253323999,0.0003288779814535992,0.0005783335810774953
0.08,-90.78704901772056,6.498236225147745,140.0008751404323,0.0021481999227546873,0.9909976249000751,2.0010255811829865,7.525449736868461e-06,4.0191875098533903e-08,4.390994245910342e-08,0.3164673984127651,0.002255649754346477,0.012419725882155282,0.30547280878732774,0.00031684989679576765,0.0005670243398498956
0.09,-90.83208431821826,6.497936048674811,140.00103201095612,0.0021350367718932397,0.9911411949204075,2.0011384689283283,7.435124673963081e-06,3.972200903633646e-08,4.305346676070237e-08,0.3160470059365405,0.002165753066349817,0.013668920061429017,0.3059407021854509,0.00030797754506820105,0.0005589543490761257
0.1,-90.86344604686916,6.497632248891242,140.0011909947003,0.0021259170452638493,0.9912291753722884,2.001250669786186,7.370469338402442e-06,3.9398451270512923e-08,4.246241095236267e-08,0.31580890165877007,0.002099161886320867,0.014864028461848538,0.3063737742069235,0.0003014667063542262,0.0005531778525863169
