t,Ca_i,Ca_SR,z_1,z_2,z_3,TRPN
0.0,0.0001,0.7,0.98859,0.0087302,0.0026566,0.0636364
0.01,0.00010300535798855017,0.6992882160317592,0.9870038979366398,0.008783496919905867,0.004189342875700679,0.06363636175035055
0.02,0.00010600637185301122,0.6985782339650892,0.9854215277676392,0.00883658003167943,0.00571850361587844,0.06363624708706407
0.03,0.00010900300764694082,0.697870050974908,0.9838428734430529,0.008889453907381474,0.007244094103301761,0.06363605614961336
0.04,0.00011199522654287027,0.697163663747357,0.9822679166071359,0.008942123740200002,0.008766127960067377,0.06363578910056769
0.05,0.00011498300828573961,0.696459070292751,0.9806966476619564,0.008994592128361338,0.010284612415564588,0.0636354460339779
0.06,0.000117966312923895,0.6957562670495886,0.979129047707552,0.009046864350919103,0.011799561557699938,0.06363502712249651
0.07,0.00012094510239639021,0.6950552506816324,0.9775650987432841,0.009098945461194309,0.013310988780869242,0.0636345325285966
0.08,0.00012391933864227904,0.6943560178526453,0.9760047827685144,0.009150840512507977,0.014818907479468308,0.06363396241475133
0.09,0.0001268889836006153,0.6936585652263899,0.9744480817826043,0.009202554558181125,0.01632333104789295,0.06363331694343378
0.1,0.00012985399959642642,0.6929628894741344,0.9728949779666278,0.009254092587505756,0.017824272757243038,0.06363259627642362
0.11,0.0001328143596234327,0.6922689874746045,0.9713454585243678,0.009305457819948924,0.01932174247059676,0.06363180055633286
0.12,0.00013577003472743277,0.6915768560686477,0.9697995097425463,0.009356653798117582,0.020815750673279048,0.06363092992927315
0.13,0.00013872099228981114,0.6908864920258553,0.9682571161827168,0.009407684672506795,0.022306309021180228,0.06362998454793978
0.14,0.00014166719969195234,0.6901978921158186,0.9667182624064335,0.009458554593611628,0.02379342917019062,0.063628964565028
0.15,0.0001446086243469305,0.6895110531018595,0.9651829329882446,0.009509267703494296,0.025277122770970776,0.06362787013340998
0.16,0.00014754523571783833,0.6888259713417213,0.9636511133432991,0.0095598275986914,0.026757401135865107,0.06362670141740076
0.17,0.00015047700324668899,0.6881426431973184,0.9621227888781029,0.009610237881348944,0.02823427558069676,0.06362545858119771
0.18,0.0001534038954460876,0.6874610652144401,0.9605979446180616,0.009660502400935541,0.029707757574669834,0.06362414178381039
0.19,0.00015632588082863932,0.6867812339388755,0.9590765655885813,0.009710625006919799,0.031177858586988433,0.06362275118424834
0.2,0.00015924292791469512,0.6861031459154585,0.95755863681825,0.009760609546972032,0.03264459008533431,0.06362128694154477
0.21,0.0001621550078097317,0.6854267973701452,0.9560441443976304,0.009810459268595393,0.03410796302931611,0.06361974922260866
0.22,0.000165062092204721,0.6847521844566706,0.9545330746578075,0.009860177283363462,0.03556798826347096,0.06361813819613281
0.23,0.00016796415121566604,0.6840793035230431,0.9530254132828664,0.009909767068497267,0.0370246769418758,0.06361645402601171
0.24,0.00017086115495856992,0.6834081509172717,0.9515211459568919,0.00995923210121783,0.03847804021860753,0.06361469687613983
0.25,0.0001737530735494357,0.6827387229873647,0.950020258363969,0.010008575858746177,0.03992808924774311,0.06361286691041165
0.26,0.0001766398832298703,0.6820710153786107,0.9485227385942178,0.010057800439504144,0.041374834053850056,0.06361096430978179
0.27,0.00017952154734363394,0.6814050252159201,0.947028569671699,0.010106910845062538,0.04281828703974942,0.06360898921928367
0.28,0.00018239804572842228,0.6807407477320431,0.9455377410990166,0.01015590836440721,0.04425845756692049,0.06360694182988716
0.29,0.00018526934930556587,0.6800781791826024,0.9440502388765745,0.010204796293489716,0.04569535664094461,0.06360482230772964
0.3,0.00018813542932168001,0.6794173157859046,0.9425660491325435,0.01025357785504398,0.04712899520742342,0.0636026308198544
0.31,0.00019099625900163288,0.6787581535615506,0.9410851587214023,0.010302255854160055,0.04855938387384175,0.06360036753821596
0.32,0.00019385181345545036,0.6781006883395257,0.9396075551902283,0.01035083269768222,0.049986532925232294,0.06359803263945445
0.33,0.00019670206621248348,0.6774449160985893,0.9381332255237149,0.01039931111637872,0.051410452907354735,0.06359562629649768
0.34,0.00019954699121556142,0.6767908327715734,0.9366621568662566,0.010447693749423443,0.052831154291149124,0.06359314868339304
0.35000000000000003,0.00020238656284385847,0.6761384342431507,0.9351943365302299,0.010495983139631139,0.05424864746888816,0.06359059997536302
0.36,0.0002052207559128942,0.675487716349834,0.9337297519959924,0.010544181733457432,0.05566294275417717,0.06358798034880513
0.37,0.00020804954567453334,0.6748386748799764,0.9322683909118834,0.01059229188099881,0.05707405038195414,0.06358528998129187
