t,V,K_i,Na_i,Ca_i,m,h,x,s,r,d,f,F_CaMK,Cmdn_Ca,Ca_SR,F_SRCa_RyR,F_1,F_2,Trpn_Ca,N_0,P_0,P_1,P_2,P_3
0.0,-92.849333,138.22,5.8041,9.91e-06,0.0013809,0.99569,0.051127,0.95854,1.5185e-08,1.7908e-08,1.0,1.028,3.9636e-06,0.24886,0.25089,0.5268,8.7508e-06,0.00027661,0.99917,9.8593e-05,0.00013331,0.00023505,0.00015349
0.01,48.1274001966295,138.21616031672062,5.805498111093216,0.0011435641168182254,0.9992479092708837,8.865624964908213e-08,0.09675837211599685,0.7337532525370841,0.9321686552722448,0.9995123510947833,0.8140021678545538,1.0517329689444006,0.00037429128495255066,0.18018322161277267,0.24600213739977658,0.10016397052393608,0.20447349547876523,0.0157124713139551,0.9899360189582227,0.009159412083259755,0.000362030523363891,0.00022245082400953214,0.00013320775201231303
0.02,49.009818500852305,138.21269198998417,5.807060914379411,0.0014569965980562821,0.9992916952474116,1.8500303009993144e-09,0.15141654665764837,0.5276309949094391,0.997547882547122,0.999555027035065,0.633945526571144,1.1614761942495788,0.000558907682439625,0.13661275777707887,0.22889491979035417,0.02033805892900381,0.0990638859997188,0.025085451579894474,0.666588716898215,0.29856063338861016,0.025099466850314545,0.0061541374617777814,0.0009845051164248373
0.03,46.857821919741745,138.2100958305761,5.808819138787159,0.0012803356720095698,0.9991824195939838,2.3792888125887447e-09,0.20199707357285865,0.37942292311605574,0.999880372474763,0.9994507577469514,0.49371727392710085,1.2833623169737725,0.0005171907638552311,0.1376495518908345,0.2119258016616854,0.011250677763936038,0.04291706569900367,0.025446625898580065,0.37537536392341814,0.48764361137989465,0.07897997621095422,0.035254578234275157,0.009177550163847954
0.04,42.599707048157505,138.20822546171635,5.809505188132689,0.0010107228078439347,0.9989105218670427,4.017168719381915e-09,0.24575344809571417,0.2728858043737001,0.9999267267507905,0.9991613968051827,0.3845074035064176,1.3834746118546255,0.00041601354583851384,0.15171143015835642,0.1996854200820573,0.009343992221289593,0.02038996715718782,0.02341206101075533,0.31948200221075357,0.4479909034167098,0.10765540792115655,0.07092480616452763,0.02578343887913135
0.05,37.232157530121476,138.2068759102912,5.809248613861132,0.0007837650911033349,0.9984293991015124,7.829364921887143e-09,0.2823087450130483,0.19633233695636204,0.999803656525888,0.9985679209018984,0.299454681677787,1.457854669691146,0.00032462658116103786,0.1693209310105575,0.19261416190745642,0.008301506363668259,0.01150637135058072,0.02077866572115234,0.34808108072690164,0.358001845681385,0.11216736457170576,0.09626602064457793,0.04283677262979669
0.06,31.12182052233518,138.20587672062396,5.808412095876587,0.0006108819539399031,0.9976053832491327,1.6792041336363926e-08,0.31230685047847256,0.141368599727407,0.9993547224994412,0.9973642859152616,0.23321560457094934,1.5111540781680732,0.0002535999951914612,0.1876567587306899,0.1901090204508332,0.007713522681639094,0.007778949636682757,0.018015107017211315,0.40717937955388783,0.2694159536318587,0.10453629978839546,0.10882394080796669,0.05496382877883633
0.07,24.349831367526075,138.20510060347988,5.807311573005254,0.00048005730531985484,0.9961497365955038,3.926467126357964e-08,0.3365797983263509,0.10198683425198368,0.9975753977296572,0.9948119259656121,0.18162881140265474,1.5483573399809734,0.0001995411830740179,0.20551069286573623,0.19135066633956416,0.007692990305033361,0.00612326547627871,0.015291475307597138,0.47734692865488404,0.19452949764494684,0.09211157509432132,0.11114479986430435,0.06102480790482957
0.08,16.86471153477739,138.20445340496877,5.806184299522413,0.0003794676109571069,0.9934233184324577,1.011643322665197e-07,0.3558856160466541,0.07393055104293166,0.9895929734746944,0.9890032153476297,0.14145444005135444,1.5732989476583996,0.00015791575854933953,0.22205144098951987,0.1954919408027258,0.008339611911681012,0.005468190227960499,0.01272068211395748,0.5477088923009815,0.13672031090473352,0.07886273673761805,0.10662142813267056,0.06198303655274935
0.09,8.496072068022169,138.2038599292776,5.805213396218838,0.00030081575517501027,0.9878539632890582,2.968847992939217e-07,0.3708303769701766,0.05428864136103316,0.9491073898021778,0.9743417946878913,0.11017655540109116,1.5887742519372192,0.0001253495785104583,0.23659647959125485,0.2017031386826234,0.00976616801838622,0.005410352765891365,0.010394610859008648,0.6119987242285876,0.09543935564472555,0.06672039899863685,0.09825312325292439,0.05942019645809058
0.1,-1.2336189679239384,138.20324545644146,5.804568978171042,0.00023797278638857362,0.9746712127591467,1.0904199428308293e-06,0.3818099614572394,0.041330693082563416,0.7470610289855287,0.9300020133591095,0.0859019499768106,1.596836548542098,9.939886835783307e-05,0.24863159195353038,0.20919619341934553,0.012171986965171367,0.005741639799819659,0.008364745894724473,0.6678259603215436,0.06764548387641027,0.05634191912568132,0.08824034569389104,0.054826642756594185
0.11,-14.713610587277302,138.2024685903864,5.804496406474191,0.00018286965417623803,0.9277256775103919,7.5985849297242465e-06,0.3887738434601623,0.03463193666692315,0.24668737422416104,0.7243097672235123,0.06820442791475534,1.5989093431330308,7.727996139586723e-05,0.25780428191976273,0.2172496272182846,0.016207458736054742,0.006089476141026092,0.00659019014500109,0.7153025815571906,0.04947838854393906,0.04771301817604407,0.07797091149011724,0.04933015809767373
0.12,-64.9006830015283,138.1997017414616,5.806237575635791,9.894394305249087e-05,0.07784873930956987,0.003633910621410524,0.3885931829030028,0.03601884032769522,0.014683042359325715,0.005065725543706842,0.2072884449470159,1.5950417077212313,4.8269604122667895e-05,0.26328657933847743,0.2251862147985813,0.027763203145322327,0.003253034128832151,0.0045909769839723,0.7555620803551337,0.03756405320148454,0.040569734980082636,0.06820313008705506,0.04366424067156322
0.13,-92.82640969487593,138.19648923864224,5.812401676405277,4.092353850130686e-05,0.001626206509976005,0.769315725944381,0.3698881746712416,0.09900846859522193,0.0005255935404663834,2.434612460988936e-08,0.860739407477001,1.5826516251522271,1.8946146288022865e-05,0.264170916160702,0.23220615422544086,0.049149171212557595,0.0005091510342460612,0.0021839650114257683,0.7898038795499573,0.02955305117323907,0.03462382127562363,0.05928639116010205,0.038245715957680594
0.14,-93.51697103664466,138.1959458429816,5.8151479441404135,2.3420528769896964e-05,0.0014788997134288502,0.9632176127899987,0.35074505246137205,0.16780856444538672,1.8832053330515373e-05,2.0367906857543125e-08,0.9781166902387423,1.5664872150272724,1.043805120043117e-05,0.26406236101378194,0.2379963849605527,0.07285452995199769,8.290200647556333e-05,0.0011099692920316644,0.819009193414482,0.0239794806821745,0.02964206072195904,0.05134070820882885,0.033278487662243006
0.15,-93.81277591074014,138.19597168455942,5.816189895507578,1.5829371787488356e-05,0.0014198951351650025,0.9913723639693065,0.33241362049713175,0.2330440193002501,6.895819491409636e-07,1.8870477091734058e-08,0.9966108991899826,1.5491055728250531,6.795520512054675e-06,0.2637203820843525,0.242690979707073,0.09806744715416074,1.6317477789837953e-05,0.0006482195348514989,0.8440503840437306,0.01988290441389227,0.025433052026919253,0.04436039758181822,0.028838291278161912
0.16,-93.93879404902546,138.19624600098092,5.816481285230994,1.2551073546702219e-05,0.0013954646040168046,0.9950794056610767,0.31497085585003837,0.29384410083708273,3.9652699108570755e-08,1.8266360298537972e-08,0.9994783396493192,1.531327293892557,5.219823284852414e-06,0.2633125789574892,0.24646528082298866,0.124077632855938,5.320117471004273e-06,0.00044966226780641716,0.8655912542543178,0.016721807612553666,0.02185243869656913,0.03827793035475393,0.024928471554581288
0.17,-93.9916768522507,138.19662721721167,5.816447417198523,1.114663230056736e-05,0.0013853362521376285,0.9955849020550905,0.2984191338129587,0.3500905878357376,1.6168048970781786e-08,1.8018493024440545e-08,0.9999198741507322,1.5135057205648386,4.54343839071579e-06,0.2628838348840783,0.24947919502651447,0.1502773737340125,3.405507217083421e-06,0.0003639792718465671,0.8841513193170929,0.014190920188306018,0.018792298095497054,0.03300292941779398,0.021516321714365436
0.18,-94.01331445801488,138.1970540277691,5.816274154682036,1.0547668394328106e-05,0.0013812114453653982,0.995669612084142,0.28273141438554134,0.40195873911648144,1.5238971043245332e-08,1.7917925870635078e-08,0.9999876685927651,1.4957924734410113,4.254765631184095e-06,0.26244807451985075,0.251868289090112,0.176180673964176,3.183832889367108e-06,0.0003263727416298658,0.9001544278472658,0.012111290018274566,0.016169309557675402,0.028441067508095764,0.018554317262084456
0.19,-94.02173889557577,138.19750026017053,5.816041327727852,1.0290887361760222e-05,0.0013796130577037045,0.9956896285508332,0.267870036384501,0.4497246391650464,1.5171509968987107e-08,1.7878818948653236e-08,0.9999980738731777,1.4782510094454082,4.131272426724368e-06,0.2620102191994936,0.25374508464439993,0.2014206751302534,3.365311793286721e-06,0.00030915422313041954,0.9139558302133852,0.010372543556036675,0.013916949361879725,0.02450258439204254,0.015991259696652035
0.2,-94.02464235156462,138.19795485727298,5.81578276412979,1.0178069778611393e-05,0.0013790578948080763,0.9956956669511254,0.2537944314804498,0.49368780991354455,1.515725356415775e-08,1.786526145855648e-08,0.9999996708569557,1.4609066740024954,4.077422928265005e-06,0.2615721545104734,0.2552022687571076,0.22573599667381,3.6713496698034366e-06,0.0003006164874417018,0.9258580374850893,0.008902442827228869,0.011980701708988612,0.0211057484006654,0.01377766246670237
0.21,-94.02527315224906,138.19841318099748,5.815512669592679,1.0125486778216546e-05,0.0013789377071185447,0.9956974130353105,0.24046420986538664,0.534141585085161,1.5153548085762585e-08,1.7862205549122686e-08,0.9999999158067937,1.4437685664945155,4.052742930659938e-06,0.2611346324099116,0.2563159470352496,0.24895286701753924,4.017884884803507e-06,0.0002958489806385339,0.9361208863651257,0.007650684271622786,0.010315075744226404,0.018177865489899532,0.011868086008663868
0.22,-94.02498950663063,138.1988732888295,5.815236994733101,1.0098158816221933e-05,0.0013789911885690902,0.9956975769579437,0.22784033929066744,0.5713626728607363,1.5153706161884904e-08,1.7863377291815407e-08,0.9999999533739868,1.4268389590264332,4.040277913760298e-06,0.2606979589368256,0.2571485190995213,0.27096699281130115,4.37118572083109e-06,0.00029279636843149604,0.9449685254938142,0.006580161376653353,0.008881658299981028,0.015655129661368974,0.010221924389331135
0.23,-94.02435296062198,138.1993343620876,5.814958246424879,1.0081607724350324e-05,0.0013791117466049393,0.995697129487826,0.2158855491091936,0.6056082378312679,1.5155371041386584e-08,1.786618482972646e-08,0.9999999583758121,1.410117289667954,4.0330009702309004e-06,0.2602622605911614,0.2577511034410206,0.29172723298329983,4.715962351321862e-06,0.000290593391195793,0.9525946607948391,0.005662171443446731,0.007647771159355835,0.013481968671349367,0.00880344068810881
0.24,-94.02359619842068,138.1997960435161,5.814677517363949,1.0069803134864848e-05,0.0013792551558882576,0.9956964574633622,0.20456442653310505,0.6371158312395941,1.5157577976950437e-08,1.786955411521745e-08,0.9999999592264368,1.3936018505687486,4.027983866502148e-06,0.2598275916917552,0.25816557411702357,0.31122166479622737,5.045201786679451e-06,0.0002888632189693774,0.959166804000884,0.004873679014979025,0.0065854781818770435,0.011610196709439162,0.0075814578776716175
0.25,-94.02281393950385,138.2002581703144,5.814395304201242,1.006024868546801e-05,0.001379403461488191,0.9956957163310215,0.1938433908646611,0.6661043513064772,1.5159935514663175e-08,1.787304803899857e-08,0.9999999593914641,1.3772904695619443,4.024018384308665e-06,0.2593939764873435,0.2584262204862417,0.32946646860137363,5.355991138958997e-06,0.00028743483988573224,0.9648297820576056,0.004195735659667131,0.005670831789678833,0.009998147421499053,0.006528917512016192
0.26,-94.02204467309748,138.20072066043838,5.814111855990519,1.0051887517723385e-05,0.0013795493546622443,0.9956949695046579,0.18369062595542993,0.692775295926674,1.5162283690856537e-08,1.7876488673455188e-08,0.9999999594210147,1.3611808006667463,4.020595247524785e-06,0.2589614268353742,0.2585611175184459,0.34649719874990537,5.6474336488458755e-06,0.00028622274035657106,0.9697087533999119,0.003612486679199384,0.004883267340345935,0.0086098522033598,0.005622409707830467
0.27,-94.02130425822222,138.20118346641055,5.813827315696867,1.0044244403393261e-05,0.0013796897802397102,0.9956942431127931,0.17407599739573676,0.7173140750505244,1.5164556606753498e-08,1.7879802572743057e-08,0.9999999594588552,1.3452704419361718,4.0174882641139825e-06,0.25852994925042116,0.25859325496987623,0.3623621038616437,5.919646777618385e-06,0.000285178072516497,0.9739118308023662,0.0031105177276381426,0.004205104462009498,0.007414289390484892,0.00484171758743826
0.28,-94.02059852192131,138.2016465574702,5.813541774951203,1.0037100148862386e-05,0.001379823643201556,0.99569354702019,0.16497096751343454,0.7398912657782811,1.5166729501419532e-08,1.788296275010567e-08,0.9999999593959402,1.329556980740685,4.014595844966549e-06,0.2580995476223847,0.2585414531606553,0.37711721618780464,6.17325226059569e-06,0.0002842697533427836,0.9775323447399034,0.002678406530644488,0.003621134778968372,0.006384722039986312,0.00416940233476768
0.29,-94.01992993388642,138.2021099102477,5.813255302630175,1.0030325679224707e-05,0.0013799504829379078,0.9956928856480131,0.1563485124519916,0.7606637897417954,1.5168791662590594e-08,1.7885957516299783e-08,0.9999999594220836,1.3140380171859398,4.011859537563642e-06,0.25767022463552125,0.2584211237318593,0.3908226932802776,6.409105601921151e-06,0.0002834745949364797,0.9806508357609653,0.0023063793546856466,0.0031182688170932863,0.005498112534611728,0.0035904309722393024
0.3,-94.01929894148968,138.20257350646153,5.812967951965837,1.0023846110961116e-05,0.0013800702654290318,0.9956922602198205,0.14818304214580422,0.779776004951677,1.517074024904472e-08,1.788878446916007e-08,0.9999999594378015,1.2987111695807687,4.009245978653643e-06,0.2572419821142454,0.25824488493880754,0.40354025564586266,6.628168757471965e-06,0.00028277484454573756,0.9833367748745545,0.001986054843625295,0.002685239148180509,0.004734615688382717,0.0030918498130297557
0.31,-94.01870500531196,138.20303733105715,5.812679766292587,1.0017600581511895e-05,0.00138018244156226,0.9956916706764035,0.14045032458659773,0.7973607094174493,1.5172575862984278e-08,1.789144877348968e-08,0.9999999594107236,1.2835740787092764,4.006733902313552e-06,0.25681482131855876,0.2580230667514634,0.41533138956655336,6.8314435363155425e-06,0.0002821562034067651,0.9856500626979718,0.0017102344267137246,0.002312345722372225,0.00407713930097921,0.0026625000824055394
0.32,-94.01814782478189,138.20350137102506,5.812390782587868,1.0011570775308405e-05,0.0013802885373422954,0.9956911166240334,0.13312741372404102,0.813540068854867,1.5174300202355318e-08,1.789394435343554e-08,0.999999959413714,1.2686244103911597,4.004305013104572e-06,0.25638874313671156,0.25776412753701505,0.4262561087290255,7.019913859613458e-06,0.00028160655189847424,0.9876423369289746,0.0014727275482800252,0.0019912363122746063,0.003510962625619043,0.002292770277504446
0.33,-94.01762617020542,138.20396561526744,5.812101032106747,1.000570449731388e-05,0.0013803876123335476,0.9956905973046902,0.12619258114277046,0.8284264690115926,1.5175915671846025e-08,1.789628407471276e-08,0.999999959410386,1.253859855461862,4.001946300255819e-06,0.2559637481077949,0.25747499274973207,0.43637216093308945,7.194549791096839e-06,0.0002811158034908726,0.9893581014308606,0.0012682082641001376,0.0017147190746195935,0.0030234080310581764,0.001974382335149091
0.34,-94.01713908128971,138.2044300541751,5.811810541499552,9.999981237809562e-06,0.0013804800037282067,0.9956901117349205,0.11962525144814307,0.8421232990856067,1.5177425470845473e-08,1.789846818633594e-08,0.9999999593990441,1.239278130351799,3.99964714762573e-06,0.2555398364673626,0.25716133252528345,0.44573454464085444,7.356286609494504e-06,0.00028067544949130516,0.9908357048565966,0.0010920929446423054,0.0014766011797118946,0.0026035578016315153,0.0017002070529887924
0.35000000000000003,-94.0166854178918,138.20489467931313,5.811519333890355,9.994378955542306e-06,0.0013805660852823272,0.9956896588976373,0.11340594105322077,0.8547256717955167,1.5178832875419605e-08,1.7900503496116008e-08,0.9999999593994529,1.22487697754454,3.997398211399848e-06,0.25511700824983125,0.2568277881621038,0.45439524662760233,7.505989957149181e-06,0.00028027820390751833,0.9921081842559167,0.0009404360093831534,0.001271550400952622,0.0022420109469544584,0.0014641055100970662
0.36,-94.01626404718218,138.20535948329632,5.811227429231554,9.988881573538567e-06,0.001380646091215202,0.995689237700884,0.10751620009576843,0.8663210884939948,1.5180141325505934e-08,1.7902394499522653e-08,0.999999959399248,1.210654165461539,3.995191866551417e-06,0.254695263274201,0.2564781601759836,0.46240312261469413,7.644493588547987e-06,0.0002799178777839518,0.9932040013966758,0.0008098402783993393,0.001094974827134332,0.0019306714181003678,0.001260790848834111
0.37,-94.01587370328419,138.2058244596313,5.810934844825768,9.98346326903251e-06,0.0013807199421961213,0.9956888469998335,0.10193855748652515,0.8769900497842199,1.5181354428691146e-08,1.7904144731378336e-08,0.9999999593907208,1.1966074884913624,3.993022060727192e-06,0.2542746011790329,0.2561155610774996,0.46980389535559075,7.77257986115931e-06,0.0002795892101097837,0.9941476757108186,0.000697380398533653,0.0009429198216648315,0.001662566589798343,0.0010857097824313875
0.38,-94.01551347673963,138.2062896025789,5.8106415956643485,9.978158517567813e-06,0.0013807892220848866,0.9956884856361549,0.09665646900180185,0.8868066148268731,1.5182475867284915e-08,1.7905765751725412e-08,0.9999999593817529,1.1827347669810204,3.990882493167175e-06,0.25385502147277383,0.25574253871855435,0.47664022977065024,7.890959029826047e-06,0.0002792876742347663,0.9949603256971595,0.0006005376010291929,0.0008119801145964127,0.0014316923620997662,0.0009349414689501698
0.39,-94.01518081846196,138.2067549070198,5.810347695230853,9.972760652653671e-06,0.0013808484968367196,0.9956881524634748,0.09165426814400093,0.8958389167314229,1.5183509233171446e-08,1.7907242315666125e-08,0.999999959378217,1.169033847144991,3.988772642694847e-06,0.25343652340846295,0.25536117861588503,0.48295184827993853,8.000383558654335e-06,0.00027900952415711304,0.9956601396900296,0.0005171430844642807,0.0006992234724880725,0.0012328786480687189,0.0008051096903670799
0.4,-94.01487726527492,138.20722036840996,5.810053154545446,9.967654095058464e-06,0.0013809094733620699,0.9956878463190407,0.08691711929184333,0.9041496393269185,1.5184458208694634e-08,1.7908620093498223e-08,0.9999999593766925,1.155502600960484,3.986680635616383e-06,0.25301910629139135,0.2549731880496014,0.48877567347173806,8.101368485446098e-06,0.00027875124495416827,0.9962627822656859,0.0004453292838218668,0.0006021248910520141,0.0010616733686353663,0.0006933071047942857
0.41000000000000003,-94.01459880064503,138.20768598268526,5.80975798428405,9.96242735460858e-06,0.0013809604714265298,0.9956875660612339,0.08243097373562515,0.9117964522865755,1.5185326353559097e-08,1.7909864673634185e-08,0.9999999593730051,1.1421389258584367,3.9846111311769695e-06,0.25260276931906933,0.25457996467972044,0.4941459871619524,8.194527755074068e-06,0.0002785102218285155,0.9967817440472475,0.00038348802808948904,0.0005185100294340432,0.0009142427182649671,0.0005970301175354048
0.42,-94.01434626477949,138.2081517461956,5.809462193025977,9.957358755513132e-06,0.0013810101504255982,0.9956873105796246,0.07818252793203352,0.918832412175532,1.5186117153948204e-08,1.791100815020303e-08,0.9999999593692047,1.1289407447138164,3.9825558846988185e-06,0.25218751151396784,0.2541826525242958,0.4990945982786949,8.280410166137266e-06,0.00027828389439733017,0.9972286426964089,0.0003302345513815108,0.00044650658217900867,0.0007872854341857036,0.0005141228990131922
0.43,-94.01411739361598,138.20861765563512,5.809165788964426,9.952252260417313e-06,0.0013810535996732186,0.9956870787582303,0.07415918383267395,0.9253063328512978,1.5186834119820443e-08,1.791203236454701e-08,0.9999999593673488,1.1159060055214653,3.980516571853455e-06,0.251773331856753,0.25378218810144837,0.5036510102053467,8.35956637514426e-06,0.0002780702893005345,0.9976134832509268,0.00028437638644575384,0.00038450224133300946,0.0006779586816617964,0.0004427289873380625
0.44,-94.01391139456365,138.20908370803252,5.808868779072325,9.947189461066188e-06,0.001381092603944168,0.9956868695584047,0.07034901140314861,0.9312631259578933,1.5187480468496103e-08,1.7912959098317384e-08,0.9999999593657315,1.1030326812993905,3.978489310965756e-06,0.25136022920433965,0.2533793383648472,0.5078425832154373,8.432447625029184e-06,0.000277867585080985,0.9979448835194406,0.0002448864575591377,0.0003311083198995855,0.0005838139158888156,0.0003812494044347565
