t,RS,RS_p,G,IP_3,PIP_2,C,h
0.0,17000.0,0.0,0.0,0.01,49997000.0,0.0961,0.6155
0.01,16994.9313796786,5.073731934093235,16.919819950461694,0.00995116106848033,49996977.951799385,0.09610126100019045,0.6155002911170294
0.02,16989.86427214304,10.145674373587873,33.80638145907245,0.010053176166543337,49996913.87391631,0.09610251868583969,0.6155006000387212
0.03,16984.79867694294,15.215827866787714,50.65974311702824,0.010303881653519555,49996807.559178665,0.09610378491036178,0.6155010348014252
0.04,16979.734593627418,20.284192962627422,67.47996349346548,0.010701138692001221,49996658.88137175,0.09610507273180925,0.6155017017674208
0.05,16974.672021745704,25.350770209886086,84.2671010592788,0.011242833803949578,49996467.78222236,0.09610639693826223,0.6155027055693237
0.06,16969.61096084717,30.415560157186405,101.02121418649003,0.011926879205294129,49996234.27844691,0.09610777335036702,0.6155041491632873
0.07,16964.551410481326,35.478563352980885,117.74236114029921,0.012751213903664061,49995958.4314198,0.09610922367939942,0.6155061332990001
0.08,16959.493370197823,40.53978034554162,134.4306000722723,0.013713805923550617,49995640.36940436,0.09611077333211812,0.615508756590839
0.09,16954.436839546455,45.599211682964395,151.0859890229116,0.014812651720075861,49995280.286310926,0.09611245143269573,0.6155121155774431
0.1,16949.38181807713,50.65685791321727,167.70858595355392,0.01604576682200044,49994878.367234915,0.09611429778307078,0.6155163047486664
0.11,16944.328305339888,55.712719584092305,184.29844871476698,0.017411195004520437,49994434.85945784,0.09611635628098511,0.6155214164854198
0.12,16939.276300884914,60.766797243214796,200.8556350529866,0.018907006374241156,49993950.04147146,0.09611868023731722,0.6155275408385904
0.13,16934.225804262525,65.81909143804604,217.38020261265814,0.020531296753446365,49993424.20997649,0.09612133482828811,0.6155347654139619
0.14,16929.176815023166,70.86960271588302,233.87220893516442,0.022282187950032444,49992857.70491063,0.09612439133780158,0.6155431756991672
0.15,16924.129332717428,75.91833162385898,250.33171146095606,0.024157828619856648,49992250.86631732,0.09612793662933562,0.6155528545150105
0.16,16919.083356896022,80.96527870894298,266.7587675277713,0.026156393279596957,49991604.06913318,0.09613206560533116,0.6155638824547596
0.17,16914.038887109808,86.01044451794013,283.1534343716939,0.028276083250251858,49990917.70343899,0.09613688486287983,0.6155763376433052
0.18,16908.995922909766,91.05382959749187,299.51576912795684,0.03051512825530226,49990192.16176389,0.09614251342613189,0.6155902956044588
0.19,16903.954463847018,96.09543449407569,315.8458288300365,0.03287178470727387,49989427.85363004,0.09614908171561186,0.6156058294156004
0.2,16898.914509472816,101.13525975400526,332.1436704102613,0.035344336634020285,49988625.19532541,0.09615673269290394,0.6156230095919287
0.21,16893.87605933855,106.17330592343053,348.4093507000402,0.0379310983293662,49987784.614821,0.0961656155361435,0.6156419041944847
0.22,16888.839112995738,111.20957354833784,364.64292643021724,0.04063041347774876,49986906.540639274,0.09617589035477431,0.615662578671288
0.23,16883.803669996036,116.24406317454998,380.8444542313779,0.043440655219998736,49985991.39530782,0.09618772987221519,0.615685095773563
0.24,16878.76972989123,121.27677534772604,397.01399063357655,0.04636022756115669,49985039.60816693,0.09620131269175966,0.6157095157602493
0.25,16873.737292233247,126.30771061336159,413.1515920661165,0.04938756634628489,49984051.625302605,0.09621681820017519,0.6157358965571587
