t,V,Na_i,m,h,j,K_i,X_kr,X_ks,X_to1,Y_to1,Ca_i,MgATP_i,z,v,w,Ca_ss,MgATP_ss,y,MgADP_i,P_O1,P_O2,P_C1,P_C2,Ca_JSR,Ca_NSR,HTRPNCa,LTRPNCa,CaADP_i,CaADP_ss,CaATP_ss,CaATP_i,Mg_ss,Mg_i,MgADP_ss
0.0,-96.1638,10.0,0.0328302,0.988354,0.99254,159.48,0.51,0.264,2.63,0.99,8.464e-05,6.4395,0.1,0.1,0.1,0.0001315,6.4395,0.798,0.00298,0.0,0.0,0.47,0.53,0.2616,0.262,0.98,0.078,1.1e-07,1.3e-07,0.00025,0.000237,1.0,1.0,0.00298
0.01,-95.75912370163988,10.0,0.0328302,0.998658606907388,0.9972449381167465,159.48,0.5023231034062762,0.22979661390477546,3.7854226676595375e-05,0.9965171051981546,8.236191927533262e-05,6.43951880362512,0.1855524262440839,4.999564769489732e-07,1.9997526683747292e-06,0.00012509300315074388,6.439516187889512,0.8012329808875538,0.002983203054270876,0.0006248257595846273,2.568786236677721e-09,0.47306576738043676,0.5263094042911914,0.2622799704599883,0.26295499063631206,0.9796888742581644,0.07757316035156665,1.0730130105668213e-07,1.2535142501371505e-07,0.0002427449673573302,0.00023072917508703536,0.9999793028215523,0.9999779933814079,0.002983199910920853
0.02,-95.70824478809308,10.0,0.0328302,0.9986401221498756,0.9984222769123011,159.48,0.4947785171827653,0.20007460695607546,3.8044780212182116e-05,0.9987868511011083,8.142450197525173e-05,6.439520400055416,0.263029111393327,5.04492340277646e-07,2.017987322911588e-06,0.0001240341061100347,6.439517791745133,0.8044142382578103,0.0029832018632192634,0.0006212797589969938,2.4915953373003847e-09,0.47664216785585684,0.5227365498935499,0.26302811255219993,0.263685259246762,0.9793774470400936,0.07689210646348729,1.0607986948915578e-07,1.2407872841036335e-07,0.0002400824154097956,0.0002281007338098767,0.9999777038634426,0.9999763981417358,0.00298319872879838
0.03,-95.70511693885953,10.0,0.0328302,0.9986387922604173,0.9987263315100612,159.48,0.4873489817232909,0.17420362453781857,3.805664644171784e-05,0.9995773509376508,8.073269192118047e-05,6.439521577200569,0.33312418535961846,5.047734043815958e-07,2.0190743854340637e-06,0.00012316556508864981,6.439518979706676,0.807544581823367,0.002983200985493437,0.0006170352941839529,2.422599803842327e-09,0.4801949394269066,0.5191880228563085,0.26373957451378666,0.26436974098083366,0.9790680368402538,0.07621669339353186,1.0517860158496185e-07,1.2310282609129333e-07,0.00023809432680963515,0.00022616232058953782,0.999976522180944,0.9999752218739738,0.0029831978640735696
0.04,-95.70748988536924,10.0,0.0328302,0.9986394848068613,0.9988058193811307,159.48,0.48003095433132215,0.15168020517576528,3.8047958238992403e-05,0.9998526624438577,8.012429123276721e-05,6.439522612209363,0.39654104100045123,5.045616463869115e-07,2.0181184264629072e-06,0.00012237542232098014,6.439520025838876,0.8106248242689479,0.0029832002138559612,0.0006128233195966556,2.359895270725614e-09,0.4837236151921085,0.5156635591283986,0.2644146570288067,0.2650206549166871,0.9787611063683439,0.07558563637046153,1.0438602570066898e-07,1.222334966859539e-07,0.00023633881859577133,0.00022445789938480278,0.9999754823751248,0.9999741876365726,0.002983197105805662
0.05,-95.71015945121121,10.0,0.0328302,0.9986403081363323,0.9988269790121467,159.48,0.472822582797776,0.13207087582858973,3.803780799288626e-05,0.9999485211563535,7.956849160661068e-05,6.439523557697623,0.45391601384501423,5.043234314865679e-07,2.017291999875008e-06,0.0001216333790282229,6.439520982726367,0.8136557672417607,0.0029831995089769536,0.0006086429547481586,2.3013053329137953e-09,0.4872283554250283,0.5121629993189173,0.26505687116624005,0.26564068804288093,0.9784568080828736,0.07500208355824764,1.0366197803528896e-07,1.2143079214798527e-07,0.00023472944986606956,0.00022290088541688832,0.999974531885041,0.9999732428529539,0.00298319641462742
0.06,-95.71254006948902,10.0,0.0328302,0.9986410459157551,0.9988329273142248,159.48,0.4657222363142265,0.11499862836476603,3.8028919502771323e-05,0.9999819676500354,7.905692982243974e-05,6.43952442792683,0.5058248842309226,5.041110196697526e-07,2.016442202554739e-06,0.00012093153565451106,6.439521864602037,0.8166381998125161,0.00298319886020706,0.0006044933886848354,2.2461797147135423e-09,0.4907093203734027,0.5086861839917319,0.2656687680696365,0.2662319877887922,0.9781552338882131,0.07446342080799724,1.0299555898492831e-07,1.206840094292286e-07,0.00023324287671497548,0.00022146780370961843,0.9999736564740617,0.9999723732722196,0.002983195779855232
0.07,-95.71461261287705,10.0,0.0328302,0.9986416881877038,0.9988348270202962,159.48,0.45872832584669904,0.10013534367000441,3.802118276228292e-05,0.999993598056516,7.858529853962891e-05,6.439525230229861,0.5527884410268319,5.039261675196033e-07,2.015702641864538e-06,0.00012026599341760606,6.4395226787738,0.819572898417206,0.002983198262076836,0.0006003740970864631,2.194154359805679e-09,0.49416666936068804,0.5052329543480703,0.2662525168682787,0.2667965517416609,0.9778564583208549,0.07396629349695359,1.0238115674112787e-07,1.1998770926054655e-07,0.0002318671403611987,0.00022014658061970051,0.9999728488273133,0.9999715715669851,0.0029831951959896612
0.08,-95.71641822944581,10.0,0.0328302,0.9986422473503654,0.9988356310235924,159.48,0.45183928293145353,0.08719526100046177,3.801444373544708e-05,0.9999976477408906,7.815020259640978e-05,6.439525970383012,0.5952779115726832,5.037651791837942e-07,2.015058561990642e-06,0.0001196337379887653,6.439523430994668,0.8224606270763722,0.0029831977102797577,0.0005962846502378087,2.1449398628408588e-09,0.49760056081423354,0.5018031523905878,0.2668100899034608,0.2673362349302764,0.9775605464156648,0.07350744278185412,1.018143484623953e-07,1.1933762976810367e-07,0.0002305928361645661,0.00021892770431199978,0.9999721031845092,0.999970831965299,0.002983194658696162
0.09,-95.71799776105641,10.0,0.0328302,0.9986427361519202,0.9988361098541668,159.48,0.445053557946356,0.07592958901963845,3.800854960158747e-05,0.9999990528811556,7.774862186558706e-05,6.439526653523826,0.6337195927676044,5.036243914370661e-07,2.014495302188208e-06,0.00011903209932776889,6.439524126380698,0.8253021375726489,0.0029831972009858225,0.000592224653631229,2.098283694919967e-09,0.5010111522759109,0.49839662097217324,0.2673433059325378,0.2678527551744521,0.9772675553840313,0.0730838296218865,1.0129119995617706e-07,1.1872998472921994e-07,0.0002294116024779193,0.00021780271460112116,0.999971414422687,0.9999701493334553,0.002983194164118994
0.1,-95.71938343619728,10.0,0.0328302,0.9986431652475237,0.9988364711140862,159.48,0.43836962047168326,0.06612171306667482,3.800337294018148e-05,0.9999995377151336,7.737779890650292e-05,6.439527284342872,0.6684991518061917,5.035007554423695e-07,2.014000665955387e-06,0.00011845864171226148,6.439524769602785,0.8280981696483775,0.0029831967306983634,0.0005881937372248626,2.053960888691204e-09,0.5043986003897615,0.49501320381905234,0.2678538463048795,0.2683477016275851,0.9769775352824339,0.07269264273231874,1.0080811922521438e-07,1.1816131812548758e-07,0.00022831580564771498,0.00021676388728069333,0.999970777864694,0.9999695189844443,0.002983193708737825
0.11,36.305258170184295,10.0,0.9983837723440053,0.14730810370378014,0.8909942292304194,159.48,0.44133778314253885,0.06588635837676268,0.028532606661691034,0.971607887929172,7.737921618217013e-05,6.439527289046579,0.6714572537762107,0.8028141710833665,0.9611360616190804,0.0008292082163067799,6.439485236402876,0.8234413536251903,0.0029831967059656722,0.0006204481468677445,2.1962861981459688e-08,0.5047213190915657,0.49465821079870465,0.2679063523743573,0.2683986473447122,0.976947163419722,0.07265325773992458,1.0082703279411962e-07,4.069222254018943e-07,0.0004180283087179221,0.00021676690594141132,0.9999911618295354,0.9999695151938195,0.0029831450889116545
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
