t,V,Na_i,m,h,j,K_i,X_kr,X_ks,X_to1,Y_to1,Ca_i,MgATP_i,O,O_Ca,C0,C1,C2,C3,C4,C_Ca0,C_Ca1,C_Ca2,C_Ca3,C_Ca4,Ca_ss,y,P_O1,P_O2,P_C1,P_C2,Ca_JSR,Ca_NSR,HTRPNCa,LTRPNCa,CaADP_i,CaADP_ss,CaATP_ss,CaATP_i,Mg_ss,Mg_i,MgADP_i,MgADP_ss,MgATP_ss
0.0,-96.1638,10.0,0.0328302,0.988354,0.99254,159.48,0.51,0.264,2.63,0.99,8.464e-05,6.4395,9.84546e-21,0.0,0.997208,6.38897e-05,1.535e-09,1.63909e-14,6.56337e-20,0.00272826,6.99215e-07,6.71989e-11,2.87031e-15,4.59752e-20,0.0001315,0.798,0.0,0.0,0.47,0.53,0.2616,0.262,0.98,0.078,1.1e-07,1.3e-07,0.00025,0.000237,1.0,1.0,0.00298,0.00298,6.4395
0.01,-96.28185641160569,10.0,0.0328302,0.9988044095298406,0.997353258838445,159.48,0.5022906670892757,0.22969246406510926,3.596271989844614e-05,0.9965171334536306,8.236190983201942e-05,6.439518803641145,-1.523959196116237e-25,2.8539621580031015e-29,0.9974116387975305,1.8185254154820266e-06,1.2433563768225697e-12,3.7782389749689377e-19,4.191904563359206e-26,0.0025873743218420685,1.8871133955481993e-08,5.161314368471052e-14,6.273862320840323e-20,2.8598104145664724e-26,0.00012509315270538268,0.8012329432403581,0.0006248280549925805,2.568813176908995e-09,0.4730657654304021,0.5263094039457913,0.26227997019756333,0.26295499066697364,0.9796888742425246,0.07757315917732321,1.0730128876426249e-07,1.253514799574716e-07,0.00024274498572092058,0.00023072914867752417,0.9999793028104571,0.9999779933654255,0.0029832030542589157,0.002983199910897177,6.439516187895783
0.02,-96.29650009694848,10.0,0.0328302,0.9988088065695383,0.9985580881913324,159.48,0.4946943649338471,0.19983568364966908,3.591088343261351e-05,0.9987869121644553,8.142446985654692e-05,6.4395204001102515,1.363232810922868e-24,2.6970335345438926e-29,0.9975352195013266,1.814035075800353e-06,1.2370704307553986e-12,3.749390969525955e-19,5.235460342900983e-26,0.0024637990564391364,1.7923089739026442e-08,4.889274060200778e-14,5.92773061213306e-20,2.6950119321658807e-26,0.0001240341913439209,0.8044141403129863,0.0006212814537750343,2.4916157440340264e-09,0.4766421664172072,0.5227365496374009,0.2630281086226182,0.263685262286572,0.9793774470120259,0.07689210662212878,1.0607982763624165e-07,1.2407873626736834e-07,0.0002400823584116501,0.0002281006436908604,0.9999777038125602,0.9999763980872322,0.002983201863178636,0.0029831987287490705,6.439517791792701
0.03,-96.30166961862028,10.0,0.0328302,0.9988102642237064,0.9988583574925631,159.48,0.4872121689552247,0.17386023877442053,3.5892640494758e-05,0.9995773817969068,8.073267491373254e-05,6.439521577229569,-4.422818075502726e-25,2.564170926942974e-29,0.9976479613953078,1.812580000144864e-06,1.2349470836778674e-12,3.7395302141425666e-19,3.8923787969971414e-26,0.002351059453386385,1.7087241501491885e-08,4.6569817958423874e-14,5.640919698514034e-20,2.5622604423381312e-26,0.0001231655499378987,0.8075444225570644,0.000617035329164348,2.4225994005458107e-09,0.48019493940302094,0.5191880228452141,0.26373957383215024,0.26436973867894914,0.9790680366991505,0.07621668474789513,1.0517857943545258e-07,1.2310280470715304e-07,0.00023809427972470046,0.00022616227300153137,0.9999765221523301,0.9999752218453063,0.0029832009854721584,0.002983197864052162,6.4395189797355785
0.04,-96.30511666798806,10.0,0.0328302,0.9988112066938319,0.9989334421368206,159.48,0.47984277098480754,0.15126268248902092,3.588049310753965e-05,0.9998526774928305,8.012427289389445e-05,6.439522612240613,3.0485759885063306e-24,2.4453130818281657e-29,0.9977507725763762,1.8116611728980622e-06,1.2335682375555204e-12,3.7330769444307733e-19,6.188048306562823e-26,0.0022482499483756023,1.6330014549991002e-08,4.4478805457388455e-14,5.384342410536058e-20,2.4442238048257094e-26,0.00012237539284027128,0.8106246053187969,0.0006128232434896445,2.359893259512936e-09,0.48372361526414237,0.5156635591324735,0.2644146551870312,0.2650206517806678,0.9787611061378727,0.0755856236686236,1.0438600181863121e-07,1.2223346792284764e-07,0.0002363387640014218,0.00022445784808748024,0.9999754823438479,0.9999741876056549,0.0029832002138329683,0.002983197105783547,6.439520025870873
0.05,-96.30794591885515,10.0,0.0328302,0.9988119745761949,0.9989525135333913,159.48,0.47258456533964077,0.13160402805042504,3.587052802208916e-05,0.9999485502563535,7.956846960529572e-05,6.439523557734263,1.6453514328713754e-23,2.3280550871036454e-29,0.9978445413012215,1.810924499698838e-06,1.2324493174800767e-12,3.7278216383348007e-19,1.891751501299046e-26,0.0021544826491881547,1.564103304597406e-08,4.2580686427781866e-14,5.1519660938672644e-20,2.337608502614736e-26,0.00012163329212871941,0.8136554905365035,0.0006086430005281447,2.301304298169609e-09,0.48722835539517945,0.5121629993029869,0.26505686793850014,0.2656406842746888,0.9784568077580333,0.07500206760100193,1.0366194939724915e-07,1.214307357724666e-07,0.00023472936986730926,0.00022290082390700306,0.9999745318467773,0.9999732428166082,0.0029831995089495684,0.002983196414604798,6.439520982766356
0.06,-96.31036995478486,10.0,0.0328302,0.9988126311850061,0.9989576318456351,159.48,0.46543592104514114,0.11450220201355482,3.5861992858234275e-05,0.9999819473598381,7.905690471099386e-05,6.439524427970812,1.496445405866038e-23,2.2467266106411508e-29,0.9979300865078891,1.810303007781795e-06,1.2314981547098243e-12,3.7233559159620745e-19,3.8906178124701753e-25,0.0020689386914701235,1.5013578318980123e-08,4.0855088690361236e-14,4.941078069035348e-20,2.2408716756819742e-26,0.00012093160024262627,0.8166378672577035,0.0006044934052452534,2.2461774496420812e-09,0.4907093203696071,0.508686183978969,0.2656687636566222,0.2662319827288539,0.9781552334509634,0.07446340204294603,1.0299552625633413e-07,1.2068401462367245e-07,0.00023324283154734204,0.00022146773336190596,0.9999736564329831,0.9999723732285596,0.0029831988601752095,0.0029831957798169485,6.439521864641639
0.07,-96.31247126827635,10.0,0.0328302,0.9988131997666349,0.9989592368405726,159.48,0.45839521861520366,0.09962475764761687,3.585459572307287e-05,0.999993589865613,7.858526851037998e-05,6.439525230281064,5.396393242958255e-24,2.156279117045588e-29,0.9980081543139052,1.8097715382280646e-06,1.2306787719944912e-12,3.7194888917518503e-19,8.798191164503969e-26,0.001990871988873216,1.4441630928520054e-08,3.928390534258413e-14,4.749268315396872e-20,2.1531085846611128e-26,0.0001202659708211251,0.8195725118865117,0.0006003740938787652,2.194150410119271e-09,0.4941666693755412,0.5052329543364285,0.26625251131789923,0.266796545296999,0.9778564577659119,0.07396627261706411,1.0238111762653359e-07,1.1998767349629162e-07,0.00023186705855422738,0.00022014649653611607,0.9999728487767992,0.9999715715162195,0.0029831982620390864,0.0029831951959512957,6.439522678824492
0.08,-96.31430485610537,10.0,0.0328302,0.9988136954578853,0.9989599158167339,159.48,0.45146085591433616,0.08668244841064782,3.5848142488937966e-05,0.9999976350505915,7.815017010094998e-05,6.439525970439155,2.402538714885722e-23,2.091376902536408e-29,0.9980794230283208,1.8093135954200562e-06,1.2299682537468776e-12,3.7161376290382773e-19,6.065908620722465e-26,0.0019196042538499945,1.3920183644095697e-08,3.7853280495034225e-14,4.5748335035715565e-20,2.072607902621505e-26,0.0001196339715164179,0.822460188392821,0.0005962846798431116,2.144933888895722e-09,0.49760056080305104,0.5018031523721709,0.2668100828717785,0.26733622707222215,0.9775605457258627,0.07350741940618542,1.0181430613037346e-07,1.1933770559783664e-07,0.0002305928249421524,0.000218927613190082,0.9999721031376887,0.999970831909586,0.002983197710237838,0.002983194658632877,6.439523431032763
0.09,-96.31591366507628,10.0,0.0328302,0.9988141302229872,0.9989603394591602,159.48,0.44463124976084717,0.07542362017053067,3.584248118339314e-05,0.9999990550997089,7.77485864072955e-05,6.43952665358375,-3.2444897999391667e-22,1.9898768808709873e-29,0.9981445090760047,1.808916535718056e-06,1.2293481933406417e-12,3.7131721140443176e-19,-2.2101240656840865e-24,0.0018545190792154216,1.3444195734394331e-08,3.654809427849355e-14,4.415797062542286e-20,2.0009917183803273e-26,0.00011903187952192558,0.825301648513442,0.0005922246497779214,2.0982549072332372e-09,0.5010111523028681,0.49839662094909776,0.2673432974610405,0.2678527457155282,0.9772675545513798,0.07308380416103687,1.0129115377037779e-07,1.1872985563762117e-07,0.00022941144699113825,0.00021780261540510552,0.9999714143569627,0.9999701492740168,0.002983197200941982,0.0029831941640903093,6.439524126453518
0.1,-96.31733201149798,10.0,0.0328302,0.998814513019862,0.9989606642483828,159.48,0.43790483673037717,0.06562933241403218,3.583749149007677e-05,0.9999995519554484,7.737776118913886e-05,6.439527284411967,-1.061799884091234e-22,1.9477783877049906e-29,0.9982039726898501,1.8085702480690709e-06,1.2288047886842194e-12,3.710622646724648e-19,-1.8838740046343056e-24,0.0017950562455226293,1.301033273244839e-08,3.5360824988692616e-14,4.271366332942403e-20,1.929454831853532e-26,0.00011845996223791405,0.8280976319491289,0.0005881937370267407,2.053952226981564e-09,0.5043986004063299,0.49501320380269,0.26785383625937936,0.26834769051691915,0.9769775342961008,0.07269261509282562,1.0080807004959197e-07,1.1816187103733644e-07,0.0002283161059151281,0.00021676378090050046,0.9999707778413557,0.9999695189158204,0.002983196730644481,0.002983193708575403,6.4395247695807045
0.11,-96.31858776585445,10.0,0.0328302,0.9988148517799827,0.9989609395880878,159.48,0.4312800736865421,0.05710910862037781,3.583307424605859e-05,0.999999726832256,7.703516455232002e-05,6.439527867218251,1.024750195975837e-22,1.9000800387591225e-29,0.9982583229352596,1.8082668161087622e-06,1.2283258525219286e-12,3.7083727335032916e-19,-1.1305559089862286e-24,0.0017407067000190107,1.2613860172725456e-08,3.427619875162358e-14,4.139477565888036e-20,1.866347882483794e-26,0.00011791325619820938,0.8308488665581608,0.000584191558267328,2.0117966191659503e-09,0.5077630609124464,0.49165274551748844,0.26834325382844404,0.2688225308340668,0.976690528331226,0.07233125686294904,1.0036175944889278e-07,1.1762936803945408e-07,0.0002272989793141329,0.0002158040243449941,0.999970189217359,0.9999689365438088,0.002983196296149458,0.0029831932890898674,6.439525364875473
