t,V,K_i,Na_i,Ca_i,xr1,xr2,xs,m,h,Ca_ds,d,f,s,r,Ca_up,Ca_rel,ActFrac,ProdFrac,Ca_Calmod,Ca_Trop
0.0,-93.0550060340878,138.49601832864,5.68929064089788,5.60867201979414e-06,9.88715446781661e-06,2.15138346929839e-07,6.72192033116639e-07,0.00157541794600382,0.99465397024286,2.15623822848619e-07,2.27643784381792e-08,4.03082807230434e-09,0.999870016703514,1.8398417043009e-08,0.187470810108547,0.185609773872992,0.000183030061767109,0.0109931117325847,0.000221858224298955,0.00013982468565579
0.01,-93.05500634898416,138.49601997043118,5.689290647804931,5.6086719745578e-06,9.887153914335672e-06,2.1513830947434423e-07,6.721920048942415e-07,0.001575417877977096,0.9946539706195211,2.1562382338213975e-07,2.2764376646515614e-08,4.030827731459381e-09,0.9998700167110354,1.8398415884300958e-08,0.18747080866556393,0.18560977244449212,0.0001830300588735606,0.010993111556496245,0.00022185822253008357,0.000139824684531396
0.02,-93.05500666387472,138.49602161222236,5.689290654711976,5.608671929334832e-06,9.887153360855401e-06,2.1513827201950197e-07,6.721919766718465e-07,0.001575417809951641,0.9946539709961811,2.1562381993963634e-07,2.276437485487461e-08,4.030827390615272e-09,0.9998700167185575,1.839841472559443e-08,0.18747080722257914,0.1856097710159917,0.00018303005598620665,0.010993111380703932,0.00022185822076113993,0.00013982468340711108
0.03,-93.05500697876697,138.49602325401358,5.689290661619019,5.608671884113809e-06,9.887152807375884e-06,2.1513823456449773e-07,6.721919484494571e-07,0.0015754177419258178,0.9946539713728405,2.1562381379027156e-07,2.276437306322974e-08,4.030827049772112e-09,0.9998700167260797,1.839841356689068e-08,0.18747080577959416,0.18560976958749079,0.00018303005309029362,0.010993111205105691,0.00022185821899220245,0.0001398246822828879
0.04,-93.05500729365922,138.4960248958048,5.689290668526061,5.608671838892787e-06,9.887152253896369e-06,2.151381971094935e-07,6.721919202270677e-07,0.0015754176738999944,0.9946539717495,2.156238076409068e-07,2.276437127158487e-08,4.030826708928951e-09,0.999870016733602,1.839841240818693e-08,0.18747080433660918,0.18560976815898986,0.0001830300501943806,0.010993111029507452,0.00022185821722326495,0.00013982468115866475
0.05,-93.05500760855146,138.49602653759598,5.689290675433104,5.608671793671765e-06,9.887151700416852e-06,2.1513815965448925e-07,6.721918920046783e-07,0.0015754176058741711,0.9946539721261594,2.1562380149154203e-07,2.276436947994e-08,4.03082636808579e-09,0.9998700167411242,1.839841124948318e-08,0.1874708028936242,0.18560976673048893,0.00018303004729846757,0.010993110853909211,0.00022185821545432746,0.0001398246800344416
0.06,-93.05500792344371,138.4960281793872,5.689290682340147,5.6086717484507424e-06,9.887151146937335e-06,2.1513812219948502e-07,6.721918637822888e-07,0.0015754175378483476,0.9946539725028187,2.1562379534217727e-07,2.276436768829513e-08,4.03082602724263e-09,0.9998700167486464,1.8398410090779435e-08,0.18747080145063924,0.185609765301988,0.00018303004440255454,0.01099311067831097,0.00022185821368538998,0.00013982467891021844
0.07,-93.05500823833601,138.4960298211784,5.689290689247189,5.608671703230599e-06,9.887150593457838e-06,2.151380847444822e-07,6.721918355599007e-07,0.0015754174698225146,0.9946539728794781,2.1562378813911537e-07,2.276436589665009e-08,4.03082568639951e-09,0.9998700167561686,1.8398408932075652e-08,0.18747080000765468,0.18560976387348696,0.00018303004150316016,0.01099311050276069,0.0002218582119164784,0.00013982467778601843
0.08,-93.05500855322849,138.49603146296965,5.689290696154231,5.60867165801253e-06,9.887150039978387e-06,2.1513804728948266e-07,6.721918073375151e-07,0.0015754174017966584,0.9946539732561375,2.1562377845133305e-07,2.276436410500464e-08,4.0308253455564854e-09,0.999870016763691,1.83984077733718e-08,0.1874707985646711,0.1856097624449857,0.00018303003859555653,0.010993110327323495,0.00022185821014762794,0.000139824676661873
0.09,-93.05500886812095,138.49603310476087,5.689290703061274,5.6086716127944594e-06,9.887149486498936e-06,2.151380098344831e-07,6.721917791151297e-07,0.001575417333770802,0.9946539736327968,2.1562376876355073e-07,2.2764362313359194e-08,4.03082500471346e-09,0.9998700167712135,1.8398406614667945e-08,0.18747079712168754,0.1856097610164844,0.00018303003568795288,0.010993110151886303,0.00022185820837877747,0.00013982467553772757
0.1,-93.05500918301341,138.4960347465521,5.689290709968317,5.60867156757639e-06,9.887148933019485e-06,2.1513797237948358e-07,6.721917508927442e-07,0.0015754172657449458,0.9946539740094562,2.156237590757684e-07,2.2764360521713748e-08,4.030824663870435e-09,0.9998700167787359,1.839840545596409e-08,0.187470795678704,0.18560975958798315,0.00018303003278034925,0.010993109976449108,0.000221858206609927,0.00013982467441358214
0.11,-93.05500949790589,138.49603638834336,5.68929071687536,5.6086715223583195e-06,9.887148379540033e-06,2.1513793492448403e-07,6.721917226703587e-07,0.0015754171977190893,0.9946539743861156,2.1562374938798608e-07,2.27643587300683e-08,4.0308243230274105e-09,0.9998700167862583,1.8398404297260237e-08,0.18747079423572044,0.18560975815948189,0.0001830300298727456,0.010993109801011914,0.00022185820484107652,0.0001398246732894367
0.12,-93.05500981279836,138.4960380301346,5.689290723782413,5.608671477140771e-06,9.887147826060638e-06,2.1513789746949985e-07,6.721916944479753e-07,0.001575417129693237,0.9946539747627748,2.1562373913601439e-07,2.2764356938423146e-08,4.030823982184472e-09,0.9998700167937807,1.8398403138556514e-08,0.18747079279273823,0.18560975673098154,0.00018303002696328486,0.01099310962553832,0.00022185820307224887,0.00013982467216530482
0.13,-93.05501012769102,138.49603967192613,5.689290730689568,5.6086714319279724e-06,9.887147272581744e-06,2.1513786001465576e-07,6.72191666225611e-07,0.0015754170616674227,0.9946539751394337,2.156237237411751e-07,2.276435514678066e-08,4.030823641342313e-09,0.9998700168013035,1.8398401979854042e-08,0.18747079134976855,0.18560975530248996,0.00018303002403689591,0.01099310944973291,0.00022185820130362892,0.00013982467104129657
0.14,-93.05501044258367,138.49604131371768,5.689290737596722,5.608671386715175e-06,9.88714671910285e-06,2.1513782255981167e-07,6.721916380032467e-07,0.0015754169936416083,0.9946539755160925,2.1562370834633584e-07,2.2764353355138172e-08,4.030823300500154e-09,0.9998700168088263,1.839840082115157e-08,0.18747078990679883,0.1856097538739984,0.00018303002111050694,0.010993109273927501,0.000221858199535009,0.00013982466991728832
0.15,-93.05501075747632,138.4960429555092,5.689290744503877,5.608671341502376e-06,9.887146165623957e-06,2.1513778510496757e-07,6.721916097808825e-07,0.001575416925615794,0.9946539758927513,2.1562369295149656e-07,2.2764351563495687e-08,4.030822959657994e-09,0.9998700168163491,1.8398399662449094e-08,0.1874707884638291,0.18560975244550681,0.000183030018184118,0.010993109098122091,0.00022185819776638908,0.0001398246687932801
0.16,-93.05501107236898,138.49604459730074,5.689290751411031,5.608671296289579e-06,9.887145612145063e-06,2.1513774765012348e-07,6.721915815585181e-07,0.0015754168575899793,0.9946539762694102,2.1562367755665729e-07,2.2764349771853198e-08,4.030822618815835e-09,0.9998700168238719,1.8398398503746622e-08,0.18747078702085943,0.18560975101701524,0.00018303001525772904,0.010993108922316681,0.00022185819599776916,0.00013982466766927185
0.17,-93.05501138726163,138.49604623909227,5.689290758318186,5.60867125107678e-06,9.88714505866617e-06,2.1513771019527938e-07,6.721915533361539e-07,0.001575416789564165,0.994653976646069,2.15623662161818e-07,2.276434798021071e-08,4.030822277973675e-09,0.9998700168313946,1.8398397345044146e-08,0.1874707855778897,0.18560974958852364,0.00018303001233134007,0.010993108746511273,0.00022185819422914925,0.0001398246665452636
0.18,-93.05501170215429,138.4960478808838,5.68929076522534,5.608671205863983e-06,9.887144505187276e-06,2.1513767274043529e-07,6.721915251137895e-07,0.0015754167215383506,0.9946539770227278,2.1562364676697874e-07,2.2764346188568224e-08,4.030821937131517e-09,0.9998700168389175,1.8398396186341674e-08,0.18747078413492,0.18560974816003206,0.00018303000940495112,0.010993108570705862,0.00022185819246052933,0.00013982466542125535
0.19,-93.05501201704695,138.49604952267532,5.689290772132494,5.608671160651184e-06,9.887143951708383e-06,2.151376352855912e-07,6.721914968914253e-07,0.0015754166535125362,0.9946539773993867,2.1562363137213946e-07,2.2764344396925735e-08,4.030821596289357e-09,0.9998700168464403,1.8398395027639202e-08,0.1874707826919503,0.1856097467315405,0.00018303000647856217,0.010993108394900452,0.0002218581906919094,0.0001398246642972471
0.2,-93.0550123319396,138.49605116446685,5.6892907790396485,5.608671115438387e-06,9.887143398229489e-06,2.151375978307471e-07,6.721914686690609e-07,0.0015754165854867217,0.9946539777760456,2.156236159773002e-07,2.276434260528325e-08,4.030821255447198e-09,0.999870016853963,1.8398393868936726e-08,0.1874707812489806,0.1856097453030489,0.0001830300035521732,0.010993108219095044,0.00022185818892328946,0.00013982466317323888
0.21,-93.05501264683225,138.49605280625838,5.6892907859468025,5.608671070225588e-06,9.887142844750594e-06,2.15137560375903e-07,6.721914404466967e-07,0.0015754165174609073,0.9946539781527044,2.156236005824609e-07,2.276434081364076e-08,4.030820914605038e-09,0.9998700168614859,1.8398392710234254e-08,0.18747077980601087,0.18560974387455734,0.00018303000062578424,0.010993108043289634,0.00022185818715466955,0.00013982466204923063
0.22,-93.05501296172491,138.4960544480499,5.689290792853957,5.608671025012791e-06,9.8871422912717e-06,2.151375229210589e-07,6.721914122243324e-07,0.001575416449435093,0.9946539785293632,2.1562358518762164e-07,2.2764339021998276e-08,4.030820573762879e-09,0.9998700168690087,1.8398391551531778e-08,0.18747077836304119,0.18560974244606576,0.00018302999769939527,0.010993107867484224,0.00022185818538604963,0.00013982466092522238
0.23,-93.05501327661756,138.49605608984146,5.689290799761111,5.608670979799992e-06,9.887141737792807e-06,2.151374854662148e-07,6.721913840019681e-07,0.0015754163814092786,0.994653978906022,2.1562356979278236e-07,2.2764337230355788e-08,4.03082023292072e-09,0.9998700168765314,1.8398390392829306e-08,0.18747077692007147,0.1856097410175742,0.00018302999477300632,0.010993107691678815,0.0002218581836174297,0.00013982465980121413
0.24,-93.05501359151022,138.496057731633,5.689290806668266,5.608670934587194e-06,9.887141184313913e-06,2.1513744801137072e-07,6.721913557796038e-07,0.0015754163133834642,0.994653979282681,2.156235543979431e-07,2.2764335438713302e-08,4.030819892078561e-09,0.9998700168840543,1.8398389234126834e-08,0.18747077547710175,0.1856097395890826,0.00018302999184661737,0.010993107515873405,0.0002218581818488098,0.0001398246586772059
0.25,-93.05501390640286,138.49605937342452,5.68929081357542,5.608670889374396e-06,9.88714063083502e-06,2.1513741055652662e-07,6.721913275572395e-07,0.0015754162453576496,0.9946539796593398,2.1562353900310381e-07,2.2764333647070814e-08,4.030819551236401e-09,0.9998700168915771,1.8398388075424358e-08,0.18747077403413204,0.18560973816059104,0.0001830299889202284,0.010993107340067997,0.00022185818008018987,0.00013982465755319766
0.26,-93.05501422129552,138.49606101521604,5.689290820482575,5.608670844161598e-06,9.887140077356126e-06,2.1513737310168253e-07,6.721912993348752e-07,0.0015754161773318353,0.9946539800359986,2.1562352360826454e-07,2.2764331855428325e-08,4.030819210394242e-09,0.9998700168990998,1.8398386916721886e-08,0.18747077259116235,0.18560973673209946,0.00018302998599383944,0.010993107164262586,0.00022185817831156995,0.00013982465642918942
0.27,-93.05501453618818,138.49606265700757,5.689290827389729,5.6086707989488e-06,9.887139523877232e-06,2.1513733564683843e-07,6.72191271112511e-07,0.0015754161093060209,0.9946539804126574,2.1562350821342526e-07,2.276433006378584e-08,4.030818869552082e-09,0.9998700169066227,1.839838575801941e-08,0.18747077114819263,0.18560973530360786,0.0001830299830674505,0.010993106988457176,0.00022185817654295,0.00013982465530518117
0.28,-93.05501485108083,138.4960642987991,5.689290834296884,5.608670753736002e-06,9.887138970398339e-06,2.1513729819199434e-07,6.721912428901466e-07,0.0015754160412802065,0.9946539807893163,2.15623492818586e-07,2.276432827214335e-08,4.0308185287099235e-09,0.9998700169141455,1.8398384599316938e-08,0.18747076970522292,0.18560973387511628,0.00018302998014106152,0.010993106812651768,0.0002218581747743301,0.00013982465418117292
0.29,-93.05501516597349,138.49606594059063,5.689290841204038,5.608670708523204e-06,9.887138416919445e-06,2.1513726073715024e-07,6.721912146677823e-07,0.001575415973254392,0.9946539811659751,2.1562347742374672e-07,2.2764326480500866e-08,4.030818187867764e-09,0.9998700169216682,1.8398383440614466e-08,0.18747076826225323,0.1856097324466247,0.00018302997721467257,0.010993106636846358,0.00022185817300571017,0.0001398246530571647
0.3,-93.05501548086615,138.49606758238215,5.689290848111193,5.6086706633104056e-06,9.887137863440552e-06,2.1513722328230615e-07,6.72191186445418e-07,0.0015754159052285776,0.994653981542634,2.1562346202890744e-07,2.2764324688858377e-08,4.030817847025605e-09,0.999870016929191,1.839838228191199e-08,0.1874707668192835,0.18560973101813313,0.0001830299742882836,0.010993106461040947,0.00022185817123709025,0.00013982465193315645
0.31,-93.05501579575879,138.4960692241737,5.6892908550183465,5.608670618097608e-06,9.887137309961658e-06,2.1513718582746205e-07,6.721911582230537e-07,0.0015754158372027632,0.9946539819192928,2.1562344663406817e-07,2.2764322897215892e-08,4.030817506183445e-09,0.9998700169367138,1.8398381123209518e-08,0.1874707653763138,0.18560972958964156,0.00018302997136189465,0.010993106285235539,0.00022185816946847033,0.0001398246508091482
0.32,-93.05501611065145,138.49607086596524,5.6892908619255005,5.6086705728848095e-06,9.887136756482764e-06,2.1513714837261796e-07,6.721911300006894e-07,0.0015754157691769488,0.9946539822959517,2.156234312392289e-07,2.2764321105573403e-08,4.030817165341286e-09,0.9998700169442366,1.8398379964507042e-08,0.1874707639333441,0.18560972816114998,0.0001830299684355057,0.010993106109430129,0.00022185816769985041,0.00013982464968513995
0.33,-93.0550164255441,138.49607250775676,5.689290868832655,5.608670527672012e-06,9.88713620300387e-06,2.1513711091777386e-07,6.721911017783251e-07,0.0015754157011511343,0.9946539826726105,2.1562341584438962e-07,2.2764319313930918e-08,4.030816824499127e-09,0.9998700169517594,1.839837880580457e-08,0.1874707624903744,0.1856097267326584,0.00018302996550911672,0.010993105933624719,0.0002218581659312305,0.00013982464856113173
