t,V,c,yI,xT,xK
0.0,-54.0,0.1,0.1,0.1,0.1
0.01,-60.87942381921015,0.10000020334531609,0.34924070441549454,0.09999574478974417,0.09988820600647648
0.02,-68.32129978142133,0.10000042491767724,0.6054868041193772,0.09999148974726557,0.09976377410177865
0.03,-76.37158621788878,0.10000066620739839,0.8228212096262499,0.09998723488204335,0.09962406287205502
0.04,-85.07999455326129,0.1000009288264977,0.9531689223468135,0.09998298019689619,0.09946571263058279
0.05,-94.50029560870531,0.10000121451862944,0.9953326735805885,0.09997872569257114,0.09928440437920555
0.06,-104.69065089712761,0.10000152516982676,0.9999286164662946,0.0999744713692395,0.09907452284815953
0.07,-115.71397097158575,0.10000186282012209,0.999999976683953,0.099970217226931,0.09882867957355458
0.08,-127.63830109162703,0.10000222967605302,1.0000000036863654,0.09996596326564473,0.09853702944594436
0.09,-140.53724980406992,0.10000262812455987,0.9999999947185488,0.0999617094853741,0.09818627445646687
0.1,-154.4904284599065,0.10000306074723797,0.9999999998024861,0.0999574558861115,0.0977582060167752
0.11,-169.58394358892465,0.10000353033630316,1.0000000071230988,0.09995320246784929,0.09722752781420345
0.12,-185.91093796191538,0.10000403991213663,1.0000000158226625,0.09994894923057975,0.09655854571546114
0.13,-203.57215704934086,0.1000045927416522,1.0000000054316889,0.09994469617429518,0.09570013480154374
0.14,-222.67656816794576,0.10000519235837205,1.0000000342434485,0.09994044329898787,0.0945779613894546
0.15,-243.3420283996529,0.10000584258408271,1.0000000034588772,0.09993619060465013,0.09308244977732082
0.16,-265.69602540304123,0.10000654755285412,1.0000000024109532,0.09993193809127426,0.0910500669672543
0.17,-289.8764414864116,0.10000731173581176,0.9999999994039475,0.09992768575885258,0.08823529730782641
0.18,-316.0324264760149,0.10000813996943649,0.9999999923449666,0.09992343360737732,0.08427027461402006
0.19,-344.3252851728897,0.10000903748434137,0.9999999952899714,0.09991918163684088,0.07861603480006842
0.2,-374.92950081710325,0.10001000993847031,1.0000000010421886,0.09991492984723549,0.07053108435946105
0.21,-408.033789063108,0.10001106345131103,1.0000000002958598,0.09991067823855344,0.0591555837372959
0.22,-443.8422643975866,0.10001220464177835,1.0000000057796097,0.09990642681078704,0.04397422111486476
0.23,-482.57567437275054,0.10001344066826344,1.0000000007693688,0.09990217556392865,0.026092813833673154
0.24,-524.472800843053,0.1000147792739839,1.0000000001867335,0.09989792449797057,0.009968995106209239
0.25,-569.7919009885644,0.10001622883361284,0.9999999984798784,0.099893673612905,0.0015442072940537147
0.26,-618.8123007338352,0.10001779840498241,1.0000000000000215,0.0998894229087243,3.399706569759449e-05
0.27,-671.8361178913119,0.10001949778500263,1.0000000003271825,0.09988517238542083,9.368914708158455e-09
0.28,-729.190117812593,0.10002133756984094,0.9999999999031197,0.09988092204298682,4.0135124293561586e-13
0.29,-791.2277277840952,0.10002332922024437,1.0000000080633207,0.0998766718814146,-3.536153911875754e-14
0.3,-858.3311797698215,0.10002548513102325,0.999999999644994,0.09987242190069644,-3.310257299699854e-17
0.31,nan,nan,nan,nan,nan
0.32,nan,nan,nan,nan,nan
0.33,nan,nan,nan,nan,nan
0.34,nan,nan,nan,nan,nan
0.35000000000000003,nan,nan,nan,nan,nan
0.36,nan,nan,nan,nan,nan
0.37,nan,nan,nan,nan,nan
0.38,nan,nan,nan,nan,nan
0.39,nan,nan,nan,nan,nan
0.4,nan,nan,nan,nan,nan
0.41000000000000003,nan,nan,nan,nan,nan
0.42,nan,nan,nan,nan,nan
0.43,nan,nan,nan,nan,nan
0.44,nan,nan,nan,nan,nan
0.45,nan,nan,nan,nan,nan
0.46,nan,nan,nan,nan,nan
0.47000000000000003,nan,nan,nan,nan,nan
0.48,nan,nan,nan,nan,nan
0.49,nan,nan,nan,nan,nan
0.5,nan,nan,nan,nan,nan
0.51,nan,nan,nan,nan,nan
0.52,nan,nan,nan,nan,nan
0.53,nan,nan,nan,nan,nan
0.54,nan,nan,nan,nan,nan
0.55,nan,nan,nan,nan,nan
0.56,nan,nan,nan,nan,nan
0.5700000000000001,nan,nan,nan,nan,nan
0.58,nan,nan,nan,nan,nan
0.59,nan,nan,nan,nan,nan
0.6,nan,nan,nan,nan,nan
0.61,nan,nan,nan,nan,nan
0.62,nan,nan,nan,nan,nan
0.63,nan,nan,nan,nan,nan
0.64,nan,nan,nan,nan,nan
0.65,nan,nan,nan,nan,nan
0.66,nan,nan,nan,nan,nan
0.67,nan,nan,nan,nan,nan
0.68,nan,nan,nan,nan,nan
0.6900000000000001,nan,nan,nan,nan,nan
0.7000000000000001,nan,nan,nan,nan,nan
0.71,nan,nan,nan,nan,nan
0.72,nan,nan,nan,nan,nan
0.73,nan,nan,nan,nan,nan
0.74,nan,nan,nan,nan,nan
0.75,nan,nan,nan,nan,nan
0.76,nan,nan,nan,nan,nan
0.77,nan,nan,nan,nan,nan
0.78,nan,nan,nan,nan,nan
0.79,nan,nan,nan,nan,nan
0.8,nan,nan,nan,nan,nan
0.81,nan,nan,nan,nan,nan
0.8200000000000001,nan,nan,nan,nan,nan
0.8300000000000001,nan,nan,nan,nan,nan
0.84,nan,nan,nan,nan,nan
0.85,nan,nan,nan,nan,nan
0.86,nan,nan,nan,nan,nan
0.87,nan,nan,nan,nan,nan
0.88,nan,nan,nan,nan,nan
0.89,nan,nan,nan,nan,nan
0.9,nan,nan,nan,nan,nan
0.91,nan,nan,nan,nan,nan
0.92,nan,nan,nan,nan,nan
0.93,nan,nan,nan,nan,nan
0.9400000000000001,nan,nan,nan,nan,nan
0.9500000000000001,nan,nan,nan,nan,nan
0.96,nan,nan,nan,nan,nan
0.97,nan,nan,nan,nan,nan
0.98,nan,nan,nan,nan,nan
0.99,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan
1.01,nan,nan,nan,nan,nan
1.02,nan,nan,nan,nan,nan
1.03,nan,nan,nan,nan,nan
1.04,nan,nan,nan,nan,nan
1.05,nan,nan,nan,nan,nan
1.06,nan,nan,nan,nan,nan
1.07,nan,nan,nan,nan,nan
1.08,nan,nan,nan,nan,nan
1.09,nan,nan,nan,nan,nan
1.1,nan,nan,nan,nan,nan
1.11,nan,nan,nan,nan,nan
1.12,nan,nan,nan,nan,nan
1.1300000000000001,nan,nan,nan,nan,nan
1.1400000000000001,nan,nan,nan,nan,nan
1.1500000000000001,nan,nan,nan,nan,nan
1.16,nan,nan,nan,nan,nan
1.17,nan,nan,nan,nan,nan
1.18,nan,nan,nan,nan,nan
1.19,nan,nan,nan,nan,nan
1.2,nan,nan,nan,nan,nan
1.21,nan,nan,nan,nan,nan
1.22,nan,nan,nan,nan,nan
1.23,nan,nan,nan,nan,nan
1.24,nan,nan,nan,nan,nan
1.25,nan,nan,nan,nan,nan
1.26,nan,nan,nan,nan,nan
1.27,nan,nan,nan,nan,nan
1.28,nan,nan,nan,nan,nan
1.29,nan,nan,nan,nan,nan
1.3,nan,nan,nan,nan,nan
1.31,nan,nan,nan,nan,nan
1.32,nan,nan,nan,nan,nan
1.33,nan,nan,nan,nan,nan
1.34,nan,nan,nan,nan,nan
1.35,nan,nan,nan,nan,nan
1.36,nan,nan,nan,nan,nan
1.37,nan,nan,nan,nan,nan
1.3800000000000001,nan,nan,nan,nan,nan
1.3900000000000001,nan,nan,nan,nan,nan
1.4000000000000001,nan,nan,nan,nan,nan
1.41,nan,nan,nan,nan,nan
1.42,nan,nan,nan,nan,nan
1.43,nan,nan,nan,nan,nan
1.44,nan,nan,nan,nan,nan
1.45,nan,nan,nan,nan,nan
1.46,nan,nan,nan,nan,nan
1.47,nan,nan,nan,nan,nan
1.48,nan,nan,nan,nan,nan
1.49,nan,nan,nan,nan,nan
1.5,nan,nan,nan,nan,nan
1.51,nan,nan,nan,nan,nan
1.52,nan,nan,nan,nan,nan
1.53,nan,nan,nan,nan,nan
1.54,nan,nan,nan,nan,nan
1.55,nan,nan,nan,nan,nan
1.56,nan,nan,nan,nan,nan
1.57,nan,nan,nan,nan,nan
1.58,nan,nan,nan,nan,nan
1.59,nan,nan,nan,nan,nan
1.6,nan,nan,nan,nan,nan
1.61,nan,nan,nan,nan,nan
1.62,nan,nan,nan,nan,nan
1.6300000000000001,nan,nan,nan,nan,nan
1.6400000000000001,nan,nan,nan,nan,nan
1.6500000000000001,nan,nan,nan,nan,nan
1.6600000000000001,nan,nan,nan,nan,nan
1.67,nan,nan,nan,nan,nan
1.68,nan,nan,nan,nan,nan
1.69,nan,nan,nan,nan,nan
1.7,nan,nan,nan,nan,nan
1.71,nan,nan,nan,nan,nan
1.72,nan,nan,nan,nan,nan
1.73,nan,nan,nan,nan,nan
1.74,nan,nan,nan,nan,nan
1.75,nan,nan,nan,nan,nan
1.76,nan,nan,nan,nan,nan
1.77,nan,nan,nan,nan,nan
1.78,nan,nan,nan,nan,nan
1.79,nan,nan,nan,nan,nan
1.8,nan,nan,nan,nan,nan
1.81,nan,nan,nan,nan,nan
1.82,nan,nan,nan,nan,nan
1.83,nan,nan,nan,nan,nan
1.84,nan,nan,nan,nan,nan
1.85,nan,nan,nan,nan,nan
1.86,nan,nan,nan,nan,nan
1.87,nan,nan,nan,nan,nan
1.8800000000000001,nan,nan,nan,nan,nan
1.8900000000000001,nan,nan,nan,nan,nan
1.9000000000000001,nan,nan,nan,nan,nan
1.9100000000000001,nan,nan,nan,nan,nan
1.92,nan,nan,nan,nan,nan
1.93,nan,nan,nan,nan,nan
1.94,nan,nan,nan,nan,nan
1.95,nan,nan,nan,nan,nan
1.96,nan,nan,nan,nan,nan
1.97,nan,nan,nan,nan,nan
1.98,nan,nan,nan,nan,nan
1.99,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan
2.0100000000000002,nan,nan,nan,nan,nan
2.02,nan,nan,nan,nan,nan
2.0300000000000002,nan,nan,nan,nan,nan
2.04,nan,nan,nan,nan,nan
2.05,nan,nan,nan,nan,nan
2.06,nan,nan,nan,nan,nan
2.07,nan,nan,nan,nan,nan
2.08,nan,nan,nan,nan,nan
2.09,nan,nan,nan,nan,nan
2.1,nan,nan,nan,nan,nan
2.11,nan,nan,nan,nan,nan
2.12,nan,nan,nan,nan,nan
2.13,nan,nan,nan,nan,nan
2.14,nan,nan,nan,nan,nan
2.15,nan,nan,nan,nan,nan
2.16,nan,nan,nan,nan,nan
2.17,nan,nan,nan,nan,nan
2.18,nan,nan,nan,nan,nan
2.19,nan,nan,nan,nan,nan
2.2,nan,nan,nan,nan,nan
2.21,nan,nan,nan,nan,nan
2.22,nan,nan,nan,nan,nan
2.23,nan,nan,nan,nan,nan
2.24,nan,nan,nan,nan,nan
2.25,nan,nan,nan,nan,nan
2.2600000000000002,nan,nan,nan,nan,nan
2.27,nan,nan,nan,nan,nan
2.2800000000000002,nan,nan,nan,nan,nan
2.29,nan,nan,nan,nan,nan
2.3000000000000003,nan,nan,nan,nan,nan
2.31,nan,nan,nan,nan,nan
2.32,nan,nan,nan,nan,nan
2.33,nan,nan,nan,nan,nan
2.34,nan,nan,nan,nan,nan
2.35,nan,nan,nan,nan,nan
2.36,nan,nan,nan,nan,nan
2.37,nan,nan,nan,nan,nan
2.38,nan,nan,nan,nan,nan
2.39,nan,nan,nan,nan,nan
2.4,nan,nan,nan,nan,nan
2.41,nan,nan,nan,nan,nan
2.42,nan,nan,nan,nan,nan
2.43,nan,nan,nan,nan,nan
2.44,nan,nan,nan,nan,nan
2.45,nan,nan,nan,nan,nan
2.46,nan,nan,nan,nan,nan
2.47,nan,nan,nan,nan,nan
2.48,nan,nan,nan,nan,nan
2.49,nan,nan,nan,nan,nan
2.5,nan,nan,nan,nan,nan
2.5100000000000002,nan,nan,nan,nan,nan
2.52,nan,nan,nan,nan,nan
2.5300000000000002,nan,nan,nan,nan,nan
2.54,nan,nan,nan,nan,nan
2.5500000000000003,nan,nan,nan,nan,nan
2.56,nan,nan,nan,nan,nan
2.57,nan,nan,nan,nan,nan
2.58,nan,nan,nan,nan,nan
2.59,nan,nan,nan,nan,nan
2.6,nan,nan,nan,nan,nan
2.61,nan,nan,nan,nan,nan
2.62,nan,nan,nan,nan,nan
2.63,nan,nan,nan,nan,nan
2.64,nan,nan,nan,nan,nan
2.65,nan,nan,nan,nan,nan
2.66,nan,nan,nan,nan,nan
2.67,nan,nan,nan,nan,nan
2.68,nan,nan,nan,nan,nan
2.69,nan,nan,nan,nan,nan
2.7,nan,nan,nan,nan,nan
2.71,nan,nan,nan,nan,nan
2.72,nan,nan,nan,nan,nan
2.73,nan,nan,nan,nan,nan
2.74,nan,nan,nan,nan,nan
2.75,nan,nan,nan,nan,nan
2.7600000000000002,nan,nan,nan,nan,nan
2.77,nan,nan,nan,nan,nan
2.7800000000000002,nan,nan,nan,nan,nan
2.79,nan,nan,nan,nan,nan
2.8000000000000003,nan,nan,nan,nan,nan
2.81,nan,nan,nan,nan,nan
2.82,nan,nan,nan,nan,nan
2.83,nan,nan,nan,nan,nan
2.84,nan,nan,nan,nan,nan
2.85,nan,nan,nan,nan,nan
2.86,nan,nan,nan,nan,nan
2.87,nan,nan,nan,nan,nan
2.88,nan,nan,nan,nan,nan
2.89,nan,nan,nan,nan,nan
2.9,nan,nan,nan,nan,nan
2.91,nan,nan,nan,nan,nan
2.92,nan,nan,nan,nan,nan
2.93,nan,nan,nan,nan,nan
2.94,nan,nan,nan,nan,nan
2.95,nan,nan,nan,nan,nan
2.96,nan,nan,nan,nan,nan
2.97,nan,nan,nan,nan,nan
2.98,nan,nan,nan,nan,nan
2.99,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan
3.0100000000000002,nan,nan,nan,nan,nan
3.02,nan,nan,nan,nan,nan
3.0300000000000002,nan,nan,nan,nan,nan
3.04,nan,nan,nan,nan,nan
3.0500000000000003,nan,nan,nan,nan,nan
3.06,nan,nan,nan,nan,nan
3.0700000000000003,nan,nan,nan,nan,nan
3.08,nan,nan,nan,nan,nan
3.09,nan,nan,nan,nan,nan
3.1,nan,nan,nan,nan,nan
3.11,nan,nan,nan,nan,nan
3.12,nan,nan,nan,nan,nan
3.13,nan,nan,nan,nan,nan
3.14,nan,nan,nan,nan,nan
3.15,nan,nan,nan,nan,nan
3.16,nan,nan,nan,nan,nan
3.17,nan,nan,nan,nan,nan
3.18,nan,nan,nan,nan,nan
3.19,nan,nan,nan,nan,nan
3.2,nan,nan,nan,nan,nan
3.21,nan,nan,nan,nan,nan
3.22,nan,nan,nan,nan,nan
3.23,nan,nan,nan,nan,nan
3.24,nan,nan,nan,nan,nan
3.25,nan,nan,nan,nan,nan
3.2600000000000002,nan,nan,nan,nan,nan
3.27,nan,nan,nan,nan,nan
3.2800000000000002,nan,nan,nan,nan,nan
3.29,nan,nan,nan,nan,nan
3.3000000000000003,nan,nan,nan,nan,nan
3.31,nan,nan,nan,nan,nan
3.3200000000000003,nan,nan,nan,nan,nan
3.33,nan,nan,nan,nan,nan
3.34,nan,nan,nan,nan,nan
3.35,nan,nan,nan,nan,nan
3.36,nan,nan,nan,nan,nan
3.37,nan,nan,nan,nan,nan
3.38,nan,nan,nan,nan,nan
3.39,nan,nan,nan,nan,nan
3.4,nan,nan,nan,nan,nan
3.41,nan,nan,nan,nan,nan
3.42,nan,nan,nan,nan,nan
