t,V,m,h,m_1,h_1,n,m_2,h_2,m_3,h_3,m_4,z,Ca_conc,m_5,h_4,m_6
0.0,-71.847,0.015,0.981,0.002,0.797,0.158,0.001,0.562,0.001,0.649,0.0,0.0,0.0604,0.057,0.287,0.182
0.01,-71.84199858206199,0.014955144345810805,0.9810019793883742,0.0020368525213146534,0.7970000134822316,0.15799917144773798,0.0010003316777647184,0.5619999845001087,0.00099987002926898,0.6490000168923935,1.1487591590249054e-11,0.009925699077877138,0.060425414016919005,0.057001021085719805,0.2870178435436616,0.1820000536042724
0.02,-71.83709893597556,0.014915367476140012,0.9810038759378711,0.0020704620444361088,0.7970000162795685,0.15799862779564222,0.0010006651550428184,0.5619998106092057,0.0009997418601942359,0.648999883276345,2.298269046120702e-11,0.019752630298865287,0.06045082377377285,0.05700213355964829,0.28703562895506435,0.18200007961026385
0.03,-71.83242648232923,0.014880135078636895,0.9810056923570872,0.0021011455035430905,0.7970000087228867,0.15799835722148747,0.0010010003499054832,0.5619994834524249,0.0009996154417295392,0.6489996038798909,3.448472214565886e-11,0.029481819719514697,0.060476229418988635,0.05700333372823656,0.2870533578220243,0.18200007890876832
0.04,-71.8280942030116,0.014848979542315573,0.9810074332259674,0.002129158867423846,0.7969999914280467,0.15799834089149586,0.0010013371127796777,0.5619990123493744,0.0009994906819413237,0.6489991874375992,4.5992602159187765e-11,0.03911422187765222,0.06050163114994472,0.05700461538597354,0.2870710330344756,0.18200005311878797
0.05,-71.82421324534971,0.014821449384708035,0.9810091046972715,0.0021547343990418605,0.7969999652472983,0.15799855403136367,0.0010016752378459379,0.5619984101024339,0.0009993674548120287,0.6489986460090215,5.750482250884972e-11,0.048650800400142434,0.060527029207312115,0.05700597022546377,0.2870886585627112,0.1820000044627003
0.06,-71.82089062087518,0.014797117940635792,0.9810107144357006,0.0021780769445566687,0.7969999312629461,0.15799896622334667,0.0010020144646864918,0.5619976928917685,0.00099924560126561,0.6489979948862787,6.9019462099151e-11,0.0580925089462423,0.06055242387002924,0.05700738792640682,0.28710623942472613,0.18199993574754086
0.07,-71.81822914825109,0.014775582402995644,0.9810122716154336,0.0021993658835540238,0.7969998907886163,0.1579995414578922,0.001002354478088757,0.561996880286464,0.0009991249290475126,0.6489972526097184,8.053418394521332e-11,0.06744029150687235,0.0605778154529061,0.05700885616493261,0.28712378168963726,0.18199985036654917
0.08,-71.81632753679531,0.0147564630867633,0.9810137868777209,0.002218756083438773,0.7969998453630683,0.1580002382969393,0.0010026949095439724,0.5619959951535014,0.0009990052136295987,0.648996440880809,9.20462464786242e-11,0.07669508260310758,0.0606032043051723,0.05701036066938621,0.28714129244960884,0.18199975228360715
0.09,-71.81528053716252,0.01473939954566523,0.9810152721550449,0.002236384142332334,0.7969997967267918,0.158001010606092,0.0010030353430915285,0.561995063305117,0.0009988862017338543,0.6489955842300789,1.0355254617001121e-10,0.08585780761847268,0.060628590801266445,0.0570118854569275,0.28715877971137865,0.18199964597294663
0.1,-71.8151785013965,0.014724053709611527,0.9810167408453765,0.002252364616929068,0.7969997468479159,0.15800180688438512,0.0010033753091671488,0.5619941138847074,0.0009987676076009474,0.6489947103824996,1.1504957192797891e-10,0.09492938182723841,0.060653975346091564,0.057013412595084,0.2871762525164008,0.18199953648675454
0.11,-71.816108331009,0.014710101367917438,0.9810182073303966,0.002266801315201222,0.7969996978518956,0.15800257211712881,0.0010037143016549466,0.5619931783346659,0.0009986491232821043,0.6489938492681967,1.265335341012277e-10,0.10391071263343307,0.060679358358549755,0.057014922832520375,0.28719372062280607,0.18199942927920376
0.12,-71.81815273492926,0.014697237168031002,0.9810196872349589,0.002279781372934553,0.7969996520606658,0.1580032467861075,0.00100405176867068,0.5619922909801258,0.000998530413040899,0.6489930335744329,1.3800029626413353e-10,0.11280269795393195,0.06070474027853957,0.05701639524092423,0.28721119468765194,0.18199933030939636
0.13,-71.82139042719454,0.014685172041665789,0.9810211972690505,0.002291379009402737,0.7969996119701679,0.15800376747954956,0.0010043871181524661,0.5619914887041896,0.0009984111167089759,0.6489922984301137,1.494454183734503e-10,0.12160622675520467,0.06073012156069107,0.0570178074119453,0.28722868616810443,0.18199924598781397
0.14,-71.82589611966957,0.014673631954542224,0.9810227551195307,0.0023016578516315937,0.7969995802352378,0.15800406728809083,0.0010047197218744797,0.5619908107467008,0.0009982908520526702,0.6489916811966484,1.6086419061264652e-10,0.13032217919712735,0.06075550266964577,0.057019135565221715,0.28724620726324707,0.18199918314777255
0.15,-71.83174051870606,0.014662358016930029,0.9810243794491343,0.0023106707656028076,0.79699955966937,0.1580040758030614,0.0010050489155233,0.5619902987033194,0.0009981692148144266,0.6489912214650233,1.7225163437875186e-10,0.13895142663238005,0.0607808840801516,0.05702035454625356,0.2872637709141518,0.18199914904583137
0.16,-71.83899028656211,0.01465110452734119,0.9810260896786531,0.002318463678052474,0.7969995532139827,0.15800371989237155,0.0010053740069253054,0.5619899961253678,0.0009980457835486974,0.6489909606317277,1.8360257304504042e-10,0.14749483186701115,0.06080626626803984,0.057021438030842975,0.2872813906896151,0.18199915130732705
0.17,-71.84770807677833,0.014639640344488392,0.9810279061555605,0.0023250728234285633,0.7969995639623431,0.1580029231077366,0.0010056942696183722,0.5619899488279704,0.0009979201158492395,0.648990942228292,1.9491157614587274e-10,0.15595324896162524,0.0608316497170226,0.05702235837167346,0.2872990808736198,0.18199919796747507
