t,C1,C2,C3,O1,O2,C4
0.0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
0.01,-0.18910246795287405,1.4387755012702643,0.20383634175202306,0.3527232148682328,0.22562726514787845,0.027952148087973548
0.02,-1.3743121965512712,3.8517202107284456,0.40099226429814894,0.9675440194122231,0.3789558087032548,0.0458761916006658
0.03,-4.068287000209854,7.890263210523895,0.8443510719386241,2.01012487473685,0.7985825601251711,0.09664333075772523
0.04,-8.989300706086858,13.11597214728523,1.5540409261984534,3.388774521631039,1.5313978353634723,0.18642739402355327
0.05,-16.151907484253226,16.59948369403863,2.3446447442615534,4.389042933749473,2.458001029215217,0.3017953380461397
0.06,-23.056846580195938,9.955998442185608,2.49249407623182,2.9124113129163782,2.9721542485092,0.37081232906957956
0.07,-21.162151913049456,-24.917795647929232,0.18433429579844263,-5.637945830896149,1.4196538294009955,0.19442273537609114
0.08,9.698441785012117,-119.83036635789124,-8.183164161291856,-29.446935076685495,-5.681339291930284,-0.6500208317215084
0.09,107.7864088980798,-318.7512101676498,-28.43450044259474,-80.04619953785615,-24.30705323426928,-2.8941450240908244
0.1,331.6876578688609,-658.4651650879932,-67.60276318775837,-167.6396029890749,-62.436378187997896,-7.527528987839696
0.11,744.9928991716164,-1108.3447790188334,-128.96720691345317,-286.08427440720743,-126.02382200921694,-15.3225462520713
0.12,1356.3938310664998,-1434.274959479459,-198.78523728790702,-378.42793059102917,-207.06542679185418,-25.401511028107294
0.13,1970.4662689144252,-949.6431417497171,-218.79378685423728,-273.01508543543395,-257.32099349612463,-32.052147812602975
0.14,1892.8925131150768,1848.8517690716649,-39.768933543535276,411.5639626348668,-141.30074484974804,-18.982761507237342
0.15,-542.6520645487698,9637.014318880867,638.8948144406045,2363.2142813560804,430.41936095068957,48.92009239833161
0.16,-8538.27076865436,26183.09840105775,2310.0738871303547,6568.604772855702,1961.3298854538446,233.25782785055793
0.17,-27072.635316093554,54817.369017615085,5584.033693722844,13944.716606571694,5137.288839784387,618.9955887932623
0.18,-61724.388605182365,93518.5935584948,10789.52647904153,24115.09553793708,10506.182023787327,1276.7362667143684
0.19,-113825.20500629244,123643.53000490977,16884.17504414448,32557.862994120816,17502.32031951106,2145.67113606052
0.2,-168163.70907101498,89037.73429964107,19165.650175595838,25250.367890988775,22266.85958915645,2769.57985215695
0.21,-168378.39349359655,-135028.01049056413,5354.11429210754,-29426.940595301214,13697.886731000966,1814.4391347154792
0.22,23102.492629701137,-773444.949595389,-49613.86506032943,-189238.02243570122,-32251.96019429168,-3635.7233765772235
0.23,674045.1758032332,-2148642.233884561,-187405.38928902388,-538476.5569188441,-157966.2976281398,-18763.44445085452
0.24,2207035.6479931944,-4559944.315371385,-460847.1969126809,-1159039.534781889,-422298.9392577236,-50851.72190186737
0.25,5109825.748212066,-7883204.703304414,-901927.5290681005,-2030843.1338576444,-875168.8666961791,-106298.33288743794
0.26,9543802.659574296,-10638087.232431088,-1432401.850456211,-2796000.217817479,-1477896.9254017156,-181065.35455746713
0.27,14331655.811702268,-8237172.70163956,-1673435.7657981962,-2310328.2182243178,-1922569.1923830593,-238811.15428118076
0.28,14904897.40269456,9660013.967854174,-615449.3496308513,2045361.6271948838,-1300466.5836762786,-170419.05908522478
0.29,-84551.06868800044,61938165.62380299,3829600.238044228,15117381.418896204,2384840.2634664536,266072.23885562073
0.3,-53009710.06264436,176144200.2875152,15180615.481919726,44096861.51843749,12697947.359169345,1506279.9333188208
0.31,-179698138.2756128,379014893.259787,38000245.72120821,96258954.87159885,34680720.126737274,4173482.866449823
0.32,-422664816.9155817,663895550.9409162,75333905.53973068,170869873.1829144,72844145.77104047,8843162.283514505
0.33,-799539891.0093055,913614663.3047086,121383143.65082997,239703831.2999303,124671085.38238928,15264690.215162277
0.34,-1219800614.631606,753849792.003184,145686579.78091118,209514335.20679003,165657902.36108607,20551416.203258246
0.35000000000000003,-1313709736.5636044,-671963468.8719964,65321680.08543371,-136479800.87271282,121505012.80524857,15788106.05515124
