t,C1,C2,C3,C5,O1,O2,O3,C4
0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.01,-0.0034107116527263928,0.3776514561707256,0.06495237819490762,0.12102716872789154,0.020991617638899143,0.05278449569522999,0.024953497732709846,0.19794705311021726
0.02,-0.13986891223450212,0.3549940048360952,0.061090756890385046,0.11722236517409022,0.019849195648327444,0.04257241794777164,0.01961642639707034,0.1593390118356759
0.03,-0.2570857499440696,0.276068058078885,0.047696549346500715,0.11348493758749732,0.015591616071242688,0.03437467804743091,0.01584793942581829,0.1286903526397915
0.04,-0.33814518868008026,0.16156210788624412,0.028238268544308293,0.10975372803928948,0.009337510200253793,0.027454917819812897,0.012462836413626896,0.10300465141876476
0.05,-0.3739886393455793,0.03324111445936695,0.006393724915904804,0.1059970832679309,0.002276762716709224,0.02130590902443364,0.009325914895807655,0.08028300626760354
0.06,-0.3633484814566888,-0.08863446022371757,-0.01440119776526952,0.10221157006242348,-0.004474787832084891,0.015711739476163427,0.006431512659338991,0.059632941194508925
0.07,-0.31175492031902813,-0.18760773876001238,-0.03134569442610336,0.09841751319707995,-0.010003528830204039,0.01065434927274364,0.0038445740533743743,0.04092311633129038
0.08,-0.22982792937640495,-0.2525887078568288,-0.04254277279900715,0.09465220662776543,-0.01368634993429913,0.00622728727217536,0.0016566227915196037,0.024463814555294037
0.09,-0.13115209831652522,-0.27855439528878695,-0.04712179719064896,0.09096191692524631,-0.015231683878721694,0.0025623970302211152,-4.920114203939895e-05,0.01073296072708705
0.1,-0.030053950705148866,-0.26639273906574346,-0.04521533446753766,0.0873938333472506,-0.014673367243919556,-0.0002270124180732299,-0.0012225087302957505,0.00016109634972223436
0.11,0.060423525068379585,-0.22200911066952533,-0.037810373529007554,0.08398899158536541,-0.012323551950766365,-0.002084392699460818,-0.0018589173138714066,-0.007016252193221533
0.12,0.1301128317305131,-0.15489927453086244,-0.026508104353526622,0.08077695804822702,-0.008695678003280891,-0.0030292704447783285,-0.002002830706421926,-0.010836875842780359
0.13,0.17273036704412192,-0.07643760915826475,-0.013234411058440209,0.07777273351802312,-0.0044110810384578245,-0.003159250027507628,-0.0017414189890893482,-0.011625950246205564
0.14,0.18624368311499703,0.0018626608255488963,5.5342217354926375e-05,0.07497599710097184,-0.00010335031889673892,-0.0026378769227878513,-0.0011922124740825597,-0.009956862900486859
0.15,0.1726308823899794,0.0698877159442896,0.011638149620179271,0.07237249097190905,0.003666853687141693,-0.001672665596778699,-0.00048712670782092497,-0.006574167115400882
0.16,0.13714046744921937,0.12008522524274978,0.02022198143993859,0.06993709284123588,0.0064767588444302,-0.00048808905080319513,0.0002442574100197125,-0.002296098392470916
0.17,0.08721066160136373,0.14814495386440624,0.025063025970853588,0.06763796263867089,0.0080802311218019,0.0007017918982556608,0.0008896586659805114,0.002086097197113824
0.18,0.03123297284550229,0.15316919483103994,0.02599641933972215,0.06544108255738496,0.008418527013401955,0.0017170427822484787,0.0013654019717638751,0.005896977272767205
0.19,-0.022658506108353228,0.13737399010392173,0.023387161774834096,0.06331454520507512,0.007605112643857984,0.002428976427334911,0.0016229186409669766,0.008642625343172266
0.2,-0.06761625591268948,0.10541853242572831,0.01801755597868156,0.06123205708450299,0.005889756697287441,0.0027690430034372298,0.0016500950793356115,0.010046732772887054
0.21,-0.09881426938603798,0.06349659231335625,0.010933762414572107,0.059175293619639205,0.003609164182620704,0.0027291850957003533,0.0014678635460450076,0.010055385198073525
0.22,-0.11382856934497759,0.01833844242264327,0.0032766310322274845,0.05713493745581748,0.0011322827619304524,0.0023545494257785162,0.001123020231869137,0.008813353560918672
0.23,-0.11265698315411778,-0.02373490699581741,-0.0038790890746769704,0.05511042513709951,-0.0011918952211069536,0.0017303671129794253,0.0006786405691853601,0.006618187016509938
0.24,-0.09741989178204467,-0.05758769855438843,-0.009657127855825166,0.05310859343029465,-0.0030775043483582004,0.0009653765181030322,0.0002036166663528628,0.0038606182077038
0.25,-0.07182032814649658,-0.07979490901596978,-0.01346982176750844,0.051141537197471505,-0.004331408307483801,0.00017433899075864923,-0.00023722447089537352,0.0009605958258065863
0.26,-0.04046366668197031,-0.0888792486818352,-0.015059389841061538,0.04922405560594144,-0.004867026935841938,-0.0005379857573744121,-0.0005912140647445989,-0.001692270959943867
0.27,-0.008143198502305313,-0.08526414678647387,-0.014490965858695698,0.0473710710419665,-0.0047025190411318285,-0.0010895114804385022,-0.0008233172534217489,-0.003786697063647318
0.28,0.020810758859278404,-0.07098387966679641,-0.012104244793181193,0.045595361260899456,-0.003945487032643761,-0.0014289181338201897,-0.0009186053371356776,-0.005121352524470879
0.29,0.043040856106209814,-0.04921859956282588,-0.008435153848467951,0.043905862626371576,-0.0027678602201551632,-0.0015386822453113953,-0.0008817755918625234,-0.005618059692248064
0.3,0.056482449355021724,-0.02373675664035621,-0.004121503991918172,0.042306695641218736,-0.0013754576862418902,-0.0014332831147938973,-0.0007341502392233071,-0.005317142103231067
0.31,0.06047469724565017,0.001670735160847142,0.00019306178751997047,0.04079695087287418,2.313202861183402e-05,-0.001153421076559688,-0.0005088607972730215,-0.00435775971723348
0.32,0.05567420178460366,0.023689531275757476,0.003944045072015291,0.03937116918951104,0.0012441980984832293,-0.0007575012521486275,-0.0002450738719164766,-0.0029476743667422624
0.33,0.04380681937033047,0.039856997435390326,0.006710234824278144,0.038020367581605,0.0021498904404271537,-0.00031183822087082086,1.7866092134924413e-05,-0.0013277195164406498
0.34,0.02731008813328869,0.04877963385552426,0.008251189815297417,0.03673340867611842,0.002660613901165837,0.0001189756096910141,0.000245598956881634,0.00026371097243080955
0.35000000000000003,0.008926549320931445,0.05018376612159687,0.00851644105853844,0.035498492037528306,0.0027582700953776313,0.0004802954916024252,0.0004126251298467823,0.0016215020369583443
0.36,-0.0086927448671036,0.04481339927111766,0.007628692078311759,0.03430455670392502,0.002481049564272168,0.0007333383668926196,0.0005045460977256365,0.0025965164169611155
0.37,-0.02332392949448145,0.034207482290006634,0.005846427562851471,0.03314242216553644,0.0019114995849892206,0.0008582962849642686,0.0005185777972679509,0.0031081856893712995
0.38,-0.03340872113065101,0.020400518190559675,0.0035133485362184675,0.03200555014159772,0.0011602536482634121,0.0008545837246311809,0.0004624807952902828,0.0031465795497537118
0.39,-0.03817634091900541,0.005595227287683471,0.0010028885445591592,0.03089037409516405,0.0003480910181790697,0.0007385408932435802,0.00035224327185024644,0.0027649835413739933
0.4,-0.0376473403298951,-0.008146473798927634,-0.0013343252357278547,0.02979620627955462,-0.0004111211022812882,0.0005392059177142134,0.00020897314280966965,0.0020651219480129074
0.41000000000000003,-0.03253338571270938,-0.01915599507935063,-0.0032135534787386738,0.028724786303145382,-0.0010244793227410058,0.0002929468929414116,5.5503373304356394e-05,0.0011778649491907779
0.42,-0.024058934928169202,-0.02632799941001684,-0.004445093899734052,0.027679574219035923,-0.0014296204940392658,3.779667423751578e-05,-8.680990611253817e-05,0.00024250087463397827
0.43,-0.013737770743754537,-0.029195669206103333,-0.0049473997775840725,0.026664911910612224,-0.0015991208767414384,-0.0001917316487987581,-0.00020070123767515095,-0.0006125373646601534
0.44,-0.003139201812952731,-0.027913126632507272,-0.004744426147186866,0.025685178537513096,-0.001539780224720094,-0.00036872939110725226,-0.0002747520370149195,-0.0012851487633747578
0.45,0.006324194897225141,-0.0231587468784353,-0.003949494154482853,0.0247440510962496,-0.0012875146640428299,-0.0004764780078149321,-0.00030416499732200184,-0.001709686149666654
0.46,0.0135621617279382,-0.01598176759980983,-0.0027394468358744282,0.023843953720310857,-0.0008990679334995201,-0.0005093822417311663,-0.0002905763413592486,-0.0018610587360223115
0.47000000000000003,0.017909756992173242,-0.007619259036198435,-0.0013236753955336146,0.022985744334489237,-0.00044201795579978394,-0.0004723322692547331,-0.00024104909363317808,-0.0017530203732546122
