t,V,Ca_i,m_L,m_T,h_T,n,Ca_er
0.0,-70.0,0.00026,0.0,0.0,0.0,0.0,0.0172
0.01,-70.19633244745897,0.00025999733116477343,2.6815864179970815e-05,0.00012082203423547104,0.0006211949436061655,7.311382966793397e-09,0.017200001043739862
0.02,-70.39301514241207,0.0002599946623557302,5.3540484368210246e-05,0.00024053677072493362,0.00124360563095211,1.4306701185418135e-08,0.017200002087456725
0.03,-70.59004899257272,0.0002599919935795993,8.017410347903691e-05,0.0003591379970755161,0.0018671793099145919,2.0998935196082715e-08,0.0172000031311506
0.04,-70.7874347590168,0.0002599893248423066,0.00010671682432960268,0.00047661985361595365,0.0024918734324871983,2.7398334717422516e-08,0.017200004174821478
0.05,-70.98517340303266,0.00025998665615155575,0.00013316869750378484,0.0005929744297885636,0.0031176355688765766,3.3517360557619164e-08,0.01720000521846936
0.06,-71.18326600104777,0.00025998398751575654,0.00015952985805570453,0.0007081933713585297,0.003744405712778646,3.937044591041108e-08,0.017200006262094253
0.07,-71.38171349660372,0.0002599813189428023,0.00018580022293876263,0.0008222680969405436,0.0043721345609483535,4.49690777665942e-08,0.017200007305696152
0.08,-71.58051670830577,0.00025997865044011226,0.0002119794996263632,0.0009351897837426405,0.005000782945520258,5.0321947214351136e-08,0.017200008349275056
0.09,-71.7796765497393,0.00025997598201546777,0.00023806755417460313,0.0010469497884532766,0.005630304003874952,5.543986743328058e-08,0.01720000939283097
0.1,-71.97919393854026,0.0002599733136772438,0.0002640640077091722,0.001157537956269503,0.006260654471393004,6.033245220148285e-08,0.017200010436363888
0.11,-72.17906979425538,0.000259970645434109,0.00028996835996753737,0.001266943384079465,0.006891792871942277,6.500871953899291e-08,0.017200011479873815
0.12,-72.379305038,0.0002599679772948655,0.0003157800272782117,0.0013751547122991298,0.007523678781132816,6.947740217506911e-08,0.01720001252336075
0.13,-72.57990058268207,0.0002599653092673066,0.0003414989092793391,0.0014821634254348166,0.008156265069106512,7.374931394687322e-08,0.017200013566824695
0.14,-72.78085736049641,0.00025996264136159597,0.0003671237698584532,0.0015879543245395354,0.008789520363480501,7.7830378204352e-08,0.01720001461026565
0.15,-72.98217629170495,0.0002599599735864203,0.00039265407683566233,0.0016925163599548886,0.00942340350484159,8.172956088891872e-08,0.017200015653683613
0.16,-73.18385830321913,0.0002599573059510394,0.0004180889353054747,0.0017958365089863902,0.010057877884824578,8.54545342981154e-08,0.017200016697078588
0.17,-73.38590432315863,0.0002599546384648737,0.00044342737781455344,0.0018979013142056056,0.01069290792490798,8.901264535428651e-08,0.017200017740450574
0.18,-73.58831528019725,0.000259951971137454,0.0004686683992477646,0.001998697068389487,0.011328458653084204,9.24110320127684e-08,0.017200018783799575
0.19,-73.79109210503785,0.0002599493039785338,0.000493810878170528,0.00209820939753724,0.011964496658342273,9.565636079608537e-08,0.017200019827125587
0.2,-73.9942357304123,0.0002599466369980892,0.0005188535768288168,0.002196423260870322,0.012600990090667803,9.875482679394957e-08,0.017200020870428618
0.21,-74.19774709106333,0.0002599439702061585,0.0005437951610936051,0.002293323178451397,0.01323790808193901,1.017123878596354e-07,0.017200021913708664
0.22,-74.40162712366633,0.00025994130361215465,0.0005686342860912572,0.0023888942084537962,0.013875218259575507,1.0453577011923232e-07,0.017200022956965724
0.23,-74.60587676696237,0.00025993863722603564,0.000593369450459593,0.00248312028383734,0.014512890978337441,1.0723075658300803e-07,0.017200024000199807
0.24,-74.81049696172171,0.00025993597105798303,0.0006179990364128221,0.002575984669595321,0.015150898157006038,1.098026576052856e-07,0.017200025043410908
