t,c,ce,A,O,R,I_1,S,I_2
0.0,0.01,0.01,0.16,0.01,0.16,0.16,0.16,0.16
0.01,2.277482038081195e-05,0.07483882922853907,0.14326662457037273,0.22555237615219728,0.004931233265339332,0.15866285605088865,0.1189235250279867,0.1586633849332157
0.02,2.6108325796096852e-05,0.08578282778645431,0.12840120091192136,0.2769711205376594,0.0014362636943657705,0.15733567798322137,0.088519054077197,0.15733668279563556
0.03,2.9442324089014347e-05,0.09672682353362337,0.11520017418574334,0.31526898425902733,0.0014990817225398836,0.15601959950781893,0.06599107270487357,0.156021087619997
0.04,3.277707472123688e-05,0.10767081504986431,0.10347627664264297,0.34617450945616773,0.0016170967872883252,0.1547145310128764,0.04930108617946044,0.1547164999215652
0.05,3.611261661086666e-05,0.11861480210591459,0.09306332673558962,0.3714404653386416,0.0017144583120445062,0.1534203804889722,0.036938546661943426,0.15342282246281003
0.06,3.944896156128661e-05,0.12955878461891626,0.08381384520173256,0.3923312140504319,0.0017943256001963274,0.15213705660674726,0.02778359854223609,0.15213995999865704
0.07,4.278613118413307e-05,0.14050276245303153,0.07559695094924225,0.4098042667398161,0.0018605230636092364,0.15086446879610355,0.021005971392536137,0.15086781905869387
0.08,4.612413926202313e-05,0.1514467355146841,0.06829649590497662,0.42458852057440766,0.001915991937683939,0.1496025272437606,0.015990156577182862,0.1496063077619895
0.09,4.946299503990948e-05,0.16239070373478584,0.061809407274652506,0.437241256484764,0.0019629790406511635,0.14835114288796333,0.012279878652649415,0.14835533565932083
0.1,5.280270417590601e-05,0.17333466706360254,0.05604421561650239,0.4481906485773511,0.002003208151871143,0.14711022741270807,0.009536886642543206,0.14711481359902528
0.11,5.614326950600187e-05,0.18427862546662419,0.05091974917500316,0.45776743024291067,0.0020380087740935883,0.1458796932417283,0.007510464953067687,0.14588465361319783
0.12,5.9484693034251957e-05,0.1952225789138186,0.04636397442781138,0.46622860680240136,0.0020684123053376783,0.1446594535323635,0.006014784110952526,0.14466476882113477
0.13,6.282697502941636e-05,0.2061665273845092,0.04231296704891865,0.47377519862744694,0.0020952238747837084,0.14344942216938358,0.004912114931912711,0.14345507334755564
0.14,6.617011540194405e-05,0.21711047085993954,0.038709998943588966,0.4805655374278932,0.0021190764478803453,0.14224951375882022,0.004100391168359587,0.1422554822534587
0.15,6.951411255015616e-05,0.2280544093295039,0.03550472801528516,0.48672526026389534,0.0021404711159580723,0.14105964362183115,0.003503985505319277,0.14106591147771197
0.16,7.285896738183638e-05,0.23899834276903095,0.032652478671338206,0.49235485006343804,0.002159807788034458,0.13987972778861338,0.0030668579008593932,0.1398862777877174
0.17,7.620467803303936e-05,0.249942271169302,0.03011360433185505,0.4975353036626293,0.002177408039953631,0.1387096829923749,0.0027475022352637184,0.13871649873792424
0.18,7.955124408472594e-05,0.2608861945132811,0.027852920922931578,0.5023324501521258,0.0021935326024763134,0.13754942666336867,0.0025151770242930823,0.13755649263480532
0.19,8.289866534295722e-05,0.2718301127827022,0.025839204033394812,0.5068002316133463,0.0022083946199882216,0.13639887692298586,0.0023471143028987503,0.1364061785073868
0.2,8.624693943011637e-05,0.28277402597107654,0.024044743752950484,0.5109831930776867,0.002222169678910602,0.1352579525779125,0.0022264648299915677,0.13526547608254869
0.21,8.959606877335847e-05,0.29371793404595486,0.02244494896193905,0.5149184067715591,0.002235003577230742,0.13412657311434506,0.0021407618107455815,0.13413430576418098
0.22,9.29460496934443e-05,0.30466183700784794,0.021017995215173,0.5186369628232477,0.0022470183115033985,0.1330046586922615,0.0020807763422304774,0.1330125886155843
0.23,9.629688498359062e-05,0.31560573482230075,0.01974451416504399,0.5221651054215891,0.0022583166430177005,0.13189213013975046,0.0020396872858313778,0.13190024634476755
0.24,9.964857104511619e-05,0.3265496274893593,0.018607317296942597,0.5255251292664624,0.002268985693982551,0.1307889089473943,0.0020124575032477317,0.13079720129197056
0.25,0.00010300111106170714,0.337493514972431,0.01759115009178028,0.5287360900172369,0.002279099787400007,0.12969491726270047,0.001995366421801352,0.1297033764190813
0.26,0.00010635450222144594,0.34843739726728445,0.016682473551740344,0.5318143651726275,0.0022887226881559393,0.12861007788458534,0.0019856654023197814,0.12861869530057127
0.27,0.00010970874609067629,0.3593812743460307,0.015869272366234033,0.5347740908022007,0.00229790934274794,0.1275343142579095,0.001981331115033359,0.12754308211587478
