t,Ca_f,Ca_2_S1,Ca_S2,S1,S2,Ca_s,cas1,cas2,Ca_c,Ca_CSQ
0.0,1.2e-07,0.0,0.0,0.0,0.0,0.000201,0.0,0.0,1e-07,0.0
0.01,1.5663987294135567e-07,0.0,0.0,0.0,0.0,0.00010492719022055611,0.04740229684530041,0.017588964379147712,1.0256953759147461e-07,9.920213401753671e-05
0.02,1.8536006404456845e-07,0.0,0.0,0.0,0.0,6.207146749982188e-05,0.0652237647477333,0.03818432828569368,1.1075792595388743e-07,0.00014779481430098374
0.03,2.0903067817301157e-07,0.0,0.0,0.0,0.0,4.4202174900399124e-05,0.08156220251297296,0.0606668958979318,1.2179200852527603e-07,0.0001743074472773363
0.04,2.2969684038528013e-07,0.0,0.0,0.0,0.0,3.797451464263105e-05,0.09689083470814513,0.08431241272353318,1.340651751261646e-07,0.00019177584990751967
0.05,2.485772503450883e-07,0.0,0.0,0.0,0.0,3.7094555506868337e-05,0.11165354611677135,0.10864954521922973,1.467163064363269e-07,0.00020612179116455122
0.06,2.663434072918059e-07,0.0,0.0,0.0,0.0,3.861935442925462e-05,0.1261231439179628,0.13335556469523174,1.5932083806282686e-07,0.00021997109193042008
0.07,2.8335150242606663e-07,0.0,0.0,0.0,0.0,4.1187672493375755e-05,0.14043117842913677,0.15819355128239612,1.7169378807854613e-07,0.00023443054836996333
0.08,2.9978954698311584e-07,0.0,0.0,0.0,0.0,4.4179091840753025e-05,0.15462308896127355,0.18297825416354024,1.8377379457231195e-07,0.000249915165070059
0.09,3.157602372758009e-07,0.0,0.0,0.0,0.0,4.731667144703268e-05,0.1687001883997072,0.2075584224266353,1.9555870530974963e-07,0.0002665326812366714
0.1,3.3132429902958073e-07,0.0,0.0,0.0,0.0,5.048199900997877e-05,0.18264492261619786,0.23180784014008143,2.0707186722004342e-07,0.0002842594372686023
0.11,3.465223893132832e-07,0.0,0.0,0.0,0.0,5.362809093557724e-05,0.1964344992460902,0.2556205587386766,2.1834522644911681e-07,0.0003030212699726666
0.12,3.6138547070676235e-07,0.0,0.0,0.0,0.0,5.6739994504271625e-05,0.21004723357420355,0.2789081589332373,2.2941161627663545e-07,0.0003227286415896337
0.13,3.75939728716777e-07,0.0,0.0,0.0,0.0,5.981625277756265e-05,0.22346512236758298,0.30159786593242865,2.403014951978393e-07,0.00034329203274397055
0.14,3.902087619898107e-07,0.0,0.0,0.0,0.0,6.286066506430494e-05,0.23667452047634704,0.32363105316385704,2.51041907646619e-07,0.00036462778712443265
0.15,4.0421453271356376e-07,0.0,0.0,0.0,0.0,6.587860323155159e-05,0.24966593159939174,0.3449619023305341,2.6165642781345056e-07,0.00038665992083087653
0.16,4.179777815171977e-07,0.0,0.0,0.0,0.0,6.88754697062026e-05,0.2624334855642654,0.3655561432717788,2.7216550204385357e-07,0.0004093201349753497
0.17,4.31518220758301e-07,0.0,0.0,0.0,0.0,7.185609592418107e-05,0.27497434729794096,0.38538984825463013,2.8258690634420813e-07,0.00043254716761481773
0.18,4.448546561196165e-07,0.0,0.0,0.0,0.0,7.482449771341248e-05,0.2872881719308322,0.40444827175627696,2.9293620072583784e-07,0.0004562859812726017
0.19,4.5800506495051057e-07,0.0,0.0,0.0,0.0,7.778388198966008e-05,0.2993766194750152,0.4227247487604399,3.032271493022447e-07,0.0004804868811639187
0.2,4.7098666244858873e-07,0.0,0.0,0.0,0.0,8.073675134949562e-05,0.3112429369317601,0.4402196608140433,3.134720793591226e-07,0.0005051046982370033
0.21,4.838159759538807e-07,0.0,0.0,0.0,0.0,8.368498163410345e-05,0.3228916329836084,0.4569394690927561,3.2368217671160244e-07,0.0005300981134268275
0.22,4.965089153727158e-07,0.0,0.0,0.0,0.0,8.662988245277397e-05,0.33432819018634885,0.47289581597028574,3.338677323170484e-07,0.0005554290935401415
0.23,5.090808299213708e-07,0.0,0.0,0.0,0.0,8.957228264962316e-05,0.34555882667516763,0.48810469875116064,3.4403834892452613e-07,0.0005810623930736383
0.24,5.215465558104507e-07,0.0,0.0,0.0,0.0,9.251262765937024e-05,0.35659030982412226,0.5025857164515432,3.5420310938023186e-07,0.0006069651252846065
0.25,5.339204601953154e-07,0.0,0.0,0.0,0.0,9.545105497438144e-05,0.3674297759311747,0.5163613872745412,3.643707098694404e-07,0.0006331064203661431
0.26,5.462164788053545e-07,0.0,0.0,0.0,0.0,9.838744655715175e-05,0.37808457993578615,0.5294565338733535,3.7454956473217897e-07,0.0006594571595806985
0.27,5.584481445334938e-07,0.0,0.0,0.0,0.0,0.00010132147732691835,0.38856220116279355,0.5418977338157535,3.847478886333744e-07,0.000685989758128326
0.28,5.706286078034988e-07,0.0,0.0,0.0,0.0,0.00010425266607476375,0.39887012721612897,0.5537128320364711,3.9497375942785834e-07,0.000712677984609145
0.29,5.82770649906478e-07,0.0,0.0,0.0,0.0,0.00010718042090824939,0.40901572991241686,0.5649305113578263,4.0523516358367793e-07,0.000739496819995041
0.3,5.948866919469742e-07,0.0,0.0,0.0,0.0,0.00011010407294971482,0.4190062329411271,0.575579917122412,4.155400261600516e-07,0.0007664223544953707
0.31,6.069888010164285e-07,0.0,0.0,0.0,0.0,0.00011302290247182217,0.4288486599111587,0.585690331999914,4.258962285664897e-07,0.0007934317112967379
0.32,6.19088690150856e-07,0.0,0.0,0.0,0.0,0.00011593616607777055,0.4385496945456985,0.5952908970068987,4.363116164797771e-07,0.0008205029882841588
0.33,6.311977135244457e-07,0.0,0.0,0.0,0.0,0.00011884312251056098,0.44811568489115494,0.6044103748808741,4.467939983796551e-07,0.0008476152163529218
0.34,6.433268639942521e-07,0.0,0.0,0.0,0.0,0.00012174304917013353,0.45755270200424186,0.6130769501510391,4.573511372779894e-07,0.0008747483330141824
0.35000000000000003,6.554867676272429e-07,0.0,0.0,0.0,0.0,0.00012463525528918435,0.466866308350843,0.6213180675423223,4.679907374241849e-07,0.0009018831691323914
0.36,6.67687673312315e-07,0.0,0.0,0.0,0.0,0.00012751909713346505,0.47606167395995397,0.6291603014547406,4.787204249905728e-07,0.0009290014406838839
0.37,6.799394438095623e-07,0.0,0.0,0.0,0.0,0.0001303939894745397,0.4851435559464667,0.6366292418664288,4.895477261272875e-07,0.0009560857500560102
0.38,6.922515490630904e-07,0.0,0.0,0.0,0.0,0.0001332594118119122,0.49411623161693174,0.643749415176556,5.004800423966503e-07,0.000983119587595916
0.39,7.046330677226277e-07,0.0,0.0,0.0,0.0,0.00013611491346352122,0.502983539146423,0.6505442575628717,5.115246303919944e-07,0.0010100873110718308
0.4,7.170926742432663e-07,0.0,0.0,0.0,0.0,0.00013896011934102007,0.5117488645230966,0.6570360635894291,5.22688575801795e-07,0.0010369741600772106
0.41000000000000003,7.296386077148912e-07,0.0,0.0,0.0,0.0,0.00014179473729545046,0.5204151216786853,0.663245891011609,5.339787545828033e-07,0.0010637663162039218
0.42,7.422786935984693e-07,0.0,0.0,0.0,0.0,0.0001446185513947937,0.5289848135791171,0.6691936157689233,5.454018100386496e-07,0.0010904508609283544
0.43,7.550203423381304e-07,0.0,0.0,0.0,0.0,0.00014743142478540675,0.5374599837929532,0.6748979615123218,5.569641388748226e-07,0.0011170157527847762
0.44,7.678705328710664e-07,0.0,0.0,0.0,0.0,0.00015023330139546598,0.5458423123757992,0.680376474274705,5.68671863345766e-07,0.0011434498561538513
0.45,7.808358105864482e-07,0.0,0.0,0.0,0.0,0.00015302420394687992,0.5541330613653208,0.6856455419597325,5.805308052216684e-07,0.001169742940646922
0.46,7.939222898011143e-07,0.0,0.0,0.0,0.0,0.0001558042301836291,0.5623331227567706,0.6907204329018058,5.925464662024422e-07,0.0011958856686371407
0.47000000000000003,8.071356554676356e-07,0.0,0.0,0.0,0.0,0.00015857354945044924,0.5704430659470666,0.6956153326034575,6.047240102186786e-07,0.0012218695838559083
0.48,8.204811643940559e-07,0.0,0.0,0.0,0.0,0.0001613323991483691,0.5784631460091878,0.7003433823214199,6.170682484642275e-07,0.0012476870988852268
0.49,8.339636464272197e-07,0.0,0.0,0.0,0.0,0.00016408108212442258,0.5863933296577388,0.7049167221841629,6.29583626929496e-07,0.0012733314789948888
0.5,8.475875100927575e-07,0.0,0.0,0.0,0.0,0.00016681996140695328,0.5942333041571177,0.7093465344522879,6.422742148506654e-07,0.0012987968243738121
0.51,8.61356749612139e-07,0.0,0.0,0.0,0.0,0.0001695494542446113,0.6019825715213113,0.7136430922372539,6.551436955128484e-07,0.001324078047657112
0.52,8.752749512723638e-07,0.0,0.0,0.0,0.0,0.0001722700278445039,0.6096404069089203,0.7178158096502371,6.68195361036026e-07,0.001349170847891906
0.53,8.893453010139249e-07,0.0,0.0,0.0,0.0,0.00017498219472511205,0.6172059281139874,0.7218732912106036,6.814321095185112e-07,0.00137407168271618
0.54,9.035705948282215e-07,0.0,0.0,0.0,0.0,0.00017768650685668415,0.6246781164036426,0.725823385541266,6.948564443479305e-07,0.0013987777354108075
0.55,9.179532451637674e-07,0.0,0.0,0.0,0.0,0.00018038355238786543,0.6320558348175278,0.7296732145124655,7.084704753785512e-07,0.0014232868955751812
0.56,9.324952985177527e-07,0.0,0.0,0.0,0.0,0.00018307394629093302,0.639337881574061,0.7334292450469321,7.222759220992322e-07,0.001447597711162305
0.5700000000000001,9.471984438532043e-07,0.0,0.0,0.0,0.0,0.00018575832823159707,0.6465229866470632,0.7370973265178502,7.362741213006441e-07,0.001471709357972891
0.58,9.620640285570667e-07,0.0,0.0,0.0,0.0,0.00018843735523163896,0.6536098603180102,0.7406827577371184,7.504660326736086e-07,0.001495621592335693
0.59,9.770930654415348e-07,0.0,0.0,0.0,0.0,0.0001911117024218729,0.6605971973157488,0.7441902976348658,7.648522543462085e-07,0.001519334729158786
0.6,9.922862519109789e-07,0.0,0.0,0.0,0.0,0.00019378205344415005,0.6674837191371519,0.7476242215149245,7.794330289619807e-07,0.001542849599012859
0.61,1.0076439821785494e-06,0.0,0.0,0.0,0.0,0.00019644909798869427,0.6742681786473876,0.7509883588817926,7.942082583352533e-07,0.0015661675117341896
0.62,1.023166364555002e-06,0.0,0.0,0.0,0.0,0.00019911352616940856,0.6809493786139426,0.7542861336287687,8.091775182979108e-07,0.0015892902168610674
0.63,1.0388532365446398e-06,0.0,0.0,0.0,0.0,0.00020177602565514934,0.6875262086972092,0.757520607573953,8.24340074783351e-07,0.0016122198608171103
0.64,1.0547041799943037e-06,0.0,0.0,0.0,0.0,0.00020443727849393348,0.6939976299960043,0.7606945113794356,8.396949004393043e-07,0.0016349589513590657
0.65,1.0707185371028577e-06,0.0,0.0,0.0,0.0,0.00020709795754654284,0.7003627085990316,0.7638102823209347,8.552406917883276e-07,0.001657510317689919
0.66,1.086895425672671e-06,0.0,0.0,0.0,0.0,0.00020975872426896524,0.7066206351050273,0.7668700869705183,8.70975888855414e-07,0.001679877077463303
