t,G,I,beta
0.0,600.0,0.0,0.0
0.01,599.8212866936402,0.0,0.0
0.02,599.6451284642723,0.0,0.0
0.03,599.4714887813446,0.0,0.0
0.04,599.3003384831242,0.0,0.0
0.05,599.1316391557251,0.0,0.0
0.06,598.965349417885,0.0,0.0
0.07,598.8014316256421,0.0,0.0
0.08,598.639857035955,0.0,0.0
0.09,598.4805925476644,0.0,0.0
0.1,598.3236053425329,0.0,0.0
0.11,598.168862725003,0.0,0.0
0.12,598.0163321196038,0.0,0.0
0.13,597.8659824871802,0.0,0.0
0.14,597.7177822879731,0.0,0.0
0.15,597.5717008804972,0.0,0.0
0.16,597.4277079607047,0.0,0.0
0.17,597.2857735070769,0.0,0.0
0.18,597.1458681915357,0.0,0.0
0.19,597.0079629660501,0.0,0.0
0.2,596.872029151167,0.0,0.0
0.21,596.7380386547709,0.0,0.0
0.22,596.6059639580642,0.0,0.0
0.23,596.4757773880112,0.0,0.0
0.24,596.3474517262016,0.0,0.0
0.25,596.2209605120314,0.0,0.0
0.26,596.09627776776,0.0,0.0
0.27,595.9733779985103,0.0,0.0
0.28,595.852235659083,0.0,0.0
0.29,595.7328252127946,0.0,0.0
0.3,595.6151219091836,0.0,0.0
0.31,595.4991013756135,0.0,0.0
0.32,595.3847396168043,0.0,0.0
0.33,595.2720129355068,0.0,0.0
0.34,595.1608978295645,0.0,0.0
0.35000000000000003,595.0513712620553,0.0,0.0
0.36,594.9434105535429,0.0,0.0
0.37,594.8369933760276,0.0,0.0
0.38,594.7320977996053,0.0,0.0
0.39,594.628701710348,0.0,0.0
0.4,594.5267838445443,0.0,0.0
0.41000000000000003,594.4263230690136,0.0,0.0
0.42,594.3272985893777,0.0,0.0
0.43,594.2296899135076,0.0,0.0
0.44,594.1334765205355,0.0,0.0
0.45,594.0386383746973,0.0,0.0
0.46,593.9451558300474,0.0,0.0
0.47000000000000003,593.8530095373305,0.0,0.0
0.48,593.7621804382723,0.0,0.0
0.49,593.6726497598704,0.0,0.0
0.5,593.5843990086869,0.0,0.0
0.51,593.4974099651382,0.0,0.0
0.52,593.4116646777874,0.0,0.0
0.53,593.327145457635,0.0,0.0
0.54,593.2438348724103,0.0,0.0
0.55,593.1617157408629,0.0,0.0
0.56,593.0807711263777,0.0,0.0
0.5700000000000001,593.0009842106318,0.0,0.0
0.58,592.9223384006486,0.0,0.0
0.59,592.8448173985506,0.0,0.0
0.6,592.7684051217433,0.0,0.0
0.61,592.6930856968798,0.0,0.0
0.62,592.6188434538251,0.0,0.0
0.63,592.5456629196201,0.0,0.0
0.64,592.4735288124466,0.0,0.0
0.65,592.4024260355914,0.0,0.0
0.66,592.3323396714105,0.0,0.0
0.67,592.2632549752941,0.0,0.0
0.68,592.1951573696301,0.0,0.0
0.6900000000000001,592.1280324377694,0.0,0.0
0.7000000000000001,592.0618662835763,0.0,0.0
0.71,591.9966457737571,0.0,0.0
0.72,591.932357431839,0.0,0.0
