t,V,A,D,A_,D_,m,m_1,h,n,h_1,n_1
0.0,-60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-55.46396725415333,0.9327795472842317,0.06432775936915297,0.002883166525787889,9.526820827254079e-06,3.315846154417542e-06,3.4606541771403654e-08,1.0364239785989248e-06,0.0003065929302891473,3.6632464773074915e-06,4.753919838729455e-06
0.02,-51.79756960181171,0.888612270827159,0.10576836570123327,0.005590212941222125,2.9150530385292645e-05,7.28596121093337e-06,7.746340261009118e-08,1.4674836247178185e-06,0.0006302738042711105,7.611359640074842e-06,1.4734951218137833e-05
0.03,-48.640657636234536,0.8609870286038104,0.1307733804890994,0.00819020384381222,4.938706327754303e-05,1.1922308488494924e-05,1.3399488413944945e-07,1.6753518270896842e-06,0.00096610891906179,1.1871600436283596e-05,3.3264080964954954e-05
0.04,-45.79598349801876,0.8437984021436751,0.1454082821219066,0.010727178074444876,6.61376599728775e-05,1.726086171915805e-05,2.131564768566679e-07,1.7846339362091054e-06,0.0013119967629826193,1.6469550040741515e-05,6.493296722447995e-05
0.05,-43.15684189294778,0.8328525449282712,0.1538424443779422,0.013226517843059643,7.849285072640239e-05,2.335942800906214e-05,3.2848853213990943e-07,1.84518882701196e-06,0.0016676170901234206,2.1428673830002682e-05,0.00011556321871946525
0.06,-40.664305752060045,0.8256016865905521,0.1586091067876641,0.01570240790107437,8.679872070881929e-05,3.0295396697521844e-05,4.995178430631991e-07,1.8798793276267424e-06,0.0020340003470071446,2.676799538709853e-05,0.00019136543351125978
0.07,-38.284550472542506,0.8205699066402508,0.16117554619104799,0.018162843856540843,9.170331215978154e-05,3.816495946988718e-05,7.53314349374995e-07,1.9001715510486598e-06,0.00241336621363497,3.249974354694356e-05,0.0002970868313337781
0.08,-35.99713671510958,0.8169170769796961,0.16237662559622026,0.020612490951890102,9.380647219294379e-05,4.708378782376192e-05,1.1260413920700567e-06,1.9121724907502302e-06,0.002809064797774208,3.8627788497970606e-05,0.0004339850857208927
0.09,-33.78890859583943,0.8141690232661695,0.16268316981575492,0.023054230826324875,9.357609175026113e-05,5.718891594050696e-05,1.6643557503995993e-06,1.919273932258996e-06,0.003225547582726684,4.514715155664849e-05,0.0005993593190319773
0.1,-31.650754608466052,0.8120612060653409,0.16235744500333713,0.02548998657558719,9.136235573423697e-05,6.864165067171452e-05,2.4265615477360565e-06,1.9234191988151736e-06,0.0036683369604945818,5.204455698283329e-05,0.000788281962146946
0.11,-29.575854545291858,0.810449827771044,0.1615415700801048,0.027921161792113056,8.744035673748867e-05,8.163143472747006e-05,3.483504711015247e-06,1.9257489490546404e-06,0.0041439821167238615,5.929978705486527e-05,0.0009960592754714634
0.12,-27.55871370247229,0.8092611124988588,0.16030795855257635,0.030348874495519172,8.205445304510624e-05,9.638067418262732e-05,4.919288359728367e-06,1.926946126060507e-06,0.004659997939020037,6.688750016619755e-05,0.001219737871404093
0.13,-25.594624305037634,0.8084618397473705,0.15868862327243574,0.0327740825568214,7.54544233717527e-05,0.00011315060940424609,6.831964501806346e-06,1.9274268115838182e-06,0.005224788027867594,7.477916947529451e-05,0.0014583733073917915
0.14,-23.679365927835885,0.8080417522626405,0.15669267575925588,0.03519765279369552,6.791918440755941e-05,0.00013224836149882828,9.334389081578002e-06,1.927448390994618e-06,0.005847554812449717,8.29448735541833e-05,0.0017126551770637118
0.15,-21.80904265648176,0.8080025866840915,0.15431724450704853,0.03762040301357258,5.9765795286772826e-05,0.00015403533451540202,1.2555416635006745e-05,1.9271723086762396e-06,0.006538200286972619,9.135477368268788e-05,0.001984416487965207
0.16,-19.980001312388644,0.8083508597331667,0.1515546644189567,0.0400431328752492,5.134297262682929e-05,0.00017893719565136119,1.6641570964447985e-05,1.92670110436089e-06,0.007307220442600419,9.998021254275193e-05,0.002276251067172308
0.17,-18.188799162376903,0.809092827425903,0.14839751121541245,0.04246665088403178,4.301047465205105e-05,0.0002074557005422534,2.1759282242121265e-05,1.9261007395806283e-06,0.008165595539819994,0.00010879444394437165,0.0025912714043159384
0.18,-16.43220323680961,0.8102308309903391,0.14484226207417022,0.04489179844547296,3.510849001719242e-05,0.00024018265474484433,2.809773642319781e-05,1.9254140937654696e-06,0.009124676945936317,0.00011777304707161566,0.002932974360518958
0.19,-14.70720924470228,0.8117606033362545,0.14089200510496264,0.047319467661902224,2.7923896880105397e-05,0.0002778163356698017,3.5872358316411594e-05,1.924669344968701e-06,0.010196070003408692,0.00012689409622879634,0.0033051783488152043
0.2,-13.011072428478053,0.8136693900536038,0.1365583411267266,0.049750607286411494,2.1661533257459323e-05,0.00032118070060344067,4.5328931116295364e-05,1.92388518897746e-06,0.011391511271889827,0.00013613815634125575,0.003712003785178491
0.21,-11.341344139133607,0.8159348446137096,0.13186251569440913,0.05218621187087556,1.6427821005179565e-05,0.0003712476991270494,5.674834507887432e-05,1.9230741443813864e-06,0.01272273777938182,0.0001454881656315797,0.004157878334003776
0.22,-9.695908877939354,0.8185247080701339,0.12683576872720284,0.05462729246273554,1.2230739927190682e-05,0.00042916296688670527,7.045195696103866e-05,1.9222446698877762e-06,0.014201345800434475,0.0001549292534114288,0.00464755562785004
0.23,-8.073017489349978,0.8213972728057701,0.12151890001030839,0.057074831690938424,8.995492982511744e-06,0.000496275081810359,8.680752949404412e-05,1.9214025038098755e-06,0.015838637431646065,0.0001644485248424929,0.005186140915404068
0.24,-6.471311417846675,0.8245025900846659,0.11596108803771764,0.05952973083125857,6.591046357365748e-06,0.0005741685106432986,0.00010623569274808581,1.9205516015595055e-06,0.01764545388101684,0.00017403484383126194,0.005779117385135627
0.25,-4.88983602548232,0.8277843074649214,0.11021807470408018,0.06199275848394123,4.859347056685269e-06,0.0006647000908781764,0.00012921685417407024,1.9196946919733738e-06,0.01963199749238697,0.0001836786173614743,0.0064323722698690165
0.26,-3.328039810717222,0.8311819694550073,0.10434988042800537,0.0644645085907899,3.641526196837735e-06,0.0007700387860577336,0.00015629843978461912,1.918833660899348e-06,0.021807645504122702,0.00019337159694046694,0.007152218661377884
0.27,-1.7857585368449678,0.8346335629142771,0.09841826714087366,0.06694537279913261,2.7971457160504714e-06,0.0008927081561049094,0.0001881023217209473,1.91796982568659e-06,0.024180761620658606,0.0002031067007073927,0.007945411204562429
0.28,-0.26318493733291426,0.8380780688909035,0.09248418720711121,0.06943553128662047,2.21261536422382e-06,0.0010356306690453474,0.00022533225159244896,1.917104110978437e-06,0.02675851347158772,0.0002128778548252417,0.008819154621114527
0.29,1.2391743683973389,0.8414577969631588,0.08660544247093242,0.07193495814427354,1.8024216346444517e-06,0.0012021726904778243,0.0002687810872705283,1.9162371682433103e-06,0.02954670536884564,0.0002226798544925538,0.009781103638811264
0.3,2.7205517276371425,0.844720327021785,0.08083472949610723,0.07444343552982256,1.5079522845610028e-06,0.0013961886215299113,0.00031933757238993715,1.9153694575508916e-06,0.032549636355495584,0.00023250824299599852,0.010839353483975947
0.31,4.179977826212836,0.8478199355867068,0.07521819508782993,0.07696058139707437,1.287928388376076e-06,0.0016220624723155448,0.00037799241941238997,1.914501305960543e-06,0.03576999246158048,0.00024235920713291188,0.012002420330887345
0.32,5.616343148288509,0.8507184739517627,0.06979453670068966,0.07948587198576859,1.117361778545437e-06,0.0018847447228052205,0.00044584342487163974,1.9136329459500886e-06,0.039208781083904604,0.0002522294865548237,0.013279211697929838
0.33,7.028458378710733,0.8533857102480219,0.06459463700667845,0.08201867151030681,9.812349923188259e-07,0.002189782360691359,0.0005240993634935677,1.912764543778221e-06,0.042865311710482815,0.00026211629562198854,0.014678986793409421
0.34,8.415110268779536,0.8557992126845371,0.05964165704496739,0.08455826446900847,8.65801486597904e-07,0.002543339757937615,0.000614082409906738,1.911896218512363e-06,0.046737224768142474,0.00027201725581014314,0.016211307374850693
