t,V,Nai,m,h,j,Cai,Ki,d,f,b,g,xr,xs1,xs2,zdv,ydv,Ca_JSR,Ca_NSR,APtrack,APtrack2,APtrack3,Cainfluxtrack,OVRLDtrack,OVRLDtrack2,OVRLDtrack3
0.0,-88.32552,14.177596,0.0008858,0.992806,0.99511469,0.00034209,138.37949,3.538268e-06,0.995259,0.0010301,0.9341828,0.0007500578,0.0421517,0.08866,0.01198974,0.97497,0.8204291,2.7872629,3.7458e-87,2.07066e-86,0.01924195,1.660129e-87,2e-323,-2.5e-323,2.2645e-282
0.01,-88.32557073518487,14.177596981024577,0.0008857936828515173,0.9928060833067226,0.9951147438513973,0.0003420816900299224,138.37948992360486,3.5382391976592805e-06,0.9952598928228702,0.001030094842697144,0.9341894635646375,0.0007498721884983201,0.04214877692284451,0.08865836428565949,0.01198970354016818,0.9749737380862498,0.8204561020338813,2.787257659986948,3.7271328099549927e-87,2.060340868242139e-86,0.01924002593234699,1.6518557490143018e-87,2e-323,-2.5e-323,2.2642735649869037e-282
0.02,-88.32562146708526,14.177597962010537,0.0008857860535629962,0.9928061666067306,0.9951147976985629,0.0003420733805957222,138.37948984721777,3.53821039647983e-06,0.99526078546909,0.0010300896857457476,0.9341961263913077,0.0007496866321540479,0.04214585406816461,0.08865672860134553,0.011989667086974928,0.9749774756178716,0.8204831043009568,2.7872524199076194,3.7085579946343657e-87,2.050072800782101e-86,0.01923810205572968,1.6436234382706908e-87,2e-323,-2.5e-323,2.2640471524559543e-282
0.03,-88.3256721957017,14.177598942957886,0.0008857782945759323,0.992806249900027,0.9951148515414979,0.00034206507169731536,138.37948977083875,3.538181596486353e-06,0.9952616779387078,0.0010300845291457666,0.9342027884801477,0.0007495011309467598,0.04214293143592708,0.0886550929470555,0.011989630640224796,0.9749812125949893,0.8205101068011894,2.7872471797620326,3.6900750927807827e-87,2.039855542639077e-86,0.019236178370114886,1.635431863341093e-87,2e-323,-2.5e-323,2.263820762403247e-282
0.04,-88.32572292100171,14.17759992386624,0.0008857707158689958,0.9928063331865467,0.9951149053801605,0.0003420567633400036,138.37948969446785,3.5381527977152863e-06,0.9952625702299966,0.0010300793729006899,0.9342094498238788,0.0007493156854100612,0.042140009028334834,0.08865345732308856,0.011989594199792586,0.9749849490121524,0.8205371095368851,2.7872419395495416,3.671684560538602e-87,2.029689345967446e-86,0.01923425487738939,1.627281226387524e-87,2e-323,-2.5e-323,2.2635943950508273e-282
0.05,-88.32577364290725,14.17760090473468,0.0008857631881069586,0.9928064164661321,0.9951149592144497,0.0003420484555365175,138.37948961810528,3.5381240002206765e-06,0.9952634623387826,0.001030074217018879,0.9342161104049932,0.0007491302968411332,0.04213708685067508,0.08865182173016031,0.011989557765637638,0.9749886848562257,0.8205641125135832,2.7872366992685804,3.653388096412892e-87,2.0195751496925404e-86,0.019232331582087998,1.6191722801830955e-87,2e-323,-2.5e-323,2.2633680509323775e-282
0.06,-88.3258243620909,14.177601885571116,0.000885755643118025,0.9928064997401582,0.9951150130452328,0.0003420401481771135,138.37948954174936,3.538095203766783e-06,0.9952643543012447,0.0010300690614283598,0.934222770374623,0.0007489449539429045,0.04213416485738688,0.08865018616212178,0.011989521336392514,0.9749924202407962,0.820591115683526,2.7872314589327227,3.635166736935986e-87,2.0095024709017744e-86,0.019230408445087804,1.6110966201673346e-87,2e-323,-2.5e-323,2.263141725443696e-282
0.07,-88.32587507796912,14.17760286636868,0.000885748100448518,0.9928065830074412,0.9951150668717579,0.0003420318413569921,138.37948946540155,3.5380664086836815e-06,0.9952652460861205,0.0010300639061916392,0.9342294296017919,0.0007487596664447275,0.042131243088004526,0.08864855062431948,0.011989484912394089,0.9749961550675469,0.8206181190881349,2.7872262185302437,3.6170343298424674e-87,1.999478964555396e-86,0.01922848550030844,1.6030603836208676e-87,2e-323,-2.5e-323,2.2629154225766335e-282
0.08,-88.32592579054204,14.177603847127376,0.0008857405656122052,0.9928066662679823,0.9951151206940256,0.0003420235350761258,138.37948938906186,3.538037614984378e-06,0.9952661376934321,0.0010300587513087057,0.9342360880865516,0.0007485744343363835,0.042128321542517666,0.08864691511675311,0.011989448493552707,0.9749998893365287,0.8206451227273971,2.7872209780611525,3.5989905988853154e-87,1.9895044779453966e-86,0.01922656274773805,1.59506344811172e-87,2e-323,-2.5e-323,2.2626891423297956e-282
0.09,-88.32597649980902,14.177604827847194,0.0008857330230256561,0.9928067495217758,0.9951151745120348,0.00034201522933463135,138.37948931273024,3.5380088226160647e-06,0.9952670291230867,0.0010300535967796066,0.9342427458286842,0.0007483892576610711,0.04212540022097015,0.08864527963942383,0.011989412080222108,0.9750036230475245,0.8206721266013656,2.787215737525412,3.5810367039364228e-87,1.97957965224331e-86,0.019224640187426735,1.5871063276921537e-87,2e-323,-2.5e-323,2.2624628847090776e-282
0.1,-88.32602720577003,14.177605808528137,0.0008857254726888708,0.9928068327688219,0.9951152283257853,0.00034200692413250864,138.37948923640676,3.537980031578742e-06,0.9952679203750846,0.0010300484426043423,0.9342494028281895,0.0007482041364187903,0.042122479123362,0.08864364419233162,0.011989375672402294,0.9750073562005345,0.8206991307100404,2.787210496923022,3.5631726449957885e-87,1.969704487449137e-86,0.01922271781937449,1.5791890223621693e-87,2e-323,-2.5e-323,2.262236649714479e-282
0.11,-88.32607790842508,14.177606789170204,0.0008857179146018492,0.9928069160091204,0.9951152821352771,0.0003419986194697578,138.37948916009137,3.5379512418724095e-06,0.9952688114494257,0.0010300432887829123,0.9342560590850676,0.0007480190706095409,0.042119558249693205,0.08864200877547647,0.011989339270093265,0.9750110887955585,0.8207261350534216,2.7872052562539826,3.5453984220634126e-87,1.959878983562877e-86,0.019220795643581312,1.571311532121766e-87,2e-323,-2.5e-323,2.2620104373460007e-282
