t,V,Nai,m,h,j,Cai,Ki,d,f,b,g,xr,xs1,xs2,zdv,ydv,Ca_JSR,Ca_NSR,APtrack,APtrack2,APtrack3,Cainfluxtrack,OVRLDtrack,OVRLDtrack2,OVRLDtrack3
0.0,-88.984,14.177596,0.00079287,0.992806,0.99511469,0.00034209,138.37949,3.538268e-06,0.995259,0.0010301,0.9341828,0.0007500578,0.0421517,0.08866,0.01198974,0.97497,0.8204291,2.7872629,3.7458e-87,2.07066e-86,0.01924195,1.660129e-87,2e-323,-2.5e-323,2.2645e-282
0.01,-88.98156193342476,14.17759702147195,0.0007930951859635343,0.9928110907296108,0.9951152567411602,0.00034208162356072545,138.37949004504023,3.528597638831227e-06,0.9952599027155549,0.0010300331796173098,0.9341894984495465,0.0007498662674011789,0.04214873251594816,0.08865834374656949,0.011967438351937606,0.9749737401477556,0.8204561019958667,2.787257659996791,3.727117742225038e-87,2.0603325388743915e-86,0.019240025901206447,1.651849071034841e-87,2e-323,-2.5e-323,2.264273561322111e-282
0.02,-88.97913297800791,14.17759804275079,0.0007934111844635143,0.9928161366372117,0.9951158211309687,0.00034207324790878137,138.3794900896484,3.5192250962263413e-06,0.9952608052157264,0.0010299666488628513,0.9341961960420271,0.000749674814873533,0.04214576542918295,0.08865668760167747,0.011946296646449106,0.9749774797293873,0.8204831042265891,2.787252419924917,3.7085286630120465e-87,2.0500565864041123e-86,0.019238101994813166,1.6436104385705383e-87,2e-323,-2.5e-323,2.26404714528696e-282
0.03,-88.97671309745267,14.177599063837105,0.0007937343775976969,0.9928211380467357,0.9951163831784018,0.00034206487304349394,138.37949013382624,3.5101420216809814e-06,0.9952617075006759,0.0010299004066498644,0.9342028927778032,0.0007494834423080145,0.04214279873903716,0.08865503156503228,0.011926257760312614,0.9749812187450052,0.8205101066921466,2.7872471797843983,3.690032291879129e-87,2.0398318825090602e-86,0.01923617828080068,1.6354128940907156e-87,2e-323,-2.5e-323,2.2638207518922534e-282
0.04,-88.97430225429463,14.177600084731493,0.0007940579833401704,0.9928260952917165,0.9951169428927347,0.0003420564989641573,138.37949017757552,3.501340006683726e-06,0.9952626095705708,0.0010298344518550671,0.9342095886572488,0.0007492921495918765,0.0421398324448214,0.08865337563633255,0.011907265519763205,0.974984957194723,0.8205371093925178,2.787241939575257,3.671628143280514e-87,2.0296581587818967e-86,0.01923425475914879,1.6272562224027264e-87,2e-323,-2.5e-323,2.263594381135614e-282
0.05,-88.9719004158923,14.17760110543448,0.0007943811244179595,0.9928310086620851,0.9951175002820569,0.0003420481256701491,138.3794902208978,3.4928118855488368e-06,0.9952635114255572,0.0010297687834985223,0.9342162836806915,0.0007491009366267353,0.04213686654593439,0.08865171981531544,0.011889273047692118,0.9749886950786404,0.820564112327684,2.7872366992975124,3.653315794234012e-87,2.0195351814001282e-86,0.01923233142983979,1.6191402360419438e-87,2e-323,-2.5e-323,2.2633680330149603e-282
0.06,-88.96950754820246,14.17760212594661,0.0007946995846825019,0.9928358784596193,0.9951180553548125,0.00034203975316081327,138.37949026379468,3.4845503244012207e-06,0.9952644130657878,0.0010297034005570611,0.9342229778484742,0.0007489098033098495,0.042133901041748564,0.08865006410170666,0.011872233216931916,0.9749924323968615,0.8205911154976255,2.787231458951185,3.6350948036411967e-87,2.0094627065266913e-86,0.01923040829285517,1.6110647395146714e-87,2e-323,-2.5e-323,2.2631417075281115e-282
0.07,-88.96712361423698,14.177603146268481,0.0007950189577169968,0.9928407050114091,0.9951186081201854,0.00034203138143542797,138.37949030626797,3.476547544786484e-06,0.9952653144914289,0.0010296383019175828,0.9342296711609713,0.0007487187495294128,0.042130935931581355,0.08864840849520786,0.011856097200172156,0.9749961691495003,0.8206181189023208,2.787226218536297,3.6169646923473043e-87,1.9994404692871662e-86,0.0192284853481747,1.6030295204607392e-87,2e-323,-2.5e-323,2.262915404672688e-282
0.08,-88.96474857985396,14.17760416640064,0.0007953354672038383,0.9928454886183701,0.9951191585866641,0.00034202301049331596,138.37949034831925,3.468796592672728e-06,0.9952662157026341,0.0010295734865508656,0.9342363636185302,0.0007485277751820047,0.04212797121480189,0.08864675299554337,0.011840822637079201,0.9749999053366621,0.8206451225417503,2.78722097805287,3.5989250182034837e-87,1.989468225263822e-86,0.019226562595779602,1.5950343829209062e-87,2e-323,-2.5e-323,2.262689124446479e-282
0.09,-88.96238240909439,14.177605186343664,0.000795647011042522,0.992850229597131,0.9951197067631926,0.00034201464033376076,138.37949038995026,3.4612902106789503e-06,0.995267116699566,0.0010295089533723756,0.9342430552215175,0.0007483368801586346,0.04212500689074548,0.0886450976024227,0.011826365700365818,0.9750036409584586,0.8206721264158926,2.787215737500924,3.5809753155704265e-87,1.9795457170535154e-86,0.019224640035650043,1.5870791205250188e-87,2e-323,-2.5e-323,2.262462866847151e-282
0.1,-88.96002506902813,14.177606206098087,0.000795963151895834,0.992854928235139,0.9951202526579889,0.00034200627095608033,138.3794904311626,3.454022289919263e-06,0.9952680174823744,0.0010294447013845752,0.9342497459702738,0.0007481460643589548,0.04212204295880138,0.08864344231557907,0.01181269241858669,0.9750073760149932,0.8206991305247284,2.7872104968804807,3.5631151584069307e-87,1.9696727091427446e-86,0.019222717667767557,1.579163544452704e-87,2e-323,-2.5e-323,2.2622366318725313e-282
0.11,-88.95767652292356,14.177607225664499,0.0007962812940710932,0.9928595848560918,0.9951207962801859,0.0003419979023595456,138.37949047195798,3.446985359810303e-06,0.9952689180512247,0.0010293807294800936,0.9342564358651732,0.0007479553276716899,0.04211907941829083,0.08864178713471584,0.01179975736040562,0.9750111105063793,0.8207261348682363,2.7872052561915615,3.545344071030617e-87,1.9598489385766072e-86,0.01922079549211193,1.5712874438827451e-87,2e-323,-2.5e-323,2.2620104195202403e-282
0.12,-88.9553367362541,14.177608245043457,0.0007965999873430294,0.9928641997618426,0.9951213376383952,0.0003419895345434465,138.3794905123381,3.440172909812152e-06,0.9952698184062742,0.001029317036613893,0.9342631249065717,0.0007477646699917308,0.04211611626857389,0.08864013205955341,0.01178752363331523,0.9750148444327253,0.8207531394463959,2.787200015434188,3.527661606694239e-87,1.9500741583954005e-86,0.01921887350866386,1.5634506208179027e-87,2e-323,-2.5e-323,2.261784229788006e-282
0.13,-88.95300567561799,14.177609264235498,0.0007969152317309421,0.9928687732426672,0.9951218767409661,0.0003419811675070783,138.37949055230453,3.4335790094112036e-06,0.995270718547675,0.0010292536217720027,0.9342698130948178,0.0007475740912170212,0.042113153509030055,0.08863847708982078,0.011775959704137012,0.9750185777941369,0.820780144259187,2.78719477460838,3.5100673334853496e-87,1.9403481298400267e-86,0.019216951717404455,1.5556528838356824e-87,2e-323,-2.5e-323,2.2615580626736066e-282
