t,V,Nai,m,h,j,Cai,Ki,d,f,b,g,xr,xs1,xs2,zdv,ydv,Ca_JSR,Ca_NSR,APtrack,APtrack2,APtrack3,Cainfluxtrack,OVRLDtrack,OVRLDtrack2,OVRLDtrack3
0.0,-88.5004,14.177596,0.0008601,0.992806,0.99511469,0.00034209,138.37949,3.538268e-06,0.995259,0.0010301,0.9341828,0.0007500578,0.0421517,0.08866,0.01198974,0.97497,0.8204291,2.7872629,3.7458e-87,2.07066e-86,0.01924195,1.660129e-87,2e-323,-2.5e-323,2.2645e-282
0.01,-88.49976353084223,14.177596991745952,0.0008601818884724273,0.9928073904908282,0.9951148822744337,0.0003420816723695893,138.37948995737293,3.535594930273339e-06,0.9952598955690857,0.0010300781003922679,0.9341894738478683,0.0007498705888950299,0.042148765084781104,0.08865835882483822,0.011983752559984236,0.9749737387254916,0.8204561019958664,2.787257659997498,3.727117731726433e-87,2.0603325330708137e-86,0.01924002590120602,1.6518490663818865e-87,2e-323,-2.5e-323,2.264273561322061e-282
0.02,-88.49912947658581,14.177597983410628,0.0008602720837662123,0.9928087696123497,0.9951150738862652,0.00034207334534678267,138.379489914638,3.5330038681307704e-06,0.995260790949153,0.0010300562835754545,0.9341961469138362,0.0007496834402495988,0.04214583044154098,0.08865671770155316,0.011978073864049525,0.97497747689011,0.8204831042265889,2.7872524199277353,3.70852865241831e-87,2.0500565805479457e-86,0.01923810199481273,1.6436104338754218e-87,2e-323,-2.5e-323,2.2640471452869094e-282
0.03,-88.4984978281957,14.177598974994188,0.0008603639683517168,0.9928101374397746,0.995115264838006,0.00034206501893137124,138.37948987179556,3.5304924982697694e-06,0.995261686140278,0.0010300345492315773,0.9342028191981132,0.0007494963540206484,0.04214289607008641,0.08865507663006594,0.011972688662357511,0.9749812144939488,0.8205101066921469,2.78724717979073,3.690032285753183e-87,2.039831879122666e-86,0.019236178280800428,1.6354128913757125e-87,2e-323,-2.5e-323,2.2638207518922255e-282
0.04,-88.49786857515977,14.177599966496805,0.0008604547964066856,0.9928114940604299,0.9951154551325808,0.0003420566931231079,138.3794898288463,3.528058206544975e-06,0.9952625811425491,0.0010300128969903037,0.9342094907009446,0.0007493093301579492,0.04213996197019229,0.08865343561028477,0.011967580211526534,0.9749849515371176,0.8205371093925156,2.7872419395865013,3.671628077989129e-87,2.0296581226891366e-86,0.019234254759146054,1.6272561934657519e-87,2e-323,-2.5e-323,2.263594381135294e-282
0.05,-88.4972417119,14.17760095791858,0.0008605456537160864,0.9928128395205971,0.9951156447715424,0.0003420483679218604,138.3794897857903,3.5256996291581324e-06,0.995263475956013,0.0010299913266550113,0.9342161614224604,0.0007491223686348087,0.0421370281417391,0.08865179464216083,0.011962739909320579,0.9749886880196749,0.8205641123276822,2.7872366993150584,3.6533157354341806e-87,2.0195351488958667e-86,0.01923233142983732,1.6191402099820088e-87,2e-323,-2.5e-323,2.2633680330146705e-282
0.06,-88.49661722864948,14.177601949259687,0.000860636639264349,0.9928141739012089,0.9951158337576111,0.0003420400433273952,138.3794897426281,3.523414420291895e-06,0.9952643705807523,0.00102996983788121,0.9342228313628891,0.0007489354694044173,0.0421340945845174,0.08865015372560871,0.01195815320181529,0.974992423941723,0.8205911154976241,2.7872314589764198,3.635094744095531e-87,2.0094626736101364e-86,0.019230408292852656,1.6110647131241837e-87,2e-323,-2.5e-323,2.2631417075278167e-282
0.07,-88.49599511634558,14.177602940520275,0.0008607268306622651,0.9928154972772201,0.9951160220933131,0.00034203171933949256,138.37948969936014,3.5212004622715914e-06,0.9952652650168439,0.0010299484303489784,0.934229500522443,0.0007487486324232404,0.04213116129833261,0.08864851286054903,0.011953807292007727,0.9749961593033577,0.8206181189023197,2.787226218570602,3.6169646274146353e-87,1.999440433392703e-86,0.01922848534817195,1.6030294916827453e-87,2e-323,-2.5e-323,2.262915404672366e-282
0.08,-88.49537536501998,14.177603931700522,0.0008608166776947674,0.9928168097309029,0.9951162097814296,0.00034202339595790736,138.37948965598684,3.519055493251696e-06,0.995266159264372,0.0010299271037061126,0.9342361689013572,0.0007485618576432734,0.042128228282970456,0.08864687204689448,0.011949688876123153,0.9749998941046844,0.8206451225417455,2.7872209780976243,3.5989248616753877e-87,1.9894681387358525e-86,0.01922656259577296,1.595034313548053e-87,2e-323,-2.5e-323,2.2626891244456992e-282
0.09,-88.4947579677716,14.177604922800548,0.0008609061024948892,0.9928181113191114,0.9951163968238871,0.0003420150731824681,138.37948961250856,3.516977985411172e-06,0.9952670533233957,0.001029905857708599,0.9342428364997943,0.0007483751450312135,0.042125295538282446,0.08864523128458454,0.011945789168229672,0.9750036283457767,0.8206721264158852,2.787215737557499,3.5809750845824745e-87,1.9795455893645e-86,0.019224640035640225,1.5870790181517473e-87,2e-323,-2.5e-323,2.262462866845997e-282
