t,volumeCa_i,volumeCa_er,volume_iIP3,PIP2,ATP_e,O,I1,I2
0.0,75.8335890358239,1199.73747802144,-3.28287434380887e-93,1.0,0.0,-2.42013500345263e-89,2.24343309680416e-81,1.01276768045278e-40
0.01,75.83358641241017,1199.7374611072742,-7.584411806838109e-94,1.0,0.0,-2.3872902496634868e-89,2.2322839745587923e-81,1.0125651763540445e-40
0.02,75.8335837890753,1199.7374441936183,1.6356249711459377e-93,1.0,0.0,-2.3549130077162294e-89,2.2211929646735875e-81,1.0123627147229458e-40
0.03,75.83358116575778,1199.7374272800744,3.763223440504188e-93,1.0,0.0,-2.322632673980035e-89,2.210114464352631e-81,1.0121602624185493e-40
0.04,75.83357854251543,1199.7374103670168,4.389663806504841e-93,1.0,0.0,-2.2907642157121413e-89,2.1990898455808773e-81,1.011957850560478e-40
0.05,75.83357591934826,1199.737393454445,3.366152405323553e-93,1.0,0.0,-2.2593039722520847e-89,2.1881189434655886e-81,1.0117554791439118e-40
0.06,75.83357329625628,1199.7373765423597,6.926892369603227e-94,1.0,0.0,-2.2282519435998655e-89,2.177201758006765e-81,1.0115531481688498e-40
0.07,75.83357067323948,1199.7373596307602,-3.6307256985848766e-93,1.0,0.0,-2.1976081297554836e-89,2.1663382892044067e-81,1.0113508576352925e-40
0.08,75.83356805029787,1199.737342719647,-9.604092401312004e-93,1.0,0.0,-2.1673725307189395e-89,2.1555285370585136e-81,1.0111486075432399e-40
0.09,75.83356542743144,1199.7373258090197,-1.7227410871221087e-92,1.0,0.0,-2.1375451464902326e-89,2.144772501569086e-81,1.0109463978926918e-40
0.1,75.8335628046402,1199.7373088988786,-2.650068110831214e-92,1.0,0.0,-2.1081259770693635e-89,2.1340701827361233e-81,1.0107442286836484e-40
0.11,75.83356018192414,1199.7372919892236,-3.742390311258512e-92,1.0,0.0,-2.0791150224563313e-89,2.1234215805596258e-81,1.0105420999161095e-40
0.12,75.83355755928326,1199.7372750800546,-4.999707688404005e-92,1.0,0.0,-2.050512282651137e-89,2.1128266950395935e-81,1.0103400115900753e-40
0.13,75.83355493671758,1199.7372581713719,-6.422020242267695e-92,1.0,0.0,-2.0223177576537798e-89,2.1022855261760262e-81,1.0101379637055457e-40
0.14,75.83355231422708,1199.737241263175,-8.009327972849579e-92,1.0,0.0,-1.9945314474642604e-89,2.0917980739689244e-81,1.0099359562625207e-40
0.15,75.83354969181175,1199.7372243554644,-1.049953207477961e-91,1.0,0.0,-1.9671498226915006e-89,2.0813641484445622e-81,1.0097339892549225e-40
0.16,75.8335470694716,1199.7372074482396,-2.25970216178844e-91,1.0,0.0,-1.9401312501285856e-89,2.0709815086454348e-81,1.0095320626110594e-40
0.17,75.83354444720662,1199.737190541501,-4.681792288712976e-91,1.0,0.0,-1.9134636951105436e-89,2.0606495067912056e-81,1.0093301763102073e-40
0.18,75.83354182501681,1199.737173635248,-8.316223588251534e-91,1.0,0.0,-1.887147157637374e-89,2.0503681428818744e-81,1.0091283303523665e-40
0.19,75.83353920290217,1199.7371567294808,-1.3162996060404114e-90,1.0,0.0,-1.861181637709077e-89,2.0401374169174418e-81,1.0089265247375366e-40
0.2,75.8335365808627,1199.7371398241999,-1.9222109705170717e-90,1.0,0.0,-1.8355671353256524e-89,2.0299573288979073e-81,1.008724759465718e-40
0.21,75.83353395889839,1199.7371229194048,-2.649356452255135e-90,1.0,0.0,-1.8103036504871005e-89,2.0198278788232709e-81,1.0085230345369106e-40
0.22,75.83353133700925,1199.7371060150954,-3.4977360512546013e-90,1.0,0.0,-1.785391183193421e-89,2.0097490666935328e-81,1.0083213499511142e-40
0.23,75.83352871519527,1199.737089111272,-4.4673497675154725e-90,1.0,0.0,-1.760829733444614e-89,1.9997208925086928e-81,1.008119705708329e-40
0.24,75.83352609345647,1199.7370722079347,-5.558197601037743e-90,1.0,0.0,-1.7366193012406797e-89,1.989743356268751e-81,1.007918101808555e-40
0.25,75.83352347179283,1199.7370553050832,-6.77027955182142e-90,1.0,0.0,-1.712759886581618e-89,1.9798164579737077e-81,1.007716538251792e-40
0.26,75.83352085020437,1199.7370384027176,-8.1035956198665e-90,1.0,0.0,-1.6892514894674286e-89,1.9699401976235625e-81,1.0075150150380402e-40
0.27,75.83351822869147,1199.737021500842,2.3216072591797353e-88,1.0,0.0,-1.667482473395327e-89,1.960187688633081e-81,1.0073135345252742e-40
0.28,75.83351560725325,1199.7370045994471,1.6879070893375215e-88,1.0,0.0,-1.644321183117321e-89,1.9503940130902695e-81,1.0071120913947403e-40
0.29,75.83351298589017,1199.736987698538,1.0435359472501264e-88,1.0,0.0,-1.6215054776192482e-89,1.9406506893943732e-81,1.0069106885979906e-40
0.3,75.83351036460226,1199.7369707981152,3.80227620654291e-89,1.0,0.0,-1.599030609027149e-89,1.9309574675148495e-81,1.0067093261269614e-40
0.31,75.83350774338953,1199.736953898178,-3.1028410271322458e-89,1.0,0.0,-1.576891829467063e-89,1.9213140974211566e-81,1.0065080039735888e-40
0.32,75.83350512225195,1199.7369369987264,-1.0362654351156694e-88,1.0,0.0,-1.5550843910650306e-89,1.9117203290827521e-81,1.0063067221298095e-40
0.33,75.83350250118953,1199.736920099761,-1.8059825888162856e-88,1.0,0.0,-1.5336035459470922e-89,1.9021759124690935e-81,1.0061054805875596e-40
0.34,75.83349988020227,1199.7369032012812,-2.6277017760783244e-88,1.0,0.0,-1.5124445462392878e-89,1.8926805975496389e-81,1.0059042793387754e-40
0.35000000000000003,75.83349725929017,1199.7368863032873,-3.509689209165029e-88,1.0,0.0,-1.4916026440676578e-89,1.8832341342938454e-81,1.0057031183753929e-40
0.36,75.83349463845322,1199.736869405779,-4.460211100339642e-88,1.0,0.0,-1.4710730915582423e-89,1.8738362726711716e-81,1.0055019976893488e-40
0.37,75.83349201769143,1199.7368525087568,-5.487533661865419e-88,1.0,0.0,-1.4508511408370812e-89,1.8644867626510745e-81,1.0053009172725793e-40
0.38,75.83348939700478,1199.7368356122201,-6.599923106005603e-88,1.0,0.0,-1.430932044030215e-89,1.855185354203012e-81,1.0050998771170204e-40
0.39,75.8334867763933,1199.7368187161694,-7.805645645023439e-88,1.0,0.0,-1.4113110532636836e-89,1.845931797296442e-81,1.0048988772146087e-40
0.4,75.83348415585697,1199.7368018206043,-2.080155593739062e-86,1.0,0.0,-1.3917986724296317e-89,1.8367262354066706e-81,1.0046979175476202e-40
0.41000000000000003,75.83348153539578,1199.736784925525,-8.64958744421148e-86,1.0,0.0,-1.372150772835793e-89,1.827568928374076e-81,1.0044969980954743e-40
0.42,75.83347891500972,1199.736768030931,-1.9869140526759943e-85,1.0,0.0,-1.352354924576096e-89,1.8184596425305157e-81,1.0042961188497053e-40
0.43,75.8334762946988,1199.736751136823,-3.5812722495197497e-85,1.0,0.0,-1.3323995226327391e-89,1.8093981424508712e-81,1.0040952798018914e-40
0.44,75.83347367446302,1199.7367342432003,-5.655424100339571e-85,1.0,0.0,-1.3122729619879173e-89,1.800384192710024e-81,1.00389448094361e-40
0.45,75.83347105430238,1199.7367173500634,-8.216760370516763e-85,1.0,0.0,-1.2919636376238236e-89,1.791417557882855e-81,1.003693722266439e-40
0.46,75.83346843421687,1199.736700457412,-1.1272671825439653e-84,1.0,0.0,-1.2714599445226554e-89,1.782498002544246e-81,1.0034930037619561e-40
0.47000000000000003,75.8334658142065,1199.7366835652465,-1.4830549230490717e-84,1.0,0.0,-1.2507502776666046e-89,1.7736252912690777e-81,1.0032923254217389e-40
0.48,75.83346319427126,1199.7366666735663,-1.88977833510536e-84,1.0,0.0,-1.2298230320378643e-89,1.7647991886322319e-81,1.0030916872373653e-40
0.49,75.83346057441115,1199.7366497823716,-2.3481764952511945e-84,1.0,0.0,-1.2086666026186335e-89,1.7560194592085895e-81,1.0028910892004131e-40
0.5,75.83345795462617,1199.7366328916626,-2.8589884800251743e-84,1.0,0.0,-1.1872693843911066e-89,1.7472858675730323e-81,1.00269053130246e-40
0.51,75.83345533491631,1199.7366160014392,-3.4229533659657807e-84,1.0,0.0,-1.165619772337477e-89,1.7385981783004406e-81,1.0024900135350833e-40
0.52,75.83345271528158,1199.736599111701,-4.040810229611144e-84,1.0,0.0,-1.1437061614399405e-89,1.7299561559656966e-81,1.0022895358898613e-40
0.53,75.83345009572197,1199.7365822224485,-4.713298147499864e-84,1.0,0.0,-1.121516946680689e-89,1.721359565143681e-81,1.0020890983583717e-40
0.54,75.83344747623748,1199.7365653336815,-5.44115619617042e-84,1.0,0.0,-1.0990405230419215e-89,1.712808170409276e-81,1.0018887009321919e-40
0.55,75.83344485682812,1199.7365484453999,-6.225123452161179e-84,1.0,0.0,-1.076265285505831e-89,1.7043017363373616e-81,1.0016883436029e-40
0.56,75.83344223749387,1199.7365315576037,-7.065938992010621e-84,1.0,0.0,-1.0531796290546106e-89,1.69584002750282e-81,1.0014880263620734e-40
0.5700000000000001,75.83343961823475,1199.736514670293,-7.964341892256995e-84,1.0,0.0,-1.029771948670458e-89,1.6874228084805324e-81,1.00128774920129e-40
0.58,75.83343699905073,1199.7364977834677,-8.921071229439015e-84,1.0,0.0,-1.0060306393355663e-89,1.67904984384538e-81,1.0010875121121275e-40
0.59,75.83343437994183,1199.7364808971276,-9.936866080094929e-84,1.0,0.0,-9.8194409603213e-90,1.670720898172243e-81,1.0008873150861635e-40
0.6,75.83343176090806,1199.7364640112733,-1.1012465520763102e-83,1.0,0.0,-9.57500713742348e-90,1.6624357360360049e-81,1.0006871581149762e-40
0.61,75.83342914194938,1199.736447125904,-1.2148608627982133e-83,1.0,0.0,-9.32688887448408e-90,1.6541941220115449e-81,1.0004870411901427e-40
0.62,75.83342652306582,1199.7364302410201,-1.3346034478290268e-83,1.0,0.0,-9.0749701213251e-90,1.6459958206737453e-81,1.0002869643032412e-40
0.63,75.83342390425737,1199.7364133566218,-1.4605482148226108e-83,1.0,0.0,-8.819134827768474e-90,1.6378405965974873e-81,1.0000869274458494e-40
0.64,75.83342128552403,1199.7363964727085,-1.5927690714328015e-83,1.0,0.0,-8.559266943636133e-90,1.6297282143576522e-81,9.99886930609545e-41
0.65,75.8334186668658,1199.7363795892807,-1.7313399253134355e-83,1.0,0.0,-8.295250418750065e-90,1.621658438529121e-81,9.996869737859056e-41
0.66,75.83341604828266,1199.7363627063382,-1.876334684118361e-83,1.0,0.0,-8.026969202932182e-90,1.6136310336867751e-81,9.994870569665088e-41
0.67,75.83341342977462,1199.736345823881,-2.0278272555014143e-83,1.0,0.0,-7.754307246004444e-90,1.6056457644054959e-81,9.992871801429327e-41
0.68,75.8334108113417,1199.7363289419088,-2.1858915471164554e-83,1.0,0.0,-7.477148497788804e-90,1.5977023952601645e-81,9.99087343306755e-41
0.6900000000000001,75.83340819298387,1199.736312060422,-2.3506014666172973e-83,1.0,0.0,-7.195376908107207e-90,1.5898006908256625e-81,9.98887546449553e-41
0.7000000000000001,75.83340557470113,1199.7362951794207,-2.5220309216578116e-83,1.0,0.0,-6.908876426781601e-90,1.581940415676871e-81,9.98687789562905e-41
0.71,75.83340295649349,1199.7362782989044,-2.7002538198918347e-83,1.0,0.0,-6.61753100363393e-90,1.5741213343886712e-81,9.984880726383884e-41
0.72,75.83340033836095,1199.7362614188733,-2.8853440689731914e-83,1.0,0.0,-6.321224588486149e-90,1.5663432115359442e-81,9.98288395667581e-41
0.73,75.8333977203035,1199.7362445393271,-3.0773755765557532e-83,1.0,0.0,-6.019841131160196e-90,1.5586058116935718e-81,9.980887586420605e-41
0.74,75.83339510232115,1199.7362276602664,-3.276422250293339e-83,1.0,0.0,-5.713264581478031e-90,1.550908899436435e-81,9.978891615534048e-41
0.75,75.83339248441388,1199.736210781691,-3.482557997839803e-83,1.0,0.0,-5.401378889261587e-90,1.543252239339415e-81,9.976896043931915e-41
0.76,75.8333898665817,1199.7361939036005,-3.695856726848987e-83,1.0,0.0,-5.084068004332824e-90,1.535635595977393e-81,9.974900871529984e-41
0.77,75.83338724882461,1199.736177025995,-3.9163923449747226e-83,1.0,0.0,-4.761215876513694e-90,1.5280587339252508e-81,9.972906098244032e-41
0.78,75.83338463114261,1199.7361601488747,-4.144238759870869e-83,1.0,0.0,-4.432706455626137e-90,1.520521417757869e-81,9.970911723989835e-41
0.79,75.83338201353568,1199.7361432722396,-4.379469879191256e-83,1.0,0.0,-4.0984236914921195e-90,1.5130234120501295e-81,9.968917748683173e-41
0.8,75.83337939600385,1199.7361263960895,-4.6221596105897275e-83,1.0,0.0,-3.7582515339335464e-90,1.5055644813769132e-81,9.966924172239823e-41
0.81,75.83337677854709,1199.7361095204244,-4.8723818617201424e-83,1.0,0.0,-3.4120739327724054e-90,1.4981443903131014e-81,9.96493099457556e-41
0.8200000000000001,75.83337416116542,1199.7360926452445,-5.1302105402363256e-83,1.0,0.0,-3.0597748378306285e-90,1.4907629034335756e-81,9.962938215606163e-41
0.8300000000000001,75.83337154385882,1199.7360757705496,-5.3957195537921254e-83,1.0,0.0,-2.701238198930162e-90,1.483419785313217e-81,9.960945835247408e-41
0.84,75.8333689266273,1199.7360588963397,-5.668982810041378e-83,1.0,0.0,-2.336347965892966e-90,1.4761148005269068e-81,9.958953853415074e-41
0.85,75.83336630947086,1199.7360420226148,-5.950074216637944e-83,1.0,0.0,-1.9649880885409862e-90,1.4688477136495261e-81,9.95696227002494e-41
0.86,75.83336369238948,1199.7360251493749,-6.239067681235641e-83,1.0,0.0,-1.5870425166961692e-90,1.4616182892559565e-81,9.95497108499278e-41
0.87,75.83336107538318,1199.7360082766197,-6.536037111488336e-83,1.0,0.0,-1.202395200180447e-90,1.4544262919210793e-81,9.952980298234371e-41
0.88,75.83335845845195,1199.7359914043498,-6.841056415049853e-83,1.0,0.0,-8.109300888157795e-91,1.4472714862197757e-81,9.950989909665493e-41
0.89,75.83335584159579,1199.7359745325648,-7.154199499574052e-83,1.0,0.0,-4.1253113242411297e-91,1.4401536367269268e-81,9.948999919201922e-41
0.9,75.8333532248147,1199.7359576612646,-7.475540272714758e-83,1.0,0.0,-7.082280827414424e-93,1.433072508017414e-81,9.947010326759436e-41
0.91,75.83335060810867,1199.7359407904494,-7.80515264212583e-83,1.0,0.0,4.0553251615239097e-91,1.426027864666119e-81,9.945021132253814e-41
0.92,75.83334799147771,1199.735923920119,-8.143110515461095e-83,1.0,0.0,8.254293086933501e-91,1.419019471247922e-81,9.94303233560083e-41
0.93,75.83334537492182,1199.7359070502735,-8.48948780037441e-83,1.0,0.0,1.252724146973517e-90,1.4120470923377054e-81,9.941043936716262e-41
0.9400000000000001,75.83334275844098,1199.7358901809127,-8.844358404519613e-83,1.0,0.0,1.6875330811709243e-90,1.4051104925103502e-81,9.939055935515888e-41
0.9500000000000001,75.8333401420352,1199.735873312037,-9.207796235550534e-83,1.0,0.0,2.129972161463661e-90,1.3982094363407371e-81,9.937068331915486e-41
0.96,75.83333752570448,1199.735856443646,-9.579875201121028e-83,1.0,0.0,2.5801574380297324e-90,1.3913436884037482e-81,9.935081125830833e-41
0.97,75.83333490944882,1199.7358395757399,-9.960669208884943e-83,1.0,0.0,3.038204961047241e-90,1.3845130132742643e-81,9.933094317177705e-41
0.98,75.83333229326821,1199.7358227083187,-1.0350252166496114e-82,1.0,0.0,3.5042307806941985e-90,1.3777171755271667e-81,9.931107905871882e-41
0.99,75.83332967716267,1199.735805841382,-1.0748697981608385e-82,1.0,0.0,3.978350947148673e-90,1.3709559397373369e-81,9.929121891829137e-41
1.0,75.83332706113217,1199.7357889749303,-1.1156080561875597e-82,1.0,0.0,4.460681510588705e-90,1.3642290704796559e-81,9.927136274965254e-41
1.01,75.83332444517671,1199.7357721089634,-1.1572473814951587e-82,1.0,0.0,4.951338521192375e-90,1.3575363323290053e-81,9.925151055196006e-41
1.02,75.83332182929631,1199.735755243481,-1.1997951648490221e-82,1.0,0.0,5.4504380291376965e-90,1.350877489860266e-81,9.923166232437168e-41
1.03,75.83331921349097,1199.7357383784833,-1.2432587970145312e-82,1.0,0.0,5.958096084602757e-90,1.3442523076483198e-81,9.921181806604524e-41
1.04,75.83331659776066,1199.7357215139705,-1.2876456687570726e-82,1.0,0.0,6.474428737765591e-90,1.3376605502680473e-81,9.919197777613846e-41
1.05,75.8333139821054,1199.7357046499424,-1.3329631708420287e-82,1.0,0.0,6.999552038804244e-90,1.3311019822943304e-81,9.91721414538091e-41
1.06,75.83331136652518,1199.735687786399,-1.379218694034785e-82,1.0,0.0,7.533582037896784e-90,1.3245763683020502e-81,9.915230909821502e-41
1.07,75.83330875102,1199.7356709233402,-1.4264196291007255e-82,1.0,0.0,8.076634785221251e-90,1.3180834728660877e-81,9.91324807085139e-41
1.08,75.83330613558986,1199.735654060766,-1.4745733668052346e-82,1.0,0.0,8.6288263309557e-90,1.3116230605613246e-81,9.911265628386357e-41
1.09,75.83330352023478,1199.7356371986764,-1.523687297913696e-82,1.0,0.0,9.190272725278183e-90,1.3051948959626419e-81,9.909283582342177e-41
1.1,75.83330090495471,1199.7356203370714,-1.573768813191494e-82,1.0,0.0,9.761090018366749e-90,1.298798743644921e-81,9.90730193263463e-41
1.11,75.83329828974969,1199.7356034759512,-1.6248253034040142e-82,1.0,0.0,1.034139426039945e-89,1.2924343681830434e-81,9.90532067917949e-41
1.12,75.8332956746197,1199.7355866153155,-1.676864159316639e-82,1.0,0.0,1.0931301501554341e-89,1.2861015341518897e-81,9.90333982189254e-41
1.1300000000000001,75.83329305956474,1199.735569755164,-1.729892771694754e-82,1.0,0.0,1.1530927792009483e-89,1.279800006126342e-81,9.901359360689551e-41
1.1400000000000001,75.83329044458482,1199.7355528954974,-1.783918531303743e-82,1.0,0.0,1.2140389181942922e-89,1.273529548681281e-81,9.899379295486304e-41
1.1500000000000001,75.83328782967992,1199.7355360363154,-1.83894882890899e-82,1.0,0.0,1.2759801721532699e-89,1.2672899263915883e-81,9.897399626198577e-41
1.16,75.83328521485005,1199.7355191776178,-1.8949910552758785e-82,1.0,0.0,1.338928146095686e-89,1.2610809038321452e-81,9.895420352742144e-41
1.17,75.83328260009522,1199.7355023194048,-1.9520526011697954e-82,1.0,0.0,1.4028944450393494e-89,1.2549022455778325e-81,9.893441475032787e-41
1.18,75.83327998541539,1199.7354854616763,-2.0101408573561232e-82,1.0,0.0,1.4678906740020613e-89,1.248753716203532e-81,9.891462992986279e-41
1.19,75.8332773708106,1199.735468604432,-2.0692632146002455e-82,1.0,0.0,1.5339284380016292e-89,1.2426350802841249e-81,9.889484906518398e-41
1.2,75.83327475628083,1199.7354517476726,-2.1294270636675484e-82,1.0,0.0,1.6010193420558578e-89,1.2365461023944922e-81,9.887507215544924e-41
1.21,75.83327214182609,1199.7354348913973,-2.1906397953234154e-82,1.0,0.0,1.6691749911825518e-89,1.2304865471095156e-81,9.885529919981632e-41
1.22,75.83326952744635,1199.7354180356067,-2.2529088003332297e-82,1.0,0.0,1.7384069903995166e-89,1.224456179004076e-81,9.8835530197443e-41
1.23,75.83326691314163,1199.7354011803002,-2.3162414694623772e-82,1.0,0.0,1.8087269447245582e-89,1.2184547626530548e-81,9.881576514748705e-41
1.24,75.83326429891193,1199.7353843254784,-2.380645193476241e-82,1.0,0.0,1.8801464591754814e-89,1.2124820626313336e-81,9.879600404910627e-41
1.25,75.83326168475725,1199.7353674711408,-2.446127363140206e-82,1.0,0.0,1.95267713877009e-89,1.2065378435137932e-81,9.87762469014584e-41
1.26,75.83325907067758,1199.7353506172876,-2.5126953692196567e-82,1.0,0.0,2.026330588526191e-89,1.2006218698753151e-81,9.875649370370122e-41
1.27,75.83325645667291,1199.7353337639188,-2.580356602479976e-82,1.0,0.0,2.1011184134615885e-89,1.1947339062907807e-81,9.873674445499252e-41
1.28,75.83325384274326,1199.7353169110343,-2.6491184536865495e-82,1.0,0.0,2.1770522185940882e-89,1.188873717335071e-81,9.871699915449005e-41
1.29,75.83325122888863,1199.735300058634,-2.718988313604761e-82,1.0,0.0,2.254143608941495e-89,1.1830410675830675e-81,9.86972578013516e-41
