t,V,Nai,m,h,j,Ki,X_kr,X_ks,X_to1,Y_to1,Cai,O,O_Ca,C0,C1,C2,C3,C4,C_Ca0,C_Ca1,C_Ca2,C_Ca3,C_Ca4,Ca_ss,y,P_O1,P_O2,P_C1,P_C2,Ca_JSR,Ca_NSR,HTRPNCa,LTRPNCa
0.0,-96.1638,10.0,0.0328302,0.988354,0.99254,157.8,0.51,0.264,2.63,0.99,8e-05,9.84546e-21,0.0,0.997208,6.38897e-05,1.535e-09,1.63909e-14,6.56337e-20,0.00272826,6.99215e-07,6.71989e-11,2.87031e-15,4.59752e-20,0.00011,0.798,0.0,0.0,0.47,0.53,0.257,0.257,0.98,0.078
0.01,-95.3604308446515,10.0,0.0328302,0.9985363060044715,0.997160274575687,157.8,0.5023476098371482,0.2298756601520151,3.936333847438688e-05,0.9965170834488905,8.196746984155342e-05,-1.4813467091128003e-18,7.291515135118857e-25,0.9974089538150575,2.1403493368493804e-06,1.722666788567052e-12,-1.0396586540566315e-16,4.504074238290679e-18,0.0025897341216101683,2.2229431822486517e-08,7.155257575704046e-14,1.0841058562845579e-19,-1.2809473507676968e-21,0.0001297743430035745,0.8012330105463221,0.0006251341886480615,2.8629960008361577e-09,0.4730653307843171,0.5263095321640382,0.2571209266150021,0.2574560967400848,0.9796810656497638,0.07702805848379547
0.02,-95.2526135999203,10.0,0.0328302,0.9984934495967775,0.9983105219037381,157.8,0.49484259970292654,0.20025767505434014,3.978434194166356e-05,0.998786823950191,8.201786694749746e-05,-3.3919227363424993e-20,-5.255857103779054e-26,0.9975275592869576,2.181959069837134e-06,1.7898068852963202e-12,-8.682747947312381e-18,3.0346697077085317e-19,0.002471087647314681,2.1622027746798167e-08,7.094608428714056e-14,1.0433233707369469e-19,-1.7997576918315315e-22,0.0001296141808104363,0.8044143168407869,0.0006216662703397187,2.8431745846690792e-09,0.47664129973272396,0.5227370311537608,0.25740140637175885,0.2577642575858128,0.979370565437404,0.07660664588421824
0.03,-95.24024593733513,10.0,0.0328302,0.9984882977552789,0.9986142473508007,157.8,0.4874537731678851,0.1744685276997108,3.98329258070049e-05,0.9995773257671455,8.174493911078615e-05,-1.7202265928199622e-18,3.5814100704789716e-24,0.9976353127187448,2.186979248549887e-06,1.8456572267802523e-12,-1.6849932566921836e-14,6.563052988513216e-16,0.0023633300926915964,2.0724648124681085e-08,6.81622145743359e-14,1.2424058314208781e-18,-2.4192914666992685e-19,0.000129072087623552,0.8075447108152786,0.0006174433800667446,2.7889895624664487e-09,0.4801936564890957,0.5191888973418474,0.25769400381299623,0.25805444036524194,0.9790646589259951,0.07628213866351184
0.04,-95.24051861013585,10.0,0.0328302,0.9984882693445606,0.9986960125683152,157.8,0.48017563137445124,0.1520037580201296,3.983191474621236e-05,0.999852641115015,8.142905726720291e-05,7.246608223233569e-19,7.141890370108231e-24,0.997733366581028,2.1870977523589794e-06,1.8078436204265614e-12,-3.428180724683217e-15,1.0788880458948527e-16,0.0022652769727504554,1.9863829988287513e-08,6.532305368014783e-14,4.515802394441367e-19,-7.16880511849666e-20,0.00012848686351532416,0.8106250025532027,0.0006132430854859554,2.732552738907403e-09,0.48372191480419774,0.515664839377763,0.2579815888092876,0.25833664990790733,0.9787626566448914,0.07598058092608469
0.05,-95.24227863195068,10.0,0.0328302,0.9984888591000592,0.9987184198085749,157.8,0.47300604651101125,0.13243380737999233,3.9831226320981126e-05,0.9999485277302748,8.111438466326452e-05,3.638401610152937e-17,-1.9536349678294203e-21,0.9978226533050659,2.1884266399196303e-06,-1.4917309713949804e-12,1.1321255031461711e-12,-3.623925310098001e-14,0.0021759897017438324,1.9084116869907907e-08,6.119669409570396e-14,-1.1256633287402996e-16,2.276091216216409e-17,0.00012790009439667553,0.8136559933477904,0.0006090707657851645,2.6771049270919428e-09,0.4872262348690449,0.5121646916880646,0.2582624506147733,0.25861189087324304,0.978464396107598,0.07568998055618616
0.06,-95.2440442583094,10.0,0.0328302,0.9984894645732968,0.9987248098145562,157.8,0.46594335731080344,0.11538559893126486,3.981864202496751e-05,0.9999819293876606,8.080760107960314e-05,5.562350522719563e-18,-1.3325286877318272e-22,0.9979040071615474,2.1862858542892637e-06,1.4263634127919848e-12,1.2754178769477864e-13,-4.15556203356273e-15,0.0020946387115583164,1.8356660490272038e-08,6.017935413718956e-14,-1.1980351961208062e-17,2.4552819686563706e-18,0.00012732710223009876,0.816638472221401,0.0006049269908424783,2.623150149757915e-09,0.490706778354264,0.508688292031743,0.25853653723033104,0.2588804419701282,0.9781698011576555,0.07540817103889638
0.07,-95.2456497545238,10.0,0.0328302,0.9984900162833295,0.9987268372804923,157.8,0.4589859816146436,0.10053423205529764,3.9811897412422425e-05,0.9999935723112667,8.05094661034477e-05,1.9582736630863997e-19,-8.358627486498473e-25,0.9979781708347422,2.185657298835595e-06,1.7938591586346487e-12,3.960695608036245e-16,-1.0231202239323585e-17,0.0020204763223182006,1.7701019931143306e-08,5.815095811013408e-14,2.6236727316239896e-20,1.1479094676081595e-20,0.0001267606341064278,0.8195732156370543,0.0006008116748448534,2.5706496973694795e-09,0.49416370616626015,0.5052354795882451,0.25880400656553926,0.25914250371418995,0.9778788109652811,0.07513454904917553
0.08,-95.24710315765631,10.0,0.0328302,0.9984905153622676,0.9987276499590189,157.8,0.4521323645782244,0.08759666817520191,3.980620928872487e-05,0.9999976234661255,8.021981679516528e-05,1.528689312689299e-20,-2.754812196096242e-26,0.9980458218431039,2.185241714555785e-06,1.7942342608598038e-12,1.4868137370501621e-18,-1.5889877851680636e-20,0.001952826326676907,1.7103885585849162e-08,5.6176103846479004e-14,8.178400625329536e-20,3.899505248664332e-23,0.00012620280120710122,0.8224609876347526,0.0005967246210445198,2.5195833748239263e-09,0.49759717820065463,0.5018060946587173,0.25906504131971514,0.25939826139399086,0.9775913685356713,0.07486876683405974
0.09,-95.24843007440323,10.0,0.0328302,0.9984909705125025,0.9987281115045408,157.8,0.44538097216717293,0.07632631769866545,3.980102744132655e-05,0.9999990365293426,7.9938356242305e-05,5.1710335718779616e-20,-1.208965358637693e-25,0.998107572345467,2.1848641461672735e-06,1.7934352459608494e-12,2.3265734436982858e-17,-4.2030997950950132e-19,0.0018910767466530601,1.6559117622682342e-08,5.4373709361154994e-14,7.327614161587025e-20,1.0794980306141129e-21,0.00012565357597005774,0.8253025400230203,0.0005926656217650287,2.469897013330352e-09,0.5010073532906528,0.49839997861768487,0.2593198225840532,0.2596478927876152,0.9773074187908874,0.07461052595282508
