t,AMC
0.0,1.0
0.01,1.0000096065886288
0.02,1.0000192115762878
0.03,1.0000288149632337
0.04,1.0000384167497627
0.05,1.0000480169360328
0.06,1.0000576155223408
0.07,1.000067212508967
0.08,1.0000768078961908
0.09,1.0000864016842927
0.1,1.0000959938735523
0.11,1.0001055844642501
0.12,1.0001151734566656
0.13,1.000124760851079
0.14,1.0001343466477703
0.15,1.0001439308470192
0.16,1.0001535134491053
0.17,1.0001630944542537
0.18,1.0001726738626995
0.19,1.0001822516747096
0.2,1.0001918278905497
0.21,1.0002014025104862
0.22,1.000210975534785
0.23,1.0002205469637127
0.24,1.000230116797535
0.25,1.0002396850365183
0.26,1.0002492516809287
0.27,1.0002588167310325
0.28,1.0002683801870955
0.29,1.0002779420493828
0.3,1.0002875023181583
0.31,1.0002970609936872
0.32,1.0003066180762354
0.33,1.0003161735660686
0.34,1.0003257274634523
0.35000000000000003,1.000335279768652
0.36,1.0003448304819336
0.37,1.0003543796035625
0.38,1.0003639271338045
0.39,1.0003734730729252
0.4,1.00038301742119
0.41000000000000003,1.0003925601788317
0.42,1.0004021013461872
0.43,1.0004116409234773
0.44,1.0004211789109676
0.45,1.0004307153089231
0.46,1.0004402501176097
0.47000000000000003,1.0004497833372927
0.48,1.0004593149682373
0.49,1.0004688450107089
0.5,1.0004783734649727
0.51,1.000487900331294
0.52,1.000497425609938
0.53,1.0005069493011682
0.54,1.0005164714052412
0.55,1.0005259919224203
0.56,1.00053551085297
0.5700000000000001,1.0005450281971555
0.58,1.0005545439552408
0.59,1.0005640581274908
0.6,1.00057357071417
0.61,1.000583081715543
0.62,1.0005925911318738
0.63,1.0006020989634274
0.64,1.0006116052104677
0.65,1.0006211098732591
0.66,1.000630612952066
0.67,1.0006401144471522
0.68,1.0006496143587822
0.6900000000000001,1.0006591126872202
0.7000000000000001,1.00066860943273
0.71,1.0006781045955757
0.72,1.0006875981760213
0.73,1.0006970901743306
0.74,1.0007065805907676
0.75,1.0007160694255963
0.76,1.00072555667908
0.77,1.000735042351483
0.78,1.0007445264430685
0.79,1.0007540089541005
0.8,1.0007634898848423
0.81,1.0007729692355576
0.8200000000000001,1.00078244700651
0.8300000000000001,1.000791923197963
0.84,1.0008013978101795
0.85,1.0008108708434236
0.86,1.000820342297958
0.87,1.0008298121740462
0.88,1.0008392804719517
0.89,1.0008487471919372
0.9,1.0008582123342662
0.91,1.0008676758992014
0.92,1.0008771378870063
0.93,1.0008865982979438
0.9400000000000001,1.0008960571322765
0.9500000000000001,1.0009055143902674
0.96,1.0009149700721798
0.97,1.000924424178276
0.98,1.0009338767088187
0.99,1.0009433276640711
1.0,1.0009527770442956
1.01,1.0009622248497547
1.02,1.0009716710807113
1.03,1.0009811157374278
1.04,1.0009905588201662
1.05,1.0010000003291897
1.06,1.0010094402647602
1.07,1.0010188786271401
1.08,1.001028315416592
1.09,1.0010377506333776
1.1,1.0010471842777595
1.11,1.0010566163499999
1.12,1.0010660468503607
1.1300000000000001,1.001075475779104
1.1400000000000001,1.001084903136492
1.1500000000000001,1.0010943289227863
1.16,1.0011037531382492
1.17,1.0011131757831422
1.18,1.0011225968577275
1.19,1.0011320163622668
1.2,1.0011414342970217
1.21,1.001150850662254
1.22,1.001160265458225
1.23,1.001169678685197
1.24,1.0011790903434308
1.25,1.0011885004331884
1.26,1.0011979089547312
1.27,1.0012073159083203
1.28,1.0012167212942173
1.29,1.0012261251126837
1.3,1.0012355273639804
1.31,1.0012449280483688
1.32,1.00125432716611
1.33,1.0012637247174654
1.34,1.0012731207026957
1.35,1.0012825151220621
1.36,1.0012919079758256
1.37,1.0013012992642472
1.3800000000000001,1.0013106889875878
1.3900000000000001,1.0013200771461082
1.4000000000000001,1.0013294637400691
1.41,1.0013388487697314
1.42,1.001348232235356
1.43,1.001357614137203
1.44,1.0013669944755335
1.45,1.001376373250608
1.46,1.0013857504626869
1.47,1.0013951261120309
1.48,1.0014045001989
1.49,1.001413872723555
1.5,1.001423243686256
1.51,1.0014326130872635
1.52,1.0014419809268378
1.53,1.0014513472052387
1.54,1.0014607119227266
1.55,1.0014700750795618
1.56,1.001479436676004
1.57,1.0014887967123134
1.58,1.00149815518875
1.59,1.0015075121055736
1.6,1.0015168674630441
1.61,1.0015262212614215
1.62,1.0015355735009654
1.6300000000000001,1.0015449241819356
1.6400000000000001,1.001554273304592
1.6500000000000001,1.0015636208691938
1.6600000000000001,1.0015729668760007
1.67,1.0015823113252726
1.68,1.0015916542172687
1.69,1.0016009955522485
1.7,1.0016103353304715
1.71,1.001619673552197
1.72,1.0016290102176841
1.73,1.0016383453271924
1.74,1.0016476788809812
1.75,1.0016570108793097
1.76,1.0016663413224403
1.77,1.0016756702106329
1.78,1.0016849975441464
1.79,1.0016943233232403
1.8,1.0017036475481733
1.81,1.0017129702192045
1.82,1.0017222913365929
1.83,1.0017316109005971
1.84,1.0017409289114765
1.85,1.0017502453694898
1.86,1.0017595602748954
1.87,1.0017688736279522
1.8800000000000001,1.0017781854289192
1.8900000000000001,1.0017874956780546
1.9000000000000001,1.0017968043756171
1.9100000000000001,1.0018061115218655
1.92,1.001815417117058
1.93,1.0018247211614533
1.94,1.0018340236553094
1.95,1.0018433245988851
1.96,1.0018526239924386
1.97,1.0018619218362281
1.98,1.0018712181305118
1.99,1.0018805128755481
2.0,1.0018898060715948
2.0100000000000002,1.0018990977189102
2.02,1.0019083878177524
2.0300000000000002,1.001917676368379
2.04,1.0019269633710486
2.05,1.0019362488260186
2.06,1.001945532733547
2.07,1.0019548150938915
2.08,1.0019640959073102
2.09,1.0019733751740605
2.1,1.0019826528944002
2.11,1.001991929068587
2.12,1.0020012036968784
2.13,1.002010476779532
2.14,1.0020197483168052
2.15,1.0020290183089553
2.16,1.00203828675624
2.17,1.0020475536589168
2.18,1.0020568190172425
2.19,1.0020660828314747
2.2,1.0020753451018707
2.21,1.0020846058286872
2.22,1.002093865012182
2.23,1.0021031226526116
2.24,1.0021123787502333
2.25,1.0021216333053042
2.2600000000000002,1.0021308863180811
2.27,1.0021401377888208
2.2800000000000002,1.0021493877177803
2.29,1.0021586361052164
2.3000000000000003,1.0021678829513858
2.31,1.0021771282565453
2.32,1.0021863720209516
2.33,1.0021956142448611
2.34,1.0022048549285307
2.35,1.0022140940722166
2.36,1.0022233316761755
2.37,1.0022325677406638
2.38,1.002241802265938
2.39,1.0022510352522545
2.4,1.002260266699869
2.41,1.0022694966090386
2.42,1.002278724980019
2.43,1.0022879518130665
2.44,1.0022971771084372
2.45,1.0023064008663873
2.46,1.0023156230871726
2.47,1.0023248437710492
2.48,1.0023340629182733
2.49,1.0023432805291004
2.5,1.0023524966037864
2.5100000000000002,1.0023617111425875
2.52,1.002370924145759
2.5300000000000002,1.0023801356135569
2.54,1.0023893455462365
2.5500000000000003,1.0023985539440539
2.56,1.0024077608072641
2.57,1.0024169661361233
2.58,1.0024261699308865
2.59,1.0024353721918096
2.6,1.0024445729191473
2.61,1.0024537721131555
2.62,1.0024629697740892
2.63,1.002472165902204
2.64,1.0024813604977547
2.65,1.002490553560997
2.66,1.0024997450921853
2.67,1.0025089350915752
2.68,1.0025181235594216
2.69,1.0025273104959793
2.7,1.0025364959015035
2.71,1.002545679776249
2.72,1.0025548621204707
2.73,1.0025640429344234
2.74,1.0025732222183616
2.75,1.0025823999725403
2.7600000000000002,1.002591576197214
2.77,1.0026007508926371
2.7800000000000002,1.0026099240590647
2.79,1.0026190956967511
2.8000000000000003,1.0026282658059507
2.81,1.002637434386918
2.82,1.0026466014399071
2.83,1.0026557669651728
2.84,1.0026649309629692
2.85,1.0026740934335505
2.86,1.002683254377171
2.87,1.0026924137940847
2.88,1.002701571684546
2.89,1.0027107280488086
2.9,1.0027198828871267
2.91,1.0027290361997543
2.92,1.0027381879869455
2.93,1.0027473382489538
2.94,1.0027564869860333
2.95,1.0027656341984377
2.96,1.0027747798864208
2.97,1.0027839240502372
2.98,1.0027930666901514
2.99,1.0028022078064205
3.0,1.0028113473992981
3.0100000000000002,1.0028204854690383
3.02,1.0028296220158948
3.0300000000000002,1.0028387570401216
3.04,1.0028478905419722
3.0500000000000003,1.0028570225217004
3.06,1.00286615297956
3.0700000000000003,1.0028752819158044
3.08,1.0028844093306875
3.09,1.0028935352244626
3.1,1.0029026595973831
3.11,1.002911782449703
3.12,1.0029209037816749
3.13,1.0029300235935528
3.14,1.00293914188559
3.15,1.0029482586580394
3.16,1.0029573739111546
3.17,1.0029664876451885
3.18,1.0029755998603946
3.19,1.0029847105570258
3.2,1.0029938197353352
3.21,1.0030029273955758
3.22,1.0030120335380008
3.23,1.0030211381628629
3.24,1.003030241270415
3.25,1.0030393428609101
3.2600000000000002,1.003048442934601
3.27,1.0030575414917404
3.2800000000000002,1.003066638532581
3.29,1.0030757340573757
3.3000000000000003,1.0030848280663769
3.31,1.0030939205598373
3.3200000000000003,1.0031030115380093
3.33,1.0031121010011457
3.34,1.0031211889494989
3.35,1.0031302753833213
3.36,1.003139360302865
3.37,1.003148443708383
3.38,1.003157525600127
3.39,1.0031666059783495
3.4,1.0031756848433029
3.41,1.0031847621952388
3.42,1.0031938380344099
3.43,1.0032029123610682
3.44,1.0032119851754655
3.45,1.0032210564778539
3.46,1.0032301262684855
3.47,1.003239194547612
3.48,1.0032482613154856
3.49,1.0032573265723577
3.5,1.0032663903184804
3.5100000000000002,1.0032754525541054
3.52,1.0032845132794843
3.5300000000000002,1.003293572494869
3.54,1.0033026302005108
3.5500000000000003,1.0033116863966614
3.56,1.0033207410835725
3.5700000000000003,1.0033297942614954
3.58,1.0033388459306816
3.59,1.0033478960913824
3.6,1.0033569447438493
3.61,1.0033659918883335
3.62,1.0033750375250867
3.63,1.0033840816543595
3.64,1.0033931242764034
3.65,1.0034021653914698
3.66,1.0034112049998092
3.67,1.0034202431016732
3.68,1.0034292796973125
3.69,1.0034383147869783
3.7,1.0034473483709214
3.71,1.0034563804493928
3.72,1.003465411022643
3.73,1.0034744400909235
3.74,1.0034834676544844
3.75,1.0034924937135767
3.7600000000000002,1.0035015182684512
3.77,1.0035105413193581
3.7800000000000002,1.0035195628665485
3.79,1.0035285829102727
3.8000000000000003,1.003537601450781
3.81,1.0035466184883244
3.8200000000000003,1.0035556340231528
3.83,1.003564648055517
3.84,1.003573660585667
3.85,1.0035826716138532
3.86,1.003591681140326
3.87,1.0036006891653355
3.88,1.0036096956891316
3.89,1.003618700711965
3.9,1.003627704234085
3.91,1.0036367062557425
3.92,1.003645706777187
3.93,1.0036547057986684
3.94,1.003663703320437
3.95,1.003672699342742
3.96,1.003681693865834
3.97,1.0036906868899622
3.98,1.0036996784153767
3.99,1.0037086684423269
4.0,1.0037176569710626
4.01,1.0037266440018335
4.0200000000000005,1.0037356295348892
4.03,1.0037446135704788
4.04,1.0037535961088522
4.05,1.0037625771502585
4.0600000000000005,1.0037715566949477
4.07,1.0037805347431685
4.08,1.0037895112951705
4.09,1.003798486351203
4.1,1.003807459911515
4.11,1.003816431976356
4.12,1.003825402545975
4.13,1.003834371620621
4.14,1.0038433392005432
4.15,1.0038523052859905
4.16,1.0038612698772118
4.17,1.0038702329744562
4.18,1.0038791945779726
4.19,1.0038881546880098
4.2,1.00389711330482
4.21,1.0039060704286527
4.22,1.003915026059757
4.23,1.0039239801983815
4.24,1.003932932844775
4.25,1.0039418839991863
4.26,1.0039508336618637
4.2700000000000005,1.0039597818330563
4.28,1.0039687285130123
4.29,1.0039776737019803
4.3,1.003986617400209
4.3100000000000005,1.0039955596079466
4.32,1.0040045003254414
4.33,1.004013439552942
4.34,1.0040223772906967
4.3500000000000005,1.0040313135389538
4.36,1.0040402482979613
4.37,1.0040491815679675
4.38,1.0040581133492206
4.39,1.0040670436419687
4.4,1.0040759724464599
4.41,1.004084899762942
4.42,1.0040938255916632
4.43,1.0041027499328712
