t,ADHC
0.0,1.0
0.01,1.0000077751862397
0.02,1.0000155451906836
0.03,1.0000233100166547
0.04,1.0000310696679844
0.05,1.0000388241466909
0.06,1.0000465734566069
0.07,1.00005431760135
0.08,1.0000620565845382
0.09,1.0000697904097888
0.1,1.0000775190807198
0.11,1.0000852426009488
0.12,1.0000929609740934
0.13,1.0001006742037715
0.14,1.0001083822936008
0.15,1.0001160852471989
0.16,1.000123783068173
0.17,1.0001314757593547
0.18,1.0001391633237304
0.19,1.0001468457647205
0.2,1.0001545230857452
0.21,1.0001621952902249
0.22,1.00016986238158
0.23,1.0001775243632307
0.24,1.0001851812385976
0.25,1.0001928330111005
0.26,1.0002004796841601
0.27,1.0002081212611966
0.28,1.0002157577456303
0.29,1.000223389140806
0.3,1.0002310154500262
0.31,1.000238636676683
0.32,1.0002462528241687
0.33,1.0002538638958764
0.34,1.0002614698951988
0.35000000000000003,1.0002690708255284
0.36,1.0002766666902583
0.37,1.0002842574927806
0.38,1.0002918432364885
0.39,1.0002994239247744
0.4,1.0003069995610312
0.41000000000000003,1.0003145701469711
0.42,1.0003221356896215
0.43,1.0003296961900816
0.44,1.0003372516517393
0.45,1.00034480207798
0.46,1.0003523474721867
0.47000000000000003,1.0003598878377409
0.48,1.0003674231780209
0.49,1.0003749534964033
0.5,1.000382478796262
0.51,1.0003899990809693
0.52,1.0003975143538948
0.53,1.0004050246183365
0.54,1.000412529877254
0.55,1.0004200301339328
0.56,1.000427525391721
0.5700000000000001,1.000435015653963
0.58,1.0004425009240019
0.59,1.0004499812051777
0.6,1.0004574565008286
0.61,1.0004649268142902
0.62,1.0004723921488954
0.63,1.0004798525079754
0.64,1.0004873078948586
0.65,1.0004947583128714
0.66,1.000502203765337
0.67,1.0005096442555776
0.68,1.0005170797869116
0.6900000000000001,1.0005245103626563
0.7000000000000001,1.0005319359861256
0.71,1.0005393566606318
0.72,1.0005467723894843
0.73,1.0005541831759905
0.74,1.0005615890234556
0.75,1.0005689899351817
0.76,1.0005763859144692
0.77,1.0005837769646162
0.78,1.0005911630889177
0.79,1.0005985442906673
0.8,1.0006059205731554
0.81,1.0006132919396709
0.8200000000000001,1.0006206583934991
0.8300000000000001,1.0006280199379245
0.84,1.000635376576228
0.85,1.0006427283116885
0.86,1.0006500751475829
0.87,1.0006574170871851
0.88,1.0006647541337674
0.89,1.0006720862905991
0.9,1.0006794135609476
0.91,1.0006867359480773
0.92,1.000694053455251
0.93,1.000701366085729
0.9400000000000001,1.0007086738427684
0.9500000000000001,1.0007159767296252
0.96,1.000723274749552
0.97,1.0007305679057996
0.98,1.0007378562016167
0.99,1.0007451396402487
1.0,1.0007524182249392
1.01,1.0007596919589299
1.02,1.0007669608454595
1.03,1.000774224887764
1.04,1.0007814840890783
1.05,1.0007887384526337
1.06,1.00079598798166
1.07,1.0008032326793839
1.08,1.0008104725490303
1.09,1.0008177075938216
1.1,1.0008249378169776
1.11,1.000832163221716
1.12,1.0008393838112526
1.1300000000000001,1.0008465995887996
1.1400000000000001,1.0008538105575677
1.1500000000000001,1.0008610167207654
1.16,1.0008682180815984
1.17,1.0008754146432703
1.18,1.000882606408982
1.19,1.0008897933819323
1.2,1.0008969755653179
1.21,1.0009041529623324
1.22,1.0009113255761677
1.23,1.0009184934100133
1.24,1.000925656467056
1.25,1.0009328147504801
1.26,1.0009399682634685
1.27,1.0009471170092008
1.28,1.0009542609908544
1.29,1.0009614002116045
1.3,1.0009685346746242
1.31,1.0009756643830836
1.32,1.0009827893401508
1.33,1.000989909548992
1.34,1.0009970250127702
1.35,1.0010041357346464
1.36,1.0010112417177794
1.37,1.0010183429653254
1.3800000000000001,1.0010254394804385
1.3900000000000001,1.0010325312662702
1.4000000000000001,1.0010396183259695
1.41,1.0010467006626838
1.42,1.001053778279557
1.43,1.0010608511797316
1.44,1.0010679193663474
1.45,1.0010749828425418
1.46,1.0010820416114496
1.47,1.001089095676204
1.48,1.0010961450399347
1.49,1.0011031897057705
1.5,1.0011102296768364
1.51,1.0011172649562559
1.52,1.0011242955471498
1.53,1.0011313214526367
1.54,1.0011383426758331
1.55,1.0011453592198525
1.56,1.0011523710878063
1.57,1.0011593782828039
1.58,1.001166380807952
1.59,1.001173378666355
1.6,1.0011803718611147
1.61,1.0011873603953312
1.62,1.0011943442721014
1.6300000000000001,1.0012013234945205
1.6400000000000001,1.0012082980656813
1.6500000000000001,1.0012152679886737
1.6600000000000001,1.0012222332665854
1.67,1.0012291939025026
1.68,1.001236149899508
1.69,1.0012431012606826
1.7,1.0012500479891047
1.71,1.0012569900878503
1.72,1.0012639275599935
1.73,1.0012708604086054
1.74,1.001277788636755
1.75,1.001284712247566
1.76,1.0012916312445475
1.77,1.001298545630868
