t,PAR1,RNAUG3,PLUR,DTKA
0.0,103.525,0.0,159.549,0.0367573
0.01,103.52498237504406,0.0,159.54986430192238,0.03661185469024049
0.02,103.52496475017625,0.0,159.5507285955257,0.036469627898819336
0.03,103.52494712539657,0.0,159.55159288081006,0.03633052405016952
0.04,103.524929500705,0.0,159.5524571577755,0.03619450229578796
0.05,103.52491187610156,0.0,159.55332142642214,0.03606147153982628
0.06,103.52489425158623,0.0,159.55418568675003,0.03593134936662011
0.07,103.52487662715903,0.0,159.55504993875928,0.03580407706629611
0.08,103.52485900281997,0.0,159.55591418244998,0.03567958796699129
0.09,103.52484137856901,0.0,159.55677841782216,0.035557817069592136
0.1,103.52482375440617,0.0,159.55764264487593,0.03543870269738515
0.11,103.52480613033146,0.0,159.55850686361137,0.035322182960912704
0.12,103.52478850634488,0.0,159.55937107402855,0.035208194723419024
0.13,103.5247708824464,0.0,159.56023527612757,0.03509668366755852
0.14,103.52475325863604,0.0,159.5610994699085,0.03498759017019094
0.15,103.52473563491381,0.0,159.5619636553714,0.03488085950978083
0.16,103.52471801127969,0.0,159.56282783251638,0.0347764373324923
0.17,103.52470038773369,0.0,159.5636920013435,0.03467427135924464
0.18,103.52468276427581,0.0,159.56455616185283,0.034574311391740095
0.19,103.52466514090604,0.0,159.56542031404447,0.03447650620768967
0.2,103.5246475176244,0.0,159.56628445791853,0.034380806252402696
0.21,103.52462989443087,0.0,159.56714859347503,0.034287164552484053
0.22,103.52461227132545,0.0,159.56801272071408,0.03419553576832456
0.23,103.52459464830815,0.0,159.56887683963575,0.03410587535340167
0.24,103.52457702537896,0.0,159.56974095024012,0.03401813748604735
0.25,103.5245594025379,0.0,159.5706050525273,0.03393227893063777
0.26,103.52454177978494,0.0,159.57146914649735,0.03384825777788453
0.27,103.5245241571201,0.0,159.57233323215033,0.03376603328194245
0.28,103.52450653454336,0.0,159.57319730948635,0.03368556514980009
0.29,103.52448891205475,0.0,159.57406137850546,0.033606814004226576
0.3,103.52447128965424,0.0,159.57492543920776,0.033529741790673265
0.31,103.52445366734186,0.0,159.57578949159333,0.03345431149162898
0.32,103.52443604511757,0.0,159.57665353566225,0.03338048718001541
0.33,103.5244184229814,0.0,159.5775175714146,0.033308232304331234
0.34,103.52440080093334,0.0,159.57838159885046,0.03323751270495279
0.35000000000000003,103.5243831789734,0.0,159.5792456179699,0.03316829459583983
0.36,103.52436555710155,0.0,159.58010962877302,0.03310054515578328
0.37,103.52434793531782,0.0,159.5809736312599,0.033034231905814365
0.38,103.5243303136222,0.0,159.58183762543058,0.03296932301554954
0.39,103.52431269201468,0.0,159.58270161128516,0.03290578780658228
0.4,103.52429507049527,0.0,159.58356558882375,0.032843596348761
0.41000000000000003,103.52427744906397,0.0,159.5844295580464,0.03278271942487944
0.42,103.52425982772078,0.0,159.5852935189532,0.03272312849536694
0.43,103.5242422064657,0.0,159.58615747154423,0.03266479566297883
0.44,103.52422458529873,0.0,159.58702141581958,0.032607693640942965
0.45,103.52420696421984,0.0,159.5878853517793,0.032551795852536855
0.46,103.52418934322908,0.0,159.5887492794235,0.03249707626240274
0.47000000000000003,103.52417172232641,0.0,159.58961319875223,0.03244350930445331
0.48,103.52415410151185,0.0,159.5904771097656,0.032391069898966895
0.49,103.5241364807854,0.0,159.5913410124637,0.03233973341875158
0.5,103.52411886014704,0.0,159.59220490684655,0.03228947565530942
0.51,103.5241012395968,0.0,159.59306879291427,0.03224027278500058
0.52,103.52408361913466,0.0,159.59393267066696,0.03219210146470028
0.53,103.5240659987606,0.0,159.59479654010468,0.032144940445454726
0.54,103.52404837847466,0.0,159.5956604012275,0.032098768406071475
0.55,103.52403075827682,0.0,159.5965242540355,0.03205356409747978
0.56,103.52401313816708,0.0,159.59738809852877,0.03200930672861523
0.5700000000000001,103.52399551814544,0.0,159.5982519347074,0.031965975949747094
0.58,103.5239778982119,0.0,159.59911576257144,0.031923551835805676
0.59,103.52396027836646,0.0,159.599979582121,0.031882014869709756
0.6,103.52394265860912,0.0,159.60084339335617,0.031841345986930364
0.61,103.52392503893988,0.0,159.60170719627698,0.03180152690221209
0.62,103.52390741935874,0.0,159.60257099088355,0.031762539542102716
0.63,103.52388979986569,0.0,159.60343477717592,0.03172436617049803
0.64,103.52387218046073,0.0,159.60429855515423,0.0316869894308102
0.65,103.52385456114388,0.0,159.6051623248185,0.03165039233314197
0.66,103.52383694191512,0.0,159.60602608616887,0.03161455824146096
0.67,103.52381932277446,0.0,159.6068898392054,0.031579470860773895
0.68,103.5238017037219,0.0,159.60775358392812,0.03154511429132836
0.6900000000000001,103.52378408475742,0.0,159.60861732033717,0.03151147318669168
0.7000000000000001,103.52376646588105,0.0,159.6094810484326,0.03147853238691849
0.71,103.52374884709276,0.0,159.6103447682145,0.03144627703674535
0.72,103.52373122839258,0.0,159.61120847968297,0.03141469259274288
