t,AMM1T,AMM2
0.0,1.00269,1.09071
0.01,1.0026875225503584,1.0907100106224987
0.02,1.0026852816354743,1.0907100212449947
0.03,1.0026832553921612,1.0907100318674883
0.04,1.0026814211723167,1.090710042489979
0.05,1.0026797689517155,1.090710053112467
0.06,1.0026782758281214,1.0907100637349525
0.07,1.0026769200149073,1.0907100743574352
0.08,1.002675691781247,1.0907100849799152
0.09,1.0026745806614556,1.0907100956023925
0.1,1.0026735733884746,1.0907101062248674
0.11,1.002672661733122,1.0907101168473397
0.12,1.0026718376389372,1.090710127469809
0.13,1.0026710916244992,1.090710138092276
0.14,1.002670416876811,1.09071014871474
0.15,1.0026698069769562,1.0907101593372015
0.16,1.0026692546007139,1.0907101699596604
0.17,1.002668755294021,1.0907101805821167
0.18,1.0026683048695646,1.09071019120457
0.19,1.0026678977340417,1.090710201827021
0.2,1.0026675282941488,1.0907102124494692
0.21,1.0026671914765037,1.0907102230719146
0.22,1.0026668867194815,1.0907102336943575
0.23,1.002666611538549,1.0907102443167978
0.24,1.0026663626363437,1.0907102549392353
0.25,1.0026661367155025,1.0907102655616703
0.26,1.0026659313539792,1.0907102761841025
0.27,1.0026657461247677,1.0907102868065321
0.28,1.0026655790760688,1.090710297428959
0.29,1.00266542815796,1.0907103080513834
0.3,1.0026652913221692,1.0907103186738052
0.31,1.0026651675167495,1.0907103292962241
0.32,1.0026650560027548,1.0907103399186404
0.33,1.0026649554117228,1.090710350541054
0.34,1.0026648643751916,1.0907103611634652
0.35000000000000003,1.0026647816117351,1.0907103717858735
0.36,1.002664706909317,1.0907103824082791
0.37,1.0026646396367902,1.0907103930306823
0.38,1.0026645789082633,1.0907104036530826
0.39,1.002664523837846,1.0907104142754804
0.4,1.002664473539647,1.0907104248978756
0.41000000000000003,1.0026644275996761,1.0907104355202681
0.42,1.002664386182755,1.0907104461426578
0.43,1.0026643488409237,1.090710456765045
0.44,1.002664315114067,1.0907104673874295
0.45,1.0026642845420706,1.0907104780098114
0.46,1.0026642566989472,1.0907104886321906
0.47000000000000003,1.0026642315780236,1.090710499254567
0.48,1.0026642090082911,1.090710509876941
0.49,1.0026641887188539,1.0907105204993122
0.5,1.0026641704388164,1.0907105311216807
0.51,1.0026641538972831,1.0907105417440466
0.52,1.0026641360119204,1.0907105523664098
0.53,1.0026641240934755,1.0907105629887703
0.54,1.0026641129072857,1.0907105736111282
0.55,1.0026641024533511,1.0907105842334834
0.56,1.0026640927316717,1.0907105948558362
0.5700000000000001,1.0026640837413516,1.090710605478186
0.58,1.002664075472012,1.0907106161005335
0.59,1.0026640679206866,1.090710626722878
0.6,1.0026640610873756,1.0907106373452202
0.61,1.002664054972079,1.0907106479675595
0.62,1.002664049574797,1.0907106585898962
0.63,1.002664044836837,1.0907106692122301
0.64,1.0026640405208946,1.0907106798345616
0.65,1.0026640366018742,1.0907106904568902
0.66,1.0026640330797758,1.0907107010792163
0.67,1.0026640299545992,1.0907107117015398
0.68,1.0026640272263445,1.0907107223238603
0.6900000000000001,1.0026640248166707,1.0907107329461785
0.7000000000000001,1.0026640225916676,1.090710743568494
0.71,1.0026640205490693,1.0907107541908068
0.72,1.0026640186888753,1.090710764813117
