t,QOM1
0.0,48.0839
0.01,48.08135928739231
0.02,48.07888320655038
0.03,48.07646949453814
0.04,48.07411751364931
0.05,48.07182533700171
0.06,48.069591149299825
0.07,48.0674133837962
0.08,48.065290871524326
0.09,48.06322217031089
0.1,48.06120587075758
0.11,48.05924072930121
0.12,48.05732542548843
0.13,48.055458728688656
0.14,48.053639221186806
0.15,48.051865924227094
0.16,48.05013756691134
0.17,48.048453001415574
0.18,48.04681113005279
0.19,48.04521086266239
0.2,48.04365115340659
0.21,48.04213100077043
0.22,48.040649420136766
0.23,48.03920537424704
0.24,48.0377979127949
0.25,48.036426124848646
0.26,48.03508913246307
0.27,48.03378608939133
0.28,48.03251610735222
0.29,48.031278318449935
0.3,48.03007190739796
0.31,48.0288960822118
0.32,48.02775007420895
0.33,48.026633131093696
0.34,48.02554450052163
0.35000000000000003,48.02448346391889
0.36,48.02344932471213
0.37,48.02244140687569
0.38,48.02145907243004
0.39,48.02050161687159
0.4,48.01956843706896
0.41000000000000003,48.01865891561907
0.42,48.01777245457283
0.43,48.01690847493157
0.44,48.01606640471831
0.45,48.01524565923531
0.46,48.01444569650005
0.47000000000000003,48.01366599219305
0.48,48.01290603671559
0.49,48.0121653346121
0.5,48.01144340399251
0.51,48.010739775954676
0.52,48.01005399400676
0.53,48.00938561348962
0.54,48.0087342009992
0.55,48.00809933380892
0.56,48.007480599292066
0.5700000000000001,48.00687759434809
0.58,48.00628992675887
0.59,48.005717213003166
0.6,48.00515907611699
0.61,48.00461514646319
0.62,48.00408506115895
0.63,48.00356846350331
0.64,48.00306500240463
0.65,48.00257433180813
0.66,48.002096110123375
0.67,48.001629999651804
0.68,48.001175666014205
0.6900000000000001,48.00073277757822
0.7000000000000001,48.00030100488588
0.71,47.99988002710101
0.72,47.9994696361662
0.73,47.99906971704976
0.74,47.998679983011144
0.75,47.99830008824184
0.76,47.99792981556995
0.77,47.997568941099594
0.78,47.99721721666734
0.79,47.99687440991745
0.8,47.99654029469226
0.81,47.99621465055862
0.8200000000000001,47.99589726288557
0.8300000000000001,47.995587921899265
0.84,47.995286423631626
0.85,47.99499256983317
0.86,47.994706167023594
0.87,47.994427025287315
0.88,47.99415496075331
0.89,47.99388979469591
0.9,47.99363135184123
0.91,47.99337946119238
0.92,47.99313395700574
0.93,47.992894677960656
0.9400000000000001,47.99266146543163
0.9500000000000001,47.99243416552704
0.96,47.992212628821676
0.97,47.991996709582686
0.98,47.99178626415903
0.99,47.99158115437386
1.0,47.99138124535754
1.01,47.9911864032178
1.02,47.990996498135566
1.03,47.99081140513406
1.04,47.99063100265244
1.05,47.990455172429506
1.06,47.990283799387335
1.07,47.990116771515
1.08,47.98995397975222
1.09,47.989795317873046
1.1,47.98964068236954
1.11,47.989489972334916
1.12,47.989343088559735
1.1300000000000001,47.989199933948115
1.1400000000000001,47.98906041415616
1.1500000000000001,47.98892443690375
1.16,47.98879191185436
1.17,47.98866275049487
1.18,47.98853686601531
1.19,47.98841417318873
1.2,47.98829458825099
1.21,47.98817802878051
1.22,47.98806441357814
1.23,47.98795367028779
1.24,47.98784573547501
1.25,47.9877405381439
1.26,47.98763800888934
1.27,47.98753807994189
1.28,47.98744068509935
1.29,47.987345759658304
1.3,47.987253240345666
1.31,47.98716306525027
1.32,47.98707517375439
1.33,47.986989506465314
