t,OVA,O2VAD1
0.0,204.497,2.368e-07
0.01,204.50007295658537,2.3679881600296003e-07
0.02,204.50221151097233,2.3679763201183997e-07
0.03,204.50370487780856,2.367964480266399e-07
0.04,204.50474554948838,2.367952640473597e-07
0.05,204.50547180643483,2.367940800739994e-07
0.06,204.50597822196997,2.3679289610655893e-07
0.07,204.50633198581397,2.367917121450383e-07
0.08,204.5065793245177,2.367905281894375e-07
0.09,204.5067514005033,2.367893442397564e-07
0.1,204.50687037855977,2.3678816029599507e-07
0.11,204.5069537541088,2.3678697635815344e-07
0.12,204.50701216847477,2.3678579242623148e-07
0.13,204.50705277121008,2.3678460850022917e-07
0.14,204.50708090991708,2.3678342458014648e-07
0.15,204.50710050279767,2.3678224066598334e-07
0.16,204.50711444601217,2.3678105675773982e-07
0.17,204.50712428880652,2.3677987285541579e-07
0.18,204.50713121373053,2.3677868895901124e-07
0.19,204.50713591561322,2.367775050685262e-07
0.2,204.5071392394643,2.3677632118396055e-07
0.21,204.5071414279016,2.3677513730531434e-07
0.22,204.50714290924844,2.367739534325875e-07
0.23,204.5071439405962,2.3677276956578e-07
0.24,204.50714466856573,2.3677158570489185e-07
0.25,204.50714519970856,2.3677040184992296e-07
0.26,204.5071455803306,2.3676921800087333e-07
0.27,204.50714584870806,2.3676803415774293e-07
0.28,204.50714603974947,2.3676685032053172e-07
0.29,204.5071461717446,2.3676566648923972e-07
0.3,204.5071462649222,2.3676448266386683e-07
0.31,204.50714633118454,2.3676329884441306e-07
0.32,204.50714637751656,2.3676211503087835e-07
0.33,204.50714641130082,2.3676093122326272e-07
0.34,204.50714645868172,2.3675974742156554e-07
0.35000000000000003,204.50714649850403,2.3675856362578727e-07
0.36,204.50714653076778,2.3675737983592795e-07
0.37,204.50714655547299,2.3675619605198755e-07
0.38,204.50714657261963,2.367550122739661e-07
0.39,204.50714658220772,2.367538285018636e-07
0.4,204.50714658423726,2.3675264473568002e-07
0.41000000000000003,204.50714657870824,2.3675146097541538e-07
0.42,204.50714656562067,2.3675027722106967e-07
0.43,204.50714655331393,2.3674909347264255e-07
0.44,204.50714655766984,2.367479097301334e-07
0.45,204.5071465602225,2.36746725993543e-07
0.46,204.50714656097196,2.3674554226287128e-07
0.47000000000000003,204.50714655991814,2.3674435853811825e-07
0.48,204.5071465570611,2.3674317481928395e-07
0.49,204.5071465524008,2.3674199110636834e-07
0.5,204.50714654593727,2.3674080739937146e-07
0.51,204.5071465376705,2.3673962369829327e-07
0.52,204.50714652760047,2.3673844000313378e-07
0.53,204.50714651949275,2.3673725606425585e-07
0.54,204.5071465169963,2.367360724323321e-07
0.55,204.50714651449982,2.3673488880040836e-07
0.56,204.50714651200337,2.3673370516848462e-07
0.5700000000000001,204.5071465095069,2.3673252153656084e-07
0.58,204.50714650701045,2.367313379046371e-07
0.59,204.50714650451397,2.3673015427271335e-07
0.6,204.50714650201752,2.367289706407896e-07
0.61,204.50714649952107,2.3672778700886586e-07
0.62,204.5071464970246,2.367266033769421e-07
0.63,204.50714649649157,2.3672542021459658e-07
0.64,204.50714649640335,2.367242371586364e-07
0.65,204.50714649631513,2.367230541026762e-07
0.66,204.5071464962269,2.3672187104671604e-07
0.67,204.5071464961387,2.3672068799075585e-07
0.68,204.50714649605047,2.3671950493479566e-07
0.6900000000000001,204.50714649596225,2.367183218788355e-07
0.7000000000000001,204.50714649587403,2.3671713882287532e-07
0.71,204.5071464957858,2.3671595576691513e-07
0.72,204.50714649569758,2.3671477271095497e-07
0.73,204.50714649560936,2.3671358965499478e-07
0.74,204.50714649552114,2.367124065990346e-07
0.75,204.50714649543292,2.3671122354307443e-07
0.76,204.5071464953447,2.3671004048711424e-07
0.77,204.50714649525648,2.3670885743115405e-07
0.78,204.50714649516826,2.367076743751939e-07
0.79,204.50714649508004,2.367064913192337e-07
0.8,204.50714649499182,2.3670530826327352e-07
0.81,204.50714649490362,2.3670412520731336e-07
0.8200000000000001,204.5071464948154,2.3670294215135317e-07
0.8300000000000001,204.50714649472718,2.3670175909539298e-07
0.84,204.50714649463896,2.3670057603943282e-07
0.85,204.50714649455074,2.3669939298347263e-07
0.86,204.50714649446252,2.3669820992751244e-07
0.87,204.5071464943743,2.3669702687155228e-07
0.88,204.50714649428608,2.366958438155921e-07
0.89,204.50714649419785,2.366946607596319e-07
0.9,204.50714649410963,2.3669347770367174e-07
0.91,204.5071464940214,2.3669229464771156e-07
0.92,204.5071464939332,2.3669111159175137e-07
0.93,204.50714649384497,2.366899285357912e-07
0.9400000000000001,204.50714649375675,2.3668874547983102e-07
0.9500000000000001,204.50714649366853,2.3668756242387083e-07
0.96,204.5071464935803,2.3668637936791067e-07
0.97,204.5071464934921,2.3668519631195048e-07
0.98,204.50714649340387,2.366840132559903e-07
0.99,204.50714649331564,2.3668283020003013e-07
1.0,204.50714649322742,2.3668164714406995e-07
1.01,204.5071464931392,2.3668046408810976e-07
1.02,204.50714649305098,2.366792810321496e-07
1.03,204.5071464929628,2.366780979761894e-07
1.04,204.50714649287457,2.3667691492022922e-07
1.05,204.50714649278635,2.3667573186426906e-07
1.06,204.50714649269813,2.3667454880830887e-07
1.07,204.5071464926099,2.3667336575234868e-07
1.08,204.50714649252168,2.3667218269638852e-07
1.09,204.50714649243346,2.3667099964042834e-07
1.1,204.50714649234524,2.3666981658446815e-07
1.11,204.50714649225702,2.3666863352850799e-07
1.12,204.5071464921688,2.366674504725478e-07
1.1300000000000001,204.50714649208058,2.366662674165876e-07
1.1400000000000001,204.50714649199236,2.3666508436062745e-07
1.1500000000000001,204.50714649190414,2.3666390130466726e-07
1.16,204.50714649181592,2.3666271824870707e-07
1.17,204.5071464917277,2.366615351927469e-07
1.18,204.50714649163947,2.3666035213678672e-07
1.19,204.50714649155125,2.3665916908082654e-07
1.2,204.50714649146303,2.3665798602486638e-07
1.21,204.5071464913748,2.366568029689062e-07
1.22,204.5071464912866,2.36655619912946e-07
1.23,204.50714649119837,2.3665443685698584e-07
1.24,204.50714649111015,2.3665325380102565e-07
1.25,204.50714649102193,2.3665207074506546e-07
1.26,204.50714649093374,2.366508876891053e-07
1.27,204.5071464908455,2.3664970463314511e-07
1.28,204.5071464907573,2.3664852157718493e-07
1.29,204.50714649066907,2.3664733852122476e-07
1.3,204.50714649058085,2.3664615546526458e-07
1.31,204.50714649049263,2.366449724093044e-07
1.32,204.5071464904044,2.3664378935334423e-07
1.33,204.5071464903162,2.3664260629738404e-07
1.34,204.50714649022797,2.3664142324142385e-07
1.35,204.50714649013975,2.366402401854637e-07
1.36,204.50714649005153,2.366390571295035e-07
1.37,204.5071464899633,2.3663787407354332e-07
1.3800000000000001,204.50714648987508,2.3663669101758315e-07
1.3900000000000001,204.50714648978686,2.3663550796162297e-07
1.4000000000000001,204.50714648969864,2.3663432490566278e-07
1.41,204.50714648961042,2.3663314184970262e-07
1.42,204.5071464895222,2.3663195879374243e-07
1.43,204.50714648943398,2.3663077573778224e-07
1.44,204.50714648934576,2.3662959268182208e-07
1.45,204.50714648925754,2.366284096258619e-07
1.46,204.50714648916932,2.366272265699017e-07
1.47,204.5071464890811,2.3662604351394154e-07
1.48,204.5071464889929,2.3662486045798136e-07
1.49,204.50714648890468,2.3662367740202117e-07
1.5,204.50714648881646,2.36622494346061e-07
1.51,204.50714648872824,2.3662131129010082e-07
1.52,204.50714648864002,2.3662012823414063e-07
1.53,204.5071464885518,2.3661894517818047e-07
1.54,204.50714648846358,2.3661776212222028e-07
1.55,204.50714648837535,2.366165790662601e-07
1.56,204.50714648828713,2.3661539601029993e-07
1.57,204.5071464881989,2.3661421295433974e-07
1.58,204.5071464881107,2.3661302989837956e-07
1.59,204.50714648802247,2.366118468424194e-07
1.6,204.50714648796406,2.3661066404350904e-07
1.61,204.50714648794255,2.3660948156323215e-07
1.62,204.50714648792106,2.3660829908295528e-07
1.6300000000000001,204.50714648789958,2.366071166026784e-07
1.6400000000000001,204.50714648787806,2.3660593412240152e-07
1.6500000000000001,204.50714648785657,2.3660475164212466e-07
1.6600000000000001,204.50714648783506,2.3660356916184776e-07
1.67,204.50714648781357,2.366023866815709e-07
1.68,204.50714648779208,2.3660120420129403e-07
1.69,204.50714648777057,2.3660002172101714e-07
1.7,204.50714648774908,2.3659883924074027e-07
1.71,204.50714648772757,2.3659765676046338e-07
1.72,204.50714648770608,2.3659647428018652e-07
1.73,204.5071464876846,2.3659529179990965e-07
1.74,204.50714648766308,2.3659410931963276e-07
1.75,204.5071464876416,2.365929268393559e-07
1.76,204.50714648762008,2.3659174435907903e-07
1.77,204.5071464875986,2.3659056187880214e-07
1.78,204.5071464875771,2.3658937939852527e-07
1.79,204.5071464875556,2.365881969182484e-07
1.8,204.5071464875341,2.365870144379715e-07
1.81,204.50714648751259,2.3658583195769465e-07
1.82,204.5071464874911,2.3658464947741775e-07
1.83,204.5071464874696,2.365834669971409e-07
1.84,204.5071464874481,2.3658228451686402e-07
1.85,204.5071464874266,2.3658110203658713e-07
1.86,204.5071464874051,2.3657991955631026e-07
1.87,204.5071464873836,2.365787370760334e-07
1.8800000000000001,204.50714648736212,2.365775545957565e-07
1.8900000000000001,204.5071464873406,2.3657637211547964e-07
1.9000000000000001,204.50714648731912,2.3657518963520275e-07
1.9100000000000001,204.50714648729763,2.3657400715492588e-07
1.92,204.50714648727612,2.3657282467464902e-07
1.93,204.50714648725463,2.3657164219437213e-07
1.94,204.50714648723311,2.3657045971409526e-07
1.95,204.50714648721163,2.365692772338184e-07
1.96,204.50714648719014,2.365680947535415e-07
1.97,204.50714648716863,2.3656691227326464e-07
1.98,204.50714648714714,2.3656572979298777e-07
1.99,204.50714648712562,2.3656454731271088e-07
2.0,204.50714648710414,2.36563364832434e-07
2.0100000000000002,204.50714648708265,2.3656218235215712e-07
2.02,204.50714648706114,2.3656099987188025e-07
2.0300000000000002,204.50714648703965,2.365598173916034e-07
2.04,204.50714648701813,2.365586349113265e-07
2.05,204.50714648699665,2.3655745243104963e-07
2.06,204.50714648697516,2.3655626995077277e-07
2.07,204.50714648695364,2.3655508747049587e-07
2.08,204.50714648693216,2.36553904990219e-07
2.09,204.50714648691064,2.3655272250994214e-07
2.1,204.50714648688916,2.3655154002966525e-07
2.11,204.50714648686767,2.3655035754938838e-07
2.12,204.50714648684615,2.365491750691115e-07
2.13,204.50714648682467,2.3654799258883463e-07
2.14,204.50714648680315,2.3654681010855776e-07
2.15,204.50714648678166,2.3654562762828087e-07
2.16,204.50714648676018,2.36544445148004e-07
2.17,204.50714648673866,2.3654326266772714e-07
2.18,204.50714648671718,2.3654208018745024e-07
2.19,204.50714648669566,2.3654089770717338e-07
2.2,204.50714648667417,2.3653971522689649e-07
2.21,204.5071464866527,2.3653853274661962e-07
2.22,204.50714648663117,2.3653735026634276e-07
2.23,204.50714648660968,2.3653616778606586e-07
2.24,204.50714648658817,2.36534985305789e-07
2.25,204.50714648656668,2.3653380282551213e-07
2.2600000000000002,204.5071464865452,2.3653262034523524e-07
2.27,204.50714648652368,2.3653143786495837e-07
2.2800000000000002,204.5071464865022,2.365302553846815e-07
2.29,204.50714648648068,2.3652907290440462e-07
2.3000000000000003,204.5071464864592,2.3652789042412775e-07
2.31,204.5071464864377,2.3652670794385086e-07
