t,Chk1P,Rad3,p53,preMPF,MPF,p21,p21_MPF,iCdc25,iCdc25Ps216,iCdc25Ps216_protein1433,aCdc25,aCdc25Ps216,protein1433,Wee1,Wee1P
0.0,1e-06,0.0,0.0,1e-06,1e-08,0.0,0.0,1e-06,2e-05,0.03,1e-06,0.0,2.0,0.001,0.0
0.01,9.048373941928138e-07,0.0,0.0,6.000000065101797e-06,9.99993440002478e-09,9.99500166647512e-05,4.981684697380122e-16,1.1000999938966576e-06,2.7004304871125522e-06,0.029718681391441695,9.999000041534076e-07,1.815160372852618e-15,2.0079787131214464,0.0010019999999899905,1.0004461452024127e-14
0.02,8.187307770507198e-07,0.0,0.0,1.100000008041418e-05,9.999917600409005e-09,0.00019980013326739978,1.985392531461625e-15,1.2001999777930488e-06,3.5917174061901545e-07,0.029425301527451708,9.998000184066728e-07,2.792067098141891e-15,2.0159644000060886,0.0010039999999799623,2.001787168737926e-14
0.03,7.408168716179899e-07,0.0,0.0,1.6000000045947657e-05,9.999949601497664e-09,0.0002995504498518679,4.4508204636753305e-15,1.3002999516975587e-06,4.524141114456511e-08,0.029132826731175267,9.997000427500958e-07,3.58592306673989e-15,2.023944131207153,0.001005999999969915,3.004026979778968e-14
0.04,6.703143505443379e-07,0.0,0.0,2.099999996171274e-05,1.0000030403509482e-08,0.0003992010664532783,7.883715135024184e-15,1.4003999156170946e-06,6.4664082632355615e-09,0.02884298858364583,9.996000771748273e-07,4.291826753779584e-15,2.031916161681466,0.0010079999999598485,4.007169516135808e-14
0.05,6.06521509407574e-07,0.0,0.0,2.599999982771987e-05,1.0000160006538806e-08,0.0004987520822357413,1.227354352558959e-14,1.5004998695572464e-06,9.021051464165015e-10,0.02855600139069713,9.99500121672828e-07,4.928819227383578e-15,2.039880257297517,0.0010099999999497627,5.011218710114659e-14
0.06,5.487996514651924e-07,0.0,0.0,3.099999964397955e-05,1.0000338410559097e-08,0.0005982035967767061,1.7609838173963704e-14,1.6005998135225594e-06,1.2572549827377485e-10,0.02827186500915448,9.994001762366887e-07,5.504714753461575e-15,2.047836397584693,0.0010119999999396582,6.016178539135584e-14
0.07,4.965207987583116e-07,0.0,0.0,3.599999941050334e-05,1.0000565615389055e-08,0.000697555719712152,2.3881211359879025e-14,1.700699747516982e-06,1.785122341217431e-10,0.02799055213465951,9.993002408590061e-07,6.026009775423959e-15,2.055784587353185,0.0010139999999295344,7.022053417656461e-14
0.08,4.492247209159868e-07,0.0,0.0,4.099999912730061e-05,1.0000841620774307e-08,0.0007968085398039955,3.1078540402812134e-14,1.800799671543078e-06,1.0434643654539513e-09,0.027712037686818944,9.992003155342697e-07,6.497323241419188e-15,2.063724833686951,0.001015999999919391,8.0288469448156e-14
0.09,4.064357978362563e-07,0.0,0.0,4.5999998794381875e-05,1.0001166426330715e-08,0.0008959621563267965,3.9191711789018585e-14,1.900899585603051e-06,3.568689384743355e-09,0.027436292952104008,9.99100400256709e-07,6.923386161700366e-15,2.0716571453764896,0.0010179999999092287,9.036563172031233e-14
