t,MPF_n,MPF_c,FZY,Wee1_n,StgP_n,preMPF_n,preMPF_c,N,StgP_c,Wee1_c,IE,Stg_m,Xp,Xm,Stg_n,Stg_c,Wee1P_n
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.01,0.0014998432547104275,0.9999367278856359,2.1146145391564008e-08,9.884079304732773e-06,3.7430510681550025e-06,8.172099971071467e-08,6.31671122691998e-05,1.0,0.00927079216212617,0.002564873814589127,6.527235558453097e-06,0.9999809523895742,2.500000074499243e-11,5e-06,0.0007961369390226624,0.9907791461878762,0.000310122317195854
0.02,0.0029993485298084824,0.9998502478888346,1.4683204106395363e-07,3.847272528834884e-05,1.4750376329062078e-05,3.516135660774375e-07,0.00014954211748628786,1.0,0.01814259482341886,0.004699480987795192,2.314776202756938e-05,0.9999619047963257,1.000000007449924e-10,9.999999999999999e-06,0.0015847696340199236,0.9819572705855609,0.0006015080597137164
0.03,0.004498483238284834,0.9997444279983013,4.323489062438215e-07,8.429316954525627e-05,3.2758058564295686e-05,8.426688659469007e-07,0.0002552570269451625,1.0,0.02672347137783961,0.006501494201628787,4.655817167242355e-05,0.9999428572201553,2.250000007449923e-10,1.4999999999999997e-05,0.002366162077150895,0.9734263098007868,0.000875629999160242
0.04,0.005997219264355929,0.9996223191518987,8.988272517310136e-07,0.0001460130678476726,5.755977638931087e-05,1.5834546200964215e-06,0.00037726090278210453,1.0,0.035080640613579066,0.008039229546517826,7.456503344519609e-05,0.9999238096609634,4.0000000074499243e-10,2e-05,0.0031405206647194366,0.965119045047057,0.001133820482964429
0.05,0.007495531995281105,0.9994863875276819,1.5475378314564783e-06,0.00022241874066109474,8.898227393535444e-05,2.599075022998428e-06,0.0005130875669407088,1.0,0.04325909905930697,0.009362536759672763,0.00010571520577084229,0.9999047621186506,6.250000007449927e-10,2.5000000000000008e-05,0.0039080187274887525,0.9569904797973958,0.0013772931938616766
0.06,0.008993399625792346,0.9993386652490006,2.368923634784416e-06,0.00031239874003849844,0.00012687205206145195,3.911861171142653e-06,0.000660704896070251,1.0,0.05129063598123997,0.010509017619821315,0.00013904607830499583,0.999885714593118,9.000000007449927e-10,3.0000000000000008e-05,0.0046688098394694144,0.9490088247872797,0.0016071595829995839
0.07,0.010490802645818633,0.999180852177778,3.348137081317537e-06,0.00041493102856628974,0.0001710878410433734,5.5418800123194536e-06,0.00081841302824651,1.0,0.059198633702064345,0.011507781021208523,0.00017391986431667381,0.9998666670842657,1.2250000007449932e-09,3.500000000000002e-05,0.005423035345230405,0.9411506976957155,0.0018244416909920008
0.08,0.011987723451227514,0.9990143878229246,4.468374018606106e-06,0.0005290726539198755,0.000221496172575393,7.507321293274544e-06,0.0009847724545579202,1.0,0.06700084409924355,0.012381840379717504,0.00020991360057247637,0.9998476195919948,1.6000000007449935e-09,4.000000000000002e-05,0.006170828787897363,0.9333983466469328,0.002030082473363455
0.09,0.013484146042608128,0.9988405036398812,5.712795692546843e-06,0.00065395125828992,0.000277968764053538,9.824797030772351e-06,0.0011585517195627552,1.0,0.07471109350648826,0.013149707400612512,0.0002467465648016964,0.9998285721162056,2.025000000744993e-09,4.5000000000000016e-05,0.006912318524869349,0.9257379453089132,0.0022249542911228987
0.1,0.014980055786726858,0.9986602623220852,7.065585500426498e-06,0.0007887579489242263,0.00034038097312230197,1.2509578618132459e-05,0.0013386881298225227,1.0,0.08234038830888196,0.01382649603793127,0.0002842319762001351,0.9998095246567988,2.500000000744994e-09,5.000000000000002e-05,0.007647629273272137,0.9181584872982659,0.0024098660402218234
0.11,0.016475439228109935,0.9984745873657568,8.512426230880552e-06,0.0009327412948673774,0.0004086109617081524,1.5575783986118933e-05,0.0015242581891158488,1.0,0.08989763800300599,0.014424689404367941,0.0003222460295452523,0.9997904772136753,3.025000000744994e-09,5.5000000000000016e-05,0.008376882945924712,0.9106510631201015,0.002585569154814621
0.12,0.01797028393400578,0.9982842865199475,1.0040706589160822e-05,0.0010852021315293295,0.00048253923467005025,1.9036531483553384e-05,0.0017144541483903768,1.0,0.09739016757920488,0.014954708812666726,0.0003607064142445915,0.9997714297867357,3.6000000007449936e-09,6.0000000000000015e-05,0.009100199112688768,0.9032083477857671,0.0027527628026899906
0.13,0.019464578368639032,0.9980900701520932,1.1639510427134297e-05,0.0012454890710250856,0.0005620484582020766,2.2904064527973452e-05,0.0019085656402088279,1.0,0.10482407751303562,0.015425331341168807,0.0003995586013944317,0.9997523823758805,4.225000000744993e-09,6.500000000000001e-05,0.00981769518206608,0.8958242408213973,0.0029120983749312645
0.14,0.020958311789731825,0.9978925659373187,1.3299508671924976e-05,0.0014129945858370801,0.000647023436023154,2.7189854037227264e-05,0.002105964989445714,1.0,0.11220450403004062,0.01584400386976387,0.00043876678099731456,0.9997333349810105,4.900000000744994e-09,7.000000000000002e-05,0.010529486425008798,0.8884936060031409,0.0030641834022540246
0.15,0.02245147415984001,0.9976923311733155,1.5012817796176845e-05,0.0015871514918291162,0.0007373511663693558,3.190468608579507e-05,0.0023060948984083627,1.0,0.11953582098697314,0.016217094060744758,0.0004783073001037374,0.9997142876020264,5.625000000744993e-09,7.500000000000001e-05,0.01123568591792714,0.8812120694759356,0.003209585071992161
0.16,0.023944056076272598,0.9974898622390701,1.6772812190485688e-05,0.001767429928063763,0.0008329209793042438,3.705873102123818e-05,0.0025084589881091755,1.0,0.12682177909839928,0.01655007040095711,0.0005181652121936289,0.9996952402388288,6.400000000744993e-09,8e-05,0.01193640440537907,0.8739758805269059,0.003348833248280483
0.17,0.02543604870866857,0.9972856029491108,1.8573962171908106e-05,0.0019533345797418766,0.000933624671489216,4.266160495814955e-05,0.002712613444018768,1.0,0.13406562235918046,0.016847656087387308,0.000558331300760189,0.9996761928913185,7.225000000744995e-09,8.5e-05,0.012631750165299951,0.866781795162881,0.0034824232491151887
0.18,0.026927443746472927,0.9970799514228835,2.0411686448304386e-05,0.0021444022007194017,0.0010393566542887633,4.8722421420898177e-05,0.002918160146690235,1.0,0.14127017613797185,0.017113949144646257,0.0005988000464752164,0.9996571455593962,8.100000000744992e-09,9e-05,0.013321828860897307,0.8596269880168959,0.00361081832383707
0.19,0.028418233354553492,0.996873265826923,2.2282206653621683e-05,0.0023401993785043436,0.0011500140981372355,5.524983487990316e-05,0.0031247409295876976,1.0,0.14843791647731713,0.017352518874760116,0.0006395684655350951,0.9996380982429627,9.025000000744993e-09,9.5e-05,0.014006743396284056,0.8525089830480964,0.003734451888134538
0.2,0.029908410135339313,0.996665869244012,2.4182408728458363e-05,0.002540320502578957,0.0012654970631241136,6.225207779900715e-05,0.003332032709927549,1.0,0.15557102569429399,0.017566484729613096,0.0006806355257829719,0.9996190509419185,1.0000000000744995e-08,0.0001,0.014686593785893246,0.8454255979410946,0.003853729555721434
