t,CycA,Tri_A,CKI,CycB,pB,BCKI,CycE,Tri_E,mass,Cdc20_A,APCP,Cdc20_i,pBCKI,Cdh1
0.0,0.09450308233499527,0.3492224216461182,0.02882070094347,0.1903585940599442,0.01234426256269217,0.679449200630188,0.2092024385929108,0.0,1.338267803192139,0.3572723865509033,0.07591402530670166,0.7702387571334839,0.04795938357710838,0.7189393639564514
0.01,0.09345198753392513,0.34999629541833366,0.02923181095141081,0.18719923167120278,0.012436026898858803,0.6787004389430209,0.20895960186169646,0.0,1.3383450934273873,0.35700202750781806,0.07543821826962449,0.7701317166487837,0.04903792333574294,0.7210666494981113
0.02,0.09239676147997797,0.35077468661893735,0.029651002783566572,0.1840503945190651,0.012520488345180757,0.6779369822175619,0.2087171558881726,0.0,1.3384223881258528,0.3567299426033538,0.07496189355791501,0.7700235524767495,0.050123255574538325,0.7231965631805561
0.03,0.09133752032892771,0.35155747997012454,0.03007885989205702,0.18091205566601518,0.012597588519476725,0.6771586761987082,0.2084751026308077,0.0,1.3384996872877908,0.3564561321451981,0.07448507525941653,0.7699142738918373,0.05121506667562571,0.7253290701046426
0.04,0.09027437095012139,0.35234456951081267,0.030515946764765135,0.17778409188199626,0.012667274522556195,0.6763653687513597,0.20823344420362125,0.0,1.338576990913464,0.3561805965682661,0.07400778813556275,0.7698038902671044,0.052313050719111694,0.7274641334442267
0.05,0.0892074067417661,0.35313586273197684,0.030962786859406323,0.17466628718601102,0.012729502166941041,0.6755569109182321,0.207992182777482,0.0,1.338654299003128,0.35590333641607086,0.0735300561792102,0.7696924104672966,0.053416926482301355,0.7296017164914316
0.06,0.08813671576125011,0.35393127247691475,0.031419899241832,0.17155834815863624,0.012784233273841998,0.6747331419168016,0.20775132065122345,0.0,1.3387316115570407,0.35562435234323586,0.0730519033535615,0.7695798430803301,0.05452642408524336,0.7317417816526941
0.07,0.08706238028190948,0.35473071737890954,0.03188779872158201,0.16845990818881557,0.012831435892331034,0.6738938868654293,0.20751086025340992,0.0,1.3388089285754599,0.3553436451179707,0.07257335334413777,0.7694661962674917,0.05564128683035944,0.7338842907258487
0.08,0.08598447746821562,0.3555341211868136,0.032367000584191376,0.1653705390256033,0.01287108426354773,0.6730389531531538,0.2072708041563621,0.0,1.338886250058643,0.35506121562517223,0.07209442950409209,0.7693514776996512,0.05676127088810317,0.7360292049224944
0.09,0.0849030812360852,0.3563414109052072,0.03285802882208943,0.16228978096085123,0.012903157829560603,0.6721681266441146,0.20703115508149306,0.0,1.338963576006848,0.3547770648558921,0.07161515480471674,0.769235694513879,0.05788614281764499,0.7381764849834198
0.1,0.08381826331629219,0.3571525157315852,0.03336142086612278,0.15921718811286262,0.012927640921023206,0.671281169373819,0.20679191590855636,0.0,1.3390409064203324,0.3544911939041078,0.07113555183600226,0.7691188533157579,0.059015678208330244,0.7403260911851676
0.11,0.08273009330598226,0.3579673670054035,0.03387772818122224,0.1561523693047378,0.012944522811145415,0.6703778194736453,0.2065530896860384,0.0,1.3391182412993545,0.3542036039686715,0.0706556428411418,0.7690009602120487,0.06014966115433554,0.7424779832604704
0.12,0.08163863927438299,0.35878589760292307,0.03440751829052888,0.1530950482263944,0.012953797582326591,0.6694577909611586,0.2063146796406354,0.0,1.3391955806441718,0.3539142963519865,0.07017544977515577,0.7688820208727289,0.061287882942669646,0.7446321203150483
0.13,0.08054396881054236,0.35960804088961545,0.034951375414436714,0.1500451510366838,0.012955464171174191,0.6685207757343284,0.20607668918003283,0.0,1.3392729244550419,0.3536232724579173,0.06969499447468436,0.7687620407147779,0.06243014014762408,0.7467884606368439
0.14,0.07944614967688075,0.3604337300663742,0.03550989871721434,0.14700285023134832,0.012949526616881254,0.6675664469786418,0.20583912188993553,0.0,1.339350272732223,0.3533305337918745,0.06921429884101314,0.7686410250997326,0.06357623327823689,0.7489469614823602
0.15,0.07834525071813259,0.36126289726033156,0.03608370063117521,0.14396861703915656,0.012935994352824552,0.6665944630565535,0.20560198153126125,0.0,1.339427625475973,0.3530360819609345,0.06873338506168111,0.7685189795730261,0.06472596504662184,0.7511075788166303
0.16,0.07724134316156771,0.3620954722237903,0.036673402607080983,0.140943239093962,0.012914882852878496,0.6656044745682829,0.20536527202840477,0.0,1.3395049826865495,0.35273991867601945,0.06825227596291111,0.7683959102457905,0.06587913816599213,0.7532702668984392
0.17,0.07613450164878498,0.3629313813017545,0.037279632997157676,0.13792777736077474,0.012886214123193903,0.6645961282409232,0.20512899745974894,0.0,1.3395823443642103,0.3524420457550299,0.06777099520652141,0.768271824009909,0.06703555421143297,0.7554349780384622
0.18,0.07502480550575097,0.363770546161157,0.03790302470774854,0.13492352933263854,0.012850017271251199,0.6635690715342849,0.20489316204752833,0.0,1.3396597105092134,0.3521424651265337,0.06728956752822354,0.76814672879827,0.06819501214930647,0.7576016623033685
0.19,0.07391234036035037,0.3646128821724567,0.03854421371307108,0.13193193859908872,0.01280632918239708,0.6625229565803145,0.2046577701461272,0.0,1.3397370811218168,0.35184117883604776,0.06680801894981313,0.7680206338193369,0.06935730705222756,0.759770267229766
0.2,0.07279719852523174,0.3654582980267126,0.039203839707563415,0.1289545652762239,0.012755194623354792,0.6614574399346566,0.2044228262413014,0.0,1.3398144562022782,0.35153818904840556,0.06632637676677446,0.7678935495466864,0.07052223008304297,0.7619407378110291
0.21,0.07167948162504358,0.3663066931072651,0.03988254559512099,0.12599295074769265,0.012696667214524237,0.6603721868698501,0.20418833493594787,0.0,1.3398918357508558,0.3512334980590729,0.06584466979596061,0.7677654879972523,0.07168956678622727,0.7641130161187721
0.22,0.0705593006618308,0.3671579574251036,0.0405809826779545,0.1230486386885456,0.012630809129077368,0.6592668657089815,0.20395430096180073,0.0,1.3399692197678075,0.3509271082969876,0.06536292815305927,0.767636462493872,0.07285909804394237,0.7662870415155391
0.23,0.06943677721922112,0.3680119704143286,0.04129981103245174,0.12012312158178287,0.0125576914806733,0.6581411491155236,0.20372072917563966,0.0,1.340046608253391,0.3506190223310801,0.06488118330662311,0.7675064877316703,0.07403059945891355,0.7684627505109507
0.24,0.06831204421877685,0.36886860017597445,0.04203970201638523,0.11721782453301188,0.012477394410613733,0.6569947124282908,0.20348762456306302,0.0,1.3401240012078646,0.3503092428756454,0.0643994680104832,0.7673755797117634,0.07520384135823807,0.7706400767604156
0.25,0.06718524662948205,0.3697277027687564,0.04280134090842294,0.1143340979819088,0.01239000714110137,0.6558272318090842,0.2032549922432111,0.0,1.340201398631486,0.34999777279556854,0.0639178162262823,0.7672437556643393,0.07637858882500631,0.7728189510716181
0.26,0.066056542304998,0.37058912137212396,0.043585430015623025,0.11147321683741507,0.012295628023123794,0.6546383820976116,0.20302283747494773,0.0,1.3402788005245136,0.3496846151125294,0.0634362630303879,0.7671110339565266,0.07755460170394787,0.7749993014051568
0.27,0.06492610252440002,0.371452685745833,0.04439269077609159,0.10863638501089885,0.012194364523136903,0.6534278353641388,0.20279116566311492,0.0,1.3403562068872052,0.3493697730100286,0.06295484452630615,0.766977434005963,0.07873163461047093,0.7771810528654063
0.28,0.06379411153107553,0.37231821269081805,0.04522386196327336,0.10582473392200555,0.012086333219011444,0.6521952621648414,0.2025599823539227,0.0,1.3404336177198186,0.34905324982937214,0.062473597911861384,0.7668429763473144,0.07990943691462192,0.7793641277025556
0.29,0.06266076875731066,0.37318550382571997,0.0460797079956655,0.10303934097474032,0.011971659791221327,0.650940325937694,0.20232929325756088,0.0,1.3405110330226122,0.34873504908829805,0.06199256116722121,0.7667076823253429,0.08108775269657371,0.781548445268538
0.3,0.06152628766864998,0.3740543467419461,0.046961014601386984,0.10028121984690802,0.011850479026306565,0.6496626859339558,0.20209910423646296,0.0,1.340588452795844,0.3484151744713289,0.06151177321662846,0.7665715742541193,0.08226632076820603,0.7837339220382973
0.31,0.06039089715761777,0.3749245136106852,0.04786859332639157,0.09755134303206417,0.011722934730105654,0.6483619945488452,0.2018694213214188,0.0,1.340665877039772,0.34809362984209735,0.06103127371841246,0.7664346752145857,0.08344487450613391,0.7859204715061148
0.32,0.059254841261852764,0.37579576146461874,0.04880328068952479,0.09485063614462298,0.011589179753585114,0.6470378977800004,0.20164025070809968,0.0,1.340743305754654,0.34777041924078433,0.06055110310905,0.7662970090966577,0.08462314189934972,0.7881080042141011
0.33,0.05811837973475227,0.3766678316274167,0.04976593903653755,0.09217998823410223,0.011449375916623454,0.645690035205521,0.20141159876216286,0.0,1.340820738940749,0.3474455468893075,0.06007130252361818,0.7661586005272517,0.08580084537313994,0.7902964276369832
0.34,0.056981788408904915,0.37754044935047837,0.05075745762508907,0.08954025752107024,0.011303693982926938,0.6443180393836077,0.2011834720232449,0.0,1.3408981765983141,0.34711901719453503,0.05959191374208398,0.7660194748189242,0.08697770173720998,0.7924856461490194
0.35000000000000003,0.05584535916742859,0.37841332384134685,0.051778751849010346,0.08693226894011871,0.01115231364887954,0.6429215365956066,0.2009558772014065,0.0,1.340975618727608,0.3467908347474172,0.05911297920896581,0.7658796579918169,0.08815342215124779,0.7946755609875205
0.36,0.05470940091174243,0.3792861472960754,0.05283076482414043,0.08435682849127728,0.01099542343628079,0.6415001466099032,0.2007288211837878,0.0,1.341053065328889,0.34646100433106497,0.05863454190867111,0.7657391766605551,0.08932771187823303,0.7968660700794439
0.37,0.05357423881379787,0.38015859564676596,0.05391446592407761,0.08181471178767212,0.010833220750657702,0.6400534830902285,0.20050231102784866,0.0,1.3411305164024148,0.3461295309146545,0.05815664546031542,0.7655980581211785,0.09050027048606334,0.7990570681585836
0.38,0.05244021567598547,0.38103032720121716,0.05503085143901225,0.07930668064658693,0.010665911647119773,0.6385811548083127,0.20027635396212254,0.0,1.3412079719484438,0.3457964196643559,0.05767933395911267,0.7654563302149167,0.09167079147634863,0.8012484464239327
0.39,0.051307691506067614,0.381900983068228,0.056180944627158946,0.07683347850623204,0.010493710917137623,0.6370827650105605,0.2000509573872684,0.0,1.3412854319672343,0.34546167593996546,0.05720265202345618,0.7653140213672464,0.09283896240529854,0.8034400926629259
0.4,0.05017704365979351,0.3827701870137629,0.05736579358933867,0.07439582850311328,0.01031684187609958,0.635557913632984,0.19982612886027967,0.0,1.3413628964590443,0.34512530529633934,0.05672664478143962,0.7651711605856616,0.09400446491110487,0.8056318910740844
0.41000000000000003,0.049048667481342276,0.3836375448205942,0.05858647217112828,0.07199444236395994,0.010135536299297549,0.6340061973042723,0.19960187609881913,0.0,1.3414403654241323,0.34478731348850616,0.056251357794196884,0.7650277773911636,0.09516697452785304,0.8078237221442199
0.42,0.047922976188394736,0.38450264440244186,0.0598440785424002,0.06963001872397764,0.009950034278018847,0.632427210541579,0.19937820697026992,0.0,1.3415178388627562,0.34444770647170636,0.055776837053569193,0.7648839018201474,0.0963261607825876,0.8100154625803598
0.43,0.04680040032478506,0.38536505634996826,0.06113973230748524,0.06730323493407772,0.009760584023156441,0.6308205477619789,0.19915512947113517,0.0,1.3415953167751746,0.34410649039845753,0.05530312902450688,0.7647395644692727,0.09748168745605898,0.8122069852649929
0.44,0.045681388722333995,0.38622433296912656,0.06247457594475264,0.06501475905474062,0.009567441797153495,0.6291858031914539,0.1989326517339667,0.0,1.3416727991616455,0.3437636716257179,0.05483028054147975,0.76459479640341,0.09863321229991831,0.8143981590829986
