t,CycA,Tri_A,CKI,CycB,pB,BCKI,CycE,Tri_E,mass,Cdc20_A,APCP,Cdc20_i,pBCKI,Cdh1
0.0,0.00994044542312622,0.01715379953384399,0.2954076826572418,0.1668413728475571,0.009814870543777943,0.0,0.07760512828826904,0.3117263317108154,1.174216866493225,0.6605867147445679,0.6716265678405762,0.01855352707207203,0.0,0.9992357492446899
0.01,0.009618925091244802,0.01712631374652865,0.2990152047180066,0.16355457597388198,0.00990665206503742,0.0,0.07588171202751377,0.31324287002861473,1.1742749965825798,0.6597575894663255,0.6699652329239199,0.018577203525959395,0.0,0.9992533589671038
0.02,0.009310833225018354,0.017090322335320294,0.3027620709528798,0.16033803421139836,0.009991914380296714,0.0,0.07423541353280956,0.3146889225239945,1.1743331295493504,0.6589239310289632,0.6683017700238892,0.01860302065409007,0.0,0.9992686650586157
0.03,0.00901519674846227,0.017046735333459323,0.3066340743255024,0.15719015618570162,0.010070826201981027,0.0,0.07265621859635985,0.3160743837773607,1.1743912653936799,0.6580857969588516,0.6666362259802683,0.018630981887853747,0.0,0.9992833656831261
0.04,0.008731166734397413,0.016996337912108684,0.31061943766938566,0.15410936613935547,0.01014355730844351,0.0,0.07113605463331588,0.31740720355931323,1.17444940411571,0.6572432440390312,0.6649686465598703,0.018661090609654755,0.0,0.9992976811608076
0.05,0.008457997265475692,0.016939811851148914,0.31470833385746527,0.15109410414220617,0.010210277946946905,0.0,0.06966839781499588,0.3186937812494486,1.1745075457155836,0.65639632831126,0.663299076498023,0.01869335016161565,0.0,0.9993116469049471
0.06,0.008195030280794175,0.016877750963688796,0.31889253937937845,0.14814282540252072,0.010271158176768033,0.0,0.06824798886472434,0.31993925120039335,1.1745656901934425,0.6555451050371301,0.6616275594993618,0.018727763851452355,0.0,0.9993252690568871
0.07,0.007941680270362905,0.0168106766254256,0.3231650958933653,0.1452539987426499,0.010326367288452017,0.0,0.06687055716996386,0.3211477595515809,1.1746238375494296,0.6546896286793623,0.6599541382645482,0.018764334958366862,0.0,0.9993385681063378
0.08,0.007697426477684912,0.016739045748952044,0.3275201263351494,0.14242610558868216,0.010376073231874417,0.0,0.06553266866328931,0.32232261706558657,1.1746819877836872,0.6538299528277098,0.6582788544469481,0.018803066734684914,0.0,0.9993515825704854
0.09,0.007461796911298621,0.016663266655127698,0.33195253596121815,0.1396576319128922,0.010420442876833634,0.0,0.0642314907006797,0.32346653421274796,1.1747401408963583,0.6529661304236704,0.6566017488869952,0.01884396242008844,0.0,0.9993642591149131
0.1,0.007234371111368596,0.016583697216130455,0.3364579911441076,0.13694708599935548,0.010459639483047073,0.0,0.06296475542465922,0.32458165980212267,1.1747982968875845,0.6520982130131059,0.6549228610342103,0.01888702519508698,0.0,0.9993766578266696
0.11,0.00701476654875848,0.016500657835462083,0.3410327011171085,0.13429297910128474,0.010493824229155525,0.0,0.0617305982634443,0.3256697414016879,1.1748564557575074,0.6512262513122712,0.6532422294250518,0.018932258220941054,0.0,0.9993887729034059
0.12,0.0068026282019070985,0.016414441064287924,0.3456732656881303,0.1316938023645063,0.010523158187262604,0.0,0.060527451148668344,0.3267322307118493,1.1749146175062715,0.6503502958824432,0.6515598922159602,0.018979664676553133,0.0,0.9994006169699055
0.13,0.006597637186503134,0.01632530504352635,0.35037672524317937,0.12914807300334558,0.010547796767493733,0.0,0.05935404287915524,0.32777028719854634,1.1749727821340181,0.6494703954554303,0.6498758859191222,0.0190292476238379,0.0,0.9994121733258753
