t,Cdc13_Cdc2,mass,Cdc13_P_Cdc2,Rum1_Cdc13_Cdc2,Rum1,Cdc25P,Wee1,Mik1,AAE_total,AAE,APC
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
0.01,0.9989581355421239,1.0000577616681408,0.00010426063242420808,0.0007493408127190763,0.0006075658397510607,0.0040924567290994696,0.005759617533991901,0.004154964042433753,2.0004987302881414,1.995850423507489,0.03517337565454324
0.02,0.9973412806169566,1.000115526672692,0.00021649194849482757,0.0017840805476874858,0.0006798213236930196,0.008041043652938116,0.011379533605020264,0.008287142658741876,2.000993433569069,1.9921105223542512,0.06134778992761774
0.03,0.9956204190203896,1.0001732950138462,0.0003365334622177806,0.0026748907928774517,0.000692851980488916,0.011854400670461755,0.01687032592359133,0.012397416002657962,2.0014834805709922,1.9887153248517713,0.08530959262003025
0.04,0.9938257946800105,1.0002310666917962,0.0004642411526831167,0.0034076845324411617,0.0006987353469949043,0.015540856282276194,0.02224134329893326,0.016486603099981793,2.00196867845392,1.985614627802772,0.10814482000991425
0.05,0.9919419226602346,1.0002888417067344,0.0005994676215556022,0.0040075084497227095,0.0007033087144565117,0.019107841975072072,0.027500907943333455,0.02055546745924953,2.0024488322366216,1.9827686645210714,0.1302799189280147
0.06,0.9899510874963625,1.0003466200588542,0.0007420591659220146,0.004498726262118941,0.0007073332197269953,0.022561950367607896,0.03265648205276865,0.0246047220399045,2.002923703293318,1.9801452574403167,0.15193503516577586
0.07,0.9878380926707233,1.000404401748348,0.0008918551582537132,0.004901607994952253,0.000710989260528591,0.025909045111437545,0.03771480014864001,0.028635033665439458,2.0033930118702026,1.9777178963960194,0.1732424307509167
0.08,0.9855905071540381,1.0004621867754084,0.0010486878714320057,0.005232704576395954,0.0007143783309251309,0.029154360141755143,0.04268197579086201,0.03264702695527646,2.003856443981919,1.975464400498305,0.19428990059460938
0.09,0.9832004889434821,1.0005199751402714,0.0012102393590780846,0.00550549797627699,0.0007175812685861901,0.03279118953683559,0.04457669600914024,0.03363452852720767,2.004313659061656,1.9733659639681678,0.2151400608271708
0.1,0.9806657442132186,1.0005777668430436,0.00137071145012996,0.005730979548773127,0.0007206538150204927,0.0365632913047456,0.045329245771521816,0.03349082990452738,2.004764305757749,1.9714064576035375,0.23583992880950588
