t,Cdc25_P,Wee1_P,UbE,cyclin,cyclin_Cdc2,MPF_active,Tyr15P_dimer,MPF_pre,IE_P
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,3.7983361460872537e-10,4.2856208175232296e-10,7.197112897077848e-14,0.9900503244689633,0.009887669216531988,1.2361879773930233e-05,4.956052696469824e-05,8.390776623022989e-08,2.633662856680869e-10
0.02,2.9532204570809353e-09,3.3393750013077433e-09,1.0023162906783038e-12,0.9802006239238653,0.019553239718034646,4.892035066727211e-05,0.00019656134270018116,6.546647327342639e-07,2.0124442223028228e-09
0.03,9.874332846928087e-09,1.1190206924851992e-08,4.763754434156122e-12,0.9704498603739107,0.029000643924326934,0.00010887049679216178,0.0004384285371394204,2.1966678309769806e-06,6.612783766462471e-09
0.04,2.315554483279884e-08,2.630067990732044e-08,1.4368752721277087e-11,0.960797026823947,0.03823367558326339,0.00019144149602631384,0.0007726862472083102,5.169849555183451e-06,1.5236599649674235e-08
0.05,4.4728713909366334e-08,5.0919659799258174e-08,3.356112840313052e-11,0.951241121119196,0.047256090498569624,0.0002958755244410767,0.001196890162581008,1.0022695212581767e-05,2.8922738682627045e-08
0.06,7.643195076518645e-08,8.721023666008339e-08,6.671745414211422e-11,0.9417811519109417,0.05607158355707926,0.00042143253895633655,0.001708642687320329,1.718930570254144e-05,4.857205251572643e-08
0.07,1.2001646604831585e-07,1.3725533808232962e-07,1.1858015914769707e-10,0.9324161381603239,0.06468379188952847,0.0005673892427928747,0.0023055904280187417,2.7090279336253082e-05,7.49695530993006e-08
0.08,1.7713885476890118e-07,2.0305052437161935e-07,1.9425843487375253e-10,0.923145110093703,0.07309628956817621,0.0007330406079333355,0.002985428239900622,4.013149028699681e-05,1.0877576062291163e-07
0.09,2.493822237695288e-07,2.865225182815263e-07,2.988034391830154e-10,0.9139671071299715,0.08131259974568349,0.0009176961933208871,0.003745889808408372,5.670712261581675e-05,1.505727915243462e-07
