t,Cdc25_P,Wee1_P,UbE,cyclin,cyclin_Cdc2,MPF_active,Tyr15P_dimer,MPF_pre,IE_P
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,3.954281506559964e-10,4.46189694759621e-10,7.740454434269031e-14,0.999851256639999,0.009935808873656922,1.2398153596565343e-05,4.971026267754222e-05,8.735900729373806e-08,2.7400252128269754e-10
0.02,2.958670891087217e-09,3.3461392407131808e-09,1.0382104923135035e-12,0.9997050102885923,0.019744323802548074,4.923471909107781e-05,0.00019782047595054655,6.560079021061673e-07,2.0133481583941748e-09
0.03,9.93540729046116e-09,1.1260408649504827e-08,4.8381164270793515e-12,0.9995612340047466,0.02942734325237833,0.00010992001478348308,0.00044264466549781117,2.2103083480226937e-06,6.649495769115165e-09
0.04,2.3367270404260066e-08,2.6542263505459882e-08,1.4517508941694115e-11,0.9994199025651399,0.038986544800977366,0.00019390713099906367,0.000782611192305884,5.216672680523524e-06,1.5372537805768813e-08
0.05,4.525418128074327e-08,5.151893445923053e-08,3.3958127525931815e-11,0.9992809906215784,0.04842360901105784,0.0003006508808724538,0.0012161464951991057,1.013885582794905e-05,2.9259784560141683e-08
0.06,7.752499481232148e-08,8.845692067341771e-08,6.757314283734257e-11,0.999144473081465,0.05774019422300538,0.0004296159621484854,0.0017416986968842988,1.7431010899345018e-05,4.9272047731423496e-08
0.07,1.22035263937644e-07,1.395597712215972e-07,1.202273889480967e-10,0.9990103251206626,0.06693793554794121,0.0005802773593628926,0.0023577385767023914,2.7537308295477388e-05,7.625561470306992e-08
0.08,1.8056739178464865e-07,2.0696825158531055e-07,1.9726595772578147e-10,0.9988785221825485,0.07601844494355922,0.000752120313455979,0.003062759496983934,4.0891964849912814e-05,1.1094119114197304e-07
0.09,2.5484222987268016e-07,2.927691217948104e-07,3.0399011421635354e-10,0.9987490399497124,0.08498331393392348,0.0009446390008135193,0.003855274737375832,5.792053895335212e-05,1.5398791165139974e-07
