t,Cdc25,UbE,UbE2,Wee1,G1K,G2K,PG2,G2R,R,G1R,PG2R,mass,IE
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0
0.01,5.938525841240817e-07,0.9990099058582995,6.147505230900453e-07,0.002272482545040023,1.715166079293387e-05,0.00012347659487596082,2.045662874972902e-08,2.6308315975783803e-05,0.4001595657303787,3.4510145556313257e-07,2.8898606673673803e-09,0.5000247506125727,2.5219854245492027e-07
0.02,2.085047290413105e-06,0.998019821574876,2.1315666867507284e-06,0.004544446703223552,3.362606950791417e-05,0.00020610408080288134,6.433259780311575e-08,9.303147369101245e-05,0.40027596871668164,1.3611485383727056e-06,1.936143704105451e-08,0.500049502450331,8.622635842199083e-07
0.03,4.150123366117873e-06,0.9970297473950801,4.1880680564682245e-06,0.006815866672522472,4.945159113287044e-05,0.00026150042386290854,1.1504910120275859e-07,0.0001865476339842081,0.40036340366261997,3.0200201110541048e-06,5.501144080140401e-08,0.5000742555133355,1.669985284195206e-06
0.04,6.574348774223794e-06,0.996039683569157,6.546613152856834e-06,0.009086731312130118,6.465550705557913e-05,0.00029873838791932486,1.643694341799529e-07,0.0002977822925733433,0.4004313387891627,5.2946670792972e-06,1.106024526571914e-07,0.500099009801647,2.572616057859042e-06
0.05,9.214882338373335e-06,0.9950496303077909,9.051840312782006e-06,0.011357036950884641,7.926401459134875e-05,0.0003238807202334752,2.0869332847757557e-07,0.000420672313813416,0.4004861111248252,8.15911433004681e-06,1.8463713144330437e-07,0.5001237653153261,3.5050337125460625e-06
0.06,1.1977444001314543e-05,0.9940595877717713,1.1603787082487448e-05,0.013626783628523044,9.330223863414938e-05,0.0003409545671804554,2.4694906919369074e-07,0.0005511910392401857,0.4005319392427734,1.1588449916097249e-05,2.747303932161606e-07,0.5001485220544334,4.427206362721788e-06
0.07,1.4799009329952386e-05,0.993069556074697,1.4137964785051166e-05,0.01589597283295509,0.0001067942615538431,0.00035267532346223263,2.792307374968812e-07,0.0006866240983986179,0.40057167576357944,1.555879581908737e-05,3.7841323870378507e-07,0.5001732800190296,5.314930457240716e-06
0.08,1.7639026284347937e-05,0.9920795352904345,1.6615259694990124e-05,0.018164606510919504,0.00011976315674205587,0.00036081445914233325,3.063287333044718e-07,0.0008252014115664769,0.40060718996912176,2.0047274831926747e-05,4.933159645450182e-07,0.5001980392091755,6.1551687198937965e-06
0.09,2.0470602655260208e-05,0.9910895254622211,1.901180158056712e-05,0.020432686559910318,0.00013223102782090136,0.0003665687980569779,3.2911066975691754e-07,0.0009657277568835693,0.4006397517769225,2.5031971719569638e-05,6.17483852941163e-07,0.5002227996249317,6.941372682343999e-06
0.1,2.3276287222883005e-05,0.9900995266099977,2.1314128799713245e-05,0.022700214570625796,0.0001442190470391549,0.00037073740466609805,3.4842583173075324e-07,0.0011074058076268475,0.4006702158858113,3.0491895140791233e-05,7.493291428940519e-07,0.5002475612663586,7.671283870926265e-06
0.11,2.604509156081517e-05,0.9891095387365655,2.3515782794790212e-05,0.02496719171199017,0.00015574749325691868,0.0003738464995489513,3.650721449412985e-07,0.0012497111649828689,0.4006991518625975,3.640693995280203e-05,8.875608381990937e-07,0.5002723241335172,8.345399995674712e-06
0.12,2.877010960432195e-05,0.988119561832941,2.5614589690511633e-05,0.027233618807740598,0.0001668357888942391,0.0003762493774188671,3.7967257274232244e-07,0.001392292404812789,0.40072694810421644,4.2757850508498696e-05,1.0312197828428625e-06,0.500297088226468,8.965755268726466e-06
0.13,3.144721496915198e-05,0.9871295958822047,2.7611184731696784e-05,0.029499496344573873,0.00017750253655660344,0.00037818109149159864,3.9273599548242585e-07,0.0015349163723098627,0.4007538688823836,4.9526184292758686e-05,1.1795708842898675e-06,0.5003218535452718,9.535282178661025e-06
