t,MPF,mass,preMPF,Rum1,Rum1P,CR,CRP,Ste9,Mik1,Wee1,Cdc25,Slp1,Slp1_a,Inh,PI,R_dna
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
0.01,0.0014159575963654464,1.0000462010672366,0.998273888560321,0.0009779549803973343,1.9326378796436672e-05,1.8303866374095936e-06,4.4326713075889297e-08,0.061330055582545395,0.03561876470941502,0.009970291587060627,0.0003947575573083018,5.0640113384227534e-05,3.801686378162429e-09,0.0016464383434417564,0.19933351265565494,1.0006000000000002
0.02,0.002842320548898399,1.0000924042690116,0.9959191780628616,0.0019193226658305925,6.141837324947523e-05,1.4392745956841487e-05,5.53692031329551e-07,0.12184552724539446,0.07099418711211958,0.019879286753311312,0.0006659469255460679,0.00010255053652089435,1.541366501401949e-08,0.0027479663016398113,0.1992118376908618,1.0012
0.03,0.004251028908395629,1.0001386096054241,0.9929589812642204,0.002825744114552159,0.00011311989883365995,4.76728963692744e-05,2.2553589761107363e-06,0.18210920410036707,0.10611784606662891,0.029725292823276697,0.0008560664475594528,0.00015569513209531116,3.514199582645908e-08,0.0034864526995859527,0.19945310627415405,1.0018000000000005
0.04,0.005618884528157623,1.0001848170765721,0.989412013635088,0.003693091768253528,0.00016857437414423884,0.00011053838214535539,5.8760103368848415e-06,0.2421672693503779,0.14097891525056927,0.03950774585973794,0.0009923955712780289,0.0002100132687268107,6.32793966883842e-08,0.003983405923668232,0.19993581001182678,1.0024000000000004
0.05,0.006926983228231053,1.000231026682555,0.9852951884108149,0.004516021977321749,0.00022491478741840418,0.0002103473800031949,1.2051467504956124e-05,0.30202430821317205,0.17556576761791862,0.049226870739516426,0.0010925737326743577,0.00026542425448259016,1.0009698768336598e-07,0.004319788372534388,0.20057898649709563,1.0030000000000001
0.06,0.008160360191935907,1.0002772384234706,0.9806244646804796,0.005289921223041265,0.0002805234195684399,0.0003526772070454378,2.12980338360119e-05,0.3616751441313899,0.20986623355327189,0.05888344946266427,0.001168055352173813,0.00032183139526154465,1.4583746654984499e-07,0.0045494627453913465,0.20132877302183813,1.0036000000000005
0.07,0.00930769701312049,1.0003234522994182,0.9754153055463488,0.0060116789418636005,0.0003343491054853562,0.0005412159132596945,3.39943957332093e-05,0.42111026767537063,0.24386745105996732,0.06847866047942429,0.001226298948825181,0.000379125770857926,2.0070971577596895e-07,0.004708244779162907,0.20214935383949065,1.0042000000000006
0.08,0.010361016879414847,1.000369668310496,0.9696829635294345,0.006679898751016132,0.0003856541417889919,0.0007778028793526258,5.036941802380958e-05,0.48031596577846547,0.27755560871145235,0.07801396508277121,0.001272164274783226,0.00043718971915677264,2.6488485685204835e-07,0.004819920548635594,0.2030169428649681,1.0048000000000008
0.09,0.011315337239678553,1.0004158864568027,0.9634426866859994,0.007294842298521304,0.00043391278439466836,0.001062583921859682,7.049921172785595e-05,0.539272485779196,0.31091566907685597,0.08749102310108185,0.0013088265093133653,0.0004959000102283069,3.384936772614769e-07,0.004900293090763505,0.2039157370504334,1.005400000000001
0.1,0.012168286312761735,1.0004621067384374,0.9567098917568361,0.007858222480970746,0.00047877694634583447,0.0013942442076733358,9.431334812214526e-05,0.5979505507183969,0.3439311015690671,0.09691162902892897,0.0013383699145986037,0.0005551306625040378,4.216253221137896e-07,0.004959865788212349,0.2048352330018335,1.0060000000000011
0.11,0.01291969738352929,1.0005083291554984,0.9495003439163706,0.008372935837721073,0.0005200509713766958,0.0017702835096507295,0.00012161100366815759,0.6563052712644263,0.37658362172838833,0.10627766210644261,0.001362173033998029,0.0006147553642523572,5.143271373120033e-07,0.005005614350207844,0.205768454998135,1.0066000000000013
0.12,0.013571204227097903,1.0005545537080842,0.941830387365483,0.008842767064247118,0.0005576775225306929,0.0021873048335686986,0.00015208096315141205,0.714264962523466,0.4088529303051089,0.11559104609262569,0.0013811631795861306,0.000674649498339163,6.166054673676737e-07,0.005042177237679326,0.20671076456626522,1.0072000000000012
0.13,0.014125859336089659,1.0006007803962937,0.9337173013359594,0.00927211706030103,0.0005917070694982172,0.0026412877067245053,0.00018532909872497717,0.7717083550217955,0.4407164457674671,0.12485371681763724,0.001395980095517824,0.0007346917805498063,7.284272494393124e-07,0.005072637159253048,0.20765907898520364,1.0078000000000011
0.14,0.014587793034426305,1.0006470092202258,0.9251799474321833,0.009665742865472957,0.0006222821914133263,0.003127838753088408,0.00022090233924051736,0.8284122645069993,0.47214902295842515,0.13406759548579927,0.0014070834154034958,0.0007947655643701047,8.497222189803733e-07,0.005099046318152933,0.20861134603916345,1.0084000000000013
0.15,0.014961931636059722,1.0006932401799786,0.9162401816546893,0.01002854283619509,0.0006496111916686497,0.0036424048778664272,0.0002583149165047234,0.8839074590041623,0.503122652577078,0.14323456659600378,0.001414820932919723,0.0008547598749659788,9.803856320147946e-07,0.005122770038216486,0.20956620039165452,1.0090000000000015
0.16,0.015253809677062705,1.0007394732756512,0.9069267508448826,0.010365369102637073,0.0006739483221514799,0.004180455801994746,0.00029707143183266445,0.936956038561018,0.5336061374467018,0.15235645856398275,0.0014194736919481918,0.0009145703234418808,1.1202814710092597e-06,0.005144717321078116,0.2105227330283745,1.0096000000000016
