t,T2,LT2,T2R,T3,Bp,T2p,Yp,LT3,T3R,T4,T3p,LT4,T4p,LT2p,T2pR,LT3p,T3pR,LT4p,LT2R,LT3R,LT2pR,LT3pR
0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.01,0.3217834525850126,0.321799236884217,0.010003276025800267,0.15564101025193203,1.5842138685361984,0.3217834525850126,13.008779329075235,0.15565241078326672,0.010002272724879956,0.14279487896178844,0.15564101025193203,0.14279997720981535,0.14279487896178844,0.321799236884217,0.010003276025800267,0.15565241078326672,0.010002272724879956,0.14279997720981535,0.010003145107840653,0.010002259712567569,0.010003145107840653,0.010002259712567569
0.02,2.125405907e-314,2.125379358e-314,2.17389398e-314,2.1738940037e-314,2.1290130014e-314,2.1253803264e-314,2.12538035e-314,2.1253807533e-314,2.125379358e-314,2.125379358e-314,2.1738940274e-314,2.129013033e-314,2.1253808244e-314,2.129013033e-314,2.129013033e-314,2.125381536e-314,2.173894051e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.173894075e-314,2.1290121793e-314
0.03,2.125379358e-314,2.1290121793e-314,2.1738940986e-314,2.1290302976e-314,2.1253808244e-314,2.1290302976e-314,2.1290302976e-314,2.125381536e-314,2.1738941223e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.173894146e-314,2.1290121793e-314,2.125379358e-314,2.1290121793e-314,2.174153969e-314,2.129030361e-314,2.1253808244e-314,2.129030361e-314,2.129030361e-314,2.125381536e-314
0.04,2.1738941697e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.1738941934e-314,2.129011768e-314,2.125379358e-314,2.129011768e-314,2.173894217e-314,2.1290303925e-314,2.1253808244e-314,2.1290303925e-314,2.1290303925e-314,2.173894241e-314,2.1253858204e-314,2.125379358e-314,2.1741541905e-314,2.1290304557e-314,2.1253808244e-314,2.1290304557e-314,2.1290304557e-314,2.125381536e-314
0.05,2.1738942646e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.1738942883e-314,2.129012432e-314,2.125379358e-314,2.129012432e-314,2.173894312e-314,2.1290303925e-314,2.1253808244e-314,2.1290303925e-314,2.1290303925e-314,2.174580083e-314,2.1745799644e-314,2.125379358e-314,2.1738943357e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.125380516e-314,2.125375295e-314
0.06,2.1253815833e-314,2.125375295e-314,2.1253808244e-314,2.129013033e-314,2.174580162e-314,2.174580241e-314,2.125379358e-314,2.1741516925e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.125380516e-314,2.125375295e-314,2.1253815833e-314,2.125375295e-314,2.1253808244e-314,2.129030361e-314,2.174151661e-314,2.174580399e-314,2.125379358e-314,2.174154254e-314,2.1290304557e-314
0.07,2.125381536e-314,2.1290304557e-314,2.1738943594e-314,2.12537588e-314,2.1253815833e-314,2.12537588e-314,2.1253808244e-314,2.1290304557e-314,2.1741542854e-314,2.1745804783e-314,2.125379358e-314,2.173894383e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.12538054e-314,2.1253753107e-314,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.129013033e-314,2.174580597e-314
0.08,2.174580676e-314,2.125379358e-314,2.173894407e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253805636e-314,2.1253753265e-314,2.1253815833e-314,2.1253753265e-314,2.1253808244e-314,2.129013033e-314,2.174580834e-314,2.174580913e-314,2.125379358e-314,2.174150491e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380516e-314,2.125375295e-314,2.1253815833e-314
0.09,2.125375295e-314,2.1253808244e-314,2.1290304557e-314,2.174157321e-314,2.1745809526e-314,2.125379358e-314,2.1738944306e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253805873e-314,2.1253753423e-314,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314,2.129013033e-314,2.174580992e-314,2.1745810316e-314,2.125379358e-314,2.1741543802e-314,2.1290304557e-314,2.125381536e-314
0.1,2.1290304557e-314,2.12538054e-314,2.1253753107e-314,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.1290304557e-314,2.1741544435e-314,2.174581071e-314,2.125379358e-314,2.1738944543e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.125380611e-314,2.125375358e-314,2.1253815833e-314,2.125375358e-314,2.1253808244e-314,2.129013033e-314,2.1745811107e-314,2.17458115e-314
0.11,2.125379358e-314,2.173894478e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314,2.129013033e-314,2.174581348e-314,2.174581585e-314,2.125379358e-314,2.174467199e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253805636e-314,2.1253753265e-314,2.1253815833e-314,2.1253753265e-314
0.12,2.1253808244e-314,2.1290304557e-314,2.1745817826e-314,2.174581822e-314,2.125379358e-314,2.1738945017e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253806584e-314,2.1253753897e-314,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314,2.129013033e-314,2.1745819407e-314,2.17458198e-314,2.125379358e-314,2.174471689e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314
0.13,2.1253805873e-314,2.1253753423e-314,2.1253815833e-314,2.1253753423e-314,2.1253808244e-314,2.1290304557e-314,2.17458202e-314,2.174582099e-314,2.125379358e-314,2.1744716573e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380611e-314,2.125375358e-314,2.1253815833e-314,2.125375358e-314,2.1253808244e-314,2.1290304557e-314,2.174598486e-314,2.174812689e-314,2.125379358e-314
0.14,2.1744716257e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253806347e-314,2.125375374e-314,2.1253815833e-314,2.125375374e-314,2.1253808244e-314,2.1290304557e-314,2.174598154e-314,2.1748139065e-314,2.125379358e-314,2.174471594e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253806584e-314,2.1253753897e-314,2.1253815833e-314,2.1253753897e-314,2.1253808244e-314
0.15,2.1290304557e-314,2.1745973e-314,2.174814017e-314,2.125379358e-314,2.1744715625e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380682e-314,2.1253754055e-314,2.1253815833e-314,2.1253754055e-314,2.1253808244e-314,2.1290304557e-314,2.174813962e-314,2.1748140725e-314,2.125379358e-314,2.174471531e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380706e-314
0.16,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.1290304557e-314,2.1745967785e-314,2.1745470715e-314,2.125379358e-314,2.174471499e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1253807296e-314,2.125375437e-314,2.1253815833e-314,2.125375437e-314,2.1253808244e-314,2.1290304557e-314,2.174599719e-314,2.174547127e-314,2.125379358e-314,2.1744714676e-314
0.17,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738945254e-314,2.125375453e-314,2.1253815833e-314,2.125375453e-314,2.1253808244e-314,2.1290304557e-314,2.1746010946e-314,2.174547182e-314,2.125379358e-314,2.174471183e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173894549e-314,2.125375469e-314,2.1253815833e-314,2.125375469e-314,2.1253808244e-314,2.1290304557e-314
0.18,2.1745472375e-314,2.174547293e-314,2.125379358e-314,2.1744711514e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.173894573e-314,2.1253754846e-314,2.1253815833e-314,2.1253754846e-314,2.1253808244e-314,2.1290304557e-314,2.1746012844e-314,2.174547348e-314,2.125379358e-314,2.17447112e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.12538054e-314,2.1253753107e-314
0.19,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.129030361e-314,2.1744664716e-314,2.1745821383e-314,2.125379358e-314,2.17446995e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.1738945966e-314,2.1253758956e-314,2.1253815833e-314,2.1253758956e-314,2.1253808244e-314,2.1290304557e-314,2.1744699815e-314,2.174582178e-314,2.125379358e-314,2.173895213e-314,2.129013033e-314
0.2,2.125381536e-314,2.129013033e-314,2.125380682e-314,2.1253754055e-314,2.1253815833e-314,2.1253754055e-314,2.1253808244e-314,2.129013033e-314,2.1745822174e-314,2.174582257e-314,2.125379358e-314,2.173895237e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.125380706e-314,2.1253754213e-314,2.1253815833e-314,2.1253754213e-314,2.1253808244e-314,2.129013033e-314,2.1745822964e-314
0.21,2.174582336e-314,2.125379358e-314,2.1738952606e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253807296e-314,2.125375437e-314,2.1253815833e-314,2.125375437e-314,2.1253808244e-314,2.129013033e-314,2.1745823755e-314,2.174582415e-314,2.125379358e-314,2.1738952843e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.173895308e-314,2.125375453e-314,2.1253815833e-314
