t,N,F,Na,Nan,MF,K,B,Bp,BN,MAx,Xa,A,Rasa,ERKa,MDusp,Dusp
0.0,0.5,0.001,0.2,0.0,0.1,3.0,0.1,0.1,0.001,0.1,0.1,0.1,0.5,0.2,0.1,0.1
0.01,0.4933342656076328,0.0010864122322397204,0.20504980038782536,5.278081749927093e-05,0.09933835245225493,2.9922809096375036,0.11144540332696046,0.07931128508872273,0.002076326348966398,0.10478390583431202,0.0994710361386409,0.09112710208314762,0.5101279384860194,0.20210949881792886,0.09985347017686856,0.0991534256724652
0.02,0.4867589300159757,0.0011719604395296582,0.21002958180338818,9.430439478908525e-05,0.0986805918882882,2.9852747764622305,0.12206040797208025,0.06140517941650784,0.003243335366666287,0.10947548196687949,0.09894883235879479,0.08306081295597395,0.5202476311382468,0.20426973877696256,0.09970620160716843,0.09831367714728811
0.03,0.48027291713838777,0.0012566509437456645,0.21494029233610285,0.00012790499738112753,0.09802670500059416,2.9789138767858705,0.1316906283655749,0.04615957390646855,0.004489605861292354,0.1140776784274471,0.09843349662623042,0.07572691367170369,0.5303591300402837,0.20648066005466972,0.099558214103434,0.0974807160837268
0.04,0.4738751608635196,0.001340490030310975,0.2197828695521439,0.0001557294885750913,0.09737667621811553,2.9731372171588517,0.14016072929422,0.033485781024315237,0.005802247916204823,0.11859332965564938,0.09792513605146679,0.06905823323152115,0.5404624807576912,0.20874220354222833,0.09940952748305108,0.09665450409584164
0.05,0.46756460504483743,0.001423483946679637,0.22455824028570281,0.00017923519052603714,0.09673048889249215,2.967889814485061,0.14729731208727834,0.023303371684159305,0.007166817844279294,0.12302515908142186,0.09742385687773875,0.06299393500498425,0.5505577226599591,0.211054310783927,0.09926016156344768,0.09583500275831645
0.06,0.46134020344102483,0.0015056389018600147,0.22926732058330596,0.00019944925670617878,0.09608812587443188,2.963122058832144,0.15297619513703828,0.015494010920173244,0.008567598264792914,0.127375781252544,0.09692976447381414,0.057478881082991436,0.5606448892194767,0.2134169239153706,0.0991101361582164,0.0950221736107118
0.07,0.4552009196576781,0.001586961066305825,0.23391101570482065,0.0002171172956129254,0.09544956980870373,2.958789150352795,0.15718603763530054,0.009844034720707207,0.009988465419990123,0.13164770204419124,0.0964429633269389,0.05246306720542155,0.5707240082847953,0.21582998560354902,0.09895947107339649,0.09421597816170048
0.08,0.44914572708958483,0.0016674565720016924,0.2384902201589873,0.00023279249136842238,0.09481480328451121,2.9548506028921437,0.16006911731728027,0.006014408618064828,0.01141432748559417,0.135843318312808,0.0959635570360497,0.04790112133451489,0.5807951023295606,0.21829343898891512,0.09880818610393585,0.09341637789327074
0.09,0.44317360886347973,0.0017471315126447776,0.24300581775944605,0.00024689253829645854,0.09418380891219187,2.951269803947993,0.16189456319287057,0.003577942376102211,0.012832622534318909,0.13996491872413414,0.09549164830527081,0.04375185609497861,0.5908581886798018,0.22080722762931274,0.0986563010303288,0.09262333426490128
0.1,0.4372835577812566,0.0018259919438741523,0.24745868169406615,0.0002597372374030911,0.09355656936020984,2.948013624066668,0.16297330582942654,0.0021083168761869774,0.014234163115006769,0.1440146868896016,0.09502733893772415,0.03997786864111287,0.6009132797212562,0.22337129544571263,0.09850383561543352,0.0918368087177071
0.11,0.4314745762636055,0.0019040438835208839,0.25184967460292673,0.00027157423254574987,0.09293306737098858,2.945052069220239,0.1635772024054719,0.0012565266229141228,0.015613042405816294,0.14799470673734627,0.09457072982967998,0.03654518195037475,0.6109603830884526,0.2259855866696934,0.0983508096014708,0.09105676267855524
