t,Xi,Yi
0.0,7.0,-10.0
0.01,7.007655107584348,-9.929961720215104
0.02,7.015235935561717,-9.859847162141493
0.03,7.022742928156042,-9.7896573610585
0.04,7.030176216418337,-9.71939262206296
0.05,7.037536191849136,-9.649053856991662
0.06,7.044823219884186,-9.578641917074751
0.07,7.05203762474172,-9.50815755601289
0.08,7.059179683424686,-9.437601415785247
0.09,7.066249703438782,-9.366974210484315
0.1,7.07324799506939,-9.296276659819119
0.11,7.08017486842,-9.22550948313446
0.12,7.087030631811538,-9.154673395384634
0.13,7.093815590059418,-9.083769102255472
0.14,7.1005300477613815,-9.012797308947032
0.15,7.107174313452798,-8.941758730884366
0.16,7.113748684759951,-8.87065405518158
0.17,7.120253465751676,-8.799483985713358
0.18,7.126688956047175,-8.728249215042842
0.19,7.133055455118925,-8.656950435278263
0.2,7.139353261216954,-8.585588335358809
0.21,7.145582671020594,-8.51416360017595
0.22,7.1517439797401146,-8.442676910881938
0.23,7.1578374825216,-8.371128949154222
0.24,7.1638634727820945,-8.299520392141888
0.25,7.169822242230362,-8.227851912528685
0.26,7.175714081190934,-8.156124179516636
0.27,7.181539278620387,-8.084337858874974
0.28,7.187298123385959,-8.012493616782951
0.29,7.192990903305677,-7.940592116944995
0.3,7.198617904465942,-7.868634018539735
0.31,7.20417941175889,-7.796619977835032
0.32,7.209675708882399,-7.724550648187971
0.33,7.215107078334998,-7.652426680331032
0.34,7.220473801415523,-7.580248722391989
0.35000000000000003,7.225776158231845,-7.508017419402033
0.36,7.231014427696508,-7.435733413541521
0.37,7.23618888752671,-7.363397344141109
0.38,7.241299814244185,-7.291009847678151
0.39,7.2463474832119505,-7.218571558899567
0.4,7.251332168562098,-7.14608310861536
0.41000000000000003,7.256254143247436,-7.07354512527682
0.42,7.261113679026509,-7.0009582345184285
0.43,7.26591104648837,-6.928323059374463
0.44,7.270646515150132,-6.855640221105844
0.45,7.275320353255041,-6.7829103375152675
0.46,7.279932827841998,-6.710134023538976
0.47000000000000003,7.2844842047632055,-6.637311891403573
0.48,7.288974748684808,-6.564444550640051
0.49,7.2934047230875185,-6.491532608097814
0.5,7.2977743902672545,-6.41857666795871
0.51,7.302084011335768,-6.345577331751048
0.52,7.306333846221277,-6.272535198363633
0.53,7.310524153669098,-6.19945086405978
0.54,7.314655191242281,-6.126324922491352
0.55,7.3187272153222365,-6.053157964712779
0.56,7.322740481109371,-5.9799505791950835
0.5700000000000001,7.326695242730452,-5.906703352045629
0.58,7.330591753649898,-5.83341686781364
0.59,7.334430265805527,-5.760091707837256
0.6,7.338211029908793,-5.686728450835024
0.61,7.341934295517279,-5.613327673058415
0.62,7.345600311036348,-5.539889948307817
0.63,7.349209323720789,-5.46641584794852
0.64,7.352761579676471,-5.392905940926712
0.65,7.356257323861997,-5.319360793785463
0.66,7.359696800090346,-5.245780970680712
0.67,7.363080251030535,-5.1721670333972645
0.68,7.366407918209259,-5.098519541364776
0.6900000000000001,7.369680042012551,-5.024839051673739
0.7000000000000001,7.3728968616874235,-4.95112611909148
0.71,7.37605861545146,-4.877381295653335
0.72,7.379165540895553,-4.803605129099975
0.73,7.382217874131074,-4.729798166256559
0.74,7.3852158500915515,-4.655960951867845
0.75,7.388159702603434,-4.582094028342157
0.76,7.391049664388749,-4.508197935763411
0.77,7.3938859670677575,-4.4342732119031485
0.78,7.3966688411616115,-4.360320392232564
0.79,7.399398516095013,-4.286340009934533
0.8,7.402075220198867,-4.212332595915641
0.81,7.404699180712946,-4.138298678818216
0.8200000000000001,7.407270623788536,-4.064238785032351
0.8300000000000001,7.409789774491101,-3.99015343870794
0.84,7.4122568568029426,-3.916043161766705
0.85,7.414672093706038,-3.8419084738118054
0.86,7.417035707472505,-3.767749891772317
0.87,7.419347919046923,-3.6935679307075007
0.88,7.421608948269694,-3.6193631035369727
0.89,7.423819013928529,-3.5451359209903623
0.9,7.42597833376184,-3.4708868916184095
0.91,7.4280871244621265,-3.396616521804058
0.92,7.430145601679363,-3.3223253157735555
0.93,7.432153980024385,-3.2480137756075473
0.9400000000000001,7.434112473072276,-3.173682401252173
0.9500000000000001,7.436021293365759,-3.0993316905301658
0.96,7.437880652418578,-3.0249621391519437
0.97,7.439690760718888,-2.9505742407267097
0.98,7.441451827732644,-2.8761684867735475
0.99,7.443164061959848,-2.8017453666744956
1.0,7.44482767112112,-2.7273053674845853
1.01,7.446442861761504,-2.6528489743815094
1.02,7.448009839397863,-2.5783766705186664
1.03,7.449528808552868,-2.503888937002659
1.04,7.450999972758865,-2.4293862529038703
1.05,7.452423534561727,-2.3548690952670466
1.06,7.453799695524715,-2.2803379391218743
1.07,7.455128656232336,-2.2057932574935633
1.08,7.456410616294199,-2.131235521413424
1.09,7.457645774348871,-2.0566651999294505
1.1,7.45883432806774,-1.982082760116896
1.11,7.459976474158868,-1.9074886670888578
1.12,7.461072408370852,-1.8328833840068544
1.1300000000000001,7.46212232567144,-1.758267371706126
1.1400000000000001,7.463126419709885,-1.6836410899000245
1.1500000000000001,7.464084883664018,-1.6090049953316288
1.16,7.4649979095345005,-1.5343595433487287
1.17,7.4658656883889,-1.459705187384821
1.18,7.466688410365596,-1.3850423789695783
1.19,7.467466264677715,-1.3103715677392642
1.2,7.468199439617079,-1.235693201447112
1.21,7.468888122558169,-1.1610077259736664
1.22,7.469532499962112,-1.0863155853370843
1.23,7.470132757380682,-1.0116172217033963
1.24,7.470689079460321,-0.9369130753967282
1.25,7.471201649946176,-0.8622035849094837
1.26,7.471670651686157,-0.7874891869124868
1.27,7.4720962666465045,-0.7127703161853788
1.28,7.472478675951949,-0.6380474053766109
1.29,7.472818059806285,-0.5633208855926651
1.3,7.473114597528374,-0.48859118618706077
1.31,7.473368467562386,-0.4138587347279662
