t,C,M_P,M_T,C_N,P_0,P_1,P_2,T_0,T_1,T_2
0.0,0.344,0.031,0.031,1.77,0.0114,0.0178,0.0322,0.0114,0.0178,0.0324
0.01,0.34339207498437174,0.0309839280185886,0.0309839280185886,1.7683469109734524,0.011313849836584178,0.017618053760058,0.032023714516522965,0.011313852061579133,0.017618964890794456,0.03220851315151149
0.02,0.34278803550386955,0.03097137994960912,0.03097137994960912,1.766693657858373,0.01123005522743489,0.017439880263349892,0.03185069582299559,0.011230063713338831,0.01744159417036002,0.032021461684869426
0.03,0.3421878422033499,0.03096228430790147,0.03096228430790147,1.7650402619767211,0.011148577465578732,0.017265427770356414,0.03168087919736502,0.011148595661203135,0.017267845223123916,0.03183870021034143
0.04,0.3415914489252802,0.03095655818539626,0.03095655818539626,1.7633867482806256,0.011069371346917862,0.017094635504073162,0.03151418987299835,0.011069402061564409,0.017097667399820687,0.03166006371326254
0.05,0.34099881030958384,0.030954121365246407,0.030954121365246407,1.761733141220908,0.010992392711997243,0.016927443630185404,0.03135055590432866,0.010992438186607048,0.016931010104234864,0.031485397101847994
0.06,0.340409886551438,0.030954905049976764,0.030954905049976764,1.760079462163773,0.010917603143272515,0.01676379950247362,0.031189916087918993,0.010917665197283781,0.016767827880789638,0.03131457328888295
0.07,0.3398246360903481,0.03095883852125336,0.03095883852125336,1.758425733355969,0.010844962767562869,0.016603648079871032,0.031032207766640254,0.010845042826368447,0.01660807263355176,0.03114746527092683
0.08,0.33924301767848725,0.030965852410603262,0.030965852410603262,1.756771976831733,0.010774432188021954,0.016446934685921812,0.03087736963341463,0.010774531318980323,0.016451696173816272,0.03098395106674033
0.09,0.3386649905396872,0.03097587929202716,0.03097587929202716,1.7551182143115251,0.010705972713440608,0.01629360523060949,0.030725342138157485,0.010706091667942255,0.016298650339862445,0.03082391502067466
0.1,0.3380905143120935,0.030988853445795158,0.030988853445795158,1.7534644672401922,0.010639546272348028,0.01614360613664521,0.03057606732520738,0.010639685523825184,0.01614888698114447,0.030667247173026026
0.11,0.3375195491204639,0.03100471107971897,0.03100471107971897,1.7518107567444419,0.010575115510355278,0.015996884452145744,0.03042948902048906,0.010575275291774471,0.016002358062652114,0.03051384360882272
0.12,0.3369520555630346,0.031023390377536115,0.031023390377536115,1.7501571036341161,0.010512643784983584,0.01585338780328448,0.030285552902995807,0.01051282413471395,0.015859015527329916,0.030363607141760125
0.13,0.3363879946381587,0.03104483101021381,0.03104483101021381,1.7485035284633275,0.010452095031303881,0.015713064363998684,0.030144205911780304,0.01045229581456229,0.01571881155113991,0.030216444564695785
0.14,0.3358273276836678,0.031068973822851165,0.031068973822851165,1.746850051574963,0.01039343366290313,0.015575862801572306,0.030005395905317256,0.010393654581621673,0.015581698628876183,0.03007226522136533
0.15,0.33527001664528533,0.03109576214366095,0.03109576214366095,1.7451966929087614,0.010336625000151551,0.015441732542576437,0.02986907303859313,0.010336865646763158,0.015447629300788884,0.029930986603236794
0.16,0.3347160237536419,0.031125140130677645,0.031125140130677645,1.7435434722365246,0.010281634746492433,0.015310623482613556,0.029735187877333,0.010281894596531596,0.015316556603869897,0.029792526636820676
0.17,0.33416531164754026,0.031157053416648692,0.031157053416648692,1.7418904090715908,0.01022842918980357,0.015182486091792815,0.029603692158424552,0.010228707619342773,0.015188433877836516,0.02965680680133116
0.18,0.3336178434282894,0.03119144936644181,0.03119144936644181,1.7402375226302997,0.010176975287811009,0.01505727146831511,0.029474539099759077,0.01017727160055374,0.015063214703278812,0.02952375335100662
0.19,0.3330735826004294,0.03122827662464565,0.03122827662464565,1.738584831882775,0.010127240553539515,0.014934931325333082,0.029347682900268655,0.01012755398913139,0.014940853120360524,0.029393295011002255
0.2,0.3325324930912837,0.03126748536469673,0.03126748536469673,1.7369323555310834,0.010079193105538512,0.014815417968899914,0.029223078999130327,0.010079522858875423,0.014821303468632904,0.029265364302539336
0.21,0.33199453923928507,0.03130902714097942,0.03130902714097942,1.7352801120220367,0.010032801638382216,0.014698684312187767,0.029100683890827223,0.010033146871586657,0.01470452049062358,0.029139896655385137
0.22,0.3314596857780335,0.031352854687102714,0.031352854687102714,1.7336281195646064,0.009988035382530323,0.014584683895220957,0.028980454863527867,0.009988395226685163,0.01459045947568743,0.02901682916690188
0.23,0.33092789786161303,0.031398922236579904,0.031398922236579904,1.7319763961022934,0.009944864168003933,0.014473370853059858,0.028862350423445135,0.00994523774140801,0.014479076028655618,0.028896102603516726
0.24,0.3303991410329469,0.03144718516515545,0.03144718516515545,1.730324959344787,0.009903258349295454,0.014364699939006405,0.028746329860007993,0.009903644759883779,0.014370326289346947,0.028777659392248876
0.25,0.3298733812323227,0.03149760008347199,0.03149760008347199,1.728673826759682,0.009863188825212801,0.014258626519768084,0.02863235335483239,0.009863587176831161,0.01426416687938609,0.028661444119628923
0.26,0.3293505848040429,0.031550124900939606,0.031550124900939606,1.7270230155665784,0.009824627053482178,0.014155106574918261,0.028520382048073913,0.009825036454228657,0.01416055487431261,0.028547403824645462
0.27,0.3288307184857044,0.03160471870749212,0.03160471870749212,1.7253725427476116,0.009787545025616608,0.014054096703632347,0.028410377897622338,0.009787964591144364,0.014059447873225314,0.02843548735178281
0.28,0.32831374939689495,0.031661341728200565,0.031661341728200565,1.7237224250532484,0.009751915249102943,0.01395555410107936,0.028302303709884718,0.009752344109290628,0.013960803945346252,0.028325645574294265
0.29,0.3277996450362626,0.03171995527226226,0.03171995527226226,1.7220726790064156,0.009717710738507223,0.013859436567485738,0.028196123059246087,0.009718148040697141,0.01386458167901945,0.02821783100391588
0.3,0.32728837328211685,0.03178052167961674,0.03178052167961674,1.7204233209059239,0.009684905010342679,0.013765702530983514,0.028091800160563434,0.009685349916277758,0.013770740273926673,0.028111997141720448
0.31,0.3267799023848895,0.031843004273198895,0.031843004273198895,1.7187743668315028,0.009653472069283102,0.013674311038622648,0.027989299850287936,0.009653923752373162,0.013679239533428209,0.028008098427511736
0.32,0.3262742009755037,0.031907367548647626,0.031907367548647626,1.717125832629409,0.009623386437214653,0.013585221712453787,0.02788858791687348,0.00962384409417845,0.013590039654866583,0.027906091862149717
0.33,0.32577123806125546,0.03197357713588372,0.03197357713588372,1.715477733916018,0.009594623144306024,0.01349839474934637,0.027789631062681317,0.009595086005627291,0.013503101245181563,0.02780593683921401
0.34,0.32527098300881674,0.03204159952544135,0.03204159952544135,1.7138300860999625,0.009567157680912302,0.01341379096590623,0.027692396485887182,0.00956762500406261,0.013418385568864006,0.027707593130154466
0.35000000000000003,0.32477340554696205,0.03211140215509292,0.03211140215509292,1.7121829043758658,0.009540966009464276,0.013331371774320732,0.02759685204437656,0.00954143707946988,0.013335854440069387,0.027611021697482755
0.36,0.3242784757637017,0.03218295341548968,0.03218295341548968,1.710536203724984,0.009516024560651702,0.01325109917056574,0.027502966265014448,0.009516498691625054,0.013255470198412417,0.027516184793320766
0.37,0.32378616410291006,0.03225622263267735,0.03225622263267735,1.7088899989173265,0.009492310227213453,0.01317293572911956,0.027410708331166975,0.009492786763832355,0.013177195705177128,0.027423045928198303
0.38,0.3232964413597033,0.032331179993486794,0.032331179993486794,1.707244304517436,0.009469800351816054,0.013096844613750918,0.027320048016499086,0.00947027866823808,0.013100994389958959,0.02733156951932993
0.39,0.32280927867734155,0.03240779654056776,0.03240779654056776,1.7055991348857076,0.00944847272213929,0.01302278956871051,0.027230955684268976,0.009448952221414371,0.013026830235823439,0.02724172092964994
0.4,0.3223246475437193,0.03248604416821271,0.03248604416821271,1.703954504180017,0.009428305565105813,0.012950734908008025,0.027143402288233674,0.009428785679143157,0.012954667761912954,0.027153466515707988
0.41000000000000003,0.32184251978783973,0.032565895611470594,0.032565895611470594,1.702310426357667,0.00940927754070058,0.012880645507090147,0.02705735936698096,0.00940975773048828,0.012884472012539457,0.027066773636573376
0.42,0.32136286757615834,0.032647324383111444,0.032647324383111444,1.7006669151798315,0.009391367732608891,0.012812486813190105,0.026972798987166105,0.009391847486342243,0.01281620859669703,0.026981610359678054
0.43,0.32088566340906505,0.03273030476588277,0.03273030476588277,1.6990239842133532,0.00937455564222753,0.01274622483588049,0.02688969374092285,0.009375034473831303,0.012749843674116202,0.026897945487983868
0.44,0.3204108801065496,0.03281481174782705,0.03281481174782705,1.697381646839363,0.00935882116347969,0.012681826119419986,0.026808016751768124,0.009359298613083378,0.01268534391215026,0.02681574867284066
0.45,0.3199384908531498,0.032900821309596436,0.032900821309596436,1.6957399162216042,0.00934414466958459,0.012619257794944912,0.026727741871024134,0.009344620306703189,0.012622676487339638,0.02673499108363921
0.46,0.31946846910190724,0.032988309807541145,0.032988309807541145,1.6940988053742803,0.009330506827374076,0.012558487470166982,0.026648843250494256,0.009330980247995039,0.01256180908679675,0.026655643940673206
0.47000000000000003,0.31900078865650744,0.033077254477519455,0.033077254477519455,1.6924583271053382,0.009317888753895222,0.0124994833334337,0.026571295647207907,0.00931835958028348,0.012502709944724424,0.026577679480891042
0.48,0.3185354236306694,0.03316763320950882,0.03316763320950882,1.6908184940436386,0.009306271940100634,0.012442214094268078,0.026495074285418554,0.00930673981963605,0.012445347808483697,0.02650107056259607
0.49,0.3180723484470765,0.03325942455535967,0.03325942455535967,1.6891793186393493,0.009295638249028442,0.012386648977885795,0.026420154840031632,0.009296102852342265,0.012389691937713542,0.026425790615368677
