t,Vv,Vm,H
0.0,-6.0,0.0,15.0
0.01,-5.077107984735532,-0.17482786197851993,14.997422293695687
0.02,-4.624554709713102,-0.3859357675840467,14.994079691908096
0.03,-4.264712596770174,-0.5716686810954489,14.990107455459754
0.04,-3.94272991471767,-0.7526845376332313,14.985586555131672
0.05,-3.627364506419852,-0.9451163361282806,14.9805388215784
0.06,-3.2947224735374343,-1.1662546901500674,14.974943499679611
0.07,-2.921268136485787,-1.439630203517545,14.968739889611046
0.08,-2.480400348673602,-1.8017728965111541,14.961822941871407
0.09,-1.9442427620506135,-2.311105003475972,14.95403920142412
0.1,-1.3010150160330127,-3.0494437943603105,14.945204426614946
0.11,-0.6022147040785151,-4.070557513054795,14.935190397227066
0.12,0.006731607764947856,-5.2431837293975665,14.924086881183245
0.13,0.40056304103142854,-6.223527286119684,14.912233599561333
0.14,0.5988917094226558,-6.815290031376749,14.899994379491064
0.15,0.6876466286738784,-7.10498318662601,14.887591301440583
0.16,0.7281290447537258,-7.238927587245334,14.875125557106088
0.17,0.7494308755442342,-7.306473841087879,14.862637804672646
0.18,0.7634103845287026,-7.3479376095599696,14.850143607718739
0.19,0.7746206911454645,-7.3794756449320555,14.837648833199612
0.2,0.7847649235325531,-7.407250823907563,14.825155709808204
0.21,0.7944716335151787,-7.433560999075546,14.812665121084217
0.22,0.8039710150989793,-7.459252706426685,14.800177457324457
0.23,0.8133472217441793,-7.484635423334459,14.787692928480938
0.24,0.8226313168907732,-7.509822203358749,14.775211678124418
0.25,0.831835180627196,-7.5348548586463036,14.762733824731097
0.26,0.8409637703547781,-7.5597494768771,14.750259476404109
0.27,0.8500196194848074,-7.584512790049403,14.737788736114771
0.28,0.8590043422184243,-7.60914831860938,14.725321703459443
0.29,0.8679192219788726,-7.633658368406861,14.71285847592694
0.3,0.8767654038552193,-7.65804477468057,14.70039914872139
0.31,0.8855439632370052,-7.6823091843217695,14.687943815094052
0.32,0.8942559318734655,-7.706453141322508,14.675492566333327
0.33,0.9029023068668591,-7.730478124601459,14.663045491889198
0.34,0.9114840548405343,-7.754385558037076,14.650602679383418
0.35000000000000003,0.9200021138733538,-7.778176817916441,14.638164214692106
0.36,0.928457394997487,-7.801853234656764,14.625730181974808
0.37,0.9368507832325008,-7.825416095712881,14.613300663731202
0.38,0.945183138659983,-7.848866646820829,14.60087574084001
0.39,0.9534552973146525,-7.872206093870016,14.588455492604737
0.4,0.9616680720991384,-7.895435604198133,14.576039996793396
0.41000000000000003,0.9698222536083306,-7.918556308084098,14.563629329679046
0.42,0.9779186109417946,-7.941569300016519,14.551223566077754
0.43,0.9859578924633555,-7.964475639987816,14.53882277938579
0.44,0.9939408265346793,-7.987276354683335,14.526427041615218
0.45,1.001868122211353,-8.009972438641539,14.514036423428422
0.46,1.0097404699104129,-8.0325648553499,14.50165099417137
0.47000000000000003,1.0175585420472846,-8.055054538299249,14.489270821905789
0.48,1.0253229936455908,-8.077442391988914,14.476895973440236
0.49,1.0330344629203339,-8.099729292890322,14.464526514360148
0.5,1.0406935718363157,-8.121916090368707,14.452162509056905
0.51,1.0483009266428602,-8.144003607566301,14.439804020755911
0.52,1.0558571183861467,-8.16599264224836,14.427451111543826
0.53,1.063362723400157,-8.18788396761518,14.415103842394881
0.54,1.0708183037775867,-8.209678333079543,14.40276227319637
0.55,1.0782244078214733,-8.231376465013254,14.390426462773355
0.56,1.0855815704785903,-8.252979067463814,14.378096468912577
0.5700000000000001,1.0928903137555137,-8.27448682284251,14.365772348385644
0.58,1.1001511471296097,-8.29590039260019,14.353454156972793
0.59,1.1073645679234723,-8.317220417849933,14.341141949483664
0.6,1.114531061662371,-8.338447519963127,14.328835779777176
0.61,1.1216511024383171,-8.359582301169125,14.316535700783081
0.62,1.1287251532511278,-8.38062534512031,14.304241764521862
0.63,1.1357536663365417,-8.40157721743601,14.29195402212408
0.64,1.1427370834819999,-8.422438466226028,14.279672523849138
0.65,1.1496758363342143,-8.443209622599383,14.267397319103932
0.66,1.1565703467224608,-8.46389120118676,14.255128456464137
0.67,1.1634210268819596,-8.484483700537142,14.242865983684675
0.68,1.1702282797407124,-8.504987603588413,14.230609947718163
0.6900000000000001,1.1769924991906875,-8.525403378114193,14.218360394732226
0.7000000000000001,1.1837140703406712,-8.545731477144274,14.206117370125373
0.71,1.1903933698011269,-8.56597233941751,14.193880918547336
0.72,1.1970307658678734,-8.586126389712517,14.181651083907989
