t,M,Pt
0.0,0.0,0.0
0.01,0.009995001666830953,1.4193822089636787e-05
0.02,0.019980013327218292,3.793000302605043e-05
0.03,0.029955044966538714,6.33672887850394e-05
0.04,0.03992010662999967,8.945728146019118e-05
0.05,0.049875208218744374,0.0001160563195887092
0.06,0.05982035968187577,0.00014314562306388327
0.07,0.06975557091922555,0.00017072310903445883
0.08,0.0796808517817702,0.0001987891259753995
0.09,0.08959621236194365,0.00022734456281064963
0.1,0.09950166249567524,0.00025639035080448356
0.11,0.10939721207763832,0.0002859274719811142
0.12,0.11928287098487574,0.0003159569615889829
0.13,0.12915864907956184,0.00034647994758157095
0.14,0.13902455621790577,0.000377497576779064
0.15,0.14888060223426072,0.000409011090950505
0.16,0.15872679683297838,0.0004410220392197125
0.17,0.16856314988919702,0.0004735315486346753
0.18,0.1783896712319819,0.0005065408898200427
0.19,0.18820637065307622,0.0005400514547527541
0.2,0.19801325792838426,0.0005740647022019637
0.21,0.20781034281797164,0.0006085821577290419
0.22,0.21759763506606536,0.0006436054136875751
0.23,0.2273751442534157,0.0006791363677978004
0.24,0.23714288011763535,0.0007151767054968458
0.25,0.24690085236346773,0.0007517282065344905
0.26,0.2566490706495083,0.0007887927664306951
0.27,0.26638754461678105,0.0008263723502976418
0.28,0.27611628388873843,0.0008644689928397329
0.29,0.28583529807126146,0.0009030847983535915
0.3,0.29554459665589383,0.0009422214590017467
0.31,0.3052441892221792,0.0009818812621025259
0.32,0.31493408533235917,0.0010220665659061434
0.33,0.32461429450662427,0.0010627796763910703
0.34,0.3342848262463922,0.0011040229631457377
0.35000000000000003,0.34394569003430736,0.0011457988593685355
0.36,0.3535968953342409,0.0011881098618678144
0.37,0.3632384514566276,0.0012309580396921392
0.38,0.3728703678283655,0.0012743460189620288
0.39,0.38249265387546855,0.0013182765546809003
0.4,0.39210531896404355,0.0013627523153706563
0.41000000000000003,0.4017083724396505,0.0014077760266910232
0.42,0.41130182362730244,0.0014533504714395508
0.43,0.4208856818314657,0.0014994784895516133
0.44,0.43045995614041466,0.0015461633630762452
0.45,0.4400246557995705,0.0015934080815479788
0.46,0.44957979008795124,0.0016412155850984368
0.47000000000000003,0.4591253681929082,0.001689589010941869
0.48,0.46866139927850514,0.0017385315588229642
0.49,0.4781878924855186,0.0017880464910168534
0.5,0.4877048569314375,0.0018381371323291074
0.51,0.4972123013998993,0.0018888085130941727
0.52,0.5067102349314336,0.0019400642439247051
0.53,0.5161986666674798,0.001991907340914505
0.54,0.5256776055899548,0.002044341603420354
0.55,0.5351470606545798,0.0020973709087166274
0.56,0.5446070407908798,0.002150999211995296
0.5700000000000001,0.5540575549021842,0.002205230546365926
0.58,0.5634986118656261,0.0022600690228556765
0.59,0.572930220287043,0.002315518771306803
0.6,0.5823523885955488,0.002371583963181608
0.61,0.5917651258754961,0.002428269012178422
0.62,0.6011684408365443,0.002485578325877961
0.63,0.6105623421577719,0.0025435163887211473
0.64,0.6199468384876765,0.0026020877620091137
0.65,0.6293219384441749,0.0026612970839032008
0.66,0.6386876506146026,0.0027211490694249584
0.67,0.6480439834975076,0.002781648584413581
0.68,0.6573909447463928,0.00284280160642292
0.6900000000000001,0.666728543367311,0.0029046124324669147
0.7000000000000001,0.6760567877487872,0.0029670861821918066
0.71,0.6853756862433048,0.0030302280590421282
0.72,0.6946852471673062,0.0030940433502607044
0.73,0.7039854788011918,0.0031585374268886485
0.74,0.7132763893893209,0.0032237157437653655
0.75,0.7225579871400112,0.0032895838395285517
0.76,0.7318302796737,0.003356149948611678
0.77,0.7410932751606196,0.003423419616329886
0.78,0.7503469817158157,0.0034913985624167557
0.79,0.7595914072950065,0.0035600931739470905
0.8,0.7688265598085477,0.0036295099659146937
0.81,0.7780524471214318,0.003699655581232371
0.8200000000000001,0.7872690768195464,0.003770536400919915
0.8300000000000001,0.7964764565246683,0.0038421590694211315
0.84,0.8056745940448743,0.003914530745442396
0.85,0.8148634969956045,0.003987658469999502
0.86,0.8240431729409615,0.004061549402065236
0.87,0.8332136293937125,0.004136210818569378
0.88,0.8423748736858249,0.004211650106570632
0.89,0.8515269129177693,0.0042878747601911
0.9,0.8606697545896571,0.004364892418778639
0.91,0.8698034059409098,0.00444271082697932
0.92,0.8789278741535237,0.004521337847028059
0.93,0.8880431663520699,0.0046007814587486155
0.9400000000000001,0.8971492895600731,0.0046810499939491605
0.9500000000000001,0.9062462502095484,0.00476215477182782
0.96,0.9153340555042995,0.004844102773547831
0.97,0.924412712252128,0.004926902917144949
0.98,0.9334822271954484,0.005010564281023539
0.99,0.9425426070112891,0.005095096103956582
1.0,0.9515938583112922,0.0051805077850856735
1.01,0.9606359869710396,0.005266810717859396
1.02,0.9696689996084439,0.005354014247415402
1.03,0.9786929026149306,0.005442128319784244
1.04,0.9877077022213965,0.005531163301528703
1.05,0.9967134045831683,0.005621129747428653
1.06,1.0057100157800012,0.0057120384004810685
1.07,1.014697541262973,0.005803900454642697
1.08,1.0236759867526823,0.005896727128158213
1.09,1.0326453582229687,0.00599052967129431
1.1,1.0416056613105409,0.006085319646783521
1.11,1.0505569015642668,0.0061811088114041126
1.12,1.0594990844451744,0.0062779091159800805
1.1300000000000001,1.0684322149377645,0.006375733639061595
1.1400000000000001,1.077356297691295,0.0064745962475437294
1.1500000000000001,1.0862713382007951,0.006574508759690477
1.16,1.0951773414113442,0.006675484297866047
1.17,1.1040743121655392,0.0067775362136542885
1.18,1.1129622552034932,0.006880678087858672
1.19,1.1218411749851371,0.0069849241439283154
1.2,1.1307110748837919,0.007090291124165846
1.21,1.1395719598437684,0.0071967921066515995
1.22,1.1484238340021717,0.0073044420382677505
1.23,1.157266701376084,0.007413256135922927
1.24,1.1661005658625636,0.007523249886552203
1.25,1.1749254312386472,0.007634439047117109
1.26,1.1837412999824426,0.007746842861574972
1.27,1.192548175875642,0.007860476959203031
1.28,1.2013460621537642,0.007975358402175106
1.29,1.2101349618396497,0.008091504775526516
1.3,1.2189148778092316,0.008208934007682016
1.31,1.2276858120301275,0.008327665134086958
1.32,1.2364477669649516,0.008447716889796975
1.33,1.2452007450247358,0.008569108257653543
1.34,1.253944748269887,0.008691858768198644
1.35,1.2626797785911548,0.00881598831818097
1.36,1.2714058371091177,0.008941518604281773
1.37,1.280122924927503,0.00906847132456184
1.3800000000000001,1.2888310435254506,0.009196867241925567
1.3900000000000001,1.2975301938695385,0.009326728304167814
1.4000000000000001,1.3062203767317295,0.009458076884874664
1.41,1.314901592206577,0.00959093677931531
1.42,1.3235738397770562,0.009725333068647738
1.43,1.3322371198848322,0.009861288880820369
1.44,1.3408914322241887,0.009998828909798524
1.45,1.3495367762638204,0.01013797833923286
1.46,1.3581731509363268,0.010278763570819652
1.47,1.3668005537573054,0.010421214290678011
1.48,1.375418983978224,0.01056535607354269
