t,Vm,Vt,m,h,n
0.0,-95.0,-95.0,0.0,1.0,0.0
0.01,-94.99999999235361,-94.99999999997185,0.00045666229265301026,0.9999723496203812,4.866601987847566e-06
0.02,-94.99999992155965,-94.99999999939394,0.0007640352905916495,0.9999448693818233,9.714706840823849e-06
0.03,-94.99999973724603,-94.99999999674965,0.0009709050643280562,0.9999175582370818,1.4544384918052034e-05
0.04,-94.9999994352485,-94.99999999010919,0.0011101463713478123,0.9998904151452305,1.9355706329164462e-05
0.05,-94.99999903891894,-94.99999997775654,0.001203812004793331,0.9998634390717861,2.414874091072791e-05
0.06,-94.99999857795382,-94.99999995848763,0.0012669032529181818,0.9998366289887345,2.8923558216230354e-05
0.07,-94.999998080091,-94.99999993157827,0.0013093522134370492,0.9998099838744893,3.3680227517883707e-05
0.08,-94.99999756687826,-94.9999998967317,0.0013379259027282008,0.9997835027138411,3.841881780934519e-05
0.09,-94.99999705365579,-94.99999985396123,0.0013571567926278921,0.9997571844978959,4.313939781078472e-05
0.1,-94.99999655066001,-94.99999980348855,0.001370099621034404,0.9997310282240152,4.7842035973467424e-05
0.11,-94.9999960642397,-94.9999997456671,0.0013788110280698396,0.9997050328957603,5.2526800483463353e-05
0.12,-94.99999559798532,-94.9999996809251,0.0013846745745691837,0.9996791975228434,5.719375926466748e-05
0.13,-94.9999951535911,-94.99999960972657,0.001388620858698791,0.9996535211210803,6.184297998119282e-05
0.14,-94.99999473150284,-94.99999953254456,0.001391276855424461,0.9996280027123478,6.647453003932115e-05
0.15,-94.99999433136641,-94.99999944984448,0.001393064945162044,0.9996026413245415,7.108847658910533e-05
0.16,-94.99999395233428,-94.99999936207388,0.001394268984246487,0.9995774359915373,7.568488652571199e-05
0.17,-94.99999359327161,-94.99999926965666,0.0013950781444458144,0.999552385753154,8.026382649060641e-05
0.18,-94.99999325291988,-94.9999991729896,0.0013956231927797302,0.9995274896550015,8.482536287752064e-05
0.19,-94.999992929964,-94.99999907243954,0.0013959892062535176,0.9995027467490207,8.936956180876263e-05
0.2,-94.99999262309788,-94.99999896834701,0.0013962352218908649,0.9994781560927295,9.389648916682689e-05
0.21,-94.99999233104715,-94.99999886102734,0.0013964006212606886,0.9994537167490566,9.840621060122243e-05
