t,V,Na_i,m,h1,h2,d_L,f_L,d_T,f_T,K_c,K_i,r,s1,s2,s3,z,p_a,p_i,Ca_i,O_C,O_TC,O_TMgC,O_TMgMg,Ca_rel,Ca_up,O_Calse,F1,F2,F3
0.0,-80.0,8.4,0.01309,0.706,0.61493,3e-05,0.99981,0.00046,0.30752,5.0,100.0,6e-05,0.5753,0.39871,0.57363,0.02032,0.00016,0.76898,7.1e-05,0.029108,0.014071,0.214036,0.693565,0.726776,0.730866,0.465921,0.288039,0.002262,0.612697
0.01,-77.67696290855287,8.39995459904456,0.004676197886889745,0.777258928851526,0.6423098801834783,3.7704793229618515e-05,0.9999988559371198,0.0001273081479033748,0.34987355827594246,4.9986920211880586,100.0002595196056,1.4566655272317194e-05,0.5827106150981324,0.39975330901048994,0.5739641382886537,0.01918640141664584,5.3287813559643305e-05,0.8367099261533996,7.256211969525089e-05,0.029528636397196897,0.014268843853857618,0.2132795358983572,0.6942365462593924,0.7259207778223496,0.7314294471295848,0.4656023952663107,0.2919190137426253,0.0025328049309810033,0.6085461813263939
0.02,29.166023906754745,8.400722141007869,0.9983718474057374,9.812976009547285e-10,9.230987210620713e-08,0.9977677976449886,0.6207845615588851,0.9998108784649324,0.0003260731430446049,5.0029848468085465,99.99940776849049,0.9996170347061921,0.41309990312230604,0.39154229350914804,0.5719636135363791,0.0329546060439648,0.18596979990723222,0.016976675805814738,0.001267675256588241,0.3488490439112542,0.1947006476079944,0.32433585863426584,0.598980584571703,0.23093622317664556,0.8408503063273579,0.2491569050430488,0.004778979577465042,0.12180216502276782,0.7764168553997686
0.03,2.173708725e-314,2.1737086935e-314,2.173708662e-314,2.1737086303e-314,2.1737085986e-314,2.173708567e-314,2.1737085354e-314,2.173708504e-314,2.173708472e-314,2.1737084405e-314,2.173708409e-314,2.1737083773e-314,2.1737083457e-314,2.173708251e-314,2.173708219e-314,2.1737080295e-314,2.173707998e-314,2.173707334e-314,2.173707302e-314,2.173707081e-314,2.1737069544e-314,2.173706923e-314,2.173706891e-314,2.1737068595e-314,2.173706828e-314,2.1737067963e-314,2.1737067647e-314,2.17370667e-314,2.173706638e-314
0.04,2.1737066066e-314,2.173706575e-314,2.1737120136e-314,2.173705658e-314,2.173705342e-314,2.17371214e-314,2.173712077e-314,2.173705721e-314,2.1737055947e-314,2.1737056896e-314,2.1737077133e-314,2.173705816e-314,2.173710717e-314,2.173710654e-314,2.173710749e-314,2.1737107804e-314,2.173710812e-314,2.1737108437e-314,2.173709484e-314,2.1737095156e-314,2.1737122034e-314,2.173712235e-314,2.1737122666e-314,2.173712298e-314,2.17371233e-314,2.1737123615e-314,2.173712393e-314,2.1737124247e-314,2.1737124563e-314
0.05,2.173712488e-314,2.1737125196e-314,2.173712551e-314,2.173712583e-314,2.1737126144e-314,2.173712646e-314,2.1737126777e-314,2.1737102113e-314,2.173710243e-314,2.1737102745e-314,2.173710306e-314,2.173710338e-314,2.1737103694e-314,2.173710401e-314,2.1737104326e-314,2.173710464e-314,2.173710496e-314,2.1737105907e-314,2.17370784e-314,2.1737077765e-314,2.1737076817e-314,2.17370765e-314,2.1737076184e-314,2.1737127725e-314,2.173712741e-314,2.1737061323e-314,2.1737097054e-314,2.1737096737e-314,2.1737080927e-314
0.06,2.173708061e-314,2.1737081243e-314,2.173708156e-314,2.1737081876e-314,2.1737074287e-314,2.173707397e-314,2.1737073655e-314,2.1737130887e-314,2.173707144e-314,2.1737053734e-314,2.173706986e-314,2.17370531e-314,2.173707239e-314,2.1737072706e-314,2.173705247e-314,2.1737131203e-314,2.173709737e-314,2.1737097686e-314,2.1737117607e-314,2.1737117923e-314,2.1737127093e-314,2.1737060374e-314,2.1737058793e-314,2.173711824e-314,2.1737118555e-314,2.173711666e-314,2.1737116974e-314,2.1737096105e-314,2.1737121717e-314
0.07,2.1737099583e-314,2.173706006e-314,2.1737075236e-314,2.173707587e-314,2.1737110966e-314,2.173711065e-314,2.1737110334e-314,2.173710907e-314,2.173711002e-314,2.17371097e-314,2.1737109385e-314,2.1737070176e-314,2.1737070493e-314,2.173709136e-314,2.1737130255e-314,2.1737090097e-314,2.1737108753e-314,2.1737079346e-314,2.173709168e-314,2.1737067014e-314,2.173709231e-314,2.1737090413e-314,2.173709073e-314,2.1730822657e-314,2.173082234e-314,2.1730822025e-314,2.173082171e-314,2.1730891905e-314,2.1730821076e-314
0.08,2.1730889376e-314,2.173082076e-314,2.1730890324e-314,2.173088906e-314,2.173089475e-314,2.173082139e-314,2.1730891273e-314,2.1730847005e-314,2.173084669e-314,2.173084732e-314,2.173084827e-314,2.1730848586e-314,2.173089254e-314,2.173084258e-314,2.173084226e-314,2.1730842894e-314,2.173084321e-314,2.173084479e-314,2.1730843526e-314,2.1730844475e-314,2.1730845107e-314,2.1730845424e-314,2.173084574e-314,2.1730883684e-314,2.173082329e-314,2.1730823606e-314,2.173082392e-314,2.173082424e-314,2.1730824554e-314
0.09,2.173082487e-314,2.173084922e-314,2.1730849534e-314,2.173084985e-314,2.173086408e-314,2.1730864396e-314,2.173086471e-314,2.173086503e-314,2.1730865344e-314,2.173086566e-314,2.1730865977e-314,2.1730866293e-314,2.1730871036e-314,2.173087135e-314,2.173087167e-314,2.1730871985e-314,2.17308723e-314,2.1730872617e-314,2.1730872933e-314,2.173087325e-314,2.1730873566e-314,2.173088305e-314,2.1730882735e-314,2.1730881787e-314,2.1730879573e-314,2.173087989e-314,2.1730879257e-314,2.173087894e-314,2.1730878625e-314
