t,V,H,m,J,Ca_ss,d,dp,f,fca,fca2,f2,xr,Ca_i,xs1,xs2,ydv,ydv2,zdv,Na_i,Cl_i,AA,mL,hL,K_i,Ca_jsr,CaMKtrap,ro,ri,Ca_nsr
0.0,-85.781844107117,0.987317750543,0.001356538159,0.991924983076,0.00012271265,1.64013e-06,8.98230672628,0.999961508634,0.97836624923,0.893052931249,0.992234519148,7.24074e-06,0.00012131666,0.019883138161,0.019890650554,0.013970786703,0.99996472752,0.829206149767,12.972433387269,15.59207157178,0.000816605172,0.001356538159,0.26130711759,135.469546216758,1.737580994071,0.021123704774,0.0,0.862666650318,1.832822335168
0.01,-85.58213798180647,0.9873168506575941,0.0013820359561354035,0.9919248699992409,0.0001227122348295725,1.6405310175684002e-06,8.98230620670745,0.9999615083507633,0.9783663204075913,0.8930554698981157,0.9922349361545099,7.239714036500469e-06,0.0001213163023845837,0.01988316115986132,0.0198906608880227,0.01398024708224922,0.9999647273179417,0.8292127355538773,12.972433339763377,15.592065436057798,0.0008166024010437509,0.0013820359561354035,0.26130767715105285,135.46955242840392,1.737584533466462,0.02112360707429987,5.827801897252857e-103,0.8626705339394459,1.8328220729719988
0.02,-85.38300803988133,0.9873141737951362,0.0014254602242140951,0.9919245241956771,0.0001227118196765708,1.641740237867711e-06,8.98230459069124,0.9999615074712705,0.9783663915820917,0.89305800848697,0.9922353530715174,7.23869264515579e-06,0.00012131594608915708,0.019883233189126114,0.019890695743799924,0.014007272204767595,0.9999647266772437,0.829219318064945,12.97243329060654,15.5920593003667,0.00081659963020101,0.0014254602242140951,0.26130812418022437,135.46955860599536,1.7375880727261175,0.02112350937492347,1.166486829733489e-102,0.8626744174509885,1.832821810786741
0.03,-85.18444222854582,0.9873097527569933,0.0014726336151155844,0.9919239431182245,0.0001227114045413838,1.6437660325686866e-06,8.982301816664075,0.9999615059803474,0.9783664627535017,0.8930605470155649,0.9922357698972877,7.2376758159161595e-06,0.00012131559111820286,0.01988335424630902,0.0198907551238584,0.01405000583738769,0.999964725581479,0.82922589718909,12.972433239801228,15.592053164706623,0.0008165968594718137,0.0014726336151155844,0.2613084605465961,135.46956475026997,1.7375916118499715,0.0211234116758708,1.756418268820451e-102,0.8626783008526306,1.8328215486122796
0.04,-84.98642900387519,0.9873036182631871,0.0015215792567550147,0.9919231241377893,0.0001227109894243996,1.6466171462261518e-06,8.982297820046385,0.9999615038625251,0.9783665339218216,0.8930630854839013,0.9922361866300518,7.236663539221882e-06,0.00012131523747620501,0.019883524330832646,0.019890839031632707,0.01410682485732996,0.9999647240137199,0.8292324728120104,12.972433187350079,15.592047029077486,0.0008165940888562226,0.0015215792567550147,0.26130868811584085,135.4695708619343,1.7375951508380287,0.02112331397714187,2.358090699122154e-102,0.8626821841443754,1.8328212864486693
0.05,-84.78895722659509,0.9872957992094149,0.0015720124692535605,0.9919220645321695,0.0001227105743260074,1.650302745120227e-06,8.982292532772872,0.9999615011019585,0.9783666050870513,0.8930656238919812,0.9922366032679981,7.235655805946878e-06,0.00012131488516766816,0.019883743443891322,0.019890947471415836,0.01417629980287259,0.999964721956437,0.8292390448155587,12.972433133255661,15.59204089347921,0.0008165913183543228,0.0015720124692535605,0.26130880875730045,135.46957694166989,1.737598689690294,0.021123216278736683,2.9774153293108174e-102,0.8626860673262261,1.832821024295965
0.06,-84.59201600878156,0.9872863230500138,0.0016239634974205273,0.9919207614601044,0.0001227101592466014,1.6548325114687054e-06,8.982285882445646,0.9999614976822586,0.9783666762491906,0.8930681622398059,0.9922370198092528,7.23465260730892e-06,0.00012131453419716378,0.01988401158845397,0.019891080448398046,0.014257160313109184,0.9999647193913054,0.8292456130764554,12.972433077520515,15.592034757911717,0.0008165885479662261,0.0016239634974205273,0.2613088243604936,135.46958299014292,1.7376022284067723,0.021123118580655253,3.620928671489179e-102,0.8626899503981859,1.832820762154222
0.07,-84.39559483173223,0.9872752154681513,0.0016774530274623629,0.9919192119968756,0.00012270974418657568,1.6602165378912925e-06,8.982277792979685,0.9999614935866871,0.9783667474082389,0.8930707005273765,0.9922374362519017,7.233653934994236e-06,0.00012131418456926955,0.01988432876919128,0.019891237968581447,0.014348294616044492,0.9999647162994039,0.8292521774676593,12.972433020147118,15.592028622374931,0.0008165857776920693,0.0016774530274623629,0.26130873680854955,135.46958900799703,1.737605766987468,0.021123020882897588,4.295920330373403e-102,0.8626938333602577,1.8328205000234954
0.08,-84.19968357887042,0.9872625003097742,0.0017325077571844355,0.991917413157417,0.00012270932914632153,1.666465256752945e-06,8.982268184993794,0.9999614887982686,0.9783668185641956,0.8930732387546947,0.9922378525940038,7.232659781207255e-06,0.00012131383628853729,0.019884694992366413,0.01989142003870085,0.014448735300723587,0.9999647126613339,0.8292587378591899,12.972432961137873,15.592022486868776,0.0008165830075320121,0.0017325077571844355,0.2613085479632272,135.469594995851,1.7376093054323865,0.021122923185463688,5.010611957808495e-102,0.862697716212445,1.8328202379038403
0.09,-84.00427235928554,0.9872481999983371,0.001789178271458763,0.9919153618533647,0.00012270891412623312,1.6735896064460481e-06,8.982256974386559,0.9999614832995284,0.9783668897170597,0.8930757769217621,0.9922382688335608,7.231670138558258e-06,0.00012131348935955847,0.01988511026585848,0.019891626666288287,0.014557628042992208,0.9999647084569049,0.8292652941160524,12.972432900495141,15.59201635139318,0.00081658023748624,0.001789178271458763,0.2613082596902138,135.46960095430993,1.7376128437415324,0.02112282548835356,5.774599414814186e-102,0.8627015989547504,1.8328199757953119
