t,V,n,R,a,C1,C2,C_G1,C3,C_G2,C4,C_G3
0.0,-65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-64.93548714500797,0.0011640063385334237,0.00014812946412445744,0.44843623111713876,0.9990619285468889,0.0009312005086154825,6.540894691460979e-06,3.2548071913140164e-07,4.517279431725231e-09,5.05623653009157e-11,1.2401083184681191e-12
0.02,-64.87081558951566,0.0023281300979935723,0.00029257992956495247,0.9055990516800972,0.9981193636829224,0.001849341942530672,2.9971183972135938e-05,1.2849411910297804e-06,3.7833130439298385e-08,3.9680041443442363e-10,1.9407038810429313e-11
0.03,-64.8059812915902,0.0034923888207922687,0.0004334427692954314,0.9948347419303334,0.9971830459910023,0.00275478415473374,5.92122712510507e-05,2.853853065919997e-06,1.0234193030070129e-07,1.3140206351713912e-09,7.376904084301212e-11
0.04,-64.74098013681505,0.004656800301337797,0.0005708070869279675,0.9999038012027611,0.9962578073404994,0.0036478962500481487,8.909482499436984e-05,5.008926133643947e-06,1.894282024322832e-07,3.0568674872696156e-09,1.7255477317403053e-10
0.05,-64.67580793644048,0.005821382592262211,0.0007047597730499063,0.9999966719006733,0.9953439498403576,0.0045290357097364595,0.00011898513241022828,7.728047760871004e-06,2.950851887802623e-07,5.860933035171016e-09,3.2194605603092767e-10
0.06,-64.61046042300568,0.006986154021406591,0.0008353856065144425,0.9999976979593869,0.9944411740057756,0.00539854976856867,0.00014885862320173444,1.0990216114164809e-05,4.1691173443065197e-07,9.944361611367697e-09,5.268694256757583e-10
0.07,-64.54493324542261,0.008151133210802504,0.0009627673510932783,0.9999980170196509,0.9935491615342262,0.006256776873463233,0.00017871691767251547,1.4775480763940904e-05,5.528877774533753e-07,1.550930863325012e-08,7.906826459174873e-10
0.08,-64.4792219025512,0.009316339357967583,0.0010869868974616892,0.999998246051142,0.9926675969304639,0.007104051528080982,0.00020856178289143797,1.906465020739563e-05,7.012371345705281e-07,2.2745513655544832e-08,1.1155268599801785e-09
0.09,-64.41332180148217,0.010481791987199722,0.0012081241266480996,0.9999984321277428,0.9917961721631455,0.007940699781373428,0.0002383947528009402,2.3839534918851184e-05,8.604207033153626e-07,3.182849505035592e-08,1.5026094277932583e-09
0.1,-64.34722850862163,0.011647509876710763,0.00132625284199579,0.9999985745891908,0.9909346024196848,0.00876702263112367,0.0002682170927901938,2.9083797973734317e-05,1.0291695622683457e-06,4.291262346264787e-08,1.9524651117893847e-09
0.11,-64.28093754049644,0.012813511944929913,0.001441444556259551,0.9999986900526491,0.9900826114949365,0.009583311538222587,0.00029802990216622015,3.4782043037570496e-05,1.2063816510107705e-06,5.6140753084439725e-08,2.465210580040172e-09
