t,R,V_post,b,C1,C2,C_G1,C3,C_G2,C4,C_G3,n_post
0.0,0.0,-65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.00014812946413087535,-64.85269489281407,0.9964738127346845,0.9990469279110693,0.0009324318624691787,2.030131520047067e-05,3.26346981775491e-07,1.2510346673709578e-08,5.076480047367206e-11,3.164833071733141e-12,0.0011659556573689611
0.02,0.0002925799317082914,-64.65815394399334,0.9995634253449907,0.9980913590269439,0.0018570489909500892,5.024115795286576e-05,1.2957094833224482e-06,5.468720508993128e-08,4.0181227120018593e-10,2.560522874862576e-11,0.002340132579628409
0.03,0.00043344279027741954,-64.463333508681,0.9997089532178454,0.9971419136270879,0.0027749027019596715,8.016488075418992e-05,2.8958062708274923e-06,1.2155853902346472e-07,1.3431980737514185e-09,8.19555667419605e-11,0.0035233486952932795
0.04,0.0005708071427378823,-64.26824157216667,0.999779909524921,0.996198045972655,0.003686556658308173,0.00011006767213678755,5.115958472760119e-06,2.1039852256854748e-07,3.155640119582532e-09,1.8353336862789726e-10,0.0047156862747846666
0.05,0.0007047598436760663,-64.072843029974,0.9998220642462116,0.9952592216571625,0.004592555111472844,0.000139950859430934,7.947006562878459e-06,3.18912222404278e-07,6.112253989579247e-09,3.3913029501003134e-10,0.005917229314364003
0.06,0.0008353856274696359,-63.87709786283694,0.9998500417905443,0.9943249215907598,0.0054934250158868055,0.00016981595275856998,1.138123572102643e-05,4.4516507737495633e-07,1.0480451465006091e-08,5.557245758220269e-10,0.007128064426747954
0.07,0.0009627671098726006,-63.6809632663702,0.9998699667325787,0.9933946414283048,0.006389676998001276,0.00019966435104503669,1.541232340755863e-05,5.875302119045386e-07,1.6523383388594978e-08,8.39001018943583e-10,0.008348281143055393
0.08,0.0010869849053852178,-63.48439432474677,0.9998848681710117,0.9924678901044791,0.0072818070363285005,0.00022949728928974174,2.003523047026083e-05,7.446329600760664e-07,2.4501466368574666e-08,1.1937671792232738e-09,0.009577972004232268
0.09,0.0012081175904975774,-63.287344090189926,0.9998964354118808,0.9915441893962542,0.008170296926585118,0.00025931582495078567,2.52462113270095e-05,9.153251806142211e-07,3.467365130859832e-08,1.624190336219944e-09,0.010817232924404726
0.1,0.001326241816431142,-63.089763674409134,0.9999056792893286,0.9906230725330076,0.00905561577607921,0.00028912085530429025,3.104272979814862e-05,1.0986459464705545e-06,4.7298803226713794e-08,2.1340341974770384e-09,0.01206616330649494
0.11,0.0014414322539803017,-62.89160210463379,0.9999132275199671,0.9897040838343371,0.009938220348460513,0.00031891312557072324,3.742348438582328e-05,1.293804138289955e-06,6.263699406154357e-08,2.7267987075809554e-09,0.013324866453023453
0.12,0.0015537617651743406,-62.69280636125126,0.9999195120545137,0.9887867769689971,0.010818556923693063,0.0003486932572540057,4.438829586934966e-05,1.5001420985528991e-06,8.095085224577913e-08,3.405874103290455e-09,0.014593449595607598
0.13,0.0016633014215984153,-62.49332126234527,0.9999248185415993,0.9878707142645043,0.011697062000643892,0.0003784617599783617,5.193809661829752e-05,1.7171211329477852e-06,1.0250664281993886e-07,4.174613034825236e-09,0.01587202415208573
0.14,0.001770120516731242,-62.29308931592453,0.9999293627948566,0.9869554660226446,0.012574162984889094,0.000408219042349036,6.0074927648555107e-05,1.944309062240944e-06,1.2757542198909553e-07,5.03639056092862e-09,0.01716070602912635
0.15,0.001874286615825235,-62.09205058503179,0.9999332901199913,0.9860406095677333,0.01345027916378901,0.0004379654254528233,6.880191584448623e-05,2.181364838313704e-06,1.564342953479078e-07,5.99466779949901e-09,0.018459615898991137
0.16,0.0019758656063110177,-61.890142545241716,0.9999367120494892,0.9851257283294028,0.014325822642457084,0.00046770115420667017,7.812325517364424e-05,2.4280259701814047e-06,1.8936762157283523e-07,7.0530394721879525e-09,0.019768879477317033
0.17,0.0020749217418328074,-61.68729992418358,0.9999397460433145,0.9842104109901844,0.015201199206031064,0.0004974264066095462,8.804419596098587e-05,2.6840989380682527e-06,2.266681811817615e-07,8.21526802340879e-09,0.021088627818460035
0.18,0.0021715176815696883,-61.48345452693738,0.9999424314318469,0.9832942506663376,0.016076809142208805,0.0005271413007268784,9.85710410222075e-05,2.9494514941824796e-06,2.686383587900122e-07,9.48531182084354e-09,0.022418997636098035
0.19,0.002265714528398009,-61.278535043559756,0.9999448195538119,0.9823768440884233,0.016953048059257073,0.0005568459008548287,0.00010971114636370549,3.2240059627527567e-06,3.1559136528537923e-07,1.0867351775447293e-08,0.023760131648523843
0.2,0.002357571867169415,-61.07246683709573,0.999946971297959,0.9814577907748998,0.017830307706679205,0.0005865402232559601,0.00012147292565952004,3.5077334705198605e-06,3.678525001587555e-07,1.2365816046892883e-08,0.025112178946975823
0.21,0.0024471478026575908,-60.86517171531237,0.99994891355037,0.980536692201548,0.018708976796077897,0.0006162242407958661,0.00013386585886739202,3.8006490704138874e-06,4.2576045686827646e-07,1.3985403298460228e-08,0.02647529538841574
0.22,0.002534498996558816,-60.656567682401956,0.9999506761847305,0.9796131509667634,0.01958944182142268,0.0006458978867519476,0.00014690050551391474,4.102807700840015e-06,4.896686805021993e-07,1.5731105126353957e-08,0.027849644015870506
0.23,0.0026196807118814163,-60.44656859985868,0.9999522803761007,0.9786867697441055,0.02047208808180738,0.0006755610585986068,0.00016058852781179842,4.414300168490479e-06,5.599471365185567e-07,1.760823352250531e-08,0.029235395623575678
0.24,0.002702746824926642,-60.23508406632839,0.9999537456345972,0.9777571509705517,0.021357299981647652,0.0007052136186644001,0.00017494270160925055,4.735252502034001e-06,6.36982888454491e-07,1.9622429490472783e-08,0.030632728948094674
