t,Vm_SM,Ca_i,d_Ltype_SM,f_Ltype_SM,f_ca_Ltype_SM,d_LVA_SM,f_LVA_SM,xr1_SM,xr2_SM,m_Na_SM,h_Na_SM,xa1_SM,xa2_SM,m_NSCC_SM
0.0,-69.75,8e-05,0.0,0.95,1.0,0.02,0.99,0.0,0.82,0.005,0.05787,0.00414,0.72,0.0
0.01,-69.74004475601274,8.000071584540995e-05,3.802589898872041e-08,0.9500001241924361,0.9999999999285649,0.020000404558417614,0.9900084866651149,1.6156606925551e-08,0.8199998220281602,0.005007046055797674,0.05787028873774611,0.004140001981266188,0.719999574276381,1.385589786347551e-05
0.02,-69.73008950150326,8.00014385677321e-05,7.583275578511011e-08,0.9500002461488481,0.9999999998572622,0.020000831698027646,0.9900169645307981,3.234405946243769e-08,0.8199996412251267,0.00501411356754423,0.05787055205012225,0.004140004244860607,0.719999125360455,2.7713194718433465e-05
0.03,-69.72013423669243,8.000216813697602e-05,1.134224708351931e-07,0.9500003658671543,0.9999999997860912,0.020001281410740385,0.990025433605118,4.8562416878722497e-08,0.8199994575912839,0.005021202567182476,0.05787079000649487,0.004140006790904789,0.7199986532407734,4.157189215652773e-05
0.04,-69.71017896182842,8.00029045192933e-05,1.507972063064459e-07,0.9500004833449478,0.9999999997150516,0.020001753687275216,0.9900338938973642,6.481174782784203e-08,0.8199992711270766,0.005028313091756488,0.05787100268656653,0.0041400096195395,0.7199981579041647,5.543199201380066e-05
0.05,-69.70022367700493,8.000364770101382e-05,1.8795793753951438e-07,0.9500005985809196,0.9999999996441434,0.020002248523007513,0.9900423454123723,8.109209050780602e-08,0.8199990818327441,0.0050354451621410085,0.057871190130809325,0.004140012730843019,0.7199976393438352,6.92934952661071e-05
0.06,-69.69026838245459,8.000439765003248e-05,2.2490675847820453e-07,0.9500007115726442,0.9999999995733663,0.020002765908764358,0.9900507881594119,9.740351445907905e-08,0.8199988897087334,0.005042598815970107,0.05787135241832001,0.004140016124957916,0.7199970975466691,8.315640375391569e-05
0.07,-69.68031307840633,8.000515433499627e-05,2.616456869064437e-07,0.9500008223178431,0.9999999995027198,0.02000330583582039,0.9900592221472472,1.137460848134143e-07,0.819998694755465,0.005049774088426347,0.05787148962414369,0.004140019802017728,0.7199965325002489,9.702071921237394e-05
0.08,-69.67035776508908,8.000591772455213e-05,2.9817674060815935e-07,0.9500009308142374,0.9999999994322037,0.02000386829545024,0.9900676473846425,1.3011986670256496e-07,0.8199984969733595,0.00505697101469229,0.05787160182332548,0.004140023762155997,0.719995944192157,0.00011088644337662928
0.09,-69.66040244273175,8.000668778734706e-05,3.3450193736727864e-07,0.9500010370595483,0.9999999993618178,0.020004453278928552,0.9900760638803623,1.4652492525828418e-07,0.819998296362837,0.005064189629950498,0.05787168909091048,0.004140028005506261,0.7199953326099762,0.0001247535779818292
