t,V,Kc,Ki,Nai,y,x,Cai,s,m,h,d,f,f2,Ca_up,Ca_rel,p
0.0,-87.0,4.0,140.0,8.0,0.2,0.01,5e-05,1.0,0.01,0.8,0.005,1.0,1.0,2.0,1.0,1.0
0.01,-86.94415338030716,3.9997357364377715,140.00002945082676,7.9999923746963875,0.20806823021536616,0.009750691616686616,3.780892152260023e-05,0.9999786193728959,0.0036167903633458724,0.9069020095727649,1.5254967796547121e-06,0.9999997394018755,0.9978810235090851,1.9982154356995674,1.004602093641506,0.9999999238378376
0.02,-87.03257126189936,3.999467168992339,140.00005958577142,7.999961882035135,0.2160817188965523,0.009511437954753054,3.206853820957362e-05,0.9999585231304775,0.0035739844360769195,0.9503366406106524,1.0380166191752276e-07,0.9999997350261549,0.9963074989041253,1.9964005073360316,1.0093138369705246,0.9999998701800401
0.03,-87.1115762199299,3.999189480823668,140.00009094602595,7.999923561349129,0.2240604851746956,0.00928088110109373,2.9810056049263068e-05,0.9999397500629181,0.0035360621422161,0.968104977621698,1.0086806767517742e-07,0.999999740637699,0.9949942322485131,1.9945807685802692,1.0140415181466025,0.9999998333490207
0.04,-87.15313366391928,3.9989061630099236,140.0001231498615,7.9998836896726795,0.23198989595756841,0.009059340705829432,2.8942087588942675e-05,0.9999221605658983,0.0035162260526345203,0.9753493909679024,9.958978695072821e-08,0.9999997443143429,0.9938172189104355,1.992767192563058,1.0187534275643675,0.9999998080689835
0.05,-87.15554298986544,3.9986224592923985,140.0001556172899,7.999844645949498,0.23984911143628443,0.008847403840825958,2.861849571674199e-05,0.9999055831297521,0.0035150198233863577,0.9782611050389038,9.940805886707712e-08,0.9999997452676347,0.9927259634301981,1.990964049699498,1.0234385598133882,0.9999997903255601
0.06,-87.12507483409962,3.9983432087864346,140.0001878092664,7.9998072733405055,0.24761971197783378,0.008645523505583083,2.851342480846861e-05,0.9998898591527324,0.00352943895551418,0.9793601514501795,1.00076067903284e-07,0.9999997438230542,0.9916989708095599,1.9891729683333743,1.0280929142644624,0.9999997772988493
0.07,-87.06914200319292,3.998072236999272,140.0002192959309,7.999771841842045,0.25528776932550445,0.008453938039164607,2.850189440849962e-05,0.999874854067676,0.0035561155642004657,0.9796701017072079,1.0141392448223727e-07,0.999999740447614,0.9907259587311207,1.9873945634638397,1.0327150093567845,0.9999997670906409
0.08,-86.99417519460276,3.997812342499993,140.00024975890318,7.999738413812844,0.26284362001039185,0.008272694067409747,2.8534606436683478e-05,0.9998604568511886,0.0035922024669659994,0.9796115033201797,1.0327809529379198e-07,0.999999735547689,0.989801078148974,1.985629057953348,1.0373043137037679,0.9999997584563196
0.09,-86.90521182180807,3.997565467873667,140.00027897303448,7.999706978269956,0.2702810291749163,0.008101692484937185,2.8590947446363093e-05,0.9998465763555517,0.0036355098489517473,0.9793622633229753,1.0555946751708348e-07,0.9999997294358244,0.9889203532189976,1.9838765165643375,1.041860674911895,0.9999997505960172
