t,E,Cai,Cao,Nai,Nao,Ki,Ko,dL,fL,fL2,dT,fT,m,h,x,y,Caup,Carel
0.0,-64.9,3.4e-05,2.0004,7.4994,139.9929,140.0073,5.4243,0.0001,0.1505,0.219,0.001,0.1328,0.0139,0.0087,0.5682,0.0287,0.5832,0.1101
0.01,-64.7305972492186,3.541675709152766e-05,2.0003532143593237,7.49933981311869,139.99386330799328,140.00737900277772,5.421608659752936,0.00014807527282138233,0.15896040814012366,0.23895208508234164,0.0010585095670066014,0.1494464932110045,0.014412209815539421,0.009983988392922805,0.5298463476249392,0.03041069210437345,0.5771340694836509,0.12432250497634967
0.02,-64.35233372074097,3.6871400068353235e-05,2.000311608379527,7.499239760355486,139.99492513313803,140.007525874608,5.418851042649838,0.00015641689750091635,0.16734568608967687,0.25790339614020635,0.0011209764899946023,0.15735355260820127,0.015602456581773156,0.010509104504862813,0.4944572773065167,0.032057221420730635,0.5711457974920804,0.13833289669035229
0.03,-63.88633383593154,3.835631498681603e-05,2.0002748563113,7.499094083915542,139.99610303579956,140.00773038421357,5.416081904756495,0.0001675156865231655,0.17566125976372507,0.2758767033879716,0.0012073317777394747,0.15877673271180517,0.017201867101926598,0.010467386177789181,0.4619297119717107,0.03362209947445666,0.5652347691757881,0.15212677767456118
0.04,-63.37857590473114,3.983218468709024e-05,2.0002428398135947,7.498903215370813,139.9973838155304,140.00798614518,5.413332634949082,0.00018072919981550526,0.18391041139231434,0.29289343559262,0.0013107709831224111,0.15578781503210495,0.01912630837435632,0.01005403741019358,0.4320597691741139,0.03509831593248394,0.5594007683351752,0.16569914179055706
0.05,-62.84927244618669,4.1295109579701775e-05,2.0002152874392043,7.498669223160279,139.99874780187974,140.00828848345458,5.410623536041492,0.00019571258493348263,0.1920955585005669,0.30897814749261354,0.0014288097273385842,0.14999577564283634,0.02135427811004772,0.009424260994425596,0.40462220412229044,0.03648330349921359,0.5536433669090526,0.17904531842699672
0.06,-62.30688846210357,4.2762381780729773e-05,2.0001918575279976,7.498394821079345,140.00017414897158,140.00863359740052,5.40796884884239,0.0002123977554891092,0.20021876683699136,0.3241551236217577,0.001561118013641614,0.14255322658592484,0.023896842065007546,0.008688111626164962,0.37939877059606564,0.03777645855659538,0.5479622113112625,0.19216032157979454
0.07,-61.75424616164611,4.425963012409841e-05,2.0001722108944797,7.498082958870964,140.00164288253097,140.00901818523212,5.405379090259307,0.00023087535672284163,0.20828200546825737,0.3384463234028555,0.0017086251596583175,0.1342414154382458,0.026786489467197083,0.007917562240351632,0.3561881300351414,0.03897799207562831,0.5423571820307975,0.2050382953966614
0.08,-61.19134626501971,4.58151726002399e-05,2.0001560448988256,7.4977366353212025,140.0031357005723,140.0094392721363,5.402862225164197,0.0002513460138466776,0.21628729021505602,0.3518702651208319,0.001873164617958464,0.12556626465520637,0.030073312757533947,0.007156333715193544,0.3348083211017586,0.040088382953435926,0.5368284787179044,0.21767204864977704
0.09,-60.61670301603913,4.745808698277449e-05,2.000143107818378,7.497358813484603,140.00463621489544,140.00989412548313,5.400424310543654,0.000274103690518382,0.22423677724615798,0.3644414144233014,0.002057368021386249,0.11684127064049342,0.03382480571442181,0.00642880713737497,0.3150963090639262,0.04110811363515701,0.5313766743004973,0.23005262151687
