t,V,Na_i,K_i,m,h,r,s,Ca_i,d,f_Ca,Ca_up,ActFrac,ProdFrac,Ca_rel,Ca_Calmod,Ca_Trop
0.0,-91.6,6.48,140.0,0.076,0.015,0.0,1.0,1e-05,0.0011,0.785,0.3,0.0,0.0,0.3,0.0005,0.0015
0.01,-89.98126102455721,6.480016362573545,140.00008943834,0.0023968554808186347,0.7514326289808314,3.1484466498698975e-08,0.999986380913275,1.169396171542223e-05,2.5305608711399106e-07,0.02294911136623992,0.3170611105043157,0.0026052519309057052,0.0009490453961002742,0.3004633770458563,0.0005053552440199424,0.0010245441137307347
0.02,-89.99525866876354,6.479930841320238,140.00015837260574,0.002392932256019334,0.9250258949409282,3.4105443887837514e-08,0.9999726361493015,9.852756359728553e-06,4.922720686006586e-08,0.0006956434835717843,0.321443573706098,0.0031734564953041213,0.002724228550287991,0.30130770562079123,0.00046925326934497584,0.0008087952019959163
0.03,-90.25114285495818,6.479799104069113,140.00023359828754,0.0023110825165208447,0.9727829588749448,3.2732199801650714e-08,0.9999601138580165,8.837744497476406e-06,4.622632276803436e-08,2.091430798241349e-05,0.3213408579297667,0.003105795100776056,0.004592366591194663,0.30218185680501575,0.0004270829293775634,0.0006996273615584693
0.04,-90.47600808774317,6.4796419846071265,140.00031755045256,0.0022413365404976696,0.9859005839049355,3.121342636964595e-08,0.9999488717927,8.214002613685562e-06,4.362435625193665e-08,6.703058691302585e-07,0.3198767577127013,0.0028688289986208444,0.006337176833594771,0.30297936649226925,0.0003897504013298335,0.0006375048886381313
0.05,-90.63834227359155,6.479468898326427,140.00040836625743,0.0021922578017178505,0.9895378060008508,3.010600608741635e-08,0.9999387312607312,7.799876199349112e-06,4.181679200045066e-08,6.503708299226033e-08,0.318212347328487,0.002619147097706459,0.00791446805478559,0.30367514878343105,0.00035959914925125957,0.0005984442855332728
0.06,-90.75152289717767,6.479284932180195,140.000504058984,0.0021586646417480087,0.9906342155303602,2.935076106990439e-08,0.9999295192789086,7.511491761799789e-06,4.059973620004094e-08,4.5087332964224864e-08,0.3167453668023135,0.002404329829320253,0.009335832397584195,0.3042738032144046,0.0003361994383254559,0.0005721280504496259
0.07,-90.8308977299271,6.479093242337914,140.00060317067633,0.0021354085442915932,0.9910357729611974,2.8833900976790067e-08,0.9999211014172568,7.305275961012518e-06,3.9768687960497874e-08,4.292290997480521e-08,0.31557829764637385,0.0022332391972438984,0.01062751238291412,0.30478958862080924,0.00031839388280709635,0.0005536482776982797
0.08,-90.88732502589474,6.478895964890509,140.0007047013847,0.0021190258907684877,0.991227187678698,2.8473691650016685e-08,0.9999133749851189,7.155820416947359e-06,3.918926000098792e-08,4.176355016490473e-08,0.31470424888445336,0.002101853720237069,0.01181613382810915,0.3052383599024902,0.00030499002195948956,0.0005403769391243739
0.09,-90.9278825297901,6.478694615326765,140.00080796324607,0.0021073270170283904,0.9913404062069804,2.8218476303812164e-08,0.9999062594141498,7.046870446955249e-06,3.877850053706381e-08,4.09487866053161e-08,0.3140810897230601,0.0020028483143369005,0.012924361871448723,0.30563451564298594,0.0002949654735601622,0.0005307410525588217
0.1,-90.95721414001724,6.478490294477136,140.0009124734645,0.0020989064147391738,0.9914157270533542,2.803567112254499e-08,0.9998996894718166,6.967352395849381e-06,3.84842838870778e-08,4.0369666617820613e-08,0.313660443491597,0.001928998059871327,0.013970177855928695,0.30599008255978144,0.00028750242132163684,0.000523715159793978
0.11,-28.317279553409126,6.4820095986314,139.99704088967567,0.7932225756306746,6.158497087541426e-05,0.23675846458721275,0.8420709828186844,0.00038300413471084084,0.6341081194812658,0.9460960142480679,0.6675112366136667,0.3074618713813003,0.5737538112587952,0.14699495556354994,0.004589085251545144,0.021209051334752246
0.12,-31.95501122134384,6.484575726418466,139.99602235949243,0.7193842920109018,0.00023326793157358978,0.01221268681167635,0.8245931018069554,0.0002814841318937263,0.1310555054649456,0.9254435688676457,0.8409668387698793,0.10957475909725159,0.8325337427994466,0.12093164551061335,0.006441701106946172,0.02040205937262145
0.13,-35.556196298917044,6.48636416367583,139.99532791406546,0.6436575150742878,0.00039675597702553355,0.0027010489479645542,0.8112327019468721,0.0001992778185933379,0.05205097038102898,0.8615987204871726,0.855139477957597,0.05045552262914267,0.9087838065321163,0.1402353625240551,0.006400848261675461,0.015688736218156703
0.14,-41.57900085420534,6.487665827608437,139.9947062467537,0.49254721754400754,0.001106714053392612,0.0008651064505747177,0.8042792335029568,0.00014058063716631834,0.015268919464707069,0.6590732588284333,0.8009838389355952,0.02818654519735797,0.9344808336558933,0.16750339027847735,0.005699339160019929,0.011547882459872247
0.15,-49.08733074976147,6.4886493140629415,139.99415646094394,0.2995187508498551,0.00375071095397865,0.00022060484355950762,0.8018939165950678,9.973115339944168e-05,0.002695056992717682,0.34219281910106536,0.7230497862016495,0.017781883684844527,0.942777709747578,0.19354091381805394,0.004817477773449498,0.008404074124582874
