t,V,w,u
0.0,-52.07606,0.0008971,0.2344555
0.01,-51.80681766641846,0.0006978922738964228,0.23445365322384748
0.02,-51.514873460927305,0.0006248609715445837,0.23445173188299437
0.03,-51.19861302971724,0.0006165321411160873,0.23444972944414144
0.04,-50.85490335456374,0.0006448394513094006,0.2344476386506658
0.05,-50.47921118098655,0.0006979022001552417,0.23444545111894138
0.06,-50.06538153691625,0.0007720830923115119,0.23444315690445766
0.07,-49.60509059243812,0.0008687156795964124,0.23444074394826678
0.08,-49.086867683890155,0.0009931445673973958,0.23443819729273552
0.09,-48.494390406497786,0.0011554207660952403,0.23443549789551277
0.1,-47.803394280533254,0.0013729155780539707,0.2344326207266752
0.11,-46.97565635432782,0.0016765149530138523,0.23442953150381132
0.12,-45.94607611933711,0.002125658746484859,0.2344261806071788
0.13,-44.59090262211763,0.002850261327817537,0.23442249038376975
0.14,-42.63306290269664,0.004198865052011582,0.23441832402407595
0.15,-39.27265369160592,0.0075349741410111635,0.2344133881650673
0.16,-31.68879195413339,0.024948682487958538,0.2344068252253526
0.17,-19.34270428071518,0.15218958251835318,0.2343965278641527
0.18,-10.6969718859118,0.3935972974915506,0.2343817757536599
0.19,-8.036047259778792,0.628415468602179,0.23436448833121173
0.2,-9.696949239048761,0.7741896932829784,0.23434706809372588
0.21,-13.377764909036973,0.8485985613273721,0.23433096124219627
0.22,-17.71183745443468,0.884130702890446,0.23431666674165688
0.23,-22.0709590146419,0.8925633775222303,0.23430421097033918
0.24,-26.151389837401236,0.8665277155359163,0.2342934355399364
0.25,-29.794889156481386,0.7955409314018129,0.23428411292449158
0.26,-33.110884136413524,0.6886078397477055,0.2342760257788127
0.27,-36.637998471587956,0.5634127748984092,0.23426908594005083
0.28,-41.09349707836873,0.4293887388686202,0.23426343173640918
0.29,-45.892382033421164,0.29316474234041734,0.2342592389196195
0.3,-49.46288355232663,0.1743610946917138,0.2342562835269114
0.31,-51.485232334834514,0.09217671353597989,0.23425409411858322
0.32,-52.43364325538533,0.045379809839196684,0.23425229122488908
0.33,-52.78765068834948,0.021684391093502436,0.23425065226506692
0.34,-52.842131860184914,0.010353650583583115,0.23424906261001113
0.35000000000000003,-52.74867518032888,0.0050587876753908825,0.2342474657710693
0.36,-52.579297831034395,0.0026020699511990304,0.23424583350655936
0.37,-52.366768447371335,0.00146579644198149,0.23424415062801263
0.38,-52.12527169780037,0.0009458127874585038,0.23424240774124858
0.39,-51.86019252076755,0.0007170943498880166,0.23424059782529325
0.4,-51.572583403791626,0.0006293715605684381,0.23423871458406556
0.41000000000000003,-51.261133955530575,0.000613102780553431,0.23423675159246476
0.42,-50.922959307451514,0.0006364604751239344,0.23423470177808153
0.43,-50.55379288070369,0.000685655580231002,0.2342325570149446
0.44,-50.147816535835034,0.000756027138272452,0.23423030770531322
0.45,-49.697178552807614,0.0008481830627316985,0.23422794225776578
0.46,-49.19111219055362,0.000966742780795131,0.2342254463585832
0.47000000000000003,-48.614404705378334,0.0011207508712529665,0.23422280188209285
