t,V,K_o,K_i,Na_i,Ca_i,x,m,h,Ca_ds,d,f,f2,f2ds,s,r,Ca_up,Ca_rel,ActFrac,ProdFrac,Ca_Calmod,Ca_Trop
0.0,-85.35765,5.3367,140.096,6.9366,3.792e-05,3.5095e-06,0.00448,0.9704,0.00077,4.171e-12,0.999997,0.99279,0.459,0.9379,2.6578e-05,0.3342,0.31007,0.0112,0.9059,0.001419,0.000932
0.01,-85.36948670033311,5.336057375163058,140.09688814375463,6.935908370307221,3.780258470658792e-05,2.020956078908602e-06,0.004469241064270368,0.9704946460283593,0.0006967247989976433,4.154428688441966e-12,0.9999972509994564,0.9928617406950467,0.4805001690419754,0.939531734139502,2.6546773625475526e-05,0.3337575567343282,0.3096966632108735,0.011180510187432218,0.89936933850958,0.001414392637951799,0.0009290840514051928
0.02,-85.38383911675935,5.335418131405207,140.09777718975982,6.935213254866443,3.764501523173387e-05,1.1642172217761576e-06,0.004460655211471428,0.9705842940223197,0.0006304226679540252,4.134632508810234e-12,0.9999972586261816,0.9929327675581192,0.502487013451358,0.9411219315524332,2.6510609115364516e-05,0.3333087512415524,0.30933056397541314,0.011132308496217595,0.8926106947116982,0.0014096211500584685,0.0009256007069041272
0.03,-32.275794226163,5.341408541723781,140.09324264088872,6.93911017215812,6.907944883678384e-05,0.03167976720026028,0.7409448782945313,0.00011111134086270763,0.0042051645240800024,0.00157869244028603,0.8726497003722165,0.9930030876906185,0.4826742421028466,0.9076404745675976,0.10705456348075716,0.3369622129590387,0.30771280831155373,0.02587597196054874,0.8982265087058701,0.001638485954584389,0.0013383090354216276
0.04,-64.6365056804551,5.34290125746052,140.0923536179346,6.938157428168381,6.701255835174303e-05,0.021786312285501368,0.06410053152033271,0.015847910969640548,0.0038059139983687195,4.608233084591165e-09,0.9947736089023703,0.993072708123748,0.4314823101609327,0.9074653145563044,0.0043377034065126725,0.3428301381936132,0.3029445919249204,0.013019796410894874,0.9675239158704649,0.0020764036265140335,0.0017444919571810438
0.05,-78.97246477593528,5.3432861715150795,140.09236420493636,6.937624644735156,5.478517303518628e-05,0.013396100447884215,0.010493890375617834,0.16816175151438337,0.0034437334089415135,3.616491770759191e-11,0.9999740502022556,0.9931416358236316,0.3925595515416612,0.9085516549254511,0.00022336211189234552,0.34191267065972897,0.30376420128778936,0.008188253807672212,0.9746162240443887,0.002096484632179974,0.0014537614358409705
0.06,-83.44718629567951,5.343014936516867,140.0929102636831,6.9371973582750055,4.881091258844299e-05,0.007859486905351178,0.00578494875455656,0.47196816914743034,0.0031160188452601166,7.939937624628086e-12,0.9999956722459269,0.9932098776822736,0.3638563059236425,0.9104449662380929,4.159263155853403e-05,0.33968523583088284,0.30465393217067266,0.008520006524504724,0.971796166683638,0.001995862073028947,0.0012616457147255598
0.07,-84.50065499818658,5.342485481324139,140.0936695564456,6.936725546248455,4.528433647433002e-05,0.004553778081483774,0.005021920902881801,0.7056566930861237,0.0028194904467856432,5.559686455927153e-12,0.999996681707344,0.9932774405235311,0.34369267082727945,0.9126080821949833,2.9928382213698146e-05,0.33749550057204414,0.3053074263256833,0.008975002223534983,0.9685514964775307,0.001875508047925822,0.0011493576844371401
0.08,-84.8316968491795,5.341885432862001,140.09448974311368,6.936193060534884,4.298583182586576e-05,0.0026300643512696376,0.0048035879055928835,0.8361391985505052,0.0025511804561434087,4.97358365964056e-12,0.9999969237114048,0.993344331103569,0.3306897461505549,0.9148045683104014,2.8257063829886998e-05,0.3356643678985981,0.3057460601491314,0.009380081233627676,0.9651576026973647,0.0017667068005455297,0.0010795266160104613
0.09,-84.99861029637991,5.341260139367351,140.09533404863402,6.935613135227689,4.1395120100488825e-05,0.0015171427729606612,0.004697231630787005,0.9032926485419975,0.0023084035368718977,4.70302813203966e-12,0.999997031618421,0.9934105561114058,0.32371293839604287,0.9169790650672234,2.7667270380424858e-05,0.33420393007589133,0.30600599990223437,0.00973623097653857,0.961570152021386,0.0016769784309668848,0.0010328268491064192
0.1,-85.1081446374794,5.34062227359232,140.0961922298321,6.934998662987379,4.026602983156784e-05,0.0008745340471557316,0.0046287296161475954,0.9369892118115685,0.0020887298961311325,4.533796031948887e-12,0.9999970986434839,0.9934761221695383,0.32182543353671034,0.919117061916519,2.7323566042027736e-05,0.333047755994351,0.3061200434098639,0.010047944760808022,0.9577540648443408,0.001606023087015458,0.0010001908441488838
0.11,-85.18613858897932,5.3399774296483455,140.09705977437076,6.934359363929419,3.9460713048632195e-05,0.0005038650895904341,0.004580555163109938,0.9537363400171499,0.0018899609663239833,4.417052025136854e-12,0.9999971451360445,0.9935410358345872,0.324250049365433,0.92121281986326,2.7087446310042075e-05,0.3321224929981446,0.3061160164796494,0.010317577341365703,0.9536892956133962,0.001551275345541116,0.0009769885577055409
0.12,-85.24260904082152,5.339329059215056,140.0979338939255,6.933702401624379,3.888898261747596e-05,0.00029020128290552016,0.004545980943783361,0.9620466439072625,0.0017101074011205229,4.334412214100014e-12,0.9999971782941075,0.993605303597945,0.33033801020105624,0.9232632938228907,2.6918553271926336e-05,0.3313662093567781,0.30601734067701347,0.010546711767003693,0.9493642976986802,0.0015097760249228706,0.0009604715027743222
0.13,-85.28353533423606,5.338679574005433,140.0988126326259,6.933033021401446,3.84854961396332e-05,0.0001670991874498156,0.004521091214832357,0.9661920496376383,0.0015473691655350805,4.275578072024746e-12,0.9999972020804447,0.9936689318864208,0.33954345701410793,0.9252667794064333,2.679685189257908e-05,0.33073057002584405,0.3058437999289509,0.010736964837269998,0.9447722655764196,0.0014787706125405449,0.0009487714354906838
