t,V,K_o,K_i,Na_i,Ca_i,x,m,h,Ca_ds,d,f,f2,f2ds,s,r,Ca_up,Ca_rel,ActFrac,ProdFrac,Ca_Calmod,Ca_Trop
0.0,-86.27784,5.3201028,140.1333,6.835,7.07933e-05,2.3455e-06,0.003956,0.9759885,0.0008364,3.06884e-12,0.9999977,0.994096,0.4387865,0.954689,2.4223e-05,0.479749,0.43984,0.0113161,0.9402563,0.0024448,0.0017012
0.01,-86.26423082670847,5.3194873185619596,140.13426075097402,6.83409318585925,7.152098067881878e-05,1.3444165064205948e-06,0.003963282845830637,0.9759220327023528,0.0007568059921394588,3.082800413401084e-12,0.9999976988012895,0.994154745774799,0.4602718080743938,0.9559532445267354,2.425578741532557e-05,0.47989455344923665,0.4395438712647308,0.011437159598532228,0.9376149285669012,0.0024656417136248673,0.001718087253916688
0.02,-86.25062336133331,5.318878534588194,140.1352195325084,6.8331926252974196,7.225325632301272e-05,7.712638624381134e-07,0.0039705405838070945,0.9758524189837362,0.0006847865152199054,3.096814152059306e-12,0.9999976926061825,0.9942129070188583,0.4823046338241214,0.9571810590861463,2.4288801926306262e-05,0.48002775903301764,0.43923063178501565,0.011548745218569878,0.93505435992181,0.0024871815410272653,0.001735124345207387
0.03,-41.6626333376969,5.326217337836022,140.12967556479015,6.83800379724453,9.134789954370415e-05,0.025471964831871825,0.528454987772964,0.00047813265796257704,0.004578343856653569,5.441072653502324e-05,0.9061704044743801,0.9942704895481662,0.46259999515531747,0.9292528942360286,0.08473637856850891,0.4818877394530576,0.43804710868666846,0.01896102400546153,0.9407612325713742,0.002619097370012656,0.0019654753477167343
0.04,-72.49551830405345,5.327646708276432,140.12892512368882,6.8368396149873005,8.209373984812129e-05,0.0167534168752228,0.024409755325261937,0.04609314141956831,0.004142698740585118,3.2818114309090047e-10,0.9988027685468135,0.9943274991208203,0.4126477374651963,0.9295162265311742,0.003247662839991416,0.48391449318616275,0.4369284328424189,0.007773259061742599,0.9792304228383104,0.0027920113888173148,0.002064054987387908
0.05,-83.4360703739678,5.327737690953959,140.12926360266948,6.835878434181613,7.607929950377878e-05,0.009967238566462764,0.005804540582135449,0.3286201656173009,0.0037484688306648234,8.05658622720996e-12,0.9999938617619928,0.9943839414397952,0.3745926977648121,0.9307603016083703,0.00015496680342810115,0.4832023858340972,0.43812814420006924,0.007344890987067493,0.9787158833938082,0.002757342728060231,0.0018965320282002638
0.06,-85.78900199743056,5.327238520176164,140.1300853096999,6.834974520621141,7.259088615685183e-05,0.005748863499653736,0.004226595373204699,0.6567577638404886,0.0033917548584831195,3.6226085565387367e-12,0.9999973959371328,0.9944398221487609,0.34645227476689205,0.9325315915003908,3.100337322845452e-05,0.48222660606786144,0.4391689962603807,0.007754377651651594,0.9766695709524154,0.0026796528684733256,0.0017909889787474445
0.07,-86.18270878680873,5.326601237742195,140.13102311896557,6.834065544898191,7.031676885534097e-05,0.0032965937783125264,0.004007324964025978,0.834101441219033,0.003068986708862643,3.1695353501475734e-12,0.9999976490205503,0.9944951468356629,0.32660325036397236,0.9343861515635143,2.48453398411076e-05,0.4813832259180078,0.44001284808476165,0.008151825193119903,0.9745260019024528,0.002599370143526244,0.001724194665968802
0.08,-86.26762339590722,5.325942207727794,140.13198240402468,6.833144386922638,6.877331699358835e-05,0.001888434328014227,0.003961603356358733,0.914253526825873,0.002776934009728833,3.079943661479805e-12,0.9999976964582954,0.9945499210329196,0.3137148288791965,0.9362130343076983,2.431540268928006e-05,0.48074947357859943,0.4406793725609371,0.0085259863969006,0.9722868258615917,0.002529464310442499,0.001679743057683078
0.09,-86.30051255440618,5.3252809147580455,140.13294731207114,6.832213747939515,6.774207314279609e-05,0.001081479093152238,0.003944072921735812,0.9493240930121721,0.002512673799522054,3.0461293235451005e-12,0.9999977129848885,0.9946041502179342,0.30669361866256817,0.93799518168922,2.419956649208827e-05,0.4803108404544628,0.4411893998158837,0.00887786197452623,0.9699435122948984,0.0024732210934324027,0.001649776033772335
0.1,-86.31942775889833,5.324621267131288,140.13391465203995,6.831276919356345,6.710491350852443e-05,0.0006192662320163107,0.003934029986091538,0.9645650112773829,0.002273561273231147,3.0268828450550397e-12,0.999997722110037,0.9946578398136243,0.30463844468925716,0.9397303581978247,2.4144650291839973e-05,0.4800324354914284,0.4415620949466396,0.009207070850993551,0.9674978861210938,0.0024305387776397194,0.0016303878598966568
0.11,-86.3307688026321,5.323964708346432,140.13488323160797,6.830336716669594,6.678371979477455e-05,0.0003545705121794303,0.003928024678767593,0.971178782200046,0.0020572033122148795,3.0154046575029653e-12,0.9999977276014317,0.9947109951889586,0.30680325237908346,0.9414186043323757,2.4112080356362253e-05,0.4798798523096319,0.44181483363898355,0.009512946943589132,0.9649578963827427,0.002400180505225008,0.0016192864994807549
0.12,-86.33630684924164,5.323312161803468,140.13585227655742,6.829395457666392,6.671869285398024e-05,0.0002030062684252206,0.003925091929371132,0.9740481070009765,0.0018614345333362783,3.009783921261463e-12,0.9999977303996032,0.99476362165949,0.31256669039936386,0.9430604261825553,2.409468977058926e-05,0.4798238971643431,0.44196339201979684,0.009795178359545416,0.9623351271071948,0.0023805851061227817,0.0016148619294266543
0.13,-86.33708642495662,5.322664338359911,140.1368211815584,6.828455028352868,6.686050107193634e-05,0.00011622776191215805,0.003924667032838282,0.9752893439195051,0.0016842956163138527,3.008961629795409e-12,0.9999977310040933,0.994815724487886,0.3214072228641698,0.9446565170566538,2.408950023555162e-05,0.47984072070762385,0.4420220953589143,0.010054006438729791,0.9596435220570648,0.002370164946589174,0.0016158398183684919
0.14,-86.33398352650156,5.322021799397795,140.13778945968272,6.827516941706596,6.716731418106176e-05,6.654489698286268e-05,0.00392629792942369,0.9758179283626761,0.0015240136952877072,3.0120400107436667e-12,0.9999977298170686,0.9948673088844547,0.33288284085343417,0.9462076970011178,2.409428421403227e-05,0.47991096409877304,0.4420038927870573,0.010290214302556092,0.9568986558024546,0.0023674193954383404,0.0016211542753039121
0.15,-86.32777593597075,5.321384981385036,140.13875672313077,6.8265823886224135,6.760351352291815e-05,3.8101317309309904e-05,0.00392957152481227,0.9760301799452269,0.001378984617581552,3.0182508534344095e-12,0.9999977271909565,0.9949183800076644,0.3466146104936677,0.9477148839627225,2.4107101936525127e-05,0.4800189063183,0.4419203913371298,0.010505025248957855,0.9541172319005333,0.002370979700628349,0.001629898535600021
