t,V,Nai,m,h,j,Cai,Ki,d,f,b,g,xr,xs1,xs2,zdv,ydv,Ca_JSR,Ca_NSR,APtrack,APtrack2,APtrack3,Cainfluxtrack,OVRLDtrack,OVRLDtrack2,OVRLDtrack3
0.0,-85.2119207874627,13.3649235394859,0.00149183115674257,0.985596581239651,0.990898461370389,0.000117482029668194,141.056872392446,5.82597094505446e-06,0.997765362821995,0.00136737866785149,0.98881442877378,0.000204700363126417,0.00660746743356887,0.0303768241233812,0.0144622472219576,0.999945568566232,1.12791401197882,1.76731003671612,9.65910542308504e-196,5.33944967562997e-195,0.000129515197402902,2.69380318286645e-196,0.0,0.0,0.0
0.01,-85.21192298176685,13.364923471698049,0.0014918306111338822,0.9855965883510681,0.9908984657827028,0.00011748178034712612,141.05687258098925,5.825968894144202e-06,0.9977653636653169,0.0013673783823452178,0.9888144543870447,0.00020470029573882066,0.00660738757647746,0.03037636440080527,0.01446224529281112,0.9999455707892723,1.1279252801589514,1.7673065469216056,9.61110285677103e-196,5.312914372834519e-195,0.00012950224746389707,2.6804158700400055e-196,0.0,0.0,0.0
0.02,-85.21192517600574,13.36492340390784,0.0014918300655361511,0.985596595462269,0.990898470194879,0.00011748153103339168,141.05687276953296,5.825966843295717e-06,0.9977653645086021,0.0013673780968476395,0.9888144799977207,0.0002047002283534706,0.006607307725524783,0.0303759046871184,0.014462243363722318,0.9999455730119678,1.1279365481606214,1.7673030572036592,9.563350493323234e-196,5.286517379494688e-195,0.00012948929888293974,2.667098335650367e-196,0.0,0.0,0.0
0.03,-85.21192737023028,13.364923336117112,0.0014918295198127175,0.9855966025734223,0.9908984746070251,0.00011748128172126885,141.05687295807675,5.82596479246081e-06,0.9977653653518791,0.0013673778113519719,0.9888145056078278,0.00020470016096861413,0.006607227875920994,0.030375444975385205,0.014462241434646191,0.9999455752345876,1.1279478161230636,1.7672995675025414,9.51565202445323e-196,5.2601501784982785e-195,0.00012947635060035884,2.653795831781553e-196,0.0,0.0,0.0
0.04,-85.21192956439262,13.364923268324135,0.0014918289733580072,0.9855966096843695,0.9908984790190402,0.00011748103241613652,141.056873146621,5.825962741684795e-06,0.997765366195121,0.0013673775258645914,0.988814531215468,0.00020470009358589873,0.006607148032167831,0.030374985272126467,0.014462239505625049,0.9999455774568791,1.1279590839153415,1.7672960778744213,9.46818574316827e-196,5.233911328303661e-195,0.00012946340361190094,2.640558082113901e-196,0.0,0.0,0.0
0.05,-85.21193175849277,13.36492320052891,0.0014918284260918631,0.9855966167951103,0.9908984834309242,0.00011748078311799449,141.0568733351657,5.8259606909676734e-06,0.9977653670383277,0.0013673772403854979,0.9888145568206416,0.00020470002620532436,0.006607068194265038,0.030374525577342097,0.01446223757665889,0.9999455796788421,1.127970351537454,1.767292588319299,9.420950961188301e-196,5.207800448437021e-195,0.00012945045791748903,2.6273848946947496e-196,0.0,0.0,0.0
0.06,-85.2119339525307,13.364923132731438,0.0014918278780142854,0.9855966239056452,0.9908984878426772,0.00011748053382684276,141.05687352371083,5.8259586403094445e-06,0.9977653678814995,0.0013673769549146914,0.9888145824233483,0.00020469995882689096,0.006606988362212614,0.030374065891032098,0.014462235647747715,0.9999455819004769,1.1279816189894007,1.7672890988371737,9.373947678513328e-196,5.181817538898358e-195,0.0001294375135171231,2.6142762695241e-196,0.0,0.0,0.0
0.07,-85.21193614650643,13.364923064931714,0.0014918273291252737,0.9855966310159738,0.9908984922542993,0.00011748028454268136,141.05687371225645,5.825956589710109e-06,0.9977653687246361,0.0013673766694521719,0.9888146080235884,0.00020469989145059856,0.0066069085360105605,0.03037360621319646,0.014462233718891524,0.9999455841217831,1.1279928862711823,1.767285609428046,9.327175895143351e-196,5.155962599687673e-195,0.00012942457041080314,2.6012322066019513e-196,0.0,0.0,0.0
0.08,-85.21193834041996,13.364922997129744,0.0014918267794248284,0.9855966381260962,0.9908984966657903,0.00011748003526551026,141.0568739008025,5.825954539169666e-06,0.9977653695677376,0.0013673763839979396,0.9888146336213618,0.00020469982407644714,0.006606828715658876,0.030373146543835192,0.014462231790090315,0.9999455863427612,1.128004153382798,1.7672821200919155,9.280635611078366e-196,5.1302356308049644e-195,0.00012941162859852917,2.588252705928304e-196,0.0,0.0,0.0
0.09,-85.21194053427129,13.364922929325525,0.0014918262289129495,0.9855966452360125,0.9908985010771504,0.00011747978599532947,141.05687408934898,5.825952488688115e-06,0.997765370410804,0.001367376098551994,0.9888146592166684,0.0002046997567044367,0.006606748901157562,0.030372686882948294,0.014462229861344092,0.9999455885634108,1.1280154203242483,1.7672786308287827,9.234326826318378e-196,5.104636632250234e-195,0.00012939868808030118,2.575337767503158e-196,0.0,0.0,0.0
0.1,-85.21194272806042,13.364922861519059,0.0014918256775896365,0.9855966523457226,0.9908985054883794,0.00011747953673213899,141.05687427789593,5.825950438265458e-06,0.9977653712538352,0.0013673758131143357,0.9888146848095083,0.0002046996893345673,0.006606669092506616,0.03037222723053576,0.014462227932652852,0.999945590783732,1.128026687095533,1.7672751416386472,9.188249540863381e-196,5.0791656040234806e-195,0.00012938574885611916,2.562487391326513e-196,0.0,0.0,0.0
0.11,-85.21194492178736,13.364922793710344,0.00149182512545489,0.9855966594552266,0.9908985098994775,0.00011747928747593881,141.0568744664433,5.825948387901694e-06,0.9977653720968315,0.0013673755276849644,0.9888147103998816,0.00020469962196683887,0.006606589289706041,0.03037176758659759,0.014462226004016594,0.9999455930037249,1.1280379536966525,1.7672716525215089,9.14240375471338e-196,5.053822546124704e-195,0.0001293728109259831,2.5497015773983695e-196,0.0,0.0,0.0
0.12,-85.21194711545209,13.36492272589938,0.0014918245725087098,0.9855966665645243,0.9908985143104444,0.00011747903822672894,141.05687465499116,5.825946337596822e-06,0.9977653729397926,0.00136737524226388,0.988814735987788,0.00020469955460125142,0.006606509492755835,0.030371307951133793,0.014462224075435322,0.9999455952233894,1.1280492201276062,1.7672681634773681,9.096789467868372e-196,5.028607458553906e-195,0.00012935987428989304,2.536980325718727e-196,0.0,0.0,0.0
