t,V,K_i,Na_i,Ca_i,Or4,Cr1,Cr2,Cr3,Ir5,BCr1,BCr2,BCr3,BOr4,BIr5,Xs,s,r,m,h,j,Ca_ss,d,f,f2,fCass,Ca_SR,R_prime
0.0,-86.45,141.0167,7.940167,0.0001092,0.014,0.9786,0.0031,0.0029,0.0014,0.0,0.0,0.0,0.0,0.0,0.00303,1.0,2.11e-08,0.00132,0.7768,0.7766,0.0001893,5.06e-06,0.9999,0.9995,1.0,2.7656,0.9864
0.01,-86.44998511494335,141.01670005030383,7.9401669642758455,0.00010919987127329166,0.01399913718563037,0.9785909691161087,0.0031100713067105288,0.002899929337285275,0.0013998930542654258,0.0,0.0,0.0,0.0,0.0,0.003029991963712481,0.9999999979867543,2.1096238177139506e-08,0.0013230570565833171,0.7767999959693206,0.7766000285343101,0.00018929832495804608,5.060103941845436e-06,0.9999000049383627,0.9995000046067919,0.9999999993008393,2.765600195545604,0.9864005673101931
0.02,-86.449970251617,141.01670010060616,7.940166928551462,0.000109199742555174,0.013998274292469146,0.9785841122569049,0.0031179647899725587,0.002899862411921171,0.0013997862487325147,0.0,0.0,0.0,0.0,0.0,0.0030299839288102206,0.9999999959758993,2.109248673878456e-08,0.0013230607549861693,0.776799991391345,0.7766000570111018,0.0001892966499636834,5.060205494960244e-06,0.9999000098757024,0.9995000092121715,0.9999999986017764,2.7656003910753593,0.9864011345929568
0.03,-86.44995541000715,141.016700150907,7.940166892826853,0.00010919961384564641,0.013997411321416445,0.9785789841918309,0.0031241264488913348,0.0028997984553267944,0.0013996795825347978,0.0,0.0,0.0,0.0,0.0,0.003029975895292522,0.9999999939674324,2.1088745658063658e-08,0.0013230650043464206,0.7767999862676113,0.7766000854304569,0.00018929497501688283,5.060304716303717e-06,0.9999000148120195,0.9995000138161398,0.999999997902811,2.765600586589266,0.9864017018482922
0.04,-86.4499405900828,141.01670020120636,7.940166857102016,0.00010919948514470826,0.013996548273444452,0.9785751932289712,0.003128948651510691,0.0028997367913432565,0.00139957305473053,0.0,0.0,0.0,0.0,0.0,0.003029967863158623,0.9999999919613507,2.1085014905663805e-08,0.00132306924527385,0.7767999805997972,0.7766001137924642,0.00018929330011761345,5.0604016667386e-06,0.9999000197473145,0.9995000184186973,0.9999999972039434,2.7656007820873247,0.9864022690762011
0.05,-86.44992579181365,141.01670025150426,7.940166821376953,0.0001091993564523588,0.013995685149493604,0.9785724400293833,0.003132731253482638,0.002899676903237166,0.001399466664403446,0.0,0.0,0.0,0.0,0.0,0.0030299598324077777,0.9999999899576513,2.1081294452949667e-08,0.001323073407103404,0.7767999743895427,0.7766001420972107,0.0001892916252658455,5.060496404373078e-06,0.9999000246815873,0.999500023019845,0.9999999965051733,2.765600977569537,0.9864028362766843
0.06,-86.44991101516985,141.01670030180065,7.940166785651662,0.00010919922776859742,0.013994821950478456,0.9785705018331242,0.003135697399268741,0.002899618406470696,0.0013993604106579685,0.0,0.0,0.0,0.0,0.0,0.0030299518030392526,0.9999999879563315,2.1077584271808037e-08,0.0013230775817675902,0.776799967638459,0.776600170344782,0.00018928995046155048,5.060588984833453e-06,0.9999000296148386,0.9995000276195833,0.9999999958065009,2.7656011730359036,0.9864034034497435
0.07,-86.44989626012152,141.01670035209557,7.940166749926145,0.0001091990990934235,0.013993958677304469,0.9785692084243053,0.003138017598575188,0.0028995610072110626,0.0013992542926040768,0.0,0.0,0.0,0.0,0.0,0.0030299437750523155,0.9999999859573883,2.1073884334179462e-08,0.0013230817552177519,0.7767999603481552,0.7766001985352634,0.00018928827570470063,5.060679462294401e-06,0.9999000345470681,0.9995000322179131,0.999999995107926,2.7656013684864265,0.98640397059538
0.08,-86.44988152663865,141.01670040238906,7.940166714200401,0.00010919897042683632,0.013993095330874818,0.9785684186535201,0.003139833244450983,0.002899504461802117,0.0013991483093520793,0.0,0.0,0.0,0.0,0.0,0.0030299357484462287,0.9999999839608188,2.1070194611910767e-08,0.0013230859147179926,0.7767999525202461,0.776600226668741,0.0001892866009952686,5.060767889988229e-06,0.9999000394782765,0.9995000368148351,0.9999999944094488,2.765601563921105,0.986404537713595
0.09,-86.44986681469123,141.01670045268105,7.940166678474431,0.00010919884176883528,0.013992231912084567,0.978568021234656,0.0031412558151012173,0.002899448578139827,0.001399042460018359,0.0,0.0,0.0,0.0,0.0,0.003029927723220257,0.9999999819666204,2.1066515076929084e-08,0.001323090069540122,0.7767999441563431,0.7766002547453004,0.00018928492633322767,5.060854319805042e-06,0.9999000444084638,0.9995000414103501,0.9999999937110688,2.765601759339942,0.9864051048043901
