t,V,m,h,j,X_kr,X_ks,X_to,Y_to,Ca_i,f,d,f_Ca,Ca_SR
0.0,-94.7,0.00024676,0.99869,0.99887,0.229,0.0001,3.742e-05,1.0,0.0472,0.983,0.0001,0.942,320.0
0.01,-94.69921452137852,0.00030009823368749123,0.9986880201878263,0.9988657772694992,0.22899665776633654,0.00010002630351462106,3.8816441552492604e-05,0.9999999997383995,0.047198540947849976,0.9830007393584292,9.90041904620786e-05,0.9420134276346608,320.00001794791166
0.02,-94.69843090999542,0.0003008020998545441,0.998686060370304,0.9988615594127953,0.2289933156129092,0.00010005260553158722,3.978845843133215e-05,0.9999999994770333,0.0471970695801227,0.9830014786847224,9.80184675002595e-05,0.9420268513341394,320.00003600262687
0.03,-94.69764915815392,0.0003008511793362017,0.9986841203089363,0.9988573464242008,0.22898997353963846,0.0001000789060460886,4.0467620331219596e-05,0.9999999992159019,0.04719558603443345,0.9830022179788809,9.704272518450789e-05,0.9420402711044139,320.00005416299143
0.04,-94.69686925863053,0.00030089119153234393,0.9986821997667663,0.9988531382979977,0.22898663154644452,0.00010010520505330594,4.09444634174053e-05,0.9999999989550048,0.04719409044776729,0.983002957240906,9.60768580740938e-05,0.9420536869514432,320.0000724278568
0.05,-94.69609120518153,0.00030093089796720974,0.9986802985295048,0.9988489350289523,0.22898328963325462,0.00010013150254884192,4.127574071222893e-05,0.999999998694342,0.04719258294424931,0.9830036964707991,9.512077063209015e-05,0.9420670988806342,320.00009079618223
0.06,-94.69531499234033,0.0003009707202952214,0.9986784164048474,0.9988447366123238,0.22897994780000303,0.00010015779852872194,4.1499806461778675e-05,0.9999999984339132,0.04719106363544642,0.9830044356685611,9.417437699239544e-05,0.9420805068968526,320.0001092670319
0.07,-94.69454061361317,0.00030101055003470414,0.9986765531604698,0.998840543042333,0.2289766060466096,0.00010018409298811133,4.1652096358118574e-05,0.9999999981737184,0.047189532656340204,0.9830051748341938,9.32375732717975e-05,0.9420939110059912,320.00012783927406
0.08,-94.6937680625721,0.0003010503886306244,0.9986747085636357,0.9988363543131378,0.22897326437299367,0.0001002103859221323,4.175965077746046e-05,0.9999999979137574,0.04718799014235225,0.9830059139676984,9.23102552515026e-05,0.9421073112139684,320.000146511773
0.09,-94.6929973332685,0.0003010900625908363,0.9986728823958408,0.9988321704191834,0.22896992277907854,0.00010023667732616028,4.1837944320275404e-05,0.99999999765403,0.04718643622088602,0.9830066530690764,9.13923248879513e-05,0.9421207075263616,320.0001652834602
0.1,-94.69222842001564,0.00030112959470142696,0.9986710744465994,0.9988279913550467,0.2289665812647897,0.00010026296719569342,4.189509700905244e-05,0.999999997394536,0.04718487101493934,0.983007392138329,9.048368753254101e-05,0.9421340999485635,320.00018415330425
0.11,-94.69146131717388,0.00030116904056871224,0.9986692845074062,0.998823817115297,0.2289632398300525,0.00010028925552623305,4.1936785120550895e-05,0.9999999971352755,0.04718329464657276,0.9830081311754576,8.958424926188036e-05,0.9421474884859332,320.0002031202815
0.12,-94.69069601913633,0.00030120840585703035,0.9986675123716416,0.9988196476944938,0.2289598984747925,0.00010031554231328295,4.196723543716831e-05,0.9999999968762481,0.04718170723695709,0.9830088701804636,8.869391684111622e-05,0.9421608731437981,320.00022218337574
0.13,-94.68993252033299,0.0003012476857878867,0.9986657578349899,0.9988154830871937,0.22895655719893526,0.00010034182755235472,4.1989519225448885e-05,0.9999999966174536,0.047180108906144554,0.9830096091533482,8.781259790022254e-05,0.9421742539274445,320.0002413415801
0.14,-94.68917081525441,0.00030128687913510646,0.9986640206972752,0.9988113232879553,0.22895321600240665,0.00010036811123897966,4.200545622491349e-05,0.9999999963588921,0.047178499772142744,0.983010348094113,8.694020164920939e-05,0.9421876308420818,320.0002605939048
0.15,-94.68841089836685,0.00030132598443756865,0.9986623007566078,0.9988071682913369,0.22894987488513246,0.00010039439336868146,4.201736741532363e-05,0.9999999961005632,0.04717687995380255,0.9830110870027591,8.607663664635043e-05,0.942201003892951,320.000279939353
0.16,-94.68765276419806,0.0003013650022891461,0.9986605978153191,0.9988030180919062,0.22894653384703884,0.00010042067393700854,4.2026664447191475e-05,0.9999999958424669,0.04717524956785952,0.9830118258792879,8.52218130836906e-05,0.942214373085213,320.0002993769457
0.17,-94.68689640733062,0.00030140393388204375,0.9986589116795356,0.9987988726842352,0.22894319288805223,0.0001004469529395292,4.203380575631178e-05,0.9999999955846028,0.047173608729161653,0.983012564723701,8.437564261149743e-05,0.9422277384239577,320.0003189057195
0.18,-94.68614182229842,0.0003014427787940704,0.9986572421521522,0.9987947320628934,0.22893985200809885,0.00010047323037179572,4.204028244593286e-05,0.999999995326971,0.04717195755415552,0.9830133035359995,8.353803564479389e-05,0.9422410999143347,320.0003385246977
0.19,-94.6853890038036,0.00030148153796415384,0.9986555890480375,0.9987905962224758,0.22893651120710604,0.00010049950622943068,4.204550595999329e-05,0.9999999950695713,0.047170296153277266,0.9830140423161847,8.270890724033575e-05,0.9422544575612658,320.000358232954
0.2,-94.68463793768613,0.00030152021189781597,0.9986539518649319,0.9987864651487253,0.22893317048488102,0.00010052578050082553,4.2051011905486906e-05,0.9999999948124032,0.04716862482470526,0.9830147810642603,8.188802802685346e-05,0.9422678113779901,320.00037802798727
0.21,-94.68388864356348,0.00030155879948434006,0.998652331298271,0.9987823388614092,0.22892982984169097,0.00010055205320207142,4.205510595160038e-05,0.9999999945554673,0.04716694315547722,0.9830155197802214,8.107571567043109e-05,0.9422811613461689,320.0003979132614
0.22,-94.68314109384893,0.0003015973021319964,0.9986507263754959,0.9987782173326214,0.22892648927715942,0.0001005783243104936,4.2059331485642156e-05,0.9999999942987627,0.04716525172400947,0.9830162584640749,8.027152524598995e-05,0.9422945074915209,320.0004178839246
0.23,-94.68239527157354,0.00030163572052060067,0.998649136533461,0.9987741005445451,0.2289231487910501,0.00010060459381189579,4.206318558969809e-05,0.9999999940422891,0.04716355087043175,0.9830169971158254,7.947519513548723e-05,0.9423078498293825,320.0004379371233
0.24,-94.68165118398639,0.00030167405435973827,0.9986475620127399,0.9987699885047914,0.22891980838346399,0.00010063086171234258,4.206688310821221e-05,0.9999999937860465,0.04716184044944204,0.9830177357354707,7.868683710106416e-05,0.9423211883532019,320.0004580740765
0.25,-94.68090883331361,0.00030171230356022485,0.998646002887211,0.9987658812156976,0.22891646805443203,0.00010065712801369637,4.2070490018642425e-05,0.9999999935300351,0.04716012041641897,0.9830184743230105,7.790648546421326e-05,0.9423345230609673,320.0004782951586
0.26,-94.68016821955518,0.00030175046812206026,0.9986444591568744,0.9987617786772641,0.2289131278039542,0.00010068339271595718,4.207400632098874e-05,0.9999999932742549,0.04715839077136253,0.9830192128784446,7.713414022493448e-05,0.9423478539526786,320.00049860036955
0.27,-94.67942932317852,0.0003017885488938755,0.9986429301721924,0.9987576808690217,0.22890978763175895,0.0001007096558027976,4.207744025564826e-05,0.9999999930187052,0.047156651906369626,0.9830199514017783,7.636949983526095e-05,0.9423611810460033,320.0005189864198
